Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Белогорская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687									
		1.46%	1.02%	1.41%	0.66%	1.03%	1.73%	1.37%	1.08%	1.74%	1.81%	2.82%	1.19%	1.88%	3.95%	1.18%	1.57%	0.49%	0.56%	2.02%	1.34%	1.10%	0.00%	1.19%	3.27%	2.17%	4.30%	1.25%	1.76%	1.63%	1.90%	1.10%	0.00%	1.48%	2.91%	2.17%	1.37%	0.60%	0.82%	0.93%	2.50%	3.16%	0.68%	1.02%	1.64%	3.27%	1.02%	1.21%	1.60%	1.84%	1.94%	1.80%	1.23%	0.55%	3.76%	0.36%	0.00%	1.75%	1.65%	4.26%	1.57%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	230	2	5	7	1	10	5	4	5	3	3	7	4	2	5	0	8	1	4	5	3	2	10	2	6	1	7	1	13	4	5	3	1	1	0	6	2	3	0	1	2	6	2	5	1	13	0	4	11	6	3	5	2	4	2	2	4	0	2	4	0									
		1.07%	0.34%	0.88%	1.16%	0.17%	1.73%	0.76%	0.86%	1.24%	0.49%	2.11%	0.83%	1.25%	1.13%	1.97%	0.00%	1.31%	0.56%	1.16%	3.36%	0.66%	1.64%	1.48%	0.60%	1.63%	1.08%	0.88%	0.44%	1.77%	2.53%	0.92%	2.88%	0.49%	0.97%	0.00%	1.37%	0.40%	1.22%	0.00%	0.83%	2.11%	1.36%	2.04%	1.17%	0.65%	1.66%	0.00%	2.13%	1.44%	1.45%	0.45%	0.88%	0.55%	1.08%	0.73%	2.70%	1.17%	0.00%	2.13%	1.57%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15975	405	428	420	415	418	484	353	290	419	92	684	240	128	199	111	456	116	271	103	339	89	522	254	286	62	610	174	526	116	413	90	160	74	77	341	352	183	82	109	53	346	80	330	121	585	189	141	580	317	476	422	278	250	185	60	261	85	69	214	42									
		74.63%	68.64%	75.49%	69.77%	71.43%	72.19%	73.44%	76.08%	72.14%	69.03%	64.79%	81.24%	75.00%	72.32%	78.35%	87.40%	74.51%	65.17%	78.32%	69.13%	74.67%	72.95%	77.33%	75.60%	77.51%	66.67%	76.54%	76.65%	71.47%	73.42%	76.06%	86.54%	78.82%	71.84%	83.70%	77.85%	70.68%	74.69%	75.93%	90.83%	55.79%	78.64%	81.63%	77.28%	79.08%	74.62%	76.52%	75.00%	76.12%	76.76%	71.58%	74.04%	76.16%	67.20%	67.52%	81.08%	76.09%	70.25%	73.40%	83.92%	89.36%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	159	1	1	4	3	4	3	1	10	5	5	6	2	3	5	1	1	1	2	3	5	2	2	1	3	1	6	4	11	2	2	0	1	2	0	3	4	2	1	0	0	2	0	4	1	3	2	1	8	1	4	2	1	2	1	1	6	1	0	5	1									
		0.74%	0.17%	0.18%	0.66%	0.52%	0.69%	0.46%	0.22%	2.49%	0.82%	3.52%	0.71%	0.63%	1.69%	1.97%	0.79%	0.16%	0.56%	0.58%	2.01%	1.10%	1.64%	0.30%	0.30%	0.81%	1.08%	0.75%	1.76%	1.49%	1.27%	0.37%	0.00%	0.49%	1.94%	0.00%	0.68%	0.80%	0.82%	0.93%	0.00%	0.00%	0.45%	0.00%	0.94%	0.65%	0.38%	0.81%	0.53%	1.05%	0.24%	0.60%	0.35%	0.27%	0.54%	0.36%	1.35%	1.75%	0.83%	0.00%	1.96%	2.13%									
24	"6. Политическая партия ""Гражданская Платформа"""	77	1	0	1	2	0	0	0	1	0	4	1	3	0	1	0	0	0	3	0	0	1	4	3	0	2	2	1	3	4	3	0	1	1	0	2	1	1	0	0	1	0	0	4	0	1	0	0	6	2	1	3	0	3	6	1	0	1	0	2	0									
		0.36%	0.17%	0.00%	0.17%	0.34%	0.00%	0.00%	0.00%	0.25%	0.00%	2.82%	0.12%	0.94%	0.00%	0.39%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.82%	0.59%	0.89%	0.00%	2.15%	0.25%	0.44%	0.41%	2.53%	0.55%	0.00%	0.49%	0.97%	0.00%	0.46%	0.20%	0.41%	0.00%	0.00%	1.05%	0.00%	0.00%	0.94%	0.00%	0.13%	0.00%	0.00%	0.79%	0.48%	0.15%	0.53%	0.00%	0.81%	2.19%	1.35%	0.00%	0.83%	0.00%	0.78%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1974	88	54	80	65	81	82	43	44	89	4	39	24	11	8	9	38	8	18	6	39	3	56	27	33	12	60	17	54	11	46	9	11	8	2	34	69	24	16	5	18	29	5	30	7	101	12	13	69	40	94	90	40	47	12	4	15	9	2	9	1									
		9.22%	14.92%	9.52%	13.29%	11.19%	13.99%	12.44%	9.27%	10.95%	14.66%	2.82%	4.63%	7.50%	6.21%	3.15%	7.09%	6.21%	4.49%	5.20%	4.03%	8.59%	2.46%	8.30%	8.04%	8.94%	12.90%	7.53%	7.49%	7.34%	6.96%	8.47%	8.65%	5.42%	7.77%	2.17%	7.76%	13.86%	9.80%	14.81%	4.17%	18.95%	6.59%	5.10%	7.03%	4.58%	12.88%	4.86%	6.91%	9.06%	9.69%	14.14%	15.79%	10.96%	12.63%	4.38%	5.41%	4.37%	7.44%	2.13%	3.53%	2.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	105	4	1	1	2	2	2	0	7	0	4	7	2	1	0	0	2	1	1	3	1	2	1	3	1	0	2	0	8	0	2	0	1	0	1	4	4	1	0	1	1	1	0	3	0	1	2	2	1	3	5	0	1	4	1	0	5	1	1	1	0									
		0.49%	0.68%	0.18%	0.17%	0.34%	0.35%	0.30%	0.00%	1.74%	0.00%	2.82%	0.83%	0.63%	0.56%	0.00%	0.00%	0.33%	0.56%	0.29%	2.01%	0.22%	1.64%	0.15%	0.89%	0.27%	0.00%	0.25%	0.00%	1.09%	0.00%	0.37%	0.00%	0.49%	0.00%	1.09%	0.91%	0.80%	0.41%	0.00%	0.83%	1.05%	0.23%	0.00%	0.70%	0.00%	0.13%	0.81%	1.06%	0.13%	0.73%	0.75%	0.00%	0.27%	1.08%	0.36%	0.00%	1.46%	0.83%	1.06%	0.39%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	64	4	0	4	0	0	2	1	0	1	0	2	0	0	2	1	4	0	1	2	2	0	4	1	2	0	2	0	1	0	3	0	0	1	0	0	1	0	0	0	0	1	0	7	0	4	0	1	1	0	2	2	1	2	1	0	1	0	0	0	0									
		0.30%	0.68%	0.00%	0.66%	0.00%	0.00%	0.30%	0.22%	0.00%	0.16%	0.00%	0.24%	0.00%	0.00%	0.79%	0.79%	0.65%	0.00%	0.29%	1.34%	0.44%	0.00%	0.59%	0.30%	0.54%	0.00%	0.25%	0.00%	0.14%	0.00%	0.55%	0.00%	0.00%	0.97%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	1.64%	0.00%	0.51%	0.00%	0.53%	0.13%	0.00%	0.30%	0.35%	0.27%	0.54%	0.36%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	33	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	1	0	2	3	0	1	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	2	1	0	5	0	0	0	0	0	1	0	0	0	0	1	0									
		0.15%	0.00%	0.18%	0.00%	0.17%	0.00%	0.15%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.67%	0.22%	0.00%	0.30%	0.89%	0.00%	1.08%	0.00%	0.00%	0.54%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	1.02%	0.00%	0.00%	0.26%	0.40%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	145	4	2	4	4	1	1	1	2	1	6	3	9	2	3	0	4	0	5	3	4	0	7	1	1	1	2	1	10	2	3	0	0	2	3	1	1	2	1	0	1	2	0	4	1	3	5	3	7	1	2	1	2	3	2	0	3	3	3	2	0									
		0.68%	0.68%	0.35%	0.66%	0.69%	0.17%	0.15%	0.22%	0.50%	0.16%	4.23%	0.36%	2.81%	1.13%	1.18%	0.00%	0.65%	0.00%	1.45%	2.01%	0.88%	0.00%	1.04%	0.30%	0.27%	1.08%	0.25%	0.44%	1.36%	1.27%	0.55%	0.00%	0.00%	1.94%	3.26%	0.23%	0.20%	0.82%	0.93%	0.00%	1.05%	0.45%	0.00%	0.94%	0.65%	0.38%	2.02%	1.60%	0.92%	0.24%	0.30%	0.18%	0.55%	0.81%	0.73%	0.00%	0.87%	2.48%	3.19%	0.78%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1045	51	44	44	47	29	38	37	14	46	6	15	12	14	10	0	20	9	13	5	18	10	23	8	10	6	45	9	57	6	31	2	8	1	1	10	42	12	4	1	5	15	3	22	9	33	8	7	20	12	36	16	22	18	22	2	19	8	5	4	1									
		4.88%	8.64%	7.76%	7.31%	8.09%	5.01%	5.77%	7.97%	3.48%	7.58%	4.23%	1.78%	3.75%	7.91%	3.94%	0.00%	3.27%	5.06%	3.76%	3.36%	3.96%	8.20%	3.41%	2.38%	2.71%	6.45%	5.65%	3.96%	7.74%	3.80%	5.71%	1.92%	3.94%	0.97%	1.09%	2.28%	8.43%	4.90%	3.70%	0.83%	5.26%	3.41%	3.06%	5.15%	5.88%	4.21%	3.24%	3.72%	2.62%	2.91%	5.41%	2.81%	6.03%	4.84%	8.03%	2.70%	5.54%	6.61%	5.32%	1.57%	2.13%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	41	0	1	1	3	1	0	1	1	0	0	0	1	0	0	0	3	0	0	1	0	0	3	2	1	0	3	1	2	0	3	0	0	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	1	2	1	1	1	1	0	0	0	0	0	0	0									
		0.19%	0.00%	0.18%	0.17%	0.52%	0.17%	0.00%	0.22%	0.25%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.67%	0.00%	0.00%	0.44%	0.60%	0.27%	0.00%	0.38%	0.44%	0.27%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.23%	0.60%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.13%	0.48%	0.15%	0.18%	0.27%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	555	14	4	18	15	13	12	6	5	20	5	32	4	3	3	0	58	40	11	2	17	2	17	2	12	0	29	3	7	2	10	0	11	0	1	12	7	6	0	0	8	25	3	4	0	13	5	7	19	8	6	3	5	6	15	0	14	4	6	1	0									
		2.59%	2.37%	0.71%	2.99%	2.58%	2.25%	1.82%	1.29%	1.24%	3.29%	3.52%	3.80%	1.25%	1.69%	1.18%	0.00%	9.48%	22.47%	3.18%	1.34%	3.74%	1.64%	2.52%	0.60%	3.25%	0.00%	3.64%	1.32%	0.95%	1.27%	1.84%	0.00%	5.42%	0.00%	1.09%	2.74%	1.41%	2.45%	0.00%	0.00%	8.42%	5.68%	3.06%	0.94%	0.00%	1.66%	2.02%	3.72%	2.49%	1.94%	0.90%	0.53%	1.37%	1.61%	5.47%	0.00%	4.08%	3.31%	6.38%	0.39%	0.00%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
