Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Княжпогостская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК  419					
		0.33%	0.57%	0.63%	0.0%	0.0%	0.57%	0.14%	0.34%	0.08%	0.33%	0.0%	1.19%	0.70%	0.0%	4.44%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.69%	0.42%	0.84%	0.0%	0.40%	1.38%	0.55%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	24	0	0	0	1	2	0	3	1	2	3	2	0	0	0	0	1	0	0	0	0	1	5	0	1	2	0	0	0	0					
		0.22%	0.0%	0.0%	0.0%	0.17%	0.57%	0.0%	0.20%	0.08%	0.22%	0.44%	0.47%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.69%	1.06%	0.0%	0.80%	0.20%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	9	0	0	0	1	0	1	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.08%	0.0%	0.0%	0.0%	0.17%	0.0%	0.14%	0.06%	0.16%	0.22%	0.0%	0.0%	0.0%	0.0%	2.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	596	3	25	0	21	9	19	108	84	46	52	25	3	8	0	0	1	2	12	8	2	5	24	10	4	68	5	7	43	2					
		5.57%	1.72%	7.88%	0.0%	3.58%	2.60%	2.83%	7.42%	6.81%	5.08%	7.74%	5.95%	2.12%	4.25%	0.0%	0.0%	0.71%	3.77%	6.18%	4.73%	3.22%	3.47%	5.09%	4.23%	3.22%	6.86%	3.47%	3.88%	8.65%	4.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	1	0	0	1	0	0	2	3	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0					
		0.13%	0.57%	0.0%	0.0%	0.17%	0.0%	0.0%	0.13%	0.24%	0.0%	0.14%	0.23%	0.70%	0.53%	0.0%	0.0%	0.0%	1.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.69%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1908	24	24	7	125	92	157	253	182	168	110	101	19	38	7	3	14	6	51	23	8	27	68	48	23	173	34	31	84	8					
		17.84%	13.79%	7.57%	19.44%	21.33%	26.58%	23.43%	17.38%	14.77%	18.58%	16.39%	24.04%	13.47%	20.21%	15.55%	5.66%	9.99%	11.32%	26.28%	13.60%	12.90%	18.75%	14.43%	20.33%	18.54%	17.47%	23.61%	17.22%	16.90%	16.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	230	8	10	1	9	7	13	25	35	23	16	5	3	0	0	3	9	1	7	5	1	0	11	10	2	12	3	3	6	2					
		2.15%	4.59%	3.15%	2.77%	1.53%	2.02%	1.94%	1.71%	2.84%	2.54%	2.38%	1.19%	2.12%	0.0%	0.0%	5.66%	6.42%	1.88%	3.60%	2.95%	1.61%	0.0%	2.33%	4.23%	1.61%	1.21%	2.08%	1.66%	1.20%	4.0%					
37	"20. ""Политическая партия ""Единая Россия"""	4218	70	122	9	247	140	283	561	477	322	244	154	71	84	16	19	60	28	85	55	14	75	233	97	58	376	37	64	196	21					
		39.45%	40.22%	38.48%	25.0%	42.15%	40.46%	42.23%	38.55%	38.71%	35.61%	36.36%	36.66%	50.35%	44.68%	35.55%	35.84%	42.85%	52.83%	43.81%	32.54%	22.58%	52.08%	49.46%	41.10%	46.77%	37.97%	25.69%	35.55%	39.43%	42.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	23	1	2	0	3	1	0	3	2	2	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1					
		0.21%	0.57%	0.63%	0.0%	0.51%	0.28%	0.0%	0.20%	0.16%	0.22%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.10%	0.0%	0.55%	0.20%	2.0%					
39	"22. ""Развитие предпринимательства"""	14	0	0	0	1	0	0	0	6	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.13%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.48%	0.11%	0.59%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1430	29	40	2	65	26	76	219	194	133	104	52	18	22	10	13	16	5	16	31	24	13	29	31	6	114	24	54	54	10					
		13.37%	16.66%	12.61%	5.55%	11.09%	7.51%	11.34%	15.05%	15.74%	14.71%	15.49%	12.38%	12.76%	11.70%	22.22%	24.52%	11.42%	9.43%	8.24%	18.34%	38.70%	9.02%	6.15%	13.13%	4.83%	11.51%	16.66%	30.0%	10.86%	20.0%					
																																				
41	Против всех	481	4	19	1	21	17	37	64	46	40	20	17	6	7	5	2	3	1	8	13	1	3	11	9	9	68	11	5	32	1					
		4.49%	2.29%	5.99%	2.77%	3.58%	4.91%	5.52%	4.39%	3.73%	4.42%	2.98%	4.04%	4.25%	3.72%	11.11%	3.77%	2.14%	1.88%	4.12%	7.69%	1.61%	2.08%	2.33%	3.81%	7.25%	6.86%	7.63%	2.77%	6.43%	2.0%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
