Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Ютазинская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  2897	УИК  2898	УИК  2899	УИК  2900	УИК  2901	УИК  2902	УИК  2903	УИК  2904	УИК  2905	УИК  2906	УИК  2907	УИК  2908	УИК  2909	УИК  2910	УИК  2911	УИК  2912	УИК  2913	УИК  2914	УИК  2915	УИК  2916	УИК  2917	УИК  2918	УИК  2919	УИК  2920	УИК  2921	УИК  2922	УИК  2923	УИК  2924	УИК  2925					
		0.25%	0.0%	2.04%	0.80%	0.0%	0.0%	0.79%	0.85%	0.17%	0.77%	0.0%	0.40%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	112	7	12	29	0	8	0	27	3	2	3	7	9	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.67%	1.00%	1.88%	3.89%	0.0%	1.24%	0.0%	4.63%	0.52%	0.30%	0.62%	0.93%	1.10%	0.0%	0.0%	0.95%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	103	5	12	18	0	11	2	14	3	6	5	5	14	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1					
		0.62%	0.71%	1.88%	2.41%	0.0%	1.71%	0.26%	2.40%	0.52%	0.92%	1.03%	0.66%	1.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.99%					
22	"5. ""За Русь Святую"""	12	0	1	2	0	0	0	1	0	2	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.15%	0.26%	0.0%	0.0%	0.0%	0.17%	0.0%	0.30%	0.41%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	7	0	1	0	0	0	0	1	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.15%	0.0%	0.26%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	23	0	1	5	2	0	0	2	1	3	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.13%	0.0%	0.15%	0.67%	0.32%	0.0%	0.0%	0.34%	0.17%	0.46%	0.0%	0.40%	0.0%	0.0%	0.0%	1.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	6	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	13	0	2	1	0	2	0	1	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.31%	0.13%	0.0%	0.31%	0.0%	0.17%	0.17%	0.30%	0.20%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	63	0	1	20	1	6	3	5	0	1	0	2	10	0	1	4	0	0	0	0	0	0	0	1	0	0	0	8	0	0					
		0.38%	0.0%	0.15%	2.68%	0.16%	0.93%	0.39%	0.85%	0.0%	0.15%	0.0%	0.26%	1.22%	0.0%	0.26%	0.95%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	8	0	0	2	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.68%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	37	2	0	6	0	3	3	9	2	2	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.22%	0.28%	0.0%	0.80%	0.0%	0.46%	0.39%	1.54%	0.35%	0.30%	0.41%	1.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	6	0	2	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.34%	0.17%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	0	1	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.0%	0.15%	0.13%	0.0%	0.31%	0.0%	0.0%	0.0%	0.15%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	7	0	0	1	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.0%	0.0%	0.13%	0.0%	0.15%	0.0%	0.17%	0.0%	0.0%	0.0%	0.26%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	237	13	32	68	0	30	0	35	5	10	5	7	26	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0					
		1.43%	1.86%	5.02%	9.13%	0.0%	4.68%	0.0%	6.01%	0.88%	1.54%	1.03%	0.93%	3.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	15	0	1	2	0	0	1	2	3	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.0%	0.15%	0.26%	0.0%	0.0%	0.13%	0.34%	0.52%	0.15%	0.20%	0.13%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	377	19	44	75	7	42	31	45	11	10	7	13	36	4	1	16	0	0	0	4	0	0	0	1	3	1	7	0	0	0					
		2.27%	2.72%	6.90%	10.08%	1.14%	6.55%	4.12%	7.73%	1.94%	1.54%	1.45%	1.73%	4.42%	0.59%	0.26%	3.80%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.18%	0.51%	0.68%	1.21%	0.0%	0.0%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	145	7	24	16	4	11	0	25	0	10	4	12	23	0	0	3	5	0	0	0	0	0	0	0	1	0	0	0	0	0					
		0.87%	1.00%	3.76%	2.15%	0.65%	1.71%	0.0%	4.29%	0.0%	1.54%	0.83%	1.60%	2.82%	0.0%	0.0%	0.71%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	13713	557	394	332	515	399	608	252	479	530	394	571	502	648	374	326	1004	387	378	774	254	509	323	536	578	140	564	1030	255	100					
		82.87%	80.02%	61.85%	44.62%	84.15%	62.24%	80.95%	43.29%	84.47%	82.04%	81.91%	76.33%	61.67%	96.42%	98.94%	77.61%	90.20%	97.97%	97.92%	97.85%	98.44%	97.32%	96.70%	98.89%	98.97%	95.89%	97.74%	89.79%	98.07%	99.00%					
38	"21. ""Российская Конституционно-демократическая партия"""	31	21	1	4	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.18%	3.01%	0.15%	0.53%	0.0%	0.15%	0.0%	0.51%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	9	0	3	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.0%	0.47%	0.13%	0.0%	0.46%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1183	60	83	111	74	90	85	104	49	48	33	81	106	5	1	40	99	4	4	4	0	2	10	2	0	0	4	84	0	0					
		7.14%	8.62%	13.02%	14.91%	12.09%	14.04%	11.31%	17.86%	8.64%	7.43%	6.86%	10.82%	13.02%	0.74%	0.26%	9.52%	8.89%	1.01%	1.03%	0.50%	0.0%	0.38%	2.99%	0.36%	0.0%	0.0%	0.69%	7.32%	0.0%	0.0%					
																																				
41	Против всех	181	0	8	32	2	27	7	26	0	5	13	24	0	0	1	10	3	0	0	0	0	0	0	0	0	0	0	18	5	0					
		1.09%	0.0%	1.25%	4.30%	0.32%	4.21%	0.93%	4.46%	0.0%	0.77%	2.70%	3.20%	0.0%	0.0%	0.26%	2.38%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.56%	1.92%	0.0%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
