Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Нижнесергинская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	2	0	0	2	0	2	0	0	2	0	5	2	4	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	2	2	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	133	2	3	5	7	2	6	2	2	2	4	4	5	1	2	2	1	5	5	7	3	8	2	7	3	5	2	3	2	1	4	1	0	4	1	2	3	2	0	3	2	1	0	0	1	1	1	0	0	1	2	0	1									
		0.90%	0.63%	1.29%	0.84%	1.01%	0.44%	1.68%	1.09%	0.92%	0.49%	1.47%	0.75%	0.88%	0.19%	0.53%	0.57%	0.83%	1.20%	0.70%	1.75%	0.48%	1.25%	0.48%	1.88%	0.60%	1.90%	3.33%	1.15%	1.82%	2.63%	1.14%	1.08%	0.00%	5.13%	1.30%	1.44%	2.36%	1.32%	0.00%	1.73%	1.30%	0.34%	0.00%	0.00%	1.75%	0.45%	0.44%	0.00%	0.00%	0.47%	0.55%	0.00%	2.33%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	435	11	3	18	18	19	11	5	8	11	12	23	16	18	5	6	2	15	17	8	22	14	9	9	9	3	0	12	2	1	12	7	0	2	0	4	1	1	2	5	4	11	11	4	0	8	7	12	6	5	19	5	2									
		2.95%	3.44%	1.29%	3.02%	2.60%	4.21%	3.08%	2.72%	3.67%	2.70%	4.40%	4.32%	2.82%	3.44%	1.32%	1.70%	1.65%	3.59%	2.37%	2.00%	3.53%	2.19%	2.18%	2.42%	1.81%	1.14%	0.00%	4.58%	1.82%	2.63%	3.43%	7.53%	0.00%	2.56%	0.00%	2.88%	0.79%	0.66%	4.00%	2.89%	2.60%	3.69%	6.18%	1.77%	0.00%	3.59%	3.10%	11.76%	4.00%	2.37%	5.19%	3.07%	4.65%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	492	12	9	15	29	8	14	5	6	13	11	13	21	9	8	12	5	10	25	6	26	16	16	15	21	10	1	14	4	0	18	7	1	1	0	5	3	11	3	12	8	6	3	4	2	4	14	3	4	5	15	6	3									
		3.34%	3.75%	3.88%	2.52%	4.19%	1.77%	3.92%	2.72%	2.75%	3.19%	4.03%	2.44%	3.70%	1.72%	2.11%	3.41%	4.13%	2.39%	3.49%	1.50%	4.17%	2.50%	3.87%	4.03%	4.22%	3.80%	1.67%	5.34%	3.64%	0.00%	5.14%	7.53%	1.47%	1.28%	0.00%	3.60%	2.36%	7.28%	6.00%	6.94%	5.19%	2.01%	1.69%	1.77%	3.51%	1.79%	6.19%	2.94%	2.67%	2.37%	4.10%	3.68%	6.98%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6339	109	83	228	261	132	134	45	58	138	119	223	225	202	176	175	61	161	285	176	230	279	173	177	251	75	31	131	51	19	156	38	36	23	46	89	84	86	23	98	81	181	107	171	34	146	111	41	80	90	120	71	19									
		43.05%	34.06%	35.78%	38.26%	37.72%	29.27%	37.54%	24.46%	26.61%	33.82%	43.59%	41.92%	39.61%	38.55%	46.32%	49.72%	50.41%	38.52%	39.80%	44.00%	36.92%	43.59%	41.89%	47.58%	50.40%	28.52%	51.67%	50.00%	46.36%	50.00%	44.57%	40.86%	52.94%	29.49%	59.74%	64.03%	66.14%	56.95%	46.00%	56.65%	52.60%	60.74%	60.11%	75.66%	59.65%	65.47%	49.12%	40.20%	53.33%	42.65%	32.79%	43.56%	44.19%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	96	2	3	3	1	2	0	1	1	5	2	2	5	9	0	2	0	4	6	2	2	2	1	3	1	2	1	2	3	3	4	3	2	1	0	0	0	0	0	5	0	2	1	3	0	2	0	1	0	1	1	0	0									
		0.65%	0.63%	1.29%	0.50%	0.14%	0.44%	0.00%	0.54%	0.46%	1.23%	0.73%	0.38%	0.88%	1.72%	0.00%	0.57%	0.00%	0.96%	0.84%	0.50%	0.32%	0.31%	0.24%	0.81%	0.20%	0.76%	1.67%	0.76%	2.73%	7.89%	1.14%	3.23%	2.94%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	2.89%	0.00%	0.67%	0.56%	1.33%	0.00%	0.90%	0.00%	0.98%	0.00%	0.47%	0.27%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	30	0	0	1	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	2	0	2	0	0	2	3	0	0	0	0	1	0	0	0	0	2	1	0	0	2	0	1	0	0	0	1	0	0	0	3	0	3	1									
		0.20%	0.00%	0.00%	0.17%	0.00%	0.22%	0.00%	0.00%	0.00%	0.25%	0.00%	0.19%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.31%	0.00%	0.00%	0.40%	1.14%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	1.44%	0.79%	0.00%	0.00%	1.16%	0.00%	0.34%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	1.42%	0.00%	1.84%	2.33%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2554	71	42	99	109	93	70	46	40	96	62	91	89	85	71	68	31	79	88	57	91	93	73	91	91	66	8	60	27	11	68	20	15	34	16	14	9	28	17	17	9	19	7	5	6	17	37	9	28	50	89	32	10									
		17.35%	22.19%	18.10%	16.61%	15.75%	20.62%	19.61%	25.00%	18.35%	23.53%	22.71%	17.11%	15.67%	16.22%	18.68%	19.32%	25.62%	18.90%	12.29%	14.25%	14.61%	14.53%	17.68%	24.46%	18.27%	25.10%	13.33%	22.90%	24.55%	28.95%	19.43%	21.51%	22.06%	43.59%	20.78%	10.07%	7.09%	18.54%	34.00%	9.83%	5.84%	6.38%	3.93%	2.21%	10.53%	7.62%	16.37%	8.82%	18.67%	23.70%	24.32%	19.63%	23.26%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	69	1	0	2	1	0	0	2	2	3	3	0	7	5	0	0	2	2	2	4	4	0	3	5	3	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	2	2	2	0	0	0	1	0	0	5	0	0									
		0.47%	0.31%	0.00%	0.34%	0.14%	0.00%	0.00%	1.09%	0.92%	0.74%	1.10%	0.00%	1.23%	0.95%	0.00%	0.00%	1.65%	0.48%	0.28%	1.00%	0.64%	0.00%	0.73%	1.34%	0.60%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.66%	0.00%	0.58%	0.65%	0.67%	1.12%	0.88%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	1.37%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	129	6	1	5	13	7	7	2	3	9	3	7	9	4	0	3	0	2	6	7	0	5	2	1	3	2	1	2	0	1	4	0	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	5	0									
		0.88%	1.88%	0.43%	0.84%	1.88%	1.55%	1.96%	1.09%	1.38%	2.21%	1.10%	1.32%	1.58%	0.76%	0.00%	0.85%	0.00%	0.48%	0.84%	1.75%	0.00%	0.78%	0.48%	0.27%	0.60%	0.76%	1.67%	0.76%	0.00%	2.63%	1.14%	0.00%	0.00%	1.28%	0.00%	0.72%	0.79%	0.66%	0.00%	0.58%	0.00%	0.34%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.27%	3.07%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	0	1	0	0	4	0	0	0	2	0	0	0	1	0	1	0	1	4	1	0	2	1	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0									
		0.17%	0.00%	0.43%	0.00%	0.00%	0.89%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.19%	0.00%	0.28%	0.00%	0.24%	0.56%	0.25%	0.00%	0.31%	0.24%	0.81%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	153	1	4	5	11	4	4	3	1	6	2	10	9	10	2	4	0	6	7	1	3	16	6	1	4	2	0	3	0	0	4	2	0	2	1	1	0	0	1	2	3	1	1	0	0	3	1	1	1	1	2	1	0									
		1.04%	0.31%	1.72%	0.84%	1.59%	0.89%	1.12%	1.63%	0.46%	1.47%	0.73%	1.88%	1.58%	1.91%	0.53%	1.14%	0.00%	1.44%	0.98%	0.25%	0.48%	2.50%	1.45%	0.27%	0.80%	0.76%	0.00%	1.15%	0.00%	0.00%	1.14%	2.15%	0.00%	2.56%	1.30%	0.72%	0.00%	0.00%	2.00%	1.16%	1.95%	0.34%	0.56%	0.00%	0.00%	1.35%	0.44%	0.98%	0.67%	0.47%	0.55%	0.61%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1726	33	31	78	96	56	40	29	42	44	39	68	83	88	49	40	10	48	74	51	65	41	36	25	40	19	5	23	16	2	51	6	7	2	7	11	8	12	1	9	27	53	26	24	11	33	37	20	18	40	28	19	5									
		11.72%	10.31%	13.36%	13.09%	13.87%	12.42%	11.20%	15.76%	19.27%	10.78%	14.29%	12.78%	14.61%	16.79%	12.89%	11.36%	8.26%	11.48%	10.34%	12.75%	10.43%	6.41%	8.72%	6.72%	8.03%	7.22%	8.33%	8.78%	14.55%	5.26%	14.57%	6.45%	10.29%	2.56%	9.09%	7.91%	6.30%	7.95%	2.00%	5.20%	17.53%	17.79%	14.61%	10.62%	19.30%	14.80%	16.37%	19.61%	12.00%	18.96%	7.65%	11.66%	11.63%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	57	1	0	3	3	2	2	1	1	3	0	2	3	4	1	2	1	2	2	3	1	2	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0	1	0	3	0	1	0	0	0	0	0	1	0	0	0									
		0.39%	0.31%	0.00%	0.50%	0.43%	0.44%	0.56%	0.54%	0.46%	0.74%	0.00%	0.38%	0.53%	0.76%	0.26%	0.57%	0.83%	0.48%	0.28%	0.75%	0.16%	0.31%	0.24%	0.27%	0.20%	0.38%	0.00%	0.38%	0.91%	0.00%	0.29%	1.08%	1.47%	1.28%	1.30%	0.00%	0.00%	0.66%	0.00%	0.58%	0.00%	1.01%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2173	63	45	122	127	108	68	41	47	70	13	78	81	81	53	26	5	74	184	67	159	149	79	25	60	63	6	7	4	0	21	7	2	6	4	8	9	7	2	12	16	15	11	6	1	5	13	10	12	11	71	17	2									
		14.76%	19.69%	19.40%	20.47%	18.35%	23.95%	19.05%	22.28%	21.56%	17.16%	4.76%	14.66%	14.26%	15.46%	13.95%	7.39%	4.13%	17.70%	25.70%	16.75%	25.52%	23.28%	19.13%	6.72%	12.05%	23.95%	10.00%	2.67%	3.64%	0.00%	6.00%	7.53%	2.94%	7.69%	5.19%	5.76%	7.09%	4.64%	4.00%	6.94%	10.39%	5.03%	6.18%	2.65%	1.75%	2.24%	5.75%	9.80%	8.00%	5.21%	19.40%	10.43%	4.65%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
