Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Мордовская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200					
37	"20. ""Политическая партия ""Единая Россия"""	3382	116	73	70	86	49	84	34	46	60	93	71	143	49	128	59	35	62	187	155	122	140	233	91	113	30	31	68	58	44	100	158	30	74	30	58	131	86	42	143					
		32.81%	37.06%	30.16%	60.34%	35.98%	46.22%	23.20%	43.03%	31.08%	15.87%	32.29%	39.44%	34.79%	46.22%	26.61%	44.36%	45.45%	30.84%	36.03%	33.84%	38.24%	32.78%	41.02%	51.41%	40.21%	39.47%	23.66%	35.41%	21.01%	23.65%	27.02%	31.47%	34.09%	22.76%	28.84%	34.31%	42.39%	26.54%	26.58%	29.42%					
38	"21. ""Российская Конституционно-демократическая партия"""	31	0	1	0	0	0	17	1	0	0	0	0	0	0	0	1	0	2	1	2	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1					
		0.30%	0.0%	0.41%	0.0%	0.0%	0.0%	4.69%	1.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.99%	0.19%	0.43%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.96%	0.0%	0.0%	0.0%	0.0%	0.20%					
39	"22. ""Развитие предпринимательства"""	12	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0					
		0.11%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.23%	0.17%	0.0%	0.0%	1.31%	0.0%	0.0%	0.0%	1.07%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1943	71	42	7	28	3	82	19	29	79	36	26	65	18	152	17	3	33	70	93	59	84	85	22	46	9	43	36	50	41	90	119	16	89	19	23	43	93	29	74					
		18.85%	22.68%	17.35%	6.03%	11.71%	2.83%	22.65%	24.05%	19.59%	20.89%	12.5%	14.44%	15.81%	16.98%	31.60%	12.78%	3.89%	16.41%	13.48%	20.30%	18.49%	19.67%	14.96%	12.42%	16.37%	11.84%	32.82%	18.75%	18.11%	22.04%	24.32%	23.70%	18.18%	27.38%	18.26%	13.60%	13.91%	28.70%	18.35%	15.22%					
																																														
41	Против всех	281	7	13	2	6	3	10	1	3	3	20	3	14	6	11	5	3	3	4	11	9	12	16	2	7	4	2	6	8	5	14	13	1	11	3	2	6	12	1	19					
		2.72%	2.23%	5.37%	1.72%	2.51%	2.83%	2.76%	1.26%	2.02%	0.79%	6.94%	1.66%	3.40%	5.66%	2.28%	3.75%	3.89%	1.49%	0.77%	2.40%	2.82%	2.81%	2.81%	1.12%	2.49%	5.26%	1.52%	3.12%	2.89%	2.68%	3.78%	2.58%	1.13%	3.38%	2.88%	1.18%	1.94%	3.70%	0.63%	3.90%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
