Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
Наименование Избирательной комиссии:    Лискинская																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	414	6	5	10	15	20	15	25	15	5	15	5	5	5	10	10	5	5	5	2	10	5	3	2	13	2	5	2	3	10	10	10	5	5	5	5	5	11	5	5	2	5	3	3	2	3	6	2	3	2	2	5	2	10	5	5	3	3	3	5	2	5	5	3	21					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	251	6	4	7	9	15	8	22	8	4	15	1	2	5	7	9	2	5	3	0	7	5	0	0	13	1	0	0	1	4	7	6	5	0	0	1	0	8	1	3	1	4	0	0	0	0	6	1	3	1	0	2	0	1	3	3	0	0	3	5	0	3	0	3	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	263	9	8	3	13	3	2	8	7	7	10	13	6	7	6	9	3	5	4	0	6	0	3	1	9	7	2	2	1	7	8	2	4	0	0	1	0	3	4	1	1	2	2	4	1	6	0	0	0	2	0	3	1	2	3	2	39	1	0	0	0	3	0	3	4					
14	Число погашенных открепительных удостоверений	163	0	1	3	6	5	7	3	7	1	0	4	3	0	3	1	3	0	2	2	3	0	3	2	0	1	5	2	2	6	3	4	0	5	5	4	5	3	4	2	1	1	3	3	2	3	0	1	0	1	2	3	2	9	2	2	3	3	0	0	2	2	5	0	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
18	"1. ""ЕДИНЕНИЕ"""	401	3	5	5	8	7	1	8	5	5	4	9	6	1	6	9	5	13	6	1	6	4	4	1	18	9	6	0	5	7	14	11	5	7	7	4	4	9	3	5	2	15	7	4	0	11	10	1	3	4	0	9	1	14	16	8	7	6	9	13	5	2	3	3	12					
		0.81%	0.39%	0.60%	0.46%	0.57%	0.45%	0.09%	0.52%	0.56%	0.49%	0.35%	1.04%	0.42%	0.08%	0.49%	0.61%	0.49%	0.75%	0.48%	0.48%	0.47%	0.42%	0.82%	0.33%	2.58%	1.94%	1.81%	0.0%	1.25%	0.47%	0.85%	0.77%	0.87%	1.18%	1.18%	0.73%	0.48%	0.94%	0.64%	0.94%	1.05%	1.24%	1.55%	1.44%	0.0%	1.70%	1.98%	0.85%	0.80%	2.01%	0.0%	1.15%	0.31%	1.78%	1.50%	1.22%	1.32%	1.74%	1.23%	1.44%	1.78%	0.27%	0.62%	0.59%	1.32%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	673	12	21	11	28	18	15	34	24	25	27	15	32	25	18	16	22	24	16	3	32	19	1	3	22	3	4	0	2	11	9	10	8	7	7	1	7	15	7	4	1	16	22	0	0	6	0	1	2	1	0	8	2	0	8	3	1	2	2	2	3	4	10	10	11					
		1.36%	1.58%	2.55%	1.01%	2.00%	1.17%	1.45%	2.25%	2.69%	2.47%	2.42%	1.74%	2.24%	2.14%	1.49%	1.09%	2.17%	1.39%	1.28%	1.46%	2.52%	2.01%	0.20%	1.0%	3.15%	0.64%	1.20%	0.0%	0.50%	0.75%	0.54%	0.70%	1.40%	1.18%	1.18%	0.18%	0.85%	1.57%	1.50%	0.75%	0.52%	1.32%	4.87%	0.0%	0.0%	0.92%	0.0%	0.85%	0.53%	0.50%	0.0%	1.02%	0.62%	0.0%	0.75%	0.46%	0.18%	0.58%	0.27%	0.22%	1.07%	0.55%	2.07%	1.98%	1.21%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1002	14	11	14	11	49	24	32	16	27	33	22	29	28	18	37	19	32	28	5	21	11	5	9	33	11	0	0	3	60	18	18	2	11	10	16	17	24	14	8	2	6	16	8	2	12	6	2	10	2	0	4	0	21	32	17	10	7	10	30	0	35	11	5	14					
		2.03%	1.85%	1.33%	1.29%	0.78%	3.21%	2.33%	2.11%	1.79%	2.67%	2.96%	2.55%	2.03%	2.40%	1.49%	2.54%	1.88%	1.85%	2.24%	2.43%	1.66%	1.16%	1.03%	3.0%	4.73%	2.37%	0.0%	0.0%	0.75%	4.10%	1.09%	1.27%	0.35%	1.86%	1.69%	2.94%	2.08%	2.52%	3.00%	1.50%	1.05%	0.49%	3.54%	2.89%	1.41%	1.85%	1.18%	1.70%	2.68%	1.00%	0.0%	0.51%	0.0%	2.67%	3.00%	2.61%	1.89%	2.03%	1.37%	3.32%	0.0%	4.88%	2.28%	0.99%	1.54%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	765	17	16	39	30	32	26	37	30	21	37	11	26	24	26	26	15	14	28	0	36	14	2	0	4	1	2	0	2	16	22	12	4	8	3	31	7	7	11	3	1	3	3	5	2	3	3	1	5	11	1	7	1	7	14	11	9	2	4	5	1	6	3	0	17					
		1.55%	2.25%	1.94%	3.59%	2.14%	2.09%	2.52%	2.44%	3.37%	2.07%	3.32%	1.27%	1.82%	2.05%	2.15%	1.78%	1.48%	0.81%	2.24%	0.0%	2.84%	1.48%	0.41%	0.0%	0.57%	0.21%	0.60%	0.0%	0.50%	1.09%	1.34%	0.84%	0.70%	1.35%	0.50%	5.69%	0.85%	0.73%	2.36%	0.56%	0.52%	0.24%	0.66%	1.81%	1.41%	0.46%	0.59%	0.85%	1.34%	5.52%	0.92%	0.89%	0.31%	0.89%	1.31%	1.68%	1.70%	0.58%	0.54%	0.55%	0.35%	0.83%	0.62%	0.0%	1.87%					
22	"5. ""За Русь Святую"""	239	4	5	4	3	8	8	6	9	4	8	4	10	8	4	6	5	6	8	2	4	6	2	1	3	4	1	1	3	8	6	1	1	10	1	1	7	4	1	2	9	6	2	2	2	1	3	0	0	1	0	4	1	3	0	0	1	0	4	4	2	7	1	4	3					
		0.48%	0.52%	0.60%	0.36%	0.21%	0.52%	0.77%	0.39%	1.01%	0.39%	0.71%	0.46%	0.70%	0.68%	0.33%	0.41%	0.49%	0.34%	0.64%	0.97%	0.31%	0.63%	0.41%	0.33%	0.43%	0.86%	0.30%	0.91%	0.75%	0.54%	0.36%	0.07%	0.17%	1.69%	0.16%	0.18%	0.85%	0.42%	0.21%	0.37%	4.76%	0.49%	0.44%	0.72%	1.41%	0.15%	0.59%	0.0%	0.0%	0.50%	0.0%	0.51%	0.31%	0.38%	0.0%	0.0%	0.18%	0.0%	0.54%	0.44%	0.71%	0.97%	0.20%	0.79%	0.33%					
23	"6. ""Объединенная Российская партия ""Русь"""	70	1	0	0	2	0	4	1	1	1	1	2	0	0	4	3	0	1	2	2	1	0	2	0	3	2	0	0	2	0	0	1	0	1	2	3	2	1	1	0	0	0	1	0	0	4	0	1	1	0	1	1	0	2	1	2	1	0	1	3	0	5	0	0	0					
		0.14%	0.13%	0.0%	0.0%	0.14%	0.0%	0.38%	0.06%	0.11%	0.09%	0.08%	0.23%	0.0%	0.0%	0.33%	0.20%	0.0%	0.05%	0.16%	0.97%	0.07%	0.0%	0.41%	0.0%	0.43%	0.43%	0.0%	0.0%	0.50%	0.0%	0.0%	0.07%	0.0%	0.16%	0.33%	0.55%	0.24%	0.10%	0.21%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.61%	0.0%	0.85%	0.26%	0.0%	0.92%	0.12%	0.0%	0.25%	0.09%	0.30%	0.18%	0.0%	0.13%	0.33%	0.0%	0.69%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	285	7	1	8	7	19	8	15	10	6	4	11	15	6	12	7	12	12	11	2	6	14	1	0	2	5	2	0	1	3	7	7	0	4	4	0	2	8	0	1	0	2	0	4	1	3	0	1	0	0	0	3	1	4	0	2	1	1	2	2	0	4	7	4	3					
		0.57%	0.92%	0.12%	0.73%	0.50%	1.24%	0.77%	0.99%	1.12%	0.59%	0.35%	1.27%	1.05%	0.51%	0.99%	0.48%	1.18%	0.69%	0.88%	0.97%	0.47%	1.48%	0.20%	0.0%	0.28%	1.07%	0.60%	0.0%	0.25%	0.20%	0.42%	0.49%	0.0%	0.67%	0.67%	0.0%	0.24%	0.84%	0.0%	0.18%	0.0%	0.16%	0.0%	1.44%	0.70%	0.46%	0.0%	0.85%	0.0%	0.0%	0.0%	0.38%	0.31%	0.50%	0.0%	0.30%	0.18%	0.29%	0.27%	0.22%	0.0%	0.55%	1.45%	0.79%	0.33%					
25	"8. ""Народно-республиканская партия России"""	75	0	1	0	2	1	0	2	1	0	0	0	0	2	2	0	0	2	1	0	3	0	2	0	2	0	1	0	2	0	1	2	0	2	0	0	6	1	4	2	2	8	0	0	0	3	3	0	5	2	0	1	1	0	2	1	2	0	0	1	0	0	0	0	2					
		0.15%	0.0%	0.12%	0.0%	0.14%	0.06%	0.0%	0.13%	0.11%	0.0%	0.0%	0.0%	0.0%	0.17%	0.16%	0.0%	0.0%	0.11%	0.08%	0.0%	0.23%	0.0%	0.41%	0.0%	0.28%	0.0%	0.30%	0.0%	0.50%	0.0%	0.06%	0.14%	0.0%	0.33%	0.0%	0.0%	0.73%	0.10%	0.85%	0.37%	1.05%	0.66%	0.0%	0.0%	0.0%	0.46%	0.59%	0.0%	1.34%	1.00%	0.0%	0.12%	0.31%	0.0%	0.18%	0.15%	0.37%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.22%					
26	"9. ""Российская экологическая партия ""Зеленые"""	80	1	1	5	2	5	2	1	1	1	4	4	2	3	1	6	0	4	5	1	5	0	1	0	1	0	0	0	1	3	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	1	0	0	2	1	0	1	0	1	3					
		0.16%	0.13%	0.12%	0.46%	0.14%	0.32%	0.19%	0.06%	0.11%	0.09%	0.35%	0.46%	0.14%	0.25%	0.08%	0.41%	0.0%	0.23%	0.4%	0.48%	0.39%	0.0%	0.20%	0.0%	0.14%	0.0%	0.0%	0.0%	0.25%	0.20%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.12%	0.09%	0.15%	0.0%	0.0%	0.27%	0.11%	0.0%	0.13%	0.0%	0.19%	0.33%					
27	"10. ""Аграрная партия России"""	1485	12	16	20	22	22	23	31	22	22	15	11	25	10	18	29	16	3	15	2	26	13	27	7	48	21	4	0	14	18	28	35	14	8	28	20	43	50	23	37	16	32	18	22	8	36	41	2	28	19	2	26	13	44	21	12	33	32	131	19	3	10	14	30	75					
		3.01%	1.58%	1.94%	1.84%	1.57%	1.44%	2.23%	2.05%	2.47%	2.17%	1.34%	1.27%	1.75%	0.85%	1.49%	1.99%	1.58%	0.17%	1.2%	0.97%	2.05%	1.38%	5.59%	2.33%	6.88%	4.53%	1.20%	0.0%	3.51%	1.23%	1.70%	2.47%	2.45%	1.35%	4.73%	3.67%	5.26%	5.25%	4.93%	6.96%	8.46%	2.65%	3.99%	7.97%	5.67%	5.56%	8.11%	1.70%	7.50%	9.54%	1.85%	3.32%	4.04%	5.59%	1.96%	1.84%	6.25%	9.30%	17.96%	2.10%	1.07%	1.39%	2.90%	5.96%	8.25%					
28	"11. ""Истинные патриоты России"""	60	0	1	1	2	2	0	0	0	0	1	0	0	0	0	1	0	11	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	0	0	1	1	0	3	0	0	3	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	20					
		0.12%	0.0%	0.12%	0.09%	0.14%	0.13%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.21%	0.37%	0.0%	0.0%	0.22%	0.36%	0.0%	0.46%	0.0%	0.0%	0.80%	0.50%	0.0%	0.0%	0.0%	0.12%	0.09%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.20%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	359	11	6	7	12	18	12	18	2	8	15	9	7	16	6	11	8	10	6	1	17	3	4	3	5	2	2	1	1	9	9	6	4	9	3	1	9	9	4	4	3	3	1	1	2	5	0	1	2	0	0	0	0	7	8	5	2	3	4	5	0	4	3	6	6					
		0.72%	1.45%	0.72%	0.64%	0.85%	1.17%	1.16%	1.19%	0.22%	0.79%	1.34%	1.04%	0.49%	1.37%	0.49%	0.75%	0.79%	0.58%	0.48%	0.48%	1.34%	0.31%	0.82%	1.0%	0.71%	0.43%	0.60%	0.91%	0.25%	0.61%	0.54%	0.42%	0.70%	1.52%	0.50%	0.18%	1.10%	0.94%	0.85%	0.75%	1.58%	0.24%	0.22%	0.36%	1.41%	0.77%	0.0%	0.85%	0.53%	0.0%	0.0%	0.0%	0.0%	0.89%	0.75%	0.76%	0.37%	0.87%	0.54%	0.55%	0.0%	0.55%	0.62%	1.19%	0.66%					
30	"13. ""Демократическая партия России"""	91	2	1	2	5	2	1	4	1	0	0	0	3	4	1	2	0	0	3	0	3	3	1	0	4	3	0	0	1	3	6	2	1	3	0	0	0	3	1	2	0	1	1	0	0	0	3	1	0	0	2	1	0	4	1	0	2	0	2	2	1	0	0	1	2					
		0.18%	0.26%	0.12%	0.18%	0.35%	0.13%	0.09%	0.26%	0.11%	0.0%	0.0%	0.0%	0.21%	0.34%	0.08%	0.13%	0.0%	0.0%	0.24%	0.0%	0.23%	0.31%	0.20%	0.0%	0.57%	0.64%	0.0%	0.0%	0.25%	0.20%	0.36%	0.14%	0.17%	0.50%	0.0%	0.0%	0.0%	0.31%	0.21%	0.37%	0.0%	0.08%	0.22%	0.0%	0.0%	0.0%	0.59%	0.85%	0.0%	0.0%	1.85%	0.12%	0.0%	0.50%	0.09%	0.0%	0.37%	0.0%	0.27%	0.22%	0.35%	0.0%	0.0%	0.19%	0.22%					
31	"14. ""Великая Россия - Евразийский Союз"""	45	2	1	1	1	0	0	0	0	4	1	3	1	2	2	1	0	1	0	1	2	1	1	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	1	2	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	4	0	0					
		0.09%	0.26%	0.12%	0.09%	0.07%	0.0%	0.0%	0.0%	0.0%	0.39%	0.08%	0.34%	0.07%	0.17%	0.16%	0.06%	0.0%	0.05%	0.0%	0.48%	0.15%	0.10%	0.20%	0.33%	0.0%	0.21%	0.0%	0.0%	0.25%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.22%	0.72%	0.0%	0.30%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.82%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	50	2	1	0	1	0	2	0	2	0	1	1	0	1	0	2	2	2	0	0	1	2	1	0	1	1	2	0	0	1	5	0	1	0	0	0	6	1	1	1	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	1					
		0.10%	0.26%	0.12%	0.0%	0.07%	0.0%	0.19%	0.0%	0.22%	0.0%	0.08%	0.11%	0.0%	0.08%	0.0%	0.13%	0.19%	0.11%	0.0%	0.0%	0.07%	0.21%	0.20%	0.0%	0.14%	0.21%	0.60%	0.0%	0.0%	0.06%	0.30%	0.0%	0.17%	0.0%	0.0%	0.0%	0.73%	0.10%	0.21%	0.18%	0.0%	0.0%	0.22%	0.0%	0.0%	0.30%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.13%	0.22%	0.0%	0.0%	0.0%	0.0%	0.11%					
33	"16. ""Родина"" (народно-патриотический союз)"""	7785	101	155	163	277	274	186	275	159	186	195	141	261	207	222	319	150	343	213	29	258	202	52	35	69	58	20	16	49	282	330	192	103	104	112	70	129	134	87	79	13	131	40	35	3	38	86	5	44	7	10	102	38	93	169	102	64	32	81	135	22	85	62	52	99					
		15.81%	13.37%	18.83%	15.02%	19.82%	17.95%	18.05%	18.19%	17.86%	18.41%	17.52%	16.35%	18.34%	17.75%	18.37%	21.92%	14.85%	19.89%	17.04%	14.14%	20.39%	21.46%	10.76%	11.66%	9.89%	12.52%	6.04%	14.67%	12.31%	19.28%	20.10%	13.56%	18.03%	17.62%	18.95%	12.86%	15.78%	14.07%	18.66%	14.87%	6.87%	10.85%	8.86%	12.68%	2.12%	5.87%	17.02%	4.27%	11.79%	3.51%	9.25%	13.06%	11.83%	11.83%	15.85%	15.66%	12.12%	9.30%	11.11%	14.96%	7.85%	11.85%	12.86%	10.33%	10.89%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	116	0	0	4	2	0	0	2	1	2	2	2	2	3	4	3	4	1	3	0	2	0	2	1	2	1	1	0	0	5	7	10	1	1	2	0	3	1	0	4	0	2	2	0	2	1	2	0	0	0	0	3	0	9	5	0	1	1	2	1	0	2	0	2	3					
		0.23%	0.0%	0.0%	0.36%	0.14%	0.0%	0.0%	0.13%	0.11%	0.19%	0.17%	0.23%	0.14%	0.25%	0.33%	0.20%	0.39%	0.05%	0.24%	0.0%	0.15%	0.0%	0.41%	0.33%	0.28%	0.21%	0.30%	0.0%	0.0%	0.34%	0.42%	0.70%	0.17%	0.16%	0.33%	0.0%	0.36%	0.10%	0.0%	0.75%	0.0%	0.16%	0.44%	0.0%	1.41%	0.15%	0.39%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	1.14%	0.46%	0.0%	0.18%	0.29%	0.27%	0.11%	0.0%	0.27%	0.0%	0.39%	0.33%					
35	"18. ""ЛДПР"""	8955	159	133	238	273	248	145	303	123	178	198	170	232	211	334	257	222	332	243	34	230	222	84	50	127	54	56	17	79	230	314	226	109	120	84	104	192	136	82	78	27	235	56	50	7	76	93	31	52	19	15	145	66	139	154	138	63	41	136	203	74	186	91	81	150					
		18.19%	21.05%	16.16%	21.93%	19.54%	16.25%	14.07%	20.05%	13.82%	17.62%	17.78%	19.72%	16.30%	18.09%	27.64%	17.66%	21.98%	19.25%	19.44%	16.58%	18.18%	23.59%	17.39%	16.66%	18.22%	11.66%	16.91%	15.59%	19.84%	15.73%	19.13%	15.97%	19.08%	20.33%	14.21%	19.11%	23.50%	14.28%	17.59%	14.68%	14.28%	19.46%	12.41%	18.11%	4.96%	11.74%	18.41%	26.49%	13.94%	9.54%	13.88%	18.56%	20.56%	17.68%	14.44%	21.19%	11.93%	11.91%	18.65%	22.50%	26.42%	25.94%	18.87%	16.10%	16.50%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	793	20	10	21	19	0	14	28	13	13	16	5	24	20	13	31	5	38	24	2	19	20	7	5	9	15	9	3	4	26	15	9	11	10	10	9	10	19	7	15	3	20	6	2	2	15	5	1	4	6	0	9	1	18	18	13	22	8	15	25	0	12	18	7	15					
		1.61%	2.64%	1.21%	1.93%	1.36%	0.0%	1.35%	1.85%	1.46%	1.28%	1.43%	0.58%	1.68%	1.71%	1.07%	2.13%	0.49%	2.20%	1.92%	0.97%	1.50%	2.12%	1.44%	1.66%	1.29%	3.23%	2.71%	2.75%	1.00%	1.77%	0.91%	0.63%	1.92%	1.69%	1.69%	1.65%	1.22%	1.99%	1.50%	2.82%	1.58%	1.65%	1.33%	0.72%	1.41%	2.31%	0.99%	0.85%	1.07%	3.01%	0.0%	1.15%	0.31%	2.29%	1.68%	1.99%	4.16%	2.32%	2.05%	2.77%	0.0%	1.67%	3.73%	1.39%	1.65%					
37	"20. ""Политическая партия ""Единая Россия"""	17048	254	289	306	408	385	311	415	259	259	283	252	402	337	308	402	337	600	403	82	349	249	206	162	232	211	192	46	168	486	593	684	255	195	274	227	252	380	135	179	58	610	219	106	93	351	162	44	110	74	60	344	160	295	435	239	154	157	234	275	139	230	183	227	322					
		34.63%	33.64%	35.11%	28.20%	29.20%	25.22%	30.19%	27.46%	29.10%	25.64%	25.42%	29.23%	28.25%	28.90%	25.49%	27.62%	33.36%	34.80%	32.24%	40.0%	27.58%	26.46%	42.65%	54.0%	33.28%	45.57%	58.00%	42.20%	42.21%	33.24%	36.13%	48.33%	44.65%	33.05%	46.36%	41.72%	30.84%	39.91%	28.96%	33.70%	30.68%	50.53%	48.55%	38.40%	65.95%	54.25%	32.07%	37.60%	29.49%	37.18%	55.55%	44.04%	49.84%	37.53%	40.80%	36.71%	29.16%	45.63%	32.09%	30.48%	49.64%	32.07%	37.96%	45.12%	35.42%					
38	"21. ""Российская Конституционно-демократическая партия"""	140	0	2	5	9	3	3	1	0	3	1	1	3	2	0	1	4	4	1	0	0	4	3	0	2	0	0	0	0	3	5	8	3	3	1	0	2	0	0	9	0	2	1	1	1	0	5	0	2	2	1	3	0	7	6	4	1	1	1	7	1	0	2	5	1					
