Выборы Президента Российской Федерации																																																																																
																																																																																
Наименование Избирательной комиссии:    Первоуральская городская																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406					
11	Число полученных открепительных  удостоверений	2491	40	40	60	40	60	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	30	30	40	30	40	40	40	40	40	40	40	40	40	30	40	30	40	30	30	30	30	30	30	30	20	30	30	20	20	20	20	20	10	10	11	0	0	0					
12	Число выданных открепительных удостоверений	493	1	4	14	13	7	12	11	6	20	9	12	14	7	19	7	9	13	14	7	12	11	2	12	9	5	1	5	7	9	15	8	11	7	9	10	4	1	9	0	10	7	6	2	8	5	6	8	7	1	7	2	1	1	4	1	3	0	0	16	0	9	9	6	5	0	0	12	4	5	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	407	7	3	4	4	9	6	2	2	11	3	10	7	3	12	1	3	4	5	5	4	8	1	9	6	1	2	3	18	11	4	4	3	7	5	10	4	3	5	4	2	3	1	4	4	10	3	1	13	2	7	3	3	11	15	4	2	1	1	19	1	8	6	7	6	12	16	9	4	2	7	3	1	3					
14	Число неиспользованных открепительных удостоверений	1998	39	36	46	27	53	28	29	34	20	31	28	26	33	21	33	31	27	26	33	28	29	38	28	31	35	39	35	33	31	25	32	29	33	31	30	26	29	31	30	30	33	34	38	32	35	34	32	33	29	33	28	39	29	26	29	27	30	30	14	20	21	21	14	15	20	20	8	6	5	9	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																
18	. Глазьев Сергей Юрьевич	2397	24	27	50	63	41	59	48	45	72	66	74	57	48	57	44	26	26	46	45	59	34	46	61	68	50	44	61	26	58	52	64	52	22	31	39	2	7	44	8	45	28	21	41	33	26	54	36	49	15	35	20	9	12	31	20	14	10	3	19	3	30	26	14	20	5	2	13	2	4	3	3	3	2					
		3.56%	3.69%	3.15%	3.16%	4.17%	3.08%	3.97%	5.21%	4.82%	4.51%	4.54%	4.87%	3.74%	3.49%	4.42%	4.40%	2.22%	2.59%	4.35%	4.12%	3.84%	4.67%	4.29%	4.28%	4.24%	3.22%	4.10%	5.25%	3.63%	4.14%	3.40%	5.37%	4.49%	2.48%	3.84%	4.31%	0.33%	3.68%	4.06%	3.77%	3.18%	2.05%	3.94%	3.09%	2.87%	2.23%	3.97%	3.67%	3.54%	2.44%	3.57%	3.48%	2.91%	2.49%	2.73%	4.38%	3.29%	1.81%	0.93%	1.35%	2.07%	3.06%	3.10%	2.96%	2.84%	3.70%	1.43%	2.09%	0.95%	1.51%	1.89%	1.40%	1.71%	2.53%					
19	. Малышкин Олег Александрович	1351	16	16	33	37	23	38	19	8	28	17	27	32	29	20	18	19	17	28	21	21	15	21	25	33	42	33	23	13	23	26	16	22	19	12	12	12	9	28	9	26	37	7	33	17	21	20	11	30	7	18	17	6	13	24	5	13	9	5	34	6	28	19	19	27	1	2	16	2	5	3	3	5	2					
		2.01%	2.46%	1.87%	2.08%	2.45%	1.73%	2.55%	2.06%	0.86%	1.75%	1.17%	1.78%	2.10%	2.11%	1.55%	1.80%	1.62%	1.69%	2.65%	1.92%	1.37%	2.06%	1.96%	1.76%	2.06%	2.71%	3.07%	1.98%	1.81%	1.64%	1.70%	1.34%	1.90%	2.14%	1.49%	1.33%	1.96%	4.74%	2.59%	4.25%	1.84%	2.71%	1.31%	2.49%	1.48%	1.80%	1.47%	1.12%	2.17%	1.14%	1.83%	2.96%	1.94%	2.70%	2.11%	1.09%	3.05%	1.63%	1.55%	2.42%	4.14%	2.86%	2.27%	4.02%	3.84%	0.74%	1.43%	2.57%	0.95%	1.89%	1.89%	1.40%	2.86%	2.53%					
20	. Миронов Сергей Михайлович	372	2	4	14	9	6	11	3	5	12	7	11	11	5	12	7	8	5	7	0	8	2	3	4	10	8	7	4	3	10	12	4	7	4	3	8	6	2	9	3	3	8	2	14	5	3	3	5	2	4	13	2	2	4	1	1	5	2	4	6	2	2	2	3	6	1	2	3	1	2	1	1	1	0					
		0.55%	0.31%	0.47%	0.88%	0.60%	0.45%	0.74%	0.33%	0.54%	0.75%	0.48%	0.72%	0.72%	0.36%	0.93%	0.70%	0.68%	0.50%	0.66%	0.00%	0.52%	0.27%	0.28%	0.28%	0.62%	0.52%	0.65%	0.34%	0.42%	0.71%	0.78%	0.34%	0.60%	0.45%	0.37%	0.88%	0.98%	1.05%	0.83%	1.42%	0.21%	0.59%	0.38%	1.06%	0.43%	0.26%	0.22%	0.51%	0.14%	0.65%	1.33%	0.35%	0.65%	0.83%	0.09%	0.22%	1.17%	0.36%	1.24%	0.43%	1.38%	0.20%	0.24%	0.63%	0.85%	0.74%	1.43%	0.48%	0.48%	0.75%	0.63%	0.47%	0.57%	0.00%					
21	. Путин Владимир Владимирович	51799	501	617	1220	1164	987	1104	674	711	1159	1049	1110	1163	1043	962	738	929	785	787	795	1141	536	835	1063	1228	1180	821	885	555	1066	1188	899	859	667	621	683	497	136	803	164	1123	1075	400	1048	926	965	1056	774	1088	486	745	451	237	375	964	357	339	462	269	1225	112	770	662	362	534	115	122	506	184	224	138	180	136	64					
		76.99%	77.08%	72.00%	77.02%	77.04%	74.10%	74.19%	73.10%	76.12%	72.62%	72.20%	73.07%	76.26%	75.74%	74.57%	73.80%	79.33%	78.19%	74.46%	72.74%	74.28%	73.63%	77.89%	74.65%	76.56%	76.03%	76.44%	76.10%	77.41%	76.09%	77.65%	75.48%	74.12%	75.20%	76.95%	75.47%	81.21%	71.58%	74.15%	77.36%	79.48%	78.81%	75.05%	79.09%	80.45%	82.90%	77.70%	78.90%	78.56%	79.15%	75.94%	78.43%	76.70%	77.96%	84.78%	78.12%	79.58%	83.70%	83.28%	87.31%	77.24%	78.57%	79.00%	76.53%	75.96%	85.19%	87.14%	81.35%	87.62%	84.53%	86.79%	84.11%	77.71%	81.01%					
22	. Хакамада Ирина Муцуовна	3180	26	62	68	78	87	100	45	41	95	84	89	68	68	95	64	51	49	58	77	105	56	39	98	88	101	59	69	38	54	77	60	62	61	37	49	23	7	43	8	61	58	18	49	36	44	59	34	61	17	33	11	16	14	19	11	9	7	11	23	4	36	22	8	16	1	1	23	8	8	3	5	13	2					
		4.73%	4.00%	7.23%	4.29%	5.16%	6.53%	6.72%	4.88%	4.39%	5.95%	5.78%	5.86%	4.46%	4.94%	7.36%	6.40%	4.36%	4.88%	5.49%	7.04%	6.84%	7.69%	3.64%	6.88%	5.49%	6.51%	5.49%	5.93%	5.30%	3.85%	5.03%	5.04%	5.35%	6.88%	4.58%	5.41%	3.76%	3.68%	3.97%	3.77%	4.32%	4.25%	3.38%	3.70%	3.13%	3.78%	4.34%	3.47%	4.40%	2.77%	3.36%	1.91%	5.18%	2.91%	1.67%	2.41%	2.11%	1.27%	3.41%	1.64%	2.76%	3.67%	2.63%	1.69%	2.28%	0.74%	0.71%	3.70%	3.81%	3.02%	1.89%	2.34%	7.43%	2.53%					
23	. Харитонов Николай Михайлович	5100	47	84	134	93	124	115	81	74	131	151	137	109	105	75	71	88	75	68	91	125	45	91	105	101	112	66	70	50	123	99	103	99	66	63	71	38	19	99	12	96	107	55	94	80	66	95	81	96	54	91	50	22	46	72	45	28	43	17	59	12	84	78	43	72	5	5	36	8	9	8	15	10	8					
		7.58%	7.23%	9.80%	8.46%	6.15%	9.31%	7.73%	8.79%	7.92%	8.21%	10.39%	9.02%	7.15%	7.63%	5.81%	7.10%	7.51%	7.47%	6.43%	8.33%	8.14%	6.18%	8.49%	7.37%	6.30%	7.22%	6.15%	6.02%	6.97%	8.78%	6.47%	8.65%	8.54%	7.44%	7.81%	7.85%	6.21%	10.00%	9.14%	5.66%	6.79%	7.84%	10.32%	7.09%	6.95%	5.67%	6.99%	8.26%	6.93%	8.79%	9.28%	8.70%	7.12%	9.56%	6.33%	9.85%	6.57%	7.79%	5.26%	4.21%	8.28%	8.57%	9.31%	9.09%	10.24%	3.70%	3.57%	5.79%	3.81%	3.40%	5.03%	7.01%	5.71%	10.13%					
																																																																																
24	Против всех	2189	17	42	56	47	48	41	32	34	85	52	53	62	64	57	43	35	41	49	47	64	34	26	57	55	44	37	38	19	48	62	32	43	40	24	29	21	8	34	4	42	33	15	25	35	26	55	27	50	15	33	20	4	9	19	6	8	5	5	21	1	22	16	11	8	6	3	15	5	8	3	7	6	1					
		3.25%	2.62%	4.90%	3.54%	3.11%	3.60%	2.76%	3.47%	3.64%	5.33%	3.58%	3.49%	4.07%	4.65%	4.42%	4.30%	2.99%	4.08%	4.64%	4.30%	4.17%	4.67%	2.43%	4.00%	3.43%	2.84%	3.45%	3.27%	2.65%	3.43%	4.05%	2.69%	3.71%	4.51%	2.97%	3.20%	3.43%	4.21%	3.14%	1.89%	2.97%	2.42%	2.81%	1.89%	3.04%	2.23%	4.05%	2.75%	3.61%	2.44%	3.36%	3.48%	1.29%	1.87%	1.67%	1.31%	1.88%	0.91%	1.55%	1.50%	0.69%	2.24%	1.91%	2.33%	1.14%	4.44%	2.14%	2.41%	2.38%	3.02%	1.89%	3.27%	3.43%	1.27%					
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
																																																																																
