Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Забайкальская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  530	УИК  531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544					
31	"14. ""Великая Россия - Евразийский Союз"""	13	0	1	1	0	1	1	4	3	1	0	0	0	0	1	0					
		0.22%	0.0%	0.15%	0.17%	0.0%	0.42%	0.37%	1.84%	0.35%	0.21%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%					
32	"15. ""Партия СЛОН"""	16	1	0	0	1	0	0	0	8	2	0	0	0	0	0	4					
		0.27%	0.13%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.95%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%					
33	"16. ""Родина"" (народно-патриотический союз)"""	183	32	30	23	8	8	17	10	17	14	7	1	0	2	8	6					
		3.19%	4.17%	4.52%	3.93%	2.59%	3.38%	6.41%	4.60%	2.03%	2.95%	2.66%	1.75%	0.0%	0.68%	3.05%	1.30%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	35	2	1	4	3	1	3	0	5	5	2	0	2	0	1	6					
		0.61%	0.26%	0.15%	0.68%	0.97%	0.42%	1.13%	0.0%	0.59%	1.05%	0.76%	0.0%	3.92%	0.0%	0.38%	1.30%					
35	"18. ""ЛДПР"""	1177	157	127	165	71	32	53	48	233	104	49	6	4	25	27	76					
		20.52%	20.46%	19.15%	28.25%	23.05%	13.55%	20.0%	22.11%	27.87%	21.98%	18.63%	10.52%	7.84%	8.56%	10.30%	16.52%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	74	12	10	8	1	8	1	4	3	9	2	0	1	4	5	6					
		1.29%	1.56%	1.50%	1.36%	0.32%	3.38%	0.37%	1.84%	0.35%	1.90%	0.76%	0.0%	1.96%	1.36%	1.90%	1.30%					
37	"20. ""Политическая партия ""Единая Россия"""	1896	283	283	171	105	72	62	49	192	154	71	32	17	111	116	178					
		33.06%	36.89%	42.68%	29.28%	34.09%	30.50%	23.39%	22.58%	22.96%	32.55%	26.99%	56.14%	33.33%	38.01%	44.27%	38.69%					
38	"21. ""Российская Конституционно-демократическая партия"""	22	1	3	3	0	2	3	1	4	1	0	0	0	0	2	2					
		0.38%	0.13%	0.45%	0.51%	0.0%	0.84%	1.13%	0.46%	0.47%	0.21%	0.0%	0.0%	0.0%	0.0%	0.76%	0.43%					
39	"22. ""Развитие предпринимательства"""	20	2	3	0	0	0	3	1	4	0	5	0	0	0	1	1					
		0.34%	0.26%	0.45%	0.0%	0.0%	0.0%	1.13%	0.46%	0.47%	0.0%	1.90%	0.0%	0.0%	0.0%	0.38%	0.21%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	629	82	55	41	25	30	29	18	55	58	50	1	3	61	60	61					
		10.96%	10.69%	8.29%	7.02%	8.11%	12.71%	10.94%	8.29%	6.57%	12.26%	19.01%	1.75%	5.88%	20.89%	22.90%	13.26%					
																						
41	Против всех	298	32	26	34	20	15	10	16	72	19	5	4	17	7	3	18					
		5.19%	4.17%	3.92%	5.82%	6.49%	6.35%	3.77%	7.37%	8.61%	4.01%	1.90%	7.01%	33.33%	2.39%	1.14%	3.91%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
