Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Волховская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1185	20	20	20	25	25	25	25	25	25	25	20	25	25	25	25	25	25	25	25	25	20	20	20	20	20	15	15	15	15	15	15	15	15	40	15	25	20	20	25	30	20	20	20	40	20	40	20	30	20	30	20	0	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	686	10	20	6	11	11	10	15	16	21	4	1	19	14	8	9	14	10	11	12	14	4	8	8	5	1	9	6	0	3	0	4	2	1	40	15	25	10	14	22	30	20	18	8	30	17	40	8	26	20	28	20	0	4	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	518	14	17	2	30	56	19	9	7	9	19	0	6	6	3	4	9	7	14	14	5	19	4	0	7	11	6	11	4	7	0	11	5	11	18	10	13	5	4	6	5	11	6	4	1	4	12	5	10	6	25	7	0	4	16									
14	Число погашенных неиспользованных открепительных удостоверений	499	10	0	14	14	14	15	10	9	4	21	19	6	11	17	16	11	15	14	13	11	16	12	12	15	19	6	9	15	12	15	11	13	14	0	0	0	10	6	3	0	0	2	12	10	3	0	12	4	0	2	0	0	16	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	1	0	1	1	3	0	0	2	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	447	12	12	12	11	15	15	24	14	19	12	1	18	14	8	9	15	8	14	22	24	8	7	3	13	13	6	3	4	8	7	0	0	0	8	3	12	2	5	5	4	1	4	1	3	10	7	7	4	3	6	2	6	2	1									
		1.57%	2.09%	1.14%	1.88%	1.36%	1.77%	1.84%	2.81%	1.94%	1.64%	2.86%	0.82%	2.06%	1.56%	1.44%	1.72%	2.06%	1.18%	1.89%	2.18%	2.32%	1.71%	1.59%	0.59%	2.14%	2.46%	1.50%	1.03%	2.99%	2.40%	2.27%	0.00%	0.00%	0.00%	1.61%	2.68%	1.15%	0.47%	0.82%	1.15%	1.07%	0.20%	1.37%	0.31%	0.98%	1.95%	1.09%	1.13%	0.84%	0.77%	1.18%	0.98%	2.96%	1.27%	0.38%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	823	15	19	23	17	22	19	21	29	31	6	3	20	24	17	19	19	17	11	27	22	15	13	13	18	19	15	12	7	56	10	7	0	2	16	4	30	25	15	9	10	10	7	8	9	11	25	15	19	10	15	9	3	3	2									
		2.90%	2.61%	1.80%	3.59%	2.10%	2.60%	2.33%	2.46%	4.02%	2.67%	1.43%	2.46%	2.29%	2.67%	3.07%	3.63%	2.61%	2.51%	1.49%	2.67%	2.13%	3.21%	2.95%	2.54%	2.96%	3.59%	3.74%	4.14%	5.22%	16.82%	3.25%	2.81%	0.00%	1.65%	3.23%	3.57%	2.88%	5.81%	2.45%	2.08%	2.67%	2.03%	2.41%	2.51%	2.94%	2.14%	3.90%	2.42%	4.01%	2.58%	2.96%	4.39%	1.48%	1.91%	0.77%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	666	9	18	12	19	24	11	27	18	24	15	5	22	20	16	16	17	16	27	31	38	3	10	9	17	10	8	12	2	6	6	1	2	1	5	0	25	17	4	5	9	14	7	7	3	11	16	14	15	15	6	5	3	8	5									
		2.35%	1.57%	1.71%	1.88%	2.35%	2.83%	1.35%	3.16%	2.49%	2.07%	3.58%	4.10%	2.52%	2.23%	2.89%	3.06%	2.33%	2.37%	3.65%	3.07%	3.67%	0.64%	2.27%	1.76%	2.80%	1.89%	1.99%	4.14%	1.49%	1.80%	1.95%	0.40%	2.70%	0.83%	1.01%	0.00%	2.40%	3.95%	0.65%	1.15%	2.41%	2.85%	2.41%	2.19%	0.98%	2.14%	2.50%	2.26%	3.16%	3.87%	1.18%	2.44%	1.48%	5.10%	1.92%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12752	311	362	384	316	311	321	344	309	469	190	54	343	384	235	221	326	302	337	436	422	203	184	212	267	251	154	144	66	164	157	150	31	83	270	45	662	178	354	263	195	225	114	134	143	206	284	274	178	164	199	84	128	69	140									
		44.91%	54.09%	34.38%	60.00%	39.01%	36.72%	39.39%	40.23%	42.80%	40.47%	45.35%	44.26%	39.24%	42.76%	42.42%	42.26%	44.72%	44.67%	45.60%	43.17%	40.77%	43.38%	41.82%	41.41%	43.91%	47.45%	38.40%	49.66%	49.25%	49.25%	50.97%	60.24%	41.89%	68.60%	54.44%	40.18%	63.65%	41.40%	57.94%	60.74%	52.14%	45.73%	39.18%	42.01%	46.73%	40.16%	44.31%	44.19%	37.55%	42.27%	39.25%	40.98%	63.05%	43.95%	53.85%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	210	3	5	2	5	7	6	5	7	8	10	2	9	9	6	1	7	6	9	8	13	5	1	3	2	2	0	1	0	3	1	1	0	0	2	3	4	2	1	0	3	5	2	0	2	3	6	4	5	2	7	0	9	0	3									
		0.74%	0.52%	0.47%	0.31%	0.62%	0.83%	0.74%	0.58%	0.97%	0.69%	2.39%	1.64%	1.03%	1.00%	1.08%	0.19%	0.96%	0.89%	1.22%	0.79%	1.26%	1.07%	0.23%	0.59%	0.33%	0.38%	0.00%	0.34%	0.00%	0.90%	0.32%	0.40%	0.00%	0.00%	0.40%	2.68%	0.38%	0.47%	0.16%	0.00%	0.80%	1.02%	0.69%	0.00%	0.65%	0.58%	0.94%	0.65%	1.05%	0.52%	1.38%	0.00%	4.43%	0.00%	1.15%									
24	"6. Политическая партия ""Гражданская Платформа"""	74	1	1	1	5	5	4	3	1	1	6	0	2	2	1	1	2	0	3	2	3	0	0	1	0	0	0	0	1	1	0	1	0	0	2	0	0	1	2	1	0	1	2	1	1	0	6	5	1	0	2	0	1	0	0									
		0.26%	0.17%	0.09%	0.16%	0.62%	0.59%	0.49%	0.35%	0.14%	0.09%	1.43%	0.00%	0.23%	0.22%	0.18%	0.19%	0.27%	0.00%	0.41%	0.20%	0.29%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.75%	0.30%	0.00%	0.40%	0.00%	0.00%	0.40%	0.00%	0.00%	0.23%	0.33%	0.23%	0.00%	0.20%	0.69%	0.31%	0.33%	0.00%	0.94%	0.81%	0.21%	0.00%	0.39%	0.00%	0.49%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4404	69	133	91	142	129	143	153	104	200	76	36	152	122	76	72	112	101	115	155	172	97	80	84	102	83	80	30	19	40	50	35	8	8	82	17	127	54	99	61	54	96	40	59	51	82	76	80	75	59	94	44	16	31	38									
		15.51%	12.00%	12.63%	14.22%	17.53%	15.23%	17.55%	17.89%	14.40%	17.26%	18.14%	29.51%	17.39%	13.59%	13.72%	13.77%	15.36%	14.94%	15.56%	15.35%	16.62%	20.73%	18.18%	16.41%	16.78%	15.69%	19.95%	10.34%	14.18%	12.01%	16.23%	14.06%	10.81%	6.61%	16.53%	15.18%	12.21%	12.56%	16.20%	14.09%	14.44%	19.51%	13.75%	18.50%	16.67%	15.98%	11.86%	12.90%	15.82%	15.21%	18.54%	21.46%	7.88%	19.75%	14.62%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	223	3	3	0	5	7	12	4	4	11	2	1	13	8	8	8	4	8	5	5	11	2	3	3	3	2	1	6	3	4	1	2	0	1	2	3	3	2	6	0	0	6	5	1	6	5	5	8	1	1	4	0	3	4	5									
		0.79%	0.52%	0.28%	0.00%	0.62%	0.83%	1.47%	0.47%	0.55%	0.95%	0.48%	0.82%	1.49%	0.89%	1.44%	1.53%	0.55%	1.18%	0.68%	0.50%	1.06%	0.43%	0.68%	0.59%	0.49%	0.38%	0.25%	2.07%	2.24%	1.20%	0.32%	0.80%	0.00%	0.83%	0.40%	2.68%	0.29%	0.47%	0.98%	0.00%	0.00%	1.22%	1.72%	0.31%	1.96%	0.97%	0.78%	1.29%	0.21%	0.26%	0.79%	0.00%	1.48%	2.55%	1.92%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	694	6	15	6	21	25	21	25	16	41	9	2	34	32	33	16	24	27	22	41	32	8	10	14	20	11	7	3	3	9	3	3	2	3	4	3	20	4	2	2	4	2	9	8	8	6	23	16	6	11	11	6	2	0	3									
		2.44%	1.04%	1.42%	0.94%	2.59%	2.95%	2.58%	2.92%	2.22%	3.54%	2.15%	1.64%	3.89%	3.56%	5.96%	3.06%	3.29%	3.99%	2.98%	4.06%	3.09%	1.71%	2.27%	2.73%	3.29%	2.08%	1.75%	1.03%	2.24%	2.70%	0.97%	1.20%	2.70%	2.48%	0.81%	2.68%	1.92%	0.93%	0.33%	0.46%	1.07%	0.41%	3.09%	2.51%	2.61%	1.17%	3.59%	2.58%	1.27%	2.84%	2.17%	2.93%	0.99%	0.00%	1.15%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	44	2	2	1	1	2	1	1	2	4	5	0	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	6	0	2	0	1	0	2	0	0									
		0.15%	0.35%	0.19%	0.16%	0.12%	0.24%	0.12%	0.12%	0.28%	0.35%	1.19%	0.00%	0.11%	0.11%	0.00%	0.19%	0.00%	0.15%	0.14%	0.10%	0.00%	0.00%	0.00%	0.20%	0.00%	0.19%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.94%	0.00%	0.42%	0.00%	0.20%	0.00%	0.99%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	416	11	8	2	19	6	17	13	12	22	8	0	22	25	5	7	16	10	9	19	20	12	8	14	10	4	2	6	0	6	1	0	5	5	5	2	4	4	1	1	2	1	4	4	11	9	10	13	6	5	6	1	1	1	1									
		1.47%	1.91%	0.76%	0.31%	2.35%	0.71%	2.09%	1.52%	1.66%	1.90%	1.91%	0.00%	2.52%	2.78%	0.90%	1.34%	2.19%	1.48%	1.22%	1.88%	1.93%	2.56%	1.82%	2.73%	1.64%	0.76%	0.50%	2.07%	0.00%	1.80%	0.32%	0.00%	6.76%	4.13%	1.01%	1.79%	0.38%	0.93%	0.16%	0.23%	0.53%	0.20%	1.37%	1.25%	3.59%	1.75%	1.56%	2.10%	1.27%	1.29%	1.18%	0.49%	0.49%	0.64%	0.38%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3235	84	82	45	98	104	82	95	69	112	29	12	91	106	57	57	55	75	72	110	111	69	57	84	75	72	91	61	22	10	55	36	18	15	65	19	79	85	56	46	55	67	41	29	38	59	65	72	57	59	62	23	5	17	25									
		11.39%	14.61%	7.79%	7.03%	12.10%	12.28%	10.06%	11.11%	9.56%	9.66%	6.92%	9.84%	10.41%	11.80%	10.29%	10.90%	7.54%	11.09%	9.74%	10.89%	10.72%	14.74%	12.95%	16.41%	12.34%	13.61%	22.69%	21.03%	16.42%	3.00%	17.86%	14.46%	24.32%	12.40%	13.10%	16.96%	7.60%	19.77%	9.17%	10.62%	14.71%	13.62%	14.09%	9.09%	12.42%	11.50%	10.14%	11.61%	12.03%	15.21%	12.23%	11.22%	2.46%	10.83%	9.62%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	113	0	6	2	3	2	3	0	4	6	1	1	7	6	1	2	4	4	0	6	4	1	3	2	3	1	1	0	0	4	0	1	0	0	2	1	6	3	1	0	0	4	1	1	0	1	1	3	2	0	3	2	3	0	1									
		0.40%	0.00%	0.57%	0.31%	0.37%	0.24%	0.37%	0.00%	0.55%	0.52%	0.24%	0.82%	0.80%	0.67%	0.18%	0.38%	0.55%	0.59%	0.00%	0.59%	0.39%	0.21%	0.68%	0.39%	0.49%	0.19%	0.25%	0.00%	0.00%	1.20%	0.00%	0.40%	0.00%	0.00%	0.40%	0.89%	0.58%	0.70%	0.16%	0.00%	0.00%	0.81%	0.34%	0.31%	0.00%	0.19%	0.16%	0.48%	0.42%	0.00%	0.59%	0.98%	1.48%	0.00%	0.38%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3113	34	58	47	119	150	139	122	99	166	39	4	107	116	75	71	109	79	84	123	143	31	42	52	61	43	18	9	2	11	10	9	6	3	23	8	57	30	44	19	17	44	50	61	21	89	92	98	87	48	69	22	9	16	28									
		10.96%	5.91%	5.51%	7.34%	14.69%	17.71%	17.06%	14.27%	13.71%	14.32%	9.31%	3.28%	12.24%	12.92%	13.54%	13.58%	14.95%	11.69%	11.37%	12.18%	13.82%	6.62%	9.55%	10.16%	10.03%	8.13%	4.49%	3.10%	1.49%	3.30%	3.25%	3.61%	8.11%	2.48%	4.64%	7.14%	5.48%	6.98%	7.20%	4.39%	4.55%	8.94%	17.18%	19.12%	6.86%	17.35%	14.35%	15.81%	18.35%	12.37%	13.61%	10.73%	4.43%	10.19%	10.77%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
