Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																											
Дата голосования: 18.09.2016																																																																											
																																																																											
Наименование Избирательной комиссии:    Зианчуринская																																																																											
																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																											
																																																																											
		Сумма	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	294	11	2	2	4	8	2	2	2	2	7	2	2	2	2	2	3	8	2	2	2	2	2	7	16	15	8	2	9	5	2	5	12	4	4	9	2	3	2	2	18	9	5	2	5	3	6	3	2	8	2	2	2	3	10	2	2	5	5	2	7	3	5	2	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	206	10	0	1	2	8	0	1	0	2	2	0	0	2	0	2	2	8	0	0	2	0	0	7	16	14	8	1	9	5	1	4	12	4	2	9	0	0	0	0	18	9	2	0	3	3	2	3	2	5	0	0	2	3	10	0	1	0	1	0	7	1	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	125	13	2	1	1	0	2	2	0	2	3	2	2	3	1	1	6	3	0	0	1	0	0	3	6	3	0	2	8	0	3	3	0	1	1	0	2	1	0	1	0	1	4	3	2	0	2	2	0	3	3	1	0	0	4	4	2	1	2	1	3	1	4	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	88	1	2	1	2	0	2	1	2	0	5	2	2	0	2	0	1	0	2	2	0	2	2	0	0	1	0	1	0	0	1	1	0	0	2	0	2	3	2	2	0	0	3	2	2	0	4	0	0	3	2	2	0	0	0	2	1	5	4	2	0	2	5	2	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	2	1	1	0	2	5	6	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	2	6	0	2	0	0	0	1	2	0	0	2	1	0	3	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	79	0	0	1	2	1	0	2	0	1	2	0	0	2	2	2	1	1	0	0	3	2	1	4	7	2	1	2	2	2	2	1	0	2	0	0	0	1	0	0	0	6	2	1	3	0	1	2	0	1	1	1	1	0	5	0	0	3	0	0	0	1	0	2	0									
		0.61%	0.00%	0.00%	1.28%	1.07%	0.46%	0.00%	1.57%	0.00%	0.78%	1.04%	0.00%	0.00%	1.79%	1.47%	2.13%	0.49%	0.37%	0.00%	0.00%	2.17%	1.54%	1.09%	0.77%	1.21%	0.41%	0.40%	1.27%	0.34%	0.45%	3.45%	0.36%	0.00%	1.09%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	1.32%	0.63%	0.93%	0.85%	0.00%	0.41%	1.74%	0.00%	0.28%	1.92%	1.15%	1.82%	0.00%	0.73%	0.00%	0.00%	1.42%	0.00%	0.00%	0.00%	0.69%	0.00%	4.44%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	406	10	0	2	4	6	3	4	3	6	6	0	0	10	4	8	5	10	2	0	11	4	5	18	22	51	7	4	15	17	0	7	6	1	10	0	0	7	4	1	0	7	15	4	11	3	11	8	1	9	3	4	0	10	16	2	1	5	0	5	3	4	7	1	3									
		3.15%	2.02%	0.00%	2.56%	2.14%	2.75%	4.23%	3.15%	15.79%	4.69%	3.13%	0.00%	0.00%	8.93%	2.94%	8.51%	2.46%	3.75%	1.71%	0.00%	7.97%	3.08%	5.43%	3.47%	3.79%	10.54%	2.79%	2.55%	2.53%	3.81%	0.00%	2.55%	1.33%	0.54%	3.28%	0.00%	0.00%	2.92%	2.86%	1.32%	0.00%	1.55%	4.72%	3.70%	3.13%	2.03%	4.51%	6.96%	2.00%	2.54%	5.77%	4.60%	0.00%	9.09%	2.33%	4.00%	1.75%	2.37%	0.00%	5.32%	1.17%	2.78%	3.87%	2.22%	4.92%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	148	7	1	0	3	1	0	4	0	0	3	0	0	0	0	2	2	4	1	0	3	5	1	9	7	0	2	2	6	3	2	8	12	0	5	0	2	6	0	0	0	3	2	0	6	1	5	3	1	7	0	2	1	3	5	2	0	3	0	1	1	0	1	0	0									
		1.15%	1.41%	1.25%	0.00%	1.60%	0.46%	0.00%	3.15%	0.00%	0.00%	1.56%	0.00%	0.00%	0.00%	0.00%	2.13%	0.99%	1.50%	0.85%	0.00%	2.17%	3.85%	1.09%	1.73%	1.21%	0.00%	0.80%	1.27%	1.01%	0.67%	3.45%	2.91%	2.65%	0.00%	1.64%	0.00%	5.56%	2.50%	0.00%	0.00%	0.00%	0.66%	0.63%	0.00%	1.70%	0.68%	2.05%	2.61%	2.00%	1.98%	0.00%	2.30%	1.82%	2.73%	0.73%	4.00%	0.00%	1.42%	0.00%	1.06%	0.39%	0.00%	0.55%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5945	105	42	12	87	76	19	70	11	43	96	32	38	68	71	51	103	133	91	114	76	83	44	186	224	226	70	67	194	151	26	114	183	145	125	16	16	78	83	52	316	237	98	64	149	103	91	73	32	184	32	40	41	76	315	19	36	69	130	43	152	80	73	28	43									
		46.17%	21.17%	52.50%	15.38%	46.52%	34.86%	26.76%	55.12%	57.89%	33.59%	50.00%	52.46%	63.33%	60.71%	52.21%	54.26%	50.74%	49.81%	77.78%	85.71%	55.07%	63.85%	47.83%	35.84%	38.62%	46.69%	27.89%	42.68%	32.66%	33.86%	44.83%	41.45%	40.49%	78.80%	40.98%	50.00%	44.44%	32.50%	59.29%	68.42%	83.16%	52.32%	30.82%	59.26%	42.33%	69.59%	37.30%	63.48%	64.00%	51.98%	61.54%	45.98%	74.55%	69.09%	45.92%	38.00%	63.16%	32.70%	43.77%	45.74%	59.14%	55.56%	40.33%	62.22%	70.49%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	60	2	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	1	0	4	2	0	3	0	1	6	3	1	3	1	1	0	1	2	0	0	0	3	1	0	2	2	2	1	0	0	2	0	0	0	3	1	0	2	0	0	0	0	0	1	1									
		0.47%	0.40%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.75%	0.00%	0.00%	0.00%	0.77%	0.00%	0.77%	0.34%	0.00%	1.20%	0.00%	0.17%	1.35%	5.17%	0.36%	0.66%	0.54%	0.33%	0.00%	2.78%	0.83%	0.00%	0.00%	0.00%	0.66%	0.31%	0.00%	0.57%	1.35%	0.82%	0.87%	0.00%	0.00%	3.85%	0.00%	0.00%	0.00%	0.44%	2.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	2.22%	1.64%									
24	"6. Политическая партия ""Гражданская Платформа"""	36	2	1	2	1	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	3	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	3									
		0.28%	0.40%	1.25%	2.56%	0.53%	0.46%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	2.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.21%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.22%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.28%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	1.15%	0.00%	0.00%	0.15%	2.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.92%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	758	15	2	3	1	1	6	6	1	1	2	9	1	7	8	1	8	6	4	0	4	4	1	61	67	36	18	12	57	36	2	19	27	11	12	6	2	15	10	2	14	12	33	1	30	7	17	8	3	20	1	4	2	0	75	10	4	15	0	2	1	4	8	2	1									
		5.89%	3.02%	2.50%	3.85%	0.53%	0.46%	8.45%	4.72%	5.26%	0.78%	1.04%	14.75%	1.67%	6.25%	5.88%	1.06%	3.94%	2.25%	3.42%	0.00%	2.90%	3.08%	1.09%	11.75%	11.55%	7.44%	7.17%	7.64%	9.60%	8.07%	3.45%	6.91%	5.97%	5.98%	3.93%	18.75%	5.56%	6.25%	7.14%	2.63%	3.68%	2.65%	10.38%	0.93%	8.52%	4.73%	6.97%	6.96%	6.00%	5.65%	1.92%	4.60%	3.64%	0.00%	10.93%	20.00%	7.02%	7.11%	0.00%	2.13%	0.39%	2.78%	4.42%	4.44%	1.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	23	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0									
		0.18%	0.40%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.21%	0.00%	0.00%	0.00%	0.22%	1.72%	0.36%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.22%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	5	1	1	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0									
		0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.77%	0.00%	0.96%	0.17%	0.21%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.63%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	22	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0									
		0.17%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.17%	0.00%	0.00%	0.64%	0.17%	0.00%	0.00%	0.36%	0.00%	0.54%	0.33%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	1.15%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	1.06%	0.00%	0.00%	0.55%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	62	3	0	0	0	0	2	0	0	0	15	0	0	1	1	0	1	0	1	0	0	1	0	1	7	2	1	2	2	5	1	1	2	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	4	0	0	2	0	0	0	0	1	0	0									
		0.48%	0.60%	0.00%	0.00%	0.00%	0.00%	2.82%	0.00%	0.00%	0.00%	7.81%	0.00%	0.00%	0.89%	0.74%	0.00%	0.49%	0.00%	0.85%	0.00%	0.00%	0.77%	0.00%	0.19%	1.21%	0.41%	0.40%	1.27%	0.34%	1.12%	1.72%	0.36%	0.44%	0.00%	0.00%	3.13%	0.00%	0.42%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.28%	1.92%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	953	30	1	4	9	8	6	8	1	7	1	7	10	4	14	0	15	11	2	0	5	3	1	55	60	13	16	15	58	47	2	26	42	7	52	2	1	26	4	6	14	62	29	4	31	6	32	5	2	35	2	3	1	9	58	0	6	13	29	3	6	2	15	1	6									
		7.40%	6.05%	1.25%	5.13%	4.81%	3.67%	8.45%	6.30%	5.26%	5.47%	0.52%	11.48%	16.67%	3.57%	10.29%	0.00%	7.39%	4.12%	1.71%	0.00%	3.62%	2.31%	1.09%	10.60%	10.34%	2.69%	6.37%	9.55%	9.76%	10.54%	3.45%	9.45%	9.29%	3.80%	17.05%	6.25%	2.78%	10.83%	2.86%	7.89%	3.68%	13.69%	9.12%	3.70%	8.81%	4.05%	13.11%	4.35%	4.00%	9.89%	3.85%	3.45%	1.82%	8.18%	8.45%	0.00%	10.53%	6.16%	9.76%	3.19%	2.33%	1.39%	8.29%	2.22%	9.84%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	98	0	1	2	0	1	0	0	0	0	54	0	0	2	0	1	0	2	0	0	3	1	0	0	1	4	2	0	0	0	1	0	2	0	4	0	0	0	0	1	0	3	0	0	1	0	1	0	0	2	1	0	0	0	4	0	0	3	0	1	0	0	0	0	0									
		0.76%	0.00%	1.25%	2.56%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	28.13%	0.00%	0.00%	1.79%	0.00%	1.06%	0.00%	0.75%	0.00%	0.00%	2.17%	0.77%	0.00%	0.00%	0.17%	0.83%	0.80%	0.00%	0.00%	0.00%	1.72%	0.00%	0.44%	0.00%	1.31%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.66%	0.00%	0.00%	0.28%	0.00%	0.41%	0.00%	0.00%	0.56%	1.92%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	1.42%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3791	311	32	47	68	120	35	24	3	60	0	10	11	15	28	22	64	78	9	16	30	18	27	144	169	138	122	44	234	148	13	84	148	15	84	7	13	90	35	12	36	97	126	32	96	25	70	11	8	70	7	28	9	12	169	11	7	83	128	28	91	45	65	5	4									
		29.44%	62.70%	40.00%	60.26%	36.36%	55.05%	49.30%	18.90%	15.79%	46.88%	0.00%	16.39%	18.33%	13.39%	20.59%	23.40%	31.53%	29.21%	7.69%	12.03%	21.74%	13.85%	29.35%	27.75%	29.14%	28.51%	48.61%	28.03%	39.39%	33.18%	22.41%	30.55%	32.74%	8.15%	27.54%	21.88%	36.11%	37.50%	25.00%	15.79%	9.47%	21.41%	39.62%	29.63%	27.27%	16.89%	28.69%	9.57%	16.00%	19.77%	13.46%	32.18%	16.36%	10.91%	24.64%	22.00%	12.28%	39.34%	43.10%	29.79%	35.41%	31.25%	35.91%	11.11%	6.56%									
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
