Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Краснозоренская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	7	0	0	0	0	1	0	0	0	0	0	1	0	0									
		0.23%	0.92%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	2	0	0	1	1	1	1	1	0	1	2	0	0	0									
		0.25%	0.26%	0.00%	0.00%	0.28%	0.31%	0.33%	0.40%	0.76%	0.00%	0.33%	0.49%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	13	4	0	0	0	2	0	1	0	2	1	1	0	2	0									
		0.33%	0.52%	0.00%	0.00%	0.00%	0.61%	0.00%	0.40%	0.00%	1.22%	0.33%	0.25%	0.00%	1.17%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	444	94	24	11	49	43	29	32	27	24	27	59	7	17	1									
		11.21%	12.32%	6.96%	5.73%	13.92%	13.15%	9.67%	12.90%	20.45%	14.63%	9.03%	14.46%	4.79%	9.94%	0.87%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	4	0	1	2	0	0	0	0	1	0	1	1	0	0									
		0.25%	0.52%	0.00%	0.52%	0.57%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.25%	0.68%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	87	23	5	2	6	8	3	2	0	3	5	17	4	7	2									
		2.20%	3.01%	1.45%	1.04%	1.70%	2.45%	1.00%	0.81%	0.00%	1.83%	1.67%	4.17%	2.74%	4.09%	1.74%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
