Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																								
Дата голосования: 02.12.2007																																																																								
																																																																								
Наименование Избирательной комиссии:    Московская N19																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1831	17	23	37	49	24	13	20	20	52	34	17	23	28	14	13	19	30	25	21	33	16	26	25	23	32	17	26	30	26	25	19	40	32	25	27	27	39	37	26	187	34	28	27	19	23	83	21	20	21	20	17	30	15	24	28	45	39	25	16	24	23	17	15	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1880	29	16	27	99	29	58	549	13	30	8	20	23	37	19	6	24	31	22	15	10	17	16	9	12	14	17	16	23	20	12	16	23	15	19	19	12	21	37	15	23	23	9	21	15	16	17	14	14	16	24	18	33	10	14	26	29	8	36	28	16	14	37	12	6	3					
14	Число погашенных неиспользованных открепительных удостоверений	1431	33	27	13	101	26	37	0	30	4	10	23	27	22	36	37	21	20	25	29	17	24	24	25	7	18	33	24	20	24	25	31	9	18	5	3	23	11	11	9	40	16	22	23	31	27	10	29	30	29	30	33	10	25	16	22	5	11	10	14	11	27	33	35	5	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	237	3	3	5	125	3	0	0	2	4	1	2	2	0	2	4	0	1	0	2	1	0	1	4	2	1	1	1	3	1	0	4	1	1	2	1	0	1	1	2	0	1	8	1	2	0	1	0	3	4	2	5	0	1	4	3	0	4	3	3	3	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
18	1.Политическая партия «Аграрная партия России»	1735	16	17	16	20	13	19	19	15	15	19	15	33	18	19	30	27	22	19	13	41	31	23	36	22	30	33	44	33	39	39	31	32	38	34	39	43	34	43	44	39	24	13	24	18	21	18	21	35	31	30	26	26	27	4	33	29	18	46	43	34	28	26	42	5	0					
		2.56%	2.19%	2.30%	1.99%	1.87%	1.60%	2.73%	1.24%	1.69%	1.58%	2.96%	1.79%	3.60%	1.85%	2.39%	2.96%	2.28%	2.25%	1.47%	1.63%	3.40%	3.35%	1.88%	2.66%	2.53%	2.55%	2.86%	2.93%	2.70%	3.15%	3.23%	2.44%	2.54%	2.92%	2.78%	2.88%	3.19%	2.62%	3.30%	3.54%	3.12%	2.30%	1.35%	2.26%	2.19%	2.33%	2.11%	2.22%	2.94%	2.88%	2.57%	2.23%	1.97%	3.40%	0.62%	3.32%	2.16%	1.62%	3.95%	3.92%	2.59%	2.65%	2.93%	5.55%	1.89%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1652	18	26	17	33	22	14	15	24	20	19	18	33	38	27	31	45	52	25	24	35	24	38	28	19	27	31	25	30	22	18	21	20	22	19	43	29	22	15	16	28	35	38	23	29	14	26	44	29	25	28	18	31	18	19	27	39	35	30	24	38	18	21	6	2	2					
		2.44%	2.47%	3.51%	2.11%	3.09%	2.71%	2.01%	0.98%	2.70%	2.10%	2.96%	2.15%	3.60%	3.91%	3.40%	3.06%	3.81%	5.31%	1.94%	3.01%	2.90%	2.60%	3.11%	2.07%	2.18%	2.29%	2.69%	1.66%	2.45%	1.78%	1.49%	1.65%	1.59%	1.69%	1.55%	3.17%	2.15%	1.69%	1.15%	1.29%	2.24%	3.36%	3.95%	2.16%	3.53%	1.55%	3.05%	4.66%	2.43%	2.32%	2.40%	1.54%	2.35%	2.27%	2.93%	2.72%	2.90%	3.14%	2.58%	2.19%	2.89%	1.71%	2.37%	0.79%	0.76%	1.44%					
20	3.Политическая партия «Демократическая партия России»	91	3	0	1	1	0	0	1	1	2	0	1	3	1	0	1	2	0	1	1	0	2	1	2	2	3	2	3	4	1	1	2	0	2	0	2	2	1	4	2	0	1	2	1	2	3	2	2	2	1	2	0	2	0	0	0	0	1	5	2	0	1	3	1	3	0					
		0.13%	0.41%	0.00%	0.12%	0.09%	0.00%	0.00%	0.07%	0.11%	0.21%	0.00%	0.12%	0.33%	0.10%	0.00%	0.10%	0.17%	0.00%	0.08%	0.13%	0.00%	0.22%	0.08%	0.15%	0.23%	0.25%	0.17%	0.20%	0.33%	0.08%	0.08%	0.16%	0.00%	0.15%	0.00%	0.15%	0.15%	0.08%	0.31%	0.16%	0.00%	0.10%	0.21%	0.09%	0.24%	0.33%	0.23%	0.21%	0.17%	0.09%	0.17%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.09%	0.43%	0.18%	0.00%	0.09%	0.34%	0.13%	1.14%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	9192	56	76	85	118	127	88	93	118	114	89	85	126	129	93	186	165	152	141	116	183	139	195	196	149	173	164	194	169	157	198	207	162	227	178	214	165	163	204	173	203	135	151	156	119	155	118	147	158	131	168	172	168	125	71	124	136	161	157	136	167	145	84	106	28	4					
		13.58%	7.67%	10.27%	10.57%	11.06%	15.62%	12.63%	6.05%	13.29%	11.99%	13.86%	10.17%	13.76%	13.27%	11.71%	18.38%	13.96%	15.53%	10.94%	14.54%	15.17%	15.04%	15.97%	14.46%	17.11%	14.70%	14.21%	12.91%	13.82%	12.69%	16.39%	16.27%	12.86%	17.45%	14.53%	15.79%	12.22%	12.54%	15.66%	13.91%	16.21%	12.96%	15.68%	14.68%	14.49%	17.17%	13.83%	15.57%	13.27%	12.17%	14.41%	14.75%	12.73%	15.76%	10.96%	12.47%	10.13%	14.45%	13.49%	12.39%	12.72%	13.74%	9.47%	14.00%	10.61%	2.88%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2395	19	20	24	32	49	47	13	20	31	22	34	31	53	26	58	36	51	43	47	65	53	46	55	38	43	41	54	37	50	48	51	31	38	28	38	41	43	32	19	46	59	43	39	42	28	37	50	42	24	58	23	51	15	20	22	46	41	29	45	52	47	15	11	2	1					
		3.54%	2.60%	2.70%	2.99%	2.99%	6.03%	6.74%	0.85%	2.25%	3.26%	3.43%	4.07%	3.38%	5.45%	3.27%	5.73%	3.05%	5.21%	3.34%	5.89%	5.39%	5.74%	3.77%	4.06%	4.36%	3.65%	3.55%	3.59%	3.03%	4.04%	3.97%	4.01%	2.46%	2.92%	2.29%	2.80%	3.04%	3.31%	2.46%	1.53%	3.67%	5.66%	4.47%	3.67%	5.12%	3.10%	4.34%	5.30%	3.53%	2.23%	4.97%	1.97%	3.86%	1.89%	3.09%	2.21%	3.43%	3.68%	2.49%	4.10%	3.96%	4.45%	1.69%	1.45%	0.76%	0.72%					
23	6.Политическая партия «Партия социальной справедливости»	127	0	4	2	7	0	0	2	4	0	0	5	3	2	2	2	2	1	0	0	4	0	4	3	0	3	5	2	2	2	0	0	1	0	0	1	3	6	3	3	0	3	1	2	1	3	2	8	1	1	0	3	3	4	0	2	3	2	2	2	1	0	0	5	0	0					
		0.19%	0.00%	0.54%	0.25%	0.66%	0.00%	0.00%	0.13%	0.45%	0.00%	0.00%	0.60%	0.33%	0.21%	0.25%	0.20%	0.17%	0.10%	0.00%	0.00%	0.33%	0.00%	0.33%	0.22%	0.00%	0.25%	0.43%	0.13%	0.16%	0.16%	0.00%	0.00%	0.08%	0.00%	0.00%	0.07%	0.22%	0.46%	0.23%	0.24%	0.00%	0.29%	0.10%	0.19%	0.12%	0.33%	0.23%	0.85%	0.08%	0.09%	0.00%	0.26%	0.23%	0.50%	0.00%	0.20%	0.22%	0.18%	0.17%	0.18%	0.08%	0.00%	0.00%	0.66%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	4223	59	53	78	101	56	40	90	66	61	35	67	49	54	48	46	47	51	84	51	55	70	71	74	56	56	64	85	78	65	70	60	83	67	70	97	81	79	88	68	86	68	60	56	48	54	54	56	91	63	61	88	112	73	49	75	98	59	80	61	80	42	64	57	8	7					
		6.24%	8.08%	7.16%	9.70%	9.47%	6.89%	5.74%	5.85%	7.43%	6.41%	5.45%	8.01%	5.35%	5.56%	6.05%	4.55%	3.98%	5.21%	6.52%	6.39%	4.56%	7.58%	5.81%	5.46%	6.43%	4.76%	5.55%	5.66%	6.38%	5.25%	5.79%	4.72%	6.59%	5.15%	5.71%	7.16%	6.00%	6.08%	6.75%	5.47%	6.87%	6.53%	6.23%	5.27%	5.85%	5.98%	6.33%	5.93%	7.64%	5.86%	5.23%	7.55%	8.48%	9.21%	7.56%	7.55%	7.30%	5.30%	6.87%	5.56%	6.09%	3.98%	7.22%	7.53%	3.03%	5.04%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	10922	121	105	117	129	143	112	103	145	158	107	108	148	135	116	162	169	194	162	163	203	157	202	249	131	237	224	298	200	195	217	226	213	214	167	215	207	220	195	201	204	189	144	165	134	154	139	163	204	195	227	172	226	115	128	142	205	186	216	204	225	207	104	79	25	2					
		16.14%	16.58%	14.19%	14.55%	12.09%	17.59%	16.07%	6.70%	16.33%	16.61%	16.67%	12.92%	16.16%	13.89%	14.61%	16.01%	14.30%	19.82%	12.57%	20.43%	16.83%	16.99%	16.54%	18.38%	15.04%	20.14%	19.41%	19.83%	16.35%	15.76%	17.96%	17.77%	16.90%	16.45%	13.63%	15.87%	15.33%	16.92%	14.97%	16.16%	16.29%	18.14%	14.95%	15.52%	16.32%	17.05%	16.30%	17.27%	17.13%	18.12%	19.47%	14.75%	17.12%	14.50%	19.75%	14.29%	15.26%	16.70%	18.56%	18.58%	17.14%	19.62%	11.72%	10.44%	9.47%	1.44%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	672	5	5	9	11	14	5	6	18	6	6	9	3	12	9	13	17	8	5	7	17	7	6	12	8	10	10	14	6	16	18	11	7	13	10	6	20	21	19	15	15	11	14	10	10	10	6	13	17	14	7	11	10	8	5	12	22	9	5	10	8	10	13	5	1	2					
		0.99%	0.68%	0.68%	1.12%	1.03%	1.72%	0.72%	0.39%	2.03%	0.63%	0.93%	1.08%	0.33%	1.23%	1.13%	1.28%	1.44%	0.82%	0.39%	0.88%	1.41%	0.76%	0.49%	0.89%	0.92%	0.85%	0.87%	0.93%	0.49%	1.29%	1.49%	0.86%	0.56%	0.99%	0.82%	0.44%	1.48%	1.62%	1.46%	1.21%	1.20%	1.06%	1.45%	0.94%	1.22%	1.11%	0.70%	1.38%	1.43%	1.30%	0.60%	0.94%	0.76%	1.01%	0.77%	1.21%	1.64%	0.81%	0.43%	0.91%	0.61%	0.95%	1.47%	0.66%	0.38%	1.44%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	31334	380	382	407	545	325	307	1155	417	476	287	413	421	454	386	381	595	342	709	305	486	380	548	597	379	479	450	635	569	578	499	550	611	573	615	594	669	599	625	627	537	428	396	469	335	397	390	367	521	524	504	577	602	351	296	493	665	478	496	466	605	480	500	414	176	117					
		46.31%	52.05%	51.62%	50.62%	51.08%	39.98%	44.05%	75.10%	46.96%	50.05%	44.70%	49.40%	45.96%	46.71%	48.61%	37.65%	50.34%	34.93%	55.00%	38.22%	40.30%	41.13%	44.88%	44.06%	43.51%	40.70%	38.99%	42.25%	46.52%	46.73%	41.31%	43.24%	48.49%	44.04%	50.20%	43.84%	49.56%	46.08%	47.97%	50.40%	42.89%	41.07%	41.12%	44.12%	40.80%	43.96%	45.72%	38.88%	43.74%	48.70%	43.22%	49.49%	45.61%	44.26%	45.68%	49.60%	49.52%	42.91%	42.61%	42.44%	46.08%	45.50%	56.37%	54.69%	66.67%	84.17%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	4708	47	50	41	62	57	60	30	54	64	57	71	57	64	60	91	67	92	78	60	102	57	75	97	62	106	123	139	87	99	88	99	89	97	86	95	76	106	60	66	79	77	92	109	73	56	55	67	83	63	71	62	79	52	44	52	96	114	86	79	91	63	52	29	12	1					
		6.96%	6.44%	6.76%	5.10%	5.81%	7.01%	8.61%	1.95%	6.08%	6.73%	8.88%	8.49%	6.22%	6.58%	7.56%	8.99%	5.67%	9.40%	6.05%	7.52%	8.46%	6.17%	6.14%	7.16%	7.12%	9.01%	10.66%	9.25%	7.11%	8.00%	7.28%	7.78%	7.06%	7.46%	7.02%	7.01%	5.63%	8.15%	4.60%	5.31%	6.31%	7.39%	9.55%	10.25%	8.89%	6.20%	6.45%	7.10%	6.97%	5.86%	6.09%	5.32%	5.98%	6.56%	6.79%	5.23%	7.15%	10.23%	7.39%	7.19%	6.93%	5.97%	5.86%	3.83%	4.55%	0.72%					
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
