Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Ординская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  2301	УИК  2302	УИК  2303	УИК  2304	УИК  2305	УИК  2306	УИК  2307	УИК  2308	УИК  2309	УИК  2310	УИК  2311	УИК  2312	УИК  2313	УИК  2314	УИК  2315	УИК  2316	УИК  2317	УИК  2318	УИК  2319	УИК  2320	УИК  2321	УИК  2322	УИК  2323					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	14	7	5	3	0	2	1	0	1	0	1	0	0	5	0	8	0	2	1	5	2	0	0					
14	Число погашенных открепительных удостоверений	17	3	2	1	1	1	0	1	0	3	1	0	0	0	0	0	0	1	0	0	2	0	1	0					
15	Число открепительных удостоверений выданных ТИК	17	1	2	1	1	2	2	0	1	0	0	1	1	0	2	1	0	0	0	0	1	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	228	20	17	10	12	3	12	6	10	4	3	16	7	3	21	13	27	2	19	3	12	4	0	4					
		2.61%	2.01%	1.97%	1.32%	2.01%	1.38%	1.88%	3.44%	3.36%	1.67%	4.16%	3.03%	3.22%	2.97%	2.43%	9.70%	5.09%	3.22%	3.89%	3.75%	3.79%	1.83%	0.0%	1.68%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	176	35	19	14	11	2	7	3	2	5	3	14	4	2	20	3	10	0	9	1	1	6	2	3					
		2.01%	3.51%	2.20%	1.86%	1.84%	0.92%	1.09%	1.72%	0.67%	2.09%	4.16%	2.65%	1.84%	1.98%	2.32%	2.23%	1.88%	0.0%	1.84%	1.25%	0.31%	2.75%	1.83%	1.26%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	266	26	19	10	14	3	23	2	7	5	2	8	7	5	39	3	24	4	20	3	18	6	4	14					
		3.04%	2.61%	2.20%	1.32%	2.35%	1.38%	3.60%	1.14%	2.35%	2.09%	2.77%	1.51%	3.22%	4.95%	4.52%	2.23%	4.52%	6.45%	4.09%	3.75%	5.69%	2.75%	3.66%	5.88%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	112	19	17	16	3	4	4	0	1	1	0	4	0	1	11	6	5	0	11	2	2	1	0	4					
		1.28%	1.90%	1.97%	2.12%	0.50%	1.85%	0.62%	0.0%	0.33%	0.41%	0.0%	0.75%	0.0%	0.99%	1.27%	4.47%	0.94%	0.0%	2.25%	2.5%	0.63%	0.45%	0.0%	1.68%					
22	"5. ""За Русь Святую"""	81	14	13	1	5	0	6	0	2	0	1	4	4	1	13	0	0	1	10	1	2	0	1	2					
		0.92%	1.40%	1.50%	0.13%	0.84%	0.0%	0.94%	0.0%	0.67%	0.0%	1.38%	0.75%	1.84%	0.99%	1.50%	0.0%	0.0%	1.61%	2.04%	1.25%	0.63%	0.0%	0.91%	0.84%					
23	"6. ""Объединенная Российская партия ""Русь"""	63	7	7	4	5	1	2	1	1	3	1	1	2	0	8	0	8	0	1	1	4	0	1	5					
		0.72%	0.70%	0.81%	0.53%	0.84%	0.46%	0.31%	0.57%	0.33%	1.25%	1.38%	0.18%	0.92%	0.0%	0.92%	0.0%	1.50%	0.0%	0.20%	1.25%	1.26%	0.0%	0.91%	2.10%					
24	"7. ""Новый курс - Автомобильная Россия"""	104	14	11	12	2	1	8	2	2	1	1	6	0	1	7	2	15	1	7	0	3	3	0	5					
		1.19%	1.40%	1.27%	1.59%	0.33%	0.46%	1.25%	1.14%	0.67%	0.41%	1.38%	1.13%	0.0%	0.99%	0.81%	1.49%	2.83%	1.61%	1.43%	0.0%	0.94%	1.37%	0.0%	2.10%					
25	"8. ""Народно-республиканская партия России"""	18	0	0	0	4	0	1	0	2	0	0	2	0	0	3	0	1	0	3	0	2	0	0	0					
		0.20%	0.0%	0.0%	0.0%	0.67%	0.0%	0.15%	0.0%	0.67%	0.0%	0.0%	0.37%	0.0%	0.0%	0.34%	0.0%	0.18%	0.0%	0.61%	0.0%	0.63%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	30	8	3	2	3	0	1	1	1	2	0	2	0	0	1	1	3	0	0	0	2	0	0	0					
		0.34%	0.80%	0.34%	0.26%	0.50%	0.0%	0.15%	0.57%	0.33%	0.83%	0.0%	0.37%	0.0%	0.0%	0.11%	0.74%	0.56%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1000	72	90	64	145	21	113	46	89	21	4	36	16	4	102	16	55	3	24	10	34	11	8	16					
		11.46%	7.23%	10.45%	8.51%	24.36%	9.72%	17.71%	26.43%	29.96%	8.78%	5.55%	6.81%	7.37%	3.96%	11.83%	11.94%	10.37%	4.83%	4.91%	12.5%	10.75%	5.04%	7.33%	6.72%					
28	"11. ""Истинные патриоты России"""	6	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	108	13	9	2	8	1	11	2	3	1	0	4	3	1	22	1	8	1	13	0	2	0	1	2					
		1.23%	1.30%	1.04%	0.26%	1.34%	0.46%	1.72%	1.14%	1.01%	0.41%	0.0%	0.75%	1.38%	0.99%	2.55%	0.74%	1.50%	1.61%	2.66%	0.0%	0.63%	0.0%	0.91%	0.84%					
30	"13. ""Демократическая партия России"""	29	1	5	2	2	3	1	0	2	1	0	5	0	0	3	0	0	0	1	0	0	0	0	3					
		0.33%	0.10%	0.58%	0.26%	0.33%	1.38%	0.15%	0.0%	0.67%	0.41%	0.0%	0.94%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	1.26%					
31	"14. ""Великая Россия - Евразийский Союз"""	28	2	0	1	4	0	0	4	1	0	0	7	1	0	2	0	5	0	0	0	1	0	0	0					
		0.32%	0.20%	0.0%	0.13%	0.67%	0.0%	0.0%	2.29%	0.33%	0.0%	0.0%	1.32%	0.46%	0.0%	0.23%	0.0%	0.94%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	13	3	0	2	0	1	2	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0					
		0.14%	0.30%	0.0%	0.26%	0.0%	0.46%	0.31%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	1.49%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	368	45	34	49	9	7	19	4	16	7	1	15	38	2	39	3	10	1	26	4	19	8	7	5					
		4.21%	4.52%	3.94%	6.51%	1.51%	3.24%	2.97%	2.29%	5.38%	2.92%	1.38%	2.84%	17.51%	1.98%	4.52%	2.23%	1.88%	1.61%	5.32%	5.0%	6.01%	3.66%	6.42%	2.10%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	25	2	2	0	2	1	2	0	0	0	0	4	1	0	2	0	2	0	2	1	0	0	1	3					
		0.28%	0.20%	0.23%	0.0%	0.33%	0.46%	0.31%	0.0%	0.0%	0.0%	0.0%	0.75%	0.46%	0.0%	0.23%	0.0%	0.37%	0.0%	0.40%	1.25%	0.0%	0.0%	0.91%	1.26%					
35	"18. ""ЛДПР"""	1317	168	145	171	88	40	90	5	51	38	12	48	28	18	95	4	45	17	62	30	63	52	15	32					
		15.09%	16.88%	16.84%	22.73%	14.78%	18.51%	14.10%	2.87%	17.17%	15.89%	16.66%	9.09%	12.90%	17.82%	11.02%	2.98%	8.49%	27.41%	12.70%	37.5%	19.93%	23.85%	13.76%	13.44%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	155	11	14	17	6	7	20	3	3	1	0	7	2	0	31	3	4	0	6	1	8	4	0	7					
		1.77%	1.10%	1.62%	2.26%	1.00%	3.24%	3.13%	1.72%	1.01%	0.41%	0.0%	1.32%	0.92%	0.0%	3.59%	2.23%	0.75%	0.0%	1.22%	1.25%	2.53%	1.83%	0.0%	2.94%					
37	"20. ""Политическая партия ""Единая Россия"""	3170	352	341	305	206	97	198	24	62	116	38	160	59	51	342	57	170	14	209	16	106	91	60	96					
		36.34%	35.37%	39.60%	40.55%	34.62%	44.90%	31.03%	13.79%	20.87%	48.53%	52.77%	30.30%	27.18%	50.49%	39.67%	42.53%	32.07%	22.58%	42.82%	20.0%	33.54%	41.74%	55.04%	40.33%					
38	"21. ""Российская Конституционно-демократическая партия"""	20	3	2	1	0	0	3	1	0	3	0	1	2	0	1	1	1	0	0	0	0	0	1	0					
		0.22%	0.30%	0.23%	0.13%	0.0%	0.0%	0.47%	0.57%	0.0%	1.25%	0.0%	0.18%	0.92%	0.0%	0.11%	0.74%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.91%	0.0%					
39	"22. ""Развитие предпринимательства"""	19	1	1	2	0	0	3	3	1	0	0	0	2	0	2	0	1	0	2	0	0	0	0	1					
		0.21%	0.10%	0.11%	0.26%	0.0%	0.0%	0.47%	1.72%	0.33%	0.0%	0.0%	0.0%	0.92%	0.0%	0.23%	0.0%	0.18%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.42%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	711	68	44	31	21	14	70	61	28	10	0	120	11	6	41	12	90	8	27	4	10	18	5	12					
		8.15%	6.83%	5.11%	4.12%	3.52%	6.48%	10.97%	35.05%	9.42%	4.18%	0.0%	22.72%	5.06%	5.94%	4.75%	8.95%	16.98%	12.90%	5.53%	5.0%	3.16%	8.25%	4.58%	5.04%					
																														
41	Против всех	425	81	45	31	23	5	23	2	11	17	5	15	24	6	42	3	16	9	26	0	18	8	3	12					
		4.87%	8.14%	5.22%	4.12%	3.86%	2.31%	3.60%	1.14%	3.70%	7.11%	6.94%	2.84%	11.05%	5.94%	4.87%	2.23%	3.01%	14.51%	5.32%	0.0%	5.69%	3.66%	2.75%	5.04%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
