Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
"Наименование Избирательной комиссии:    Новосибирск, Кировская"																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1847	УИК №1895	УИК №2014	УИК №2029									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3000	40	50	50	50	50	20	50	50	40	50	50	50	50	25	60	30	30	40	50	50	60	50	50	50	50	40	40	50	50	50	50	50	40	50	50	50	50	50	40	50	50	50	50	50	50	50	50	50	50	60	50	40	50	40	40	50	60	60	50	50	15	50	60	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	808	12	8	11	8	20	3	12	16	13	10	12	14	26	2	27	8	14	8	5	11	15	16	11	12	15	10	12	16	21	14	14	18	4	6	10	15	6	12	12	10	9	20	12	5	14	15	13	22	7	14	12	10	20	7	14	18	14	22	15	9	4	23	10	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	552	6	5	14	10	10	11	10	12	9	7	2	5	9	6	9	11	13	11	3	5	8	10	5	3	12	3	7	3	4	7	10	5	7	8	5	7	8	22	6	10	7	8	14	7	8	13	5	6	5	6	8	6	10	7	9	4	8	11	6	4	4	12	6	6	54									
14	Число погашенных неиспользованных открепительных удостоверений	2192	28	42	39	42	30	17	38	34	27	40	38	36	24	23	33	22	16	32	45	39	45	34	39	38	35	30	28	34	29	36	36	32	36	44	40	35	44	38	28	40	41	30	38	45	36	35	37	28	43	46	38	30	30	33	26	32	46	38	35	41	11	27	50	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	0	0	0	1	0	0	0	0	0	1	0	1	1	0	4	0	1	0	0	1	2	0	1	2	2	2	0	1	2	0	0	1	0	0	1	1	1	1	1	1	1	0	0	2	0	1	0	4	0	0	0	1	1	0	1	0	0	1	1	1	0	0	2	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1234	15	30	38	27	21	9	26	32	17	28	23	20	27	11	25	8	23	10	10	19	34	21	33	20	26	15	22	18	22	17	17	15	12	18	13	20	24	14	16	15	24	14	23	14	11	24	14	19	18	13	34	21	22	4	14	15	20	27	14	10	7	34	17	5	5									
		3.25%	2.74%	4.87%	5.21%	3.68%	3.57%	4.13%	3.48%	4.28%	3.22%	3.69%	3.26%	3.73%	3.62%	3.53%	3.24%	2.51%	5.17%	2.25%	2.22%	2.99%	4.01%	2.80%	4.73%	3.22%	4.00%	3.04%	3.85%	3.10%	3.03%	2.81%	2.62%	2.70%	2.18%	3.18%	1.98%	3.08%	3.61%	1.83%	2.61%	2.36%	3.70%	2.55%	3.13%	2.36%	1.64%	3.31%	2.31%	3.61%	2.81%	1.97%	4.73%	3.70%	3.83%	0.99%	3.03%	2.33%	3.91%	4.17%	2.34%	2.62%	3.37%	6.61%	4.86%	3.36%	1.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1125	13	14	8	27	13	3	23	21	18	19	24	24	25	12	24	7	8	13	15	21	24	20	24	15	18	17	13	16	24	11	19	26	21	20	13	18	17	28	13	26	18	18	27	23	17	16	13	17	15	26	25	19	17	11	12	20	13	23	19	9	9	11	13	6	13									
		2.96%	2.38%	2.27%	1.10%	3.68%	2.21%	1.38%	3.07%	2.81%	3.41%	2.51%	3.40%	4.48%	3.35%	3.85%	3.11%	2.19%	1.80%	2.92%	3.33%	3.31%	2.83%	2.67%	3.44%	2.41%	2.77%	3.44%	2.27%	2.76%	3.30%	1.82%	2.92%	4.68%	3.81%	3.53%	1.98%	2.77%	2.56%	3.65%	2.12%	4.09%	2.78%	3.28%	3.68%	3.87%	2.53%	2.21%	2.14%	3.23%	2.34%	3.93%	3.48%	3.35%	2.96%	2.74%	2.60%	3.11%	2.54%	3.55%	3.18%	2.36%	4.33%	2.14%	3.71%	4.03%	3.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	799	13	8	17	15	7	5	15	17	16	21	13	6	17	5	18	6	12	7	7	15	13	18	11	14	11	8	16	10	21	21	14	17	16	9	22	15	17	17	17	16	8	12	12	6	18	14	13	11	10	9	14	10	13	9	5	11	10	13	14	10	2	10	4	5	13									
		2.11%	2.38%	1.30%	2.33%	2.05%	1.19%	2.29%	2.01%	2.27%	3.03%	2.77%	1.84%	1.12%	2.28%	1.60%	2.33%	1.88%	2.70%	1.57%	1.55%	2.36%	1.53%	2.40%	1.58%	2.25%	1.69%	1.62%	2.80%	1.72%	2.89%	3.48%	2.15%	3.06%	2.90%	1.59%	3.34%	2.31%	2.56%	2.22%	2.77%	2.52%	1.23%	2.19%	1.63%	1.01%	2.68%	1.93%	2.14%	2.09%	1.56%	1.36%	1.95%	1.76%	2.26%	2.24%	1.08%	1.71%	1.96%	2.01%	2.34%	2.62%	0.96%	1.95%	1.14%	3.36%	3.07%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13478	183	229	245	259	226	87	247	244	160	252	232	216	226	141	247	123	177	169	177	217	306	285	252	238	254	181	227	239	260	229	237	220	224	268	242	226	230	279	210	232	246	177	233	191	234	250	220	177	207	222	258	190	193	133	132	197	162	231	224	159	79	159	100	50	158									
		35.52%	33.46%	37.18%	33.56%	35.33%	38.37%	39.91%	33.02%	32.62%	30.30%	33.25%	32.91%	40.30%	30.29%	45.19%	32.04%	38.56%	39.78%	37.98%	39.25%	34.17%	36.08%	38.00%	36.10%	38.26%	39.08%	36.64%	39.69%	41.21%	35.76%	37.91%	36.46%	39.57%	40.65%	47.35%	36.78%	34.77%	34.59%	36.38%	34.20%	36.48%	37.96%	32.30%	31.74%	32.15%	34.87%	34.48%	36.24%	33.59%	32.34%	33.59%	35.88%	33.45%	33.57%	33.17%	28.57%	30.59%	31.70%	35.65%	37.46%	41.62%	37.98%	30.93%	28.57%	33.56%	37.35%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	371	12	6	9	7	1	1	13	9	4	8	9	7	11	2	9	0	8	9	3	4	13	6	11	4	6	6	5	3	8	6	7	1	4	8	7	5	2	10	5	5	1	3	5	6	4	12	3	4	4	3	2	4	9	2	6	4	9	12	4	1	3	3	4	3	6									
		0.98%	2.19%	0.97%	1.23%	0.95%	0.17%	0.46%	1.74%	1.20%	0.76%	1.06%	1.28%	1.31%	1.47%	0.64%	1.17%	0.00%	1.80%	2.02%	0.67%	0.63%	1.53%	0.80%	1.58%	0.64%	0.92%	1.21%	0.87%	0.52%	1.10%	0.99%	1.08%	0.18%	0.73%	1.41%	1.06%	0.77%	0.30%	1.30%	0.81%	0.79%	0.15%	0.55%	0.68%	1.01%	0.60%	1.66%	0.49%	0.76%	0.63%	0.45%	0.28%	0.70%	1.57%	0.50%	1.30%	0.62%	1.76%	1.85%	0.67%	0.26%	1.44%	0.58%	1.14%	2.01%	1.42%									
24	"6. Политическая партия ""Гражданская Платформа"""	107	0	2	3	2	1	1	2	3	0	3	2	1	4	1	2	1	1	0	3	0	3	4	2	0	3	0	1	1	0	1	0	0	3	0	1	2	2	2	2	3	3	1	1	2	0	4	1	1	2	2	1	2	3	1	3	4	2	2	2	2	1	1	1	0	3									
		0.28%	0.00%	0.32%	0.41%	0.27%	0.17%	0.46%	0.27%	0.40%	0.00%	0.40%	0.28%	0.19%	0.54%	0.32%	0.26%	0.31%	0.22%	0.00%	0.67%	0.00%	0.35%	0.53%	0.29%	0.00%	0.46%	0.00%	0.17%	0.17%	0.00%	0.17%	0.00%	0.00%	0.54%	0.00%	0.15%	0.31%	0.30%	0.26%	0.33%	0.47%	0.46%	0.18%	0.14%	0.34%	0.00%	0.55%	0.16%	0.19%	0.31%	0.30%	0.14%	0.35%	0.52%	0.25%	0.65%	0.62%	0.39%	0.31%	0.33%	0.52%	0.48%	0.19%	0.29%	0.00%	0.71%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5950	90	93	107	103	100	42	112	88	80	95	85	104	117	49	122	60	69	86	77	92	123	132	97	99	90	80	82	82	113	91	97	83	96	86	107	102	97	97	95	77	103	75	100	98	96	89	102	94	119	102	91	104	92	85	66	107	86	105	124	58	45	90	73	31	118									
		15.68%	16.45%	15.10%	14.66%	14.05%	16.98%	19.27%	14.97%	11.76%	15.15%	12.53%	12.06%	19.40%	15.68%	15.71%	15.82%	18.81%	15.51%	19.33%	17.07%	14.49%	14.50%	17.60%	13.90%	15.92%	13.85%	16.19%	14.34%	14.14%	15.54%	15.07%	14.92%	14.93%	17.42%	15.19%	16.26%	15.69%	14.59%	12.65%	15.47%	12.11%	15.90%	13.69%	13.62%	16.50%	14.31%	12.28%	16.80%	17.84%	18.59%	15.43%	12.66%	18.31%	16.00%	21.20%	14.29%	16.61%	16.83%	16.20%	20.74%	15.18%	21.63%	17.51%	20.86%	20.81%	27.90%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	589	6	14	24	9	19	4	11	15	7	14	16	9	28	6	19	6	7	5	4	21	10	7	11	10	11	5	2	6	10	0	6	7	7	8	6	9	9	11	11	12	4	7	20	10	9	6	6	6	13	4	11	5	13	3	3	9	3	11	6	6	3	12	10	2	5									
		1.55%	1.10%	2.27%	3.29%	1.23%	3.23%	1.83%	1.47%	2.01%	1.33%	1.85%	2.27%	1.68%	3.75%	1.92%	2.46%	1.88%	1.57%	1.12%	0.89%	3.31%	1.18%	0.93%	1.58%	1.61%	1.69%	1.01%	0.35%	1.03%	1.38%	0.00%	0.92%	1.26%	1.27%	1.41%	0.91%	1.38%	1.35%	1.43%	1.79%	1.89%	0.62%	1.28%	2.72%	1.68%	1.34%	0.83%	0.99%	1.14%	2.03%	0.61%	1.53%	0.88%	2.26%	0.75%	0.65%	1.40%	0.59%	1.70%	1.00%	1.57%	1.44%	2.33%	2.86%	1.34%	1.18%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	416	10	11	10	12	6	8	12	13	6	8	8	3	9	6	9	1	5	7	5	13	19	10	7	9	3	1	5	7	12	7	8	8	2	7	6	5	8	7	8	2	5	2	5	5	12	3	3	4	3	5	3	4	9	2	2	7	9	8	3	3	1	3	2	5	5									
		1.10%	1.83%	1.79%	1.37%	1.64%	1.02%	3.67%	1.60%	1.74%	1.14%	1.06%	1.13%	0.56%	1.21%	1.92%	1.17%	0.31%	1.12%	1.57%	1.11%	2.05%	2.24%	1.33%	1.00%	1.45%	0.46%	0.20%	0.87%	1.21%	1.65%	1.16%	1.23%	1.44%	0.36%	1.24%	0.91%	0.77%	1.20%	0.91%	1.30%	0.31%	0.77%	0.36%	0.68%	0.84%	1.79%	0.41%	0.49%	0.76%	0.47%	0.76%	0.42%	0.70%	1.57%	0.50%	0.43%	1.09%	1.76%	1.23%	0.50%	0.79%	0.48%	0.58%	0.57%	3.36%	1.18%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	46	2	2	0	0	0	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	3	0	0	0	0	1	1	0	0	2	3	0	3	4	0	1	1	3	0	0	0	0	0	1	0	0	0	2	1	0	1	0	2	0	2	0	0	1									
		0.12%	0.37%	0.32%	0.00%	0.00%	0.00%	0.46%	0.13%	0.27%	0.00%	0.00%	0.14%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.40%	0.17%	0.52%	0.00%	0.00%	0.00%	0.00%	0.18%	0.18%	0.00%	0.00%	0.30%	0.39%	0.00%	0.47%	0.62%	0.00%	0.14%	0.17%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.43%	0.16%	0.00%	0.15%	0.00%	0.52%	0.00%	0.39%	0.00%	0.00%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1117	27	13	46	21	27	10	24	40	23	41	30	12	34	8	30	7	11	4	8	8	41	15	18	16	20	11	20	11	19	20	16	17	12	8	14	17	19	31	7	27	10	17	21	16	20	22	16	13	11	15	15	17	14	5	8	18	17	15	8	7	6	23	15	2	3									
		2.94%	4.94%	2.11%	6.30%	2.86%	4.58%	4.59%	3.21%	5.35%	4.36%	5.41%	4.26%	2.24%	4.56%	2.56%	3.89%	2.19%	2.47%	0.90%	1.77%	1.26%	4.83%	2.00%	2.58%	2.57%	3.08%	2.23%	3.50%	1.90%	2.61%	3.31%	2.46%	3.06%	2.18%	1.41%	2.13%	2.62%	2.86%	4.04%	1.14%	4.25%	1.54%	3.10%	2.86%	2.69%	2.98%	3.03%	2.64%	2.47%	1.72%	2.27%	2.09%	2.99%	2.43%	1.25%	1.73%	2.80%	3.33%	2.31%	1.34%	1.83%	2.88%	4.47%	4.29%	1.34%	0.71%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8568	116	141	144	190	120	36	183	186	142	185	176	95	174	57	188	79	86	93	98	158	193	155	157	150	139	118	123	131	176	122	151	99	109	92	156	152	159	177	142	143	125	155	198	148	169	177	130	119	151	154	169	136	129	92	130	166	116	122	116	74	41	98	64	35	63									
		22.58%	21.21%	22.89%	19.73%	25.92%	20.37%	16.51%	24.47%	24.87%	26.89%	24.41%	24.96%	17.72%	23.32%	18.27%	24.38%	24.76%	19.33%	20.90%	21.73%	24.88%	22.76%	20.67%	22.49%	24.12%	21.38%	23.89%	21.50%	22.59%	24.21%	20.20%	23.23%	17.81%	19.78%	16.25%	23.71%	23.38%	23.91%	23.08%	23.13%	22.48%	19.29%	28.28%	26.98%	24.92%	25.19%	24.41%	21.42%	22.58%	23.59%	23.30%	23.50%	23.94%	22.43%	22.94%	28.14%	25.78%	22.70%	18.83%	19.40%	19.37%	19.71%	19.07%	18.29%	23.49%	14.89%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	178	4	0	2	6	4	0	4	0	3	5	5	2	4	0	7	1	0	3	1	3	4	2	2	3	1	0	2	5	2	3	4	1	3	4	7	5	2	5	2	3	7	3	0	2	2	4	1	4	0	4	5	2	2	1	2	5	4	3	1	0	0	4	3	1	4									
		0.47%	0.73%	0.00%	0.27%	0.82%	0.68%	0.00%	0.53%	0.00%	0.57%	0.66%	0.71%	0.37%	0.54%	0.00%	0.91%	0.31%	0.00%	0.67%	0.22%	0.47%	0.47%	0.27%	0.29%	0.48%	0.15%	0.00%	0.35%	0.86%	0.28%	0.50%	0.62%	0.18%	0.54%	0.71%	1.06%	0.77%	0.30%	0.65%	0.33%	0.47%	1.08%	0.55%	0.00%	0.34%	0.30%	0.55%	0.16%	0.76%	0.00%	0.61%	0.70%	0.35%	0.35%	0.25%	0.43%	0.78%	0.78%	0.46%	0.17%	0.00%	0.00%	0.78%	0.86%	0.67%	0.95%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3074	45	39	65	49	32	9	63	59	43	62	64	30	59	9	58	17	20	24	26	46	50	57	56	34	51	41	39	37	47	67	60	36	28	20	45	64	61	60	69	64	65	47	66	56	63	85	64	47	69	83	76	37	49	46	65	70	50	64	32	31	7	49	29	4	15									
		8.10%	8.23%	6.33%	8.90%	6.68%	5.43%	4.13%	8.42%	7.89%	8.14%	8.18%	9.08%	5.60%	7.91%	2.88%	7.52%	5.33%	4.49%	5.39%	5.76%	7.24%	5.90%	7.60%	8.02%	5.47%	7.85%	8.30%	6.82%	6.38%	6.46%	11.09%	9.23%	6.47%	5.08%	3.53%	6.84%	9.85%	9.17%	7.82%	11.24%	10.06%	10.03%	8.58%	8.99%	9.43%	9.39%	11.72%	10.54%	8.92%	10.78%	12.56%	10.57%	6.51%	8.52%	11.47%	14.07%	10.87%	9.78%	9.88%	5.35%	8.12%	3.37%	9.53%	8.29%	2.68%	3.55%									
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
