Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Волжская  городская 																																																																																																													
																																																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																													
																																																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1802	17	19	17	16	6	18	13	12	16	12	14	14	15	10	10	12	17	9	15	20	13	19	18	17	20	14	19	12	18	14	19	15	14	17	19	18	21	18	23	67	20	20	17	21	17	13	15	14	15	18	16	13	15	15	17	20	20	23	23	0	23	18	20	21	23	18	18	19	19	19	19	19	22	22	22	23	22	21	23	22	20	24	16	17	23	22	22	20	18	22	12	19	16	18	19	0	16	18	16	19	17	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	403	6	2	0	2	0	2	4	0	3	2	4	5	4	5	2	2	2	0	2	8	1	3	11	6	6	3	3	0	5	1	5	6	5	5	7	4	3	2	3	65	0	0	5	8	2	4	2	2	6	3	2	4	4	4	5	4	5	5	5	0	3	6	2	4	1	2	5	3	5	0	3	5	8	6	4	1	4	6	5	4	7	3	1	2	1	5	5	2	4	2	3	1	0	6	3	0	3	3	0	4	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	247	6	0	0	1	4	4	0	0	3	2	2	7	1	5	1	4	3	4	2	4	1	2	3	2	2	2	6	1	2	3	1	1	0	1	2	4	1	0	1	3	0	1	5	4	4	2	0	3	1	0	0	0	1	1	3	2	6	4	0	8	0	4	4	6	2	0	0	2	4	0	2	3	6	4	0	1	0	3	1	2	1	3	7	0	3	2	2	1	0	3	2	1	1	5	1	21	0	3	6	4	0	1					
14	Число погашенных открепительных удостоверений	1345	11	17	17	14	6	16	9	0	13	10	10	9	11	5	8	10	15	0	13	12	12	16	7	11	14	11	16	12	13	22	14	9	9	12	12	14	18	16	18	2	0	18	12	13	15	9	13	12	9	15	14	9	11	11	12	16	15	18	19	0	20	12	18	17	22	16	13	16	14	0	16	14	14	16	18	22	18	15	18	18	13	21	15	15	22	17	17	18	14	20	9	18	16	12	16	0	13	15	16	15	15	6					
15	Число открепительных удостоверений выданных ТИК	25	0	0	0	0	4	0	0	0	1	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																													
18	"1. ""ЕДИНЕНИЕ"""	612	13	4	6	3	2	8	3	4	7	11	11	6	2	2	0	6	7	4	6	4	5	5	8	7	6	2	5	8	5	8	10	5	3	4	7	5	3	6	10	10	6	10	11	7	2	4	1	3	4	7	7	3	12	4	7	5	9	4	3	0	8	6	8	10	7	8	3	1	3	4	10	5	4	3	8	8	2	10	7	5	12	10	5	6	8	10	9	6	5	6	10	10	4	8	4	1	17	9	1	7	3	1					
		0.54%	1.96%	0.38%	0.63%	0.30%	0.47%	0.90%	0.37%	0.48%	0.63%	1.54%	1.09%	0.68%	0.16%	0.27%	0.0%	0.67%	0.77%	0.84%	0.54%	0.28%	0.60%	0.46%	0.60%	0.59%	0.37%	0.22%	0.37%	0.98%	0.66%	0.80%	0.80%	0.47%	0.28%	0.31%	0.51%	0.37%	0.19%	0.45%	0.66%	0.94%	0.47%	0.70%	0.92%	0.51%	0.22%	0.44%	0.09%	0.31%	0.4%	0.68%	0.79%	0.33%	1.10%	0.40%	0.65%	0.41%	0.70%	0.26%	0.20%	0.0%	0.58%	0.50%	0.58%	0.71%	0.46%	0.68%	0.26%	0.08%	0.22%	0.34%	0.87%	0.40%	0.31%	0.22%	0.61%	0.62%	0.15%	0.81%	0.53%	0.38%	1.06%	0.75%	0.53%	0.62%	0.63%	0.80%	0.68%	0.47%	0.41%	0.44%	1.24%	0.78%	0.40%	0.63%	0.33%	4.76%	1.13%	0.74%	0.10%	0.57%	0.27%	0.24%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	6807	25	49	32	38	13	58	50	49	64	34	64	53	88	64	58	72	53	23	62	45	44	57	70	54	85	58	70	24	62	40	71	53	55	82	71	59	83	45	113	61	59	58	48	49	53	54	56	46	64	58	47	41	57	57	47	58	64	86	75	0	79	67	89	85	89	59	55	59	90	94	90	70	110	99	112	82	74	91	86	114	80	128	59	65	95	90	90	95	93	104	53	63	76	114	100	1	125	67	81	76	78	52					
		6.06%	3.77%	4.73%	3.36%	3.83%	3.11%	6.53%	6.21%	5.99%	5.78%	4.78%	6.37%	6.04%	7.41%	8.67%	7.45%	8.11%	5.84%	4.86%	5.63%	3.23%	5.28%	5.31%	5.31%	4.61%	5.30%	6.56%	5.21%	2.94%	8.24%	4.01%	5.68%	5.03%	5.29%	6.52%	5.17%	4.43%	5.31%	3.39%	7.54%	5.77%	4.68%	4.10%	4.04%	3.58%	5.89%	5.98%	5.50%	4.77%	6.4%	5.64%	5.34%	4.63%	5.24%	5.71%	4.36%	4.76%	5.01%	5.69%	5.13%	0.0%	5.74%	5.63%	6.50%	6.05%	5.93%	5.03%	4.94%	4.78%	6.77%	8.00%	7.91%	5.65%	8.69%	7.30%	8.57%	6.45%	5.62%	7.37%	6.55%	8.87%	7.11%	9.61%	6.28%	6.77%	7.51%	7.21%	6.83%	7.53%	7.75%	7.68%	6.57%	4.97%	7.62%	9.04%	8.34%	4.76%	8.36%	5.56%	8.29%	6.23%	7.13%	12.65%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	3063	25	36	32	28	17	21	16	34	26	31	38	17	28	9	17	19	20	14	26	35	22	34	40	45	64	22	40	23	12	26	42	38	28	33	55	34	31	42	33	27	29	52	26	46	13	30	35	20	31	37	26	15	36	43	27	41	33	58	50	0	40	39	53	48	42	32	37	30	43	25	33	29	34	44	20	20	23	38	28	37	26	29	31	26	29	27	23	18	39	36	17	31	22	19	39	0	22	30	19	32	19	6					
		2.73%	3.77%	3.48%	3.36%	2.82%	4.06%	2.36%	1.98%	4.15%	2.35%	4.36%	3.78%	1.93%	2.36%	1.21%	2.18%	2.14%	2.20%	2.95%	2.36%	2.51%	2.64%	3.17%	3.03%	3.84%	3.99%	2.48%	2.98%	2.82%	1.59%	2.60%	3.36%	3.61%	2.69%	2.62%	4.00%	2.55%	1.98%	3.16%	2.20%	2.55%	2.30%	3.68%	2.19%	3.36%	1.44%	3.32%	3.44%	2.07%	3.1%	3.59%	2.95%	1.69%	3.31%	4.31%	2.50%	3.36%	2.58%	3.83%	3.42%	0.0%	2.90%	3.27%	3.87%	3.41%	2.80%	2.73%	3.32%	2.43%	3.23%	2.12%	2.90%	2.34%	2.68%	3.24%	1.53%	1.57%	1.74%	3.07%	2.13%	2.87%	2.31%	2.17%	3.30%	2.71%	2.29%	2.16%	1.74%	1.42%	3.25%	2.65%	2.10%	2.44%	2.20%	1.50%	3.25%	0.0%	1.47%	2.49%	1.94%	2.62%	1.73%	1.45%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	5603	29	37	35	31	11	34	46	24	57	30	48	29	66	56	44	43	37	20	59	84	44	61	67	67	107	66	53	43	23	45	66	46	44	63	89	52	86	49	98	38	61	68	72	67	49	37	49	43	42	49	39	43	61	59	62	57	71	80	65	0	63	55	54	75	72	38	70	57	51	65	67	56	67	71	81	72	66	53	86	66	69	65	53	51	51	59	67	86	64	90	38	49	50	58	66	2	56	47	54	64	44	34					
		4.99%	4.38%	3.57%	3.67%	3.12%	2.63%	3.82%	5.71%	2.93%	5.15%	4.21%	4.78%	3.30%	5.56%	7.58%	5.65%	4.84%	4.07%	4.22%	5.35%	6.04%	5.28%	5.69%	5.08%	5.72%	6.68%	7.46%	3.94%	5.27%	3.05%	4.51%	5.28%	4.37%	4.23%	5.01%	6.48%	3.91%	5.50%	3.69%	6.54%	3.59%	4.84%	4.81%	6.07%	4.90%	5.45%	4.10%	4.81%	4.46%	4.2%	4.76%	4.43%	4.86%	5.61%	5.91%	5.76%	4.68%	5.56%	5.29%	4.45%	0.0%	4.57%	4.62%	3.94%	5.34%	4.80%	3.24%	6.29%	4.61%	3.83%	5.53%	5.89%	4.52%	5.29%	5.23%	6.20%	5.66%	5.01%	4.29%	6.55%	5.13%	6.13%	4.88%	5.64%	5.31%	4.03%	4.73%	5.08%	6.81%	5.33%	6.64%	4.71%	3.87%	5.01%	4.59%	5.50%	9.52%	3.74%	3.90%	5.53%	5.25%	4.02%	8.27%					
22	"5. ""За Русь Святую"""	617	5	4	12	3	2	3	5	2	12	12	3	6	4	7	9	8	4	5	9	6	1	1	9	14	13	3	3	4	3	6	2	6	8	12	7	6	10	4	38	1	7	11	10	9	2	4	8	7	8	6	4	5	7	11	5	6	7	4	7	0	2	4	10	6	11	8	8	7	1	7	3	8	6	11	6	5	8	2	2	4	2	1	4	3	5	7	10	5	4	6	0	9	1	4	4	0	10	7	0	11	5	0					
		0.54%	0.75%	0.38%	1.26%	0.30%	0.47%	0.33%	0.62%	0.24%	1.08%	1.68%	0.29%	0.68%	0.33%	0.94%	1.15%	0.90%	0.44%	1.05%	0.81%	0.43%	0.12%	0.09%	0.68%	1.19%	0.81%	0.33%	0.22%	0.49%	0.39%	0.60%	0.16%	0.57%	0.76%	0.95%	0.51%	0.45%	0.63%	0.30%	2.53%	0.09%	0.55%	0.77%	0.84%	0.65%	0.22%	0.44%	0.78%	0.72%	0.8%	0.58%	0.45%	0.56%	0.64%	1.10%	0.46%	0.49%	0.54%	0.26%	0.47%	0.0%	0.14%	0.33%	0.73%	0.42%	0.73%	0.68%	0.71%	0.56%	0.07%	0.59%	0.26%	0.64%	0.47%	0.81%	0.45%	0.39%	0.60%	0.16%	0.15%	0.31%	0.17%	0.07%	0.42%	0.31%	0.39%	0.56%	0.75%	0.39%	0.33%	0.44%	0.0%	0.71%	0.10%	0.31%	0.33%	0.0%	0.66%	0.58%	0.0%	0.90%	0.45%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	206	2	0	5	4	0	5	3	1	1	2	4	6	5	2	0	1	0	0	1	5	3	1	2	0	4	1	1	1	0	0	2	1	0	3	2	2	3	1	1	1	1	5	1	6	3	3	0	0	6	3	0	5	2	1	4	1	1	2	0	0	2	0	5	4	5	2	0	1	3	1	0	3	2	0	2	2	1	2	4	1	2	2	0	2	1	3	1	3	5	3	0	5	5	0	3	0	7	0	0	1	0	3					
		0.18%	0.30%	0.0%	0.52%	0.40%	0.0%	0.56%	0.37%	0.12%	0.09%	0.28%	0.39%	0.68%	0.42%	0.27%	0.0%	0.11%	0.0%	0.0%	0.09%	0.35%	0.36%	0.09%	0.15%	0.0%	0.24%	0.11%	0.07%	0.12%	0.0%	0.0%	0.16%	0.09%	0.0%	0.23%	0.14%	0.15%	0.19%	0.07%	0.06%	0.09%	0.07%	0.35%	0.08%	0.43%	0.33%	0.33%	0.0%	0.0%	0.6%	0.29%	0.0%	0.56%	0.18%	0.10%	0.37%	0.08%	0.07%	0.13%	0.0%	0.0%	0.14%	0.0%	0.36%	0.28%	0.33%	0.17%	0.0%	0.08%	0.22%	0.08%	0.0%	0.24%	0.15%	0.0%	0.15%	0.15%	0.07%	0.16%	0.30%	0.07%	0.17%	0.15%	0.0%	0.20%	0.07%	0.24%	0.07%	0.23%	0.41%	0.22%	0.0%	0.39%	0.50%	0.0%	0.25%	0.0%	0.46%	0.0%	0.0%	0.08%	0.0%	0.72%					
24	"7. ""Новый курс - Автомобильная Россия"""	767	5	5	9	5	1	3	6	3	5	3	6	2	3	3	5	4	10	5	9	13	6	6	13	5	6	3	3	3	9	4	6	5	8	9	7	12	7	11	6	7	6	10	4	7	8	4	10	6	6	5	7	3	4	18	10	8	11	10	13	0	6	11	6	13	9	7	10	3	5	8	9	7	8	14	8	10	9	9	10	9	5	7	12	7	10	7	17	13	12	7	2	7	9	6	7	0	34	5	12	8	15	3					
		0.68%	0.75%	0.48%	0.94%	0.50%	0.23%	0.33%	0.74%	0.36%	0.45%	0.42%	0.59%	0.22%	0.25%	0.40%	0.64%	0.45%	1.10%	1.05%	0.81%	0.93%	0.72%	0.55%	0.98%	0.42%	0.37%	0.33%	0.22%	0.36%	1.19%	0.40%	0.48%	0.47%	0.76%	0.71%	0.51%	0.90%	0.44%	0.82%	0.40%	0.66%	0.47%	0.70%	0.33%	0.51%	0.88%	0.44%	0.98%	0.62%	0.6%	0.48%	0.79%	0.33%	0.36%	1.80%	0.92%	0.65%	0.86%	0.66%	0.89%	0.0%	0.43%	0.92%	0.43%	0.92%	0.60%	0.59%	0.89%	0.24%	0.37%	0.68%	0.79%	0.56%	0.63%	1.03%	0.61%	0.78%	0.68%	0.72%	0.76%	0.70%	0.44%	0.52%	1.27%	0.72%	0.79%	0.56%	1.29%	1.03%	1.00%	0.51%	0.24%	0.55%	0.90%	0.47%	0.58%	0.0%	2.27%	0.41%	1.22%	0.65%	1.37%	0.72%					
25	"8. ""Народно-республиканская партия России"""	76	0	1	0	2	0	0	0	1	1	1	2	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	0	2	1	2	2	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	9	0	0	1	6	0	0	0	2	0	3	1	1	0	1	2	2	0	0	0	1	3	0	0	0	1	0	1	0	1	1	2	0	0	0	0	3	0	1	0	1	0					
		0.06%	0.0%	0.09%	0.0%	0.20%	0.0%	0.0%	0.0%	0.12%	0.09%	0.14%	0.19%	0.11%	0.0%	0.0%	0.12%	0.11%	0.11%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.07%	0.0%	0.07%	0.06%	0.07%	0.06%	0.09%	0.0%	0.14%	0.08%	0.14%	0.22%	0.0%	0.09%	0.0%	0.1%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.06%	0.0%	0.65%	0.0%	0.0%	0.07%	0.40%	0.0%	0.0%	0.0%	0.15%	0.0%	0.26%	0.08%	0.07%	0.0%	0.07%	0.15%	0.15%	0.0%	0.0%	0.0%	0.08%	0.22%	0.0%	0.0%	0.0%	0.08%	0.0%	0.07%	0.0%	0.07%	0.12%	0.15%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.10%	0.0%	0.09%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	520	0	4	3	2	0	1	4	2	2	2	2	4	7	7	4	2	5	3	3	8	3	3	6	8	9	4	3	0	1	2	4	7	4	2	6	4	9	9	4	6	3	7	5	5	3	4	4	1	6	0	4	7	10	3	7	6	3	10	4	0	4	8	6	13	10	4	5	4	11	6	4	9	8	7	10	5	6	8	7	8	4	9	7	5	8	4	7	13	6	7	4	6	3	9	2	0	10	5	1	7	7	2					
		0.46%	0.0%	0.38%	0.31%	0.20%	0.0%	0.11%	0.49%	0.24%	0.18%	0.28%	0.19%	0.45%	0.59%	0.94%	0.51%	0.22%	0.55%	0.63%	0.27%	0.57%	0.36%	0.27%	0.45%	0.68%	0.56%	0.45%	0.22%	0.0%	0.13%	0.20%	0.32%	0.66%	0.38%	0.15%	0.43%	0.30%	0.57%	0.67%	0.26%	0.56%	0.23%	0.49%	0.42%	0.36%	0.33%	0.44%	0.39%	0.10%	0.6%	0.0%	0.45%	0.79%	0.91%	0.30%	0.65%	0.49%	0.23%	0.66%	0.27%	0.0%	0.29%	0.67%	0.43%	0.92%	0.66%	0.34%	0.44%	0.32%	0.82%	0.51%	0.35%	0.72%	0.63%	0.51%	0.76%	0.39%	0.45%	0.64%	0.53%	0.62%	0.35%	0.67%	0.74%	0.52%	0.63%	0.32%	0.53%	1.03%	0.50%	0.51%	0.49%	0.47%	0.30%	0.71%	0.16%	0.0%	0.66%	0.41%	0.10%	0.57%	0.64%	0.48%					
27	"10. ""Аграрная партия России"""	2384	11	25	22	29	16	14	24	25	13	28	14	20	22	20	34	20	23	10	28	58	35	22	31	31	46	19	36	18	17	25	23	18	25	29	41	28	42	21	20	23	25	29	21	35	13	26	19	19	16	30	9	23	24	22	31	23	30	37	33	0	25	25	24	33	25	28	13	27	25	22	14	18	21	21	28	29	19	25	30	20	27	16	19	23	25	18	34	20	24	19	16	38	22	16	19	1	10	21	17	30	16	10					
		2.12%	1.66%	2.41%	2.31%	2.92%	3.82%	1.57%	2.98%	3.05%	1.17%	3.93%	1.39%	2.28%	1.85%	2.71%	4.37%	2.25%	2.53%	2.11%	2.54%	4.17%	4.20%	2.05%	2.35%	2.64%	2.87%	2.14%	2.68%	2.20%	2.26%	2.50%	1.84%	1.71%	2.40%	2.30%	2.98%	2.10%	2.68%	1.58%	1.33%	2.17%	1.98%	2.05%	1.77%	2.56%	1.44%	2.88%	1.86%	1.97%	1.6%	2.91%	1.02%	2.60%	2.20%	2.20%	2.88%	1.88%	2.35%	2.44%	2.26%	0.0%	1.81%	2.10%	1.75%	2.35%	1.66%	2.38%	1.16%	2.18%	1.88%	1.87%	1.23%	1.45%	1.66%	1.54%	2.14%	2.28%	1.44%	2.02%	2.28%	1.55%	2.4%	1.20%	2.02%	2.39%	1.97%	1.44%	2.58%	1.58%	2.00%	1.40%	1.98%	3.00%	2.20%	1.26%	1.58%	4.76%	0.66%	1.74%	1.74%	2.46%	1.46%	2.43%					
28	"11. ""Истинные патриоты России"""	46	1	0	0	0	0	2	1	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	1	2	0	1	0	0	0	3	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	5	2	0	1	0	0					
