Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																		
Дата голосования: 18.09.2016																																																																																																																		
																																																																																																																		
Наименование Избирательной комиссии:    Балаковская																																																																																																																		
																																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																		
																																																																																																																		
		Сумма	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №1481									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2636	30	30	40	30	30	25	30	30	35	30	40	25	40	40	25	35	30	40	30	35	40	25	25	35	0	30	30	25	30	30	30	31	30	30	30	30	25	25	25	30	25	25	30	15	30	30	15	40	25	30	35	30	30	30	30	35	40	25	40	50	25	30	25	30	30	30	30	45	30	70	30	20	20	20	10	20	10	10	10	20	10	10	10	10	20	20	10	10	10	10	10	10	20	10	10	20	30	10	10	10	10	10	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1669	18	19	23	15	14	17	25	28	27	23	39	16	30	33	18	20	15	30	23	28	40	22	25	27	0	17	17	10	30	23	17	31	23	28	23	10	8	11	10	18	13	9	21	0	21	20	1	32	16	23	28	22	23	17	21	25	31	17	31	35	24	17	12	10	24	25	27	30	21	48	22	15	5	5	4	6	6	0	1	8	1	0	4	1	8	6	1	0	1	0	10	2	5	2	2	3	30	6	1	1	2	0	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1429	5	3	5	8	17	2	9	4	10	17	7	15	10	4	5	13	217	13	5	4	19	9	104	28	78	9	11	7	15	12	7	8	4	14	12	17	8	8	16	15	22	25	10	19	4	143	17	14	22	6	8	33	15	4	6	11	6	11	15	14	13	8	6	11	1	16	4	11	14	24	5	4	2	2	5	7	3	1	1	3	2	1	2	4	5	15	2	3	1	7	6	6	4	4	1	6	3	6	6	2	3	10	10									
14	Число погашенных неиспользованных открепительных удостоверений	967	12	11	17	15	16	8	5	2	8	7	1	9	10	7	7	15	15	10	7	7	0	3	0	8	0	13	13	15	0	7	13	0	7	2	7	20	17	14	15	12	12	16	9	15	9	10	14	8	9	7	7	8	7	13	9	10	9	8	9	15	1	13	13	20	6	5	3	15	9	22	8	5	15	15	6	14	4	10	9	12	9	10	6	9	12	14	9	10	9	10	0	8	15	8	8	17	0	4	9	9	8	10	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	266	1	2	2	0	3	1	5	2	2	1	4	2	4	5	1	3	6	4	4	3	3	2	3	3	0	2	4	4	5	6	3	4	1	3	2	1	0	3	2	1	1	0	6	1	2	3	0	10	3	5	6	7	6	0	2	5	8	0	4	7	0	5	1	2	3	7	8	6	6	8	7	0	5	2	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	2	2	0	0	0	2	1	3	1	1	1	0	0	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	911	12	23	10	19	10	4	19	13	12	13	27	6	15	19	9	14	9	14	23	15	12	12	12	0	0	14	5	3	15	13	13	10	16	29	4	8	6	6	9	13	5	6	1	0	6	5	2	16	10	11	5	11	12	18	19	23	15	10	11	16	13	0	6	8	18	14	12	15	19	15	25	2	9	1	2	3	4	0	0	4	0	1	1	3	2	4	1	0	2	0	3	1	4	2	3	2	4	3	0	1	3	0	13									
		1.18%	1.35%	2.26%	2.18%	1.05%	1.36%	0.70%	2.26%	1.55%	1.81%	1.38%	3.02%	0.58%	1.67%	2.07%	1.38%	1.97%	0.51%	1.78%	2.64%	2.01%	1.27%	1.60%	0.91%	0.00%	0.00%	1.43%	0.32%	0.38%	1.80%	1.15%	1.50%	1.17%	1.62%	2.64%	0.79%	0.84%	1.20%	0.90%	0.90%	1.78%	0.80%	1.40%	0.05%	0.00%	0.61%	0.24%	0.48%	2.09%	0.69%	1.02%	0.50%	1.18%	1.42%	1.69%	1.83%	2.29%	1.54%	1.22%	0.95%	1.30%	1.68%	0.00%	0.83%	0.91%	1.93%	1.41%	1.69%	1.77%	1.22%	1.19%	2.88%	0.38%	2.43%	0.25%	0.82%	0.90%	0.78%	0.00%	0.00%	0.93%	0.00%	1.49%	0.25%	0.98%	0.44%	0.33%	0.49%	0.00%	1.25%	0.00%	0.74%	0.97%	0.68%	0.65%	1.03%	0.58%	1.64%	2.19%	0.00%	0.35%	2.34%	0.00%	2.58%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1839	30	30	29	26	17	15	16	31	17	35	39	4	24	29	11	16	8	22	27	23	39	23	32	0	0	38	12	4	29	42	24	38	34	35	14	19	20	13	5	23	18	11	4	2	28	20	10	23	3	28	0	39	41	32	30	20	23	28	45	26	20	4	11	9	39	37	15	20	24	21	27	16	9	9	13	12	3	4	3	9	1	1	5	6	10	30	28	8	4	9	12	3	17	7	2	11	9	5	4	9	5	3	21									
		2.38%	3.37%	2.94%	6.33%	1.44%	2.31%	2.62%	1.90%	3.70%	2.56%	3.72%	4.36%	0.38%	2.68%	3.15%	1.69%	2.26%	0.46%	2.80%	3.10%	3.07%	4.14%	3.07%	2.44%	0.00%	0.00%	3.89%	0.77%	0.50%	3.48%	3.71%	2.77%	4.45%	3.44%	3.18%	2.75%	1.99%	3.98%	1.95%	0.50%	3.14%	2.88%	2.56%	0.20%	0.72%	2.86%	0.98%	2.39%	2.99%	0.21%	2.60%	0.00%	4.18%	4.85%	3.01%	2.89%	1.99%	2.36%	3.40%	3.87%	2.11%	2.59%	0.42%	1.53%	1.02%	4.17%	3.74%	2.12%	2.36%	1.54%	1.67%	3.11%	3.07%	2.43%	2.22%	5.33%	3.61%	0.58%	1.37%	2.01%	2.10%	1.11%	1.49%	1.24%	1.96%	2.21%	2.50%	13.66%	3.81%	2.50%	4.43%	2.96%	2.91%	2.91%	2.26%	0.68%	3.19%	3.69%	3.65%	5.41%	3.11%	3.91%	0.86%	4.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1285	23	27	12	16	17	19	15	12	9	18	19	8	18	23	18	12	11	19	18	7	20	18	12	0	4	14	10	2	30	22	15	20	17	27	6	8	6	10	12	11	12	10	3	5	27	11	6	22	4	15	5	11	24	35	29	23	23	26	30	43	32	2	8	12	24	24	22	22	15	28	14	7	5	10	6	7	1	3	0	0	1	0	6	1	6	8	1	3	3	3	9	1	13	1	2	11	2	2	0	2	2	1	16									
		1.66%	2.59%	2.65%	2.62%	0.89%	2.31%	3.32%	1.79%	1.43%	1.36%	1.91%	2.13%	0.77%	2.01%	2.50%	2.76%	1.69%	0.63%	2.41%	2.07%	0.94%	2.12%	2.40%	0.91%	0.00%	1.29%	1.43%	0.64%	0.25%	3.60%	1.95%	1.73%	2.34%	1.72%	2.45%	1.18%	0.84%	1.20%	1.50%	1.20%	1.50%	1.92%	2.33%	0.15%	1.80%	2.76%	0.54%	1.43%	2.87%	0.28%	1.39%	0.50%	1.18%	2.84%	3.29%	2.79%	2.29%	2.36%	3.16%	2.58%	3.48%	4.14%	0.21%	1.11%	1.36%	2.57%	2.42%	3.11%	2.60%	0.96%	2.22%	1.61%	1.34%	1.35%	2.47%	2.46%	2.11%	0.19%	1.02%	0.00%	0.00%	1.11%	0.00%	1.49%	0.33%	1.33%	0.67%	0.49%	1.43%	1.88%	1.48%	2.22%	0.97%	2.22%	0.32%	0.68%	3.19%	0.82%	1.46%	0.00%	0.69%	1.56%	0.29%	3.18%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	44443	365	421	160	1444	327	241	368	370	287	368	365	881	388	371	273	320	1490	352	346	335	395	298	1052	1251	266	421	1257	599	346	589	344	366	413	429	298	688	281	291	847	329	316	211	1732	195	429	1854	284	327	1211	479	758	382	335	442	415	420	439	355	526	542	307	616	520	442	375	438	279	345	1250	682	365	309	177	230	133	218	406	237	107	313	70	50	272	232	283	845	150	136	124	144	249	65	410	225	244	231	166	97	53	216	82	249	217									
		57.45%	41.06%	41.32%	34.93%	80.00%	44.49%	42.06%	43.81%	44.15%	43.29%	39.15%	40.83%	84.63%	43.26%	40.33%	41.87%	45.13%	84.95%	44.73%	39.77%	44.79%	41.93%	39.73%	80.06%	80.71%	85.53%	43.09%	81.04%	75.44%	41.49%	52.08%	39.77%	42.86%	41.76%	39.00%	58.55%	71.89%	55.98%	43.76%	84.95%	44.95%	50.64%	49.07%	85.03%	70.14%	43.78%	90.66%	67.78%	42.63%	84.10%	44.52%	75.80%	40.90%	39.64%	41.54%	39.94%	41.79%	44.98%	43.13%	45.19%	43.89%	39.72%	64.37%	72.12%	50.23%	40.11%	44.24%	39.41%	40.73%	79.97%	54.08%	42.10%	59.20%	47.71%	56.79%	54.51%	65.66%	78.83%	80.89%	71.81%	73.13%	77.78%	74.63%	67.66%	75.82%	62.61%	70.42%	73.17%	64.76%	77.50%	70.94%	61.48%	63.11%	70.09%	72.58%	83.56%	66.96%	68.03%	70.80%	71.62%	74.74%	64.06%	71.76%	43.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	573	5	10	12	5	14	5	10	9	8	12	9	1	15	6	8	9	5	1	11	8	2	9	10	0	0	7	6	4	8	10	8	6	3	10	3	4	5	3	7	7	6	4	2	0	8	4	2	13	3	11	0	11	8	3	9	17	11	12	4	8	11	0	4	11	16	8	6	9	14	24	14	8	1	2	1	0	1	2	0	0	0	0	1	1	1	7	1	1	0	2	3	1	1	1	0	2	2	2	0	0	0	0	4									
		0.74%	0.56%	0.98%	2.62%	0.28%	1.90%	0.87%	1.19%	1.07%	1.21%	1.28%	1.01%	0.10%	1.67%	0.65%	1.23%	1.27%	0.29%	0.13%	1.26%	1.07%	0.21%	1.20%	0.76%	0.00%	0.00%	0.72%	0.39%	0.50%	0.96%	0.88%	0.92%	0.70%	0.30%	0.91%	0.59%	0.42%	0.99%	0.45%	0.70%	0.96%	0.96%	0.93%	0.10%	0.00%	0.82%	0.20%	0.48%	1.69%	0.21%	1.02%	0.00%	1.18%	0.95%	0.28%	0.87%	1.69%	1.13%	1.46%	0.34%	0.65%	1.42%	0.00%	0.55%	1.25%	1.71%	0.81%	0.85%	1.06%	0.90%	1.90%	1.61%	1.53%	0.27%	0.49%	0.41%	0.00%	0.19%	0.68%	0.00%	0.00%	0.00%	0.00%	0.25%	0.33%	0.22%	0.58%	0.49%	0.48%	0.00%	0.99%	0.74%	0.97%	0.17%	0.32%	0.00%	0.58%	0.82%	1.46%	0.00%	0.00%	0.00%	0.00%	0.80%									
24	"6. Политическая партия ""Гражданская Платформа"""	118	0	3	0	5	1	2	4	0	3	1	1	1	3	2	0	1	3	1	1	1	1	3	1	0	1	2	0	0	2	1	2	1	0	1	0	0	1	2	0	1	0	1	1	1	4	0	1	4	6	1	0	1	1	1	4	0	1	1	0	0	2	0	0	1	1	2	1	6	2	6	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	3	1	0	0	0	1	1	0	0	0	3	0	1	0									
		0.15%	0.00%	0.29%	0.00%	0.28%	0.14%	0.35%	0.48%	0.00%	0.45%	0.11%	0.11%	0.10%	0.33%	0.22%	0.00%	0.14%	0.17%	0.13%	0.11%	0.13%	0.11%	0.40%	0.08%	0.00%	0.32%	0.20%	0.00%	0.00%	0.24%	0.09%	0.23%	0.12%	0.00%	0.09%	0.00%	0.00%	0.20%	0.30%	0.00%	0.14%	0.00%	0.23%	0.05%	0.36%	0.41%	0.00%	0.24%	0.52%	0.42%	0.09%	0.00%	0.11%	0.12%	0.09%	0.38%	0.00%	0.10%	0.12%	0.00%	0.00%	0.26%	0.00%	0.00%	0.11%	0.11%	0.20%	0.14%	0.71%	0.13%	0.48%	0.12%	0.19%	0.27%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.22%	0.00%	0.00%	0.00%	0.63%	1.48%	0.25%	0.00%	0.00%	0.00%	0.34%	0.29%	0.00%	0.00%	0.00%	1.04%	0.00%	0.29%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	10382	170	167	70	104	134	126	138	127	125	188	133	60	157	161	92	100	88	123	152	135	178	135	69	172	10	151	6	53	164	132	159	167	191	176	76	84	85	129	33	124	102	66	28	38	193	62	49	148	60	159	108	157	141	188	221	170	177	152	199	224	154	128	60	132	154	181	150	166	50	229	176	100	76	64	41	40	48	25	18	52	7	11	60	34	59	178	16	28	15	10	58	15	55	36	15	29	27	16	8	24	15	40	96									
		13.42%	19.12%	16.39%	15.28%	5.76%	18.23%	21.99%	16.43%	15.16%	18.85%	20.00%	14.88%	5.76%	17.50%	17.50%	14.11%	14.10%	5.02%	15.63%	17.47%	18.05%	18.90%	18.00%	5.25%	11.10%	3.22%	15.46%	0.39%	6.68%	19.66%	11.67%	18.38%	19.56%	19.31%	16.00%	14.93%	8.78%	16.93%	19.40%	3.31%	16.94%	16.35%	15.35%	1.37%	13.67%	19.69%	3.03%	11.69%	19.30%	4.17%	14.78%	10.80%	16.81%	16.69%	17.67%	21.27%	16.92%	18.14%	18.47%	17.10%	18.14%	19.92%	13.38%	8.32%	15.00%	16.47%	18.28%	21.19%	19.60%	3.20%	18.16%	20.30%	19.16%	20.49%	15.80%	16.80%	12.05%	9.32%	8.53%	12.08%	12.15%	7.78%	16.42%	14.93%	11.11%	13.05%	14.83%	7.80%	13.33%	9.38%	4.93%	14.32%	14.56%	9.40%	11.61%	5.14%	8.41%	11.07%	11.68%	10.81%	8.30%	11.72%	11.53%	19.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	551	8	6	10	14	5	12	4	8	5	9	9	1	10	8	5	9	5	6	7	4	6	12	4	0	0	7	3	3	14	2	17	9	15	8	3	3	3	6	7	6	4	5	2	0	15	2	1	5	5	14	4	8	6	6	12	14	9	5	8	15	13	2	3	13	5	13	10	12	13	7	9	3	4	0	2	1	0	0	1	1	0	0	0	1	3	6	0	0	1	0	4	1	1	0	0	0	0	0	0	0	0	2	7									
		0.71%	0.90%	0.59%	2.18%	0.78%	0.68%	2.09%	0.48%	0.95%	0.75%	0.96%	1.01%	0.10%	1.11%	0.87%	0.77%	1.27%	0.29%	0.76%	0.80%	0.53%	0.64%	1.60%	0.30%	0.00%	0.00%	0.72%	0.19%	0.38%	1.68%	0.18%	1.97%	1.05%	1.52%	0.73%	0.59%	0.31%	0.60%	0.90%	0.70%	0.82%	0.64%	1.16%	0.10%	0.00%	1.53%	0.10%	0.24%	0.65%	0.35%	1.30%	0.40%	0.86%	0.71%	0.56%	1.15%	1.39%	0.92%	0.61%	0.69%	1.21%	1.68%	0.21%	0.42%	1.48%	0.53%	1.31%	1.41%	1.42%	0.83%	0.56%	1.04%	0.57%	1.08%	0.00%	0.82%	0.30%	0.00%	0.00%	0.67%	0.23%	0.00%	0.00%	0.00%	0.33%	0.66%	0.50%	0.00%	0.00%	0.63%	0.00%	0.99%	0.97%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	1.39%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	608	8	9	15	7	11	7	8	11	14	12	12	1	3	23	5	3	5	4	11	6	5	5	8	0	0	15	12	1	8	11	5	4	6	16	4	2	0	5	2	9	6	4	1	1	8	1	3	6	12	11	1	13	17	16	7	15	19	11	9	25	5	0	5	16	8	8	5	14	12	10	18	1	5	1	2	1	1	0	2	1	0	0	2	0	1	4	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	3									
		0.79%	0.90%	0.88%	3.28%	0.39%	1.50%	1.22%	0.95%	1.31%	2.11%	1.28%	1.34%	0.10%	0.33%	2.50%	0.77%	0.42%	0.29%	0.51%	1.26%	0.80%	0.53%	0.67%	0.61%	0.00%	0.00%	1.54%	0.77%	0.13%	0.96%	0.97%	0.58%	0.47%	0.61%	1.45%	0.79%	0.21%	0.00%	0.75%	0.20%	1.23%	0.96%	0.93%	0.05%	0.36%	0.82%	0.05%	0.72%	0.78%	0.83%	1.02%	0.10%	1.39%	2.01%	1.50%	0.67%	1.49%	1.95%	1.34%	0.77%	2.02%	0.65%	0.00%	0.69%	1.82%	0.86%	0.81%	0.71%	1.65%	0.77%	0.79%	2.08%	0.19%	1.35%	0.25%	0.82%	0.30%	0.19%	0.00%	1.34%	0.23%	0.00%	0.00%	0.50%	0.00%	0.22%	0.33%	0.00%	0.00%	0.00%	0.49%	0.25%	0.00%	0.00%	0.00%	0.34%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	101	3	6	1	0	0	2	3	1	1	1	1	0	2	1	2	1	2	4	4	2	0	0	1	0	0	1	1	0	1	1	1	2	0	2	1	1	0	0	1	1	1	0	1	0	2	1	0	3	2	1	0	1	2	2	1	0	3	2	3	4	0	0	0	1	2	1	1	3	1	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2									
		0.13%	0.34%	0.59%	0.22%	0.00%	0.00%	0.35%	0.36%	0.12%	0.15%	0.11%	0.11%	0.00%	0.22%	0.11%	0.31%	0.14%	0.11%	0.51%	0.46%	0.27%	0.00%	0.00%	0.08%	0.00%	0.00%	0.10%	0.06%	0.00%	0.12%	0.09%	0.12%	0.23%	0.00%	0.18%	0.20%	0.10%	0.00%	0.00%	0.10%	0.14%	0.16%	0.00%	0.05%	0.00%	0.20%	0.05%	0.00%	0.39%	0.14%	0.09%	0.00%	0.11%	0.24%	0.19%	0.10%	0.00%	0.31%	0.24%	0.26%	0.32%	0.00%	0.00%	0.00%	0.11%	0.21%	0.10%	0.14%	0.35%	0.06%	0.00%	0.35%	0.19%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%									
