Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																															
Дата голосования: 04.12.2011																																																																																																															
																																																																																																															
Наименование Избирательной комиссии:    Сургутская городская																																																																																																															
																																																																																																															
Сводная таблица результатов выборов																																																																																																															
																																																																																																															
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	8260	80	80	80	80	80	80	80	100	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2528	33	35	24	45	23	15	29	80	19	18	26	44	37	17	30	70	27	23	23	22	19	23	26	21	21	25	25	22	28	30	33	20	30	30	35	23	22	18	20	19	16	22	28	22	25	38	38	41	26	28	17	29	22	28	24	23	18	16	23	37	25	20	25	33	34	18	21	21	28	30	27	18	29	16	20	17	15	17	20	28	17	26	34	28	25	25	13	23	9	8	4	10	31	10	17	19	18	27	30	14	9	11	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1553	208	21	94	22	15	21	13	20	26	9	10	5	19	5	9	12	7	17	7	14	14	11	5	4	15	13	12	5	10	11	10	12	10	8	27	10	7	5	9	13	9	13	7	13	14	14	5	14	15	7	8	11	5	9	5	4	9	16	10	8	7	19	12	24	11	6	0	7	14	3	18	5	14	2	10	7	5	12	6	6	4	6	15	11	5	16	9	16	2	11	32	7	2	19	16	12	11	7	12	11	3	7	23	147					
14	Число погашенных неиспользованных открепительных удостоверений	5732	47	45	56	35	57	65	51	20	61	62	54	36	43	63	50	10	53	57	57	58	61	57	54	59	59	55	55	58	52	50	47	60	50	50	45	57	58	62	60	61	64	58	52	58	55	42	42	39	54	52	63	51	58	52	56	57	62	64	57	43	55	60	55	47	46	62	59	59	52	50	53	62	51	64	60	63	65	63	60	52	63	54	46	52	55	55	67	57	71	72	76	70	49	70	63	61	62	53	50	66	71	69	73	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	112	0	2	0	5	3	1	0	1	0	0	1	4	1	0	0	2	1	1	4	1	3	2	1	0	2	2	1	0	1	4	0	0	1	1	1	2	0	0	4	1	1	2	0	3	2	0	3	2	1	1	2	1	0	0	1	0	1	1	0	1	2	1	4	0	2	1	1	1	1	0	3	1	1	2	2	0	1	0	2	0	0	0	1	1	1	0	1	0	0	0	0	0	0	2	2	0	0	3	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	16837	273	194	213	205	206	184	159	212	128	203	127	122	148	71	173	152	224	173	176	204	168	203	164	160	197	139	184	164	199	185	187	160	201	168	179	187	172	143	144	128	124	196	180	172	130	193	229	213	264	90	117	151	182	182	193	169	173	132	226	186	200	157	174	282	256	216	210	157	202	171	216	139	175	171	160	131	130	160	240	158	143	198	163	148	122	148	196	105	31	44	34	86	61	50	154	124	168	158	158	200	31	59	55	15					
		15.31%	20.00%	13.97%	14.86%	14.21%	14.95%	14.77%	13.46%	16.43%	14.70%	16.42%	13.20%	12.91%	12.77%	13.22%	16.24%	12.33%	16.80%	15.47%	17.29%	15.55%	14.19%	16.15%	16.19%	18.48%	15.60%	15.33%	14.77%	14.08%	15.23%	15.25%	16.64%	17.82%	18.14%	15.44%	14.25%	13.87%	14.60%	11.99%	12.66%	14.53%	13.18%	16.94%	15.25%	14.75%	13.20%	16.33%	18.32%	15.43%	19.19%	15.23%	13.27%	13.46%	15.56%	16.44%	14.44%	14.57%	16.43%	13.02%	17.55%	15.30%	16.13%	12.26%	15.25%	18.32%	17.57%	15.62%	16.60%	15.36%	16.37%	16.90%	17.63%	15.14%	16.99%	17.26%	14.77%	17.24%	15.31%	16.51%	19.43%	14.99%	14.88%	16.94%	16.37%	15.51%	14.25%	14.27%	18.15%	11.46%	10.00%	10.97%	8.54%	15.58%	13.74%	12.66%	12.67%	13.96%	15.11%	16.97%	14.32%	15.55%	8.76%	10.97%	10.66%	10.20%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	24001	272	304	291	313	282	278	271	268	207	254	247	216	273	105	224	305	258	238	190	268	268	282	224	188	250	229	265	283	267	240	246	201	216	248	280	338	253	314	260	172	204	231	274	267	230	271	277	295	288	119	176	226	231	220	293	272	213	219	274	254	262	318	261	298	300	276	253	201	274	227	257	223	215	218	248	133	186	210	284	242	229	234	226	190	163	228	225	248	78	105	99	124	111	85	253	227	266	184	255	288	80	130	125	40					
		21.83%	19.93%	21.89%	20.31%	21.69%	20.46%	22.31%	22.95%	20.78%	23.77%	20.55%	25.68%	22.86%	23.55%	19.55%	21.03%	24.74%	19.35%	21.29%	18.66%	20.43%	22.64%	22.43%	22.11%	21.71%	19.79%	25.25%	21.27%	24.29%	20.43%	19.79%	21.89%	22.38%	19.49%	22.79%	22.29%	25.07%	21.48%	26.34%	22.87%	19.52%	21.68%	19.97%	23.22%	22.90%	23.35%	22.93%	22.16%	21.38%	20.93%	20.14%	19.95%	20.14%	19.74%	19.87%	21.91%	23.45%	20.23%	21.60%	21.27%	20.89%	21.13%	24.82%	22.87%	19.36%	20.59%	19.96%	20.00%	19.67%	22.20%	22.43%	20.98%	24.29%	20.87%	21.99%	22.90%	17.50%	21.91%	21.67%	22.99%	22.96%	23.83%	20.02%	22.69%	19.92%	19.04%	21.99%	20.83%	27.07%	25.16%	26.18%	24.87%	22.46%	25.00%	21.52%	20.82%	25.56%	23.92%	19.76%	23.12%	22.40%	22.60%	24.16%	24.22%	27.21%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1560	12	11	28	19	30	19	13	26	8	15	13	15	12	11	20	18	18	17	27	20	15	16	11	16	12	18	23	9	26	17	20	10	13	16	23	19	21	16	18	19	10	22	14	18	11	22	15	25	23	3	14	18	11	20	25	24	13	15	10	9	9	23	10	18	16	24	21	14	19	8	17	14	20	14	10	12	7	15	20	19	16	18	11	15	8	16	18	12	6	2	4	4	3	7	20	13	7	12	8	19	5	5	7	2					
		1.42%	0.88%	0.79%	1.95%	1.32%	2.18%	1.52%	1.10%	2.02%	0.92%	1.21%	1.35%	1.59%	1.04%	2.05%	1.88%	1.46%	1.35%	1.52%	2.65%	1.52%	1.27%	1.27%	1.09%	1.85%	0.95%	1.98%	1.85%	0.77%	1.99%	1.40%	1.78%	1.11%	1.17%	1.47%	1.83%	1.41%	1.78%	1.34%	1.58%	2.16%	1.06%	1.90%	1.19%	1.54%	1.12%	1.86%	1.20%	1.81%	1.67%	0.51%	1.59%	1.60%	0.94%	1.81%	1.87%	2.07%	1.23%	1.48%	0.78%	0.74%	0.73%	1.80%	0.88%	1.17%	1.10%	1.74%	1.66%	1.37%	1.54%	0.79%	1.39%	1.53%	1.94%	1.41%	0.92%	1.58%	0.82%	1.55%	1.62%	1.80%	1.66%	1.54%	1.10%	1.57%	0.93%	1.54%	1.67%	1.31%	1.94%	0.50%	1.01%	0.72%	0.68%	1.77%	1.65%	1.46%	0.63%	1.29%	0.73%	1.48%	1.41%	0.93%	1.36%	1.36%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	19594	255	251	306	247	250	204	192	245	149	225	179	188	222	117	210	235	255	192	193	239	202	249	140	154	252	151	223	207	238	234	224	155	198	209	207	218	201	208	213	166	157	188	210	195	187	192	230	220	258	94	147	209	196	191	253	214	163	194	212	206	236	212	198	273	261	251	224	170	231	175	198	162	164	172	206	135	158	181	228	189	161	214	166	165	162	165	159	162	59	78	75	91	100	74	223	154	194	179	153	204	69	98	115	31					
		17.82%	18.68%	18.07%	21.35%	17.12%	18.14%	16.37%	16.26%	18.99%	17.11%	18.20%	18.61%	19.89%	19.15%	21.79%	19.72%	19.06%	19.13%	17.17%	18.96%	18.22%	17.06%	19.81%	13.82%	17.78%	19.95%	16.65%	17.90%	17.77%	18.21%	19.29%	19.93%	17.26%	17.87%	19.21%	16.48%	16.17%	17.06%	17.45%	18.73%	18.84%	16.68%	16.25%	17.80%	16.72%	18.98%	16.24%	18.40%	15.94%	18.75%	15.91%	16.67%	18.63%	16.75%	17.25%	18.92%	18.45%	15.48%	19.13%	16.46%	16.94%	19.03%	16.55%	17.35%	17.74%	17.91%	18.15%	17.71%	16.63%	18.72%	17.29%	16.16%	17.65%	15.92%	17.36%	19.02%	17.76%	18.61%	18.68%	18.46%	17.93%	16.75%	18.31%	16.67%	17.30%	18.93%	15.91%	14.72%	17.69%	19.03%	19.45%	18.84%	16.49%	22.52%	18.73%	18.35%	17.34%	17.45%	19.23%	13.87%	15.86%	19.49%	18.22%	22.29%	21.09%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4456	44	55	59	57	74	61	54	47	25	52	37	32	39	22	61	35	64	46	62	85	52	53	33	29	60	28	57	45	53	89	38	36	61	42	47	46	36	31	33	46	37	45	49	31	37	48	47	65	57	36	59	42	57	51	71	39	45	58	88	74	46	60	53	74	66	58	62	46	38	27	63	34	54	22	41	28	31	37	47	37	40	36	43	45	44	37	34	18	9	2	3	9	3	16	40	22	31	35	36	30	11	11	11	4					
		4.05%	3.22%	3.96%	4.12%	3.95%	5.37%	4.90%	4.57%	3.64%	2.87%	4.21%	3.85%	3.39%	3.36%	4.10%	5.73%	2.84%	4.80%	4.11%	6.09%	6.48%	4.39%	4.22%	3.26%	3.35%	4.75%	3.09%	4.57%	3.86%	4.06%	7.34%	3.38%	4.01%	5.51%	3.86%	3.74%	3.41%	3.06%	2.60%	2.90%	5.22%	3.93%	3.89%	4.15%	2.66%	3.76%	4.06%	3.76%	4.71%	4.14%	6.09%	6.69%	3.74%	4.87%	4.61%	5.31%	3.36%	4.27%	5.72%	6.83%	6.09%	3.71%	4.68%	4.65%	4.81%	4.53%	4.19%	4.90%	4.50%	3.08%	2.67%	5.14%	3.70%	5.24%	2.22%	3.79%	3.68%	3.65%	3.82%	3.81%	3.51%	4.16%	3.08%	4.32%	4.72%	5.14%	3.57%	3.15%	1.97%	2.90%	0.50%	0.75%	1.63%	0.68%	4.05%	3.29%	2.48%	2.79%	3.76%	3.26%	2.33%	3.11%	2.04%	2.13%	2.72%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	41017	480	545	503	560	502	471	459	459	335	462	339	355	449	195	357	454	491	431	351	464	437	420	417	305	454	315	461	430	499	420	388	316	402	377	488	515	474	458	448	328	386	451	424	463	372	430	434	519	456	240	351	448	468	417	475	416	423	377	441	456	457	488	412	563	526	520	459	402	450	391	449	321	377	373	394	309	319	347	386	390	352	440	357	372	340	426	422	348	124	156	170	229	157	156	484	328	423	349	458	518	155	227	182	50					
		37.31%	35.16%	39.24%	35.10%	38.81%	36.43%	37.80%	38.87%	35.58%	38.46%	37.38%	35.24%	37.57%	38.74%	36.31%	33.52%	36.82%	36.83%	38.55%	34.48%	35.37%	36.91%	33.41%	41.16%	35.22%	35.95%	34.73%	36.99%	36.91%	38.18%	34.62%	34.52%	35.19%	36.28%	34.65%	38.85%	38.20%	40.24%	38.42%	39.40%	37.23%	41.02%	38.98%	35.93%	39.71%	37.77%	36.38%	34.72%	37.61%	33.14%	40.61%	39.80%	39.93%	40.00%	37.67%	35.53%	35.86%	40.17%	37.18%	34.24%	37.50%	36.85%	38.10%	36.11%	36.58%	36.10%	37.60%	36.28%	39.33%	36.47%	38.64%	36.65%	34.97%	36.60%	37.64%	36.38%	40.66%	37.57%	35.81%	31.26%	37.00%	36.63%	37.64%	35.84%	38.99%	39.72%	41.08%	39.07%	37.99%	40.00%	38.90%	42.71%	41.49%	35.36%	39.49%	39.84%	36.94%	38.04%	37.49%	41.52%	40.28%	43.79%	42.19%	35.27%	34.01%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	932	8	15	13	18	12	13	12	9	4	10	7	4	5	5	6	10	8	9	8	17	14	16	8	4	8	11	16	9	12	11	10	10	11	9	14	10	6	8	7	7	13	7	11	6	5	8	9	22	14	4	8	11	10	13	12	11	12	3	12	13	6	6	4	12	13	15	17	6	9	4	11	11	8	9	9	5	8	2	10	12	8	12	16	6	10	10	5	7	3	4	1	1	2	0	12	6	8	5	12	15	1	4	7	2					
		0.85%	0.59%	1.08%	0.91%	1.25%	0.87%	1.04%	1.02%	0.70%	0.46%	0.81%	0.73%	0.42%	0.43%	0.93%	0.56%	0.81%	0.60%	0.81%	0.79%	1.30%	1.18%	1.27%	0.79%	0.46%	0.63%	1.21%	1.28%	0.77%	0.92%	0.91%	0.89%	1.11%	0.99%	0.83%	1.11%	0.74%	0.51%	0.67%	0.62%	0.79%	1.38%	0.61%	0.93%	0.51%	0.51%	0.68%	0.72%	1.59%	1.02%	0.68%	0.91%	0.98%	0.85%	1.17%	0.90%	0.95%	1.14%	0.30%	0.93%	1.07%	0.48%	0.47%	0.35%	0.78%	0.89%	1.08%	1.34%	0.59%	0.73%	0.40%	0.90%	1.20%	0.78%	0.91%	0.83%	0.66%	0.94%	0.21%	0.81%	1.14%	0.83%	1.03%	1.61%	0.63%	1.17%	0.96%	0.46%	0.76%	0.97%	0.99%	0.25%	0.18%	0.45%	0.00%	0.99%	0.68%	0.72%	0.54%	1.09%	1.17%	0.28%	0.74%	1.36%	1.36%					
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
