Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Мирнинская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	792	10	20	10	20	40	11	20	20	10	20	20	30	27	21	23	10	40	30	10	20	25	20	70	10	30	20	20	12	15	38	5	20	25	20	25	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	698	5	19	7	16	40	6	11	14	7	18	19	28	27	21	21	10	39	28	10	14	19	1	70	7	26	17	19	10	15	35	4	20	25	20	25	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	333	4	6	1	13	13	171	9	2	5	5	5	4	5	3	4	3	9	0	5	13	2	1	14	2	2	1	1	0	1	2	2	9	6	1	2	7					
14	Число погашенных открепительных удостоверений	94	5	1	3	4	0	5	9	6	3	2	1	2	0	0	2	0	1	2	0	6	6	19	0	3	4	3	1	2	0	3	1	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	672	19	14	8	10	20	17	16	12	6	13	16	18	13	24	15	10	29	5	10	23	23	4	15	16	3	20	44	27	26	27	2	24	46	34	30	33					
		1.62%	2.86%	1.99%	2.27%	1.00%	1.34%	1.86%	1.72%	1.14%	1.93%	1.13%	1.10%	1.45%	0.89%	1.13%	1.03%	1.74%	3.64%	1.96%	4.92%	7.82%	2.45%	3.27%	0.80%	1.90%	0.77%	1.58%	2.25%	1.23%	1.13%	1.22%	0.77%	1.70%	2.62%	1.92%	1.63%	1.72%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1804	35	20	12	66	101	42	36	54	8	63	73	73	101	133	91	19	38	4	7	8	39	3	40	43	20	49	33	57	39	54	14	66	94	103	79	87					
		4.36%	5.27%	2.84%	3.40%	6.62%	6.77%	4.60%	3.87%	5.14%	2.58%	5.48%	5.04%	5.89%	6.94%	6.27%	6.25%	3.31%	4.77%	1.56%	3.44%	2.72%	4.16%	2.45%	2.13%	5.10%	5.16%	3.87%	1.69%	2.61%	1.69%	2.44%	5.44%	4.68%	5.37%	5.83%	4.30%	4.55%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	934	15	15	8	17	36	19	17	21	6	29	20	36	39	48	24	13	24	9	8	8	29	3	37	20	11	41	37	38	21	48	1	36	55	47	50	48					
		2.25%	2.25%	2.13%	2.27%	1.70%	2.41%	2.08%	1.83%	2.00%	1.93%	2.52%	1.38%	2.90%	2.68%	2.26%	1.65%	2.26%	3.01%	3.52%	3.94%	2.72%	3.09%	2.45%	1.97%	2.37%	2.84%	3.24%	1.89%	1.74%	0.91%	2.17%	0.38%	2.55%	3.14%	2.66%	2.72%	2.51%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1514	23	27	14	43	62	26	35	49	11	43	73	66	73	98	67	20	13	5	1	8	12	0	53	39	14	66	33	34	56	80	14	33	86	69	75	93					
		3.65%	3.46%	3.84%	3.97%	4.31%	4.16%	2.84%	3.77%	4.67%	3.54%	3.74%	5.04%	5.32%	5.02%	4.62%	4.60%	3.49%	1.63%	1.96%	0.49%	2.72%	1.28%	0.0%	2.83%	4.63%	3.61%	5.22%	1.69%	1.55%	2.43%	3.62%	5.44%	2.34%	4.91%	3.90%	4.09%	4.86%					
22	"5. ""За Русь Святую"""	109	2	0	2	3	7	3	2	0	0	3	2	3	7	7	4	4	0	3	0	0	5	0	5	1	1	0	7	2	6	5	0	3	1	6	7	8					
		0.26%	0.30%	0.0%	0.56%	0.30%	0.46%	0.32%	0.21%	0.0%	0.0%	0.26%	0.13%	0.24%	0.48%	0.33%	0.27%	0.69%	0.0%	1.17%	0.0%	0.0%	0.53%	0.0%	0.26%	0.11%	0.25%	0.0%	0.35%	0.09%	0.26%	0.22%	0.0%	0.21%	0.05%	0.33%	0.38%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	80	0	2	1	1	2	3	2	3	0	3	1	0	2	6	4	1	0	0	0	1	2	0	7	1	2	2	3	1	1	6	0	1	11	6	5	0					
		0.19%	0.0%	0.28%	0.28%	0.10%	0.13%	0.32%	0.21%	0.28%	0.0%	0.26%	0.06%	0.0%	0.13%	0.28%	0.27%	0.17%	0.0%	0.0%	0.0%	0.34%	0.21%	0.0%	0.37%	0.11%	0.51%	0.15%	0.15%	0.04%	0.04%	0.27%	0.0%	0.07%	0.62%	0.33%	0.27%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	260	4	5	6	1	5	11	2	7	6	9	7	7	10	13	15	3	2	2	3	4	4	0	5	6	2	15	16	18	12	0	2	7	11	14	14	12					
		0.62%	0.60%	0.71%	1.70%	0.10%	0.33%	1.20%	0.21%	0.66%	1.93%	0.78%	0.48%	0.56%	0.68%	0.61%	1.03%	0.52%	0.25%	0.78%	1.47%	1.36%	0.42%	0.0%	0.26%	0.71%	0.51%	1.18%	0.81%	0.82%	0.52%	0.0%	0.77%	0.49%	0.62%	0.79%	0.76%	0.62%					
25	"8. ""Народно-республиканская партия России"""	50	0	1	0	3	2	0	1	0	0	0	2	0	1	7	1	0	1	1	0	0	0	0	3	0	0	2	2	2	1	2	0	2	3	6	1	6					
		0.12%	0.0%	0.14%	0.0%	0.30%	0.13%	0.0%	0.10%	0.0%	0.0%	0.0%	0.13%	0.0%	0.06%	0.33%	0.06%	0.0%	0.12%	0.39%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.15%	0.10%	0.09%	0.04%	0.09%	0.0%	0.14%	0.17%	0.33%	0.05%	0.31%					
26	"9. ""Российская экологическая партия ""Зеленые"""	171	2	2	2	5	4	5	4	7	0	6	5	9	5	3	3	2	1	1	0	1	1	0	4	8	2	5	8	14	6	11	0	7	13	11	8	6					
		0.41%	0.30%	0.28%	0.56%	0.50%	0.26%	0.54%	0.43%	0.66%	0.0%	0.52%	0.34%	0.72%	0.34%	0.14%	0.20%	0.34%	0.12%	0.39%	0.0%	0.34%	0.10%	0.0%	0.21%	0.95%	0.51%	0.39%	0.40%	0.64%	0.26%	0.49%	0.0%	0.49%	0.74%	0.62%	0.43%	0.31%					
27	"10. ""Аграрная партия России"""	513	10	5	5	8	17	14	10	14	2	8	19	13	20	20	15	4	32	1	1	12	5	1	27	11	2	20	35	28	27	34	2	18	14	24	18	17					
		1.23%	1.50%	0.71%	1.42%	0.80%	1.14%	1.53%	1.07%	1.33%	0.64%	0.69%	1.31%	1.04%	1.37%	0.94%	1.03%	0.69%	4.02%	0.39%	0.49%	4.08%	0.53%	0.81%	1.44%	1.30%	0.51%	1.58%	1.79%	1.28%	1.17%	1.54%	0.77%	1.27%	0.8%	1.35%	0.98%	0.88%					
28	"11. ""Истинные патриоты России"""	79	0	0	2	1	4	3	1	2	4	4	2	3	1	3	5	0	2	0	0	0	2	0	3	0	2	3	3	4	9	3	1	0	2	1	7	2					
		0.19%	0.0%	0.0%	0.56%	0.10%	0.26%	0.32%	0.10%	0.19%	1.29%	0.34%	0.13%	0.24%	0.06%	0.14%	0.34%	0.0%	0.25%	0.0%	0.0%	0.0%	0.21%	0.0%	0.16%	0.0%	0.51%	0.23%	0.15%	0.18%	0.39%	0.13%	0.38%	0.0%	0.11%	0.05%	0.38%	0.10%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	232	2	3	6	7	4	8	6	5	3	4	6	8	6	6	7	3	3	4	1	3	11	2	5	8	2	5	11	16	9	5	2	9	13	12	8	19					
		0.56%	0.30%	0.42%	1.70%	0.70%	0.26%	0.87%	0.64%	0.47%	0.96%	0.34%	0.41%	0.64%	0.41%	0.28%	0.48%	0.52%	0.37%	1.56%	0.49%	1.02%	1.17%	1.63%	0.26%	0.95%	0.51%	0.39%	0.56%	0.73%	0.39%	0.22%	0.77%	0.63%	0.74%	0.67%	0.43%	0.99%					
30	"13. ""Демократическая партия России"""	68	0	2	0	1	1	2	0	2	1	2	6	2	1	3	3	0	0	2	0	0	1	1	2	1	2	1	6	4	2	2	0	3	8	2	4	1					
		0.16%	0.0%	0.28%	0.0%	0.10%	0.06%	0.21%	0.0%	0.19%	0.32%	0.17%	0.41%	0.16%	0.06%	0.14%	0.20%	0.0%	0.0%	0.78%	0.0%	0.0%	0.10%	0.81%	0.10%	0.11%	0.51%	0.07%	0.30%	0.18%	0.08%	0.09%	0.0%	0.21%	0.45%	0.11%	0.21%	0.05%					
31	"14. ""Великая Россия - Евразийский Союз"""	99	2	1	0	3	1	3	4	5	0	0	2	4	1	7	1	2	5	2	4	2	2	0	2	2	4	2	2	3	5	2	0	6	8	3	4	5					
		0.23%	0.30%	0.14%	0.0%	0.30%	0.06%	0.32%	0.43%	0.47%	0.0%	0.0%	0.13%	0.32%	0.06%	0.33%	0.06%	0.34%	0.62%	0.78%	1.97%	0.68%	0.21%	0.0%	0.10%	0.23%	1.03%	0.15%	0.10%	0.13%	0.21%	0.09%	0.0%	0.42%	0.45%	0.16%	0.21%	0.26%					
32	"15. ""Партия СЛОН"""	50	1	0	0	1	1	1	0	1	0	1	6	0	0	3	2	1	0	1	0	0	3	0	2	2	1	2	3	3	2	2	0	3	4	1	2	1					
		0.12%	0.15%	0.0%	0.0%	0.10%	0.06%	0.10%	0.0%	0.09%	0.0%	0.08%	0.41%	0.0%	0.0%	0.14%	0.13%	0.17%	0.0%	0.39%	0.0%	0.0%	0.32%	0.0%	0.10%	0.23%	0.25%	0.15%	0.15%	0.13%	0.08%	0.09%	0.0%	0.21%	0.22%	0.05%	0.10%	0.05%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2234	27	26	21	48	86	42	49	64	10	55	63	77	85	109	68	26	74	7	24	23	27	2	82	71	35	100	68	91	73	92	20	91	143	144	108	103					
		5.39%	4.06%	3.70%	5.96%	4.81%	5.77%	4.60%	5.28%	6.10%	3.22%	4.79%	4.35%	6.21%	5.84%	5.14%	4.67%	4.53%	9.30%	2.74%	11.82%	7.82%	2.88%	1.63%	4.38%	8.43%	9.04%	7.91%	3.48%	4.17%	3.17%	4.17%	7.78%	6.45%	8.17%	8.15%	5.89%	5.38%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	72	0	0	1	1	5	0	0	1	1	0	2	1	3	4	1	1	8	0	1	0	2	3	1	2	2	1	3	4	3	5	0	7	6	1	1	1					
		0.17%	0.0%	0.0%	0.28%	0.10%	0.33%	0.0%	0.0%	0.09%	0.32%	0.0%	0.13%	0.08%	0.20%	0.18%	0.06%	0.17%	1.00%	0.0%	0.49%	0.0%	0.21%	2.45%	0.05%	0.23%	0.51%	0.07%	0.15%	0.18%	0.13%	0.22%	0.0%	0.49%	0.34%	0.05%	0.05%	0.05%					
35	"18. ""ЛДПР"""	4911	86	100	39	113	134	173	85	115	41	88	127	97	136	188	144	90	29	31	6	3	100	13	267	161	87	237	261	308	297	232	37	243	214	203	208	218					
		11.86%	12.95%	14.24%	11.07%	11.34%	8.99%	18.94%	9.15%	10.96%	13.22%	7.66%	8.77%	7.82%	9.35%	8.87%	9.90%	15.70%	3.64%	12.15%	2.95%	1.02%	10.68%	10.65%	14.26%	19.12%	22.48%	18.75%	13.37%	14.11%	12.91%	10.51%	14.39%	17.23%	12.22%	11.50%	11.34%	11.40%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	465	10	9	2	11	25	13	14	5	7	16	26	11	12	21	20	12	8	8	8	2	19	3	24	9	4	9	19	13	25	20	2	10	20	14	16	18					
		1.12%	1.50%	1.28%	0.56%	1.10%	1.67%	1.42%	1.50%	0.47%	2.25%	1.39%	1.79%	0.88%	0.82%	0.99%	1.37%	2.09%	1.00%	3.13%	3.94%	0.68%	2.02%	2.45%	1.28%	1.06%	1.03%	0.71%	0.97%	0.59%	1.08%	0.90%	0.77%	0.70%	1.14%	0.79%	0.87%	0.94%					
37	"20. ""Политическая партия ""Единая Россия"""	20869	340	377	183	534	770	373	521	564	157	632	805	634	717	1155	774	281	354	113	94	140	554	67	1039	296	121	468	1090	1301	1331	1318	90	571	648	701	859	897					
		50.43%	51.20%	53.70%	51.98%	53.61%	51.67%	40.85%	56.14%	53.76%	50.64%	55.05%	55.59%	51.17%	49.31%	54.50%	53.23%	49.04%	44.52%	44.31%	46.30%	47.61%	59.18%	54.91%	55.50%	35.15%	31.26%	37.02%	55.84%	59.62%	57.86%	59.74%	35.01%	40.49%	37.02%	39.71%	46.86%	46.91%					
38	"21. ""Российская Конституционно-демократическая партия"""	91	1	1	1	3	0	1	1	1	1	3	2	2	2	2	1	2	2	4	1	0	4	0	8	3	2	4	8	2	7	5	2	1	2	6	2	4					
		0.21%	0.15%	0.14%	0.28%	0.30%	0.0%	0.10%	0.10%	0.09%	0.32%	0.26%	0.13%	0.16%	0.13%	0.09%	0.06%	0.34%	0.25%	1.56%	0.49%	0.0%	0.42%	0.0%	0.42%	0.35%	0.51%	0.31%	0.40%	0.09%	0.30%	0.22%	0.77%	0.07%	0.11%	0.33%	0.10%	0.20%					
39	"22. ""Развитие предпринимательства"""	100	3	2	0	1	0	4	1	1	0	2	4	2	4	6	2	3	2	1	0	4	3	0	9	3	1	3	5	2	2	6	0	6	5	3	3	7					
		0.24%	0.45%	0.28%	0.0%	0.10%	0.0%	0.43%	0.10%	0.09%	0.0%	0.17%	0.27%	0.16%	0.27%	0.28%	0.13%	0.52%	0.25%	0.39%	0.0%	1.36%	0.32%	0.0%	0.48%	0.35%	0.25%	0.23%	0.25%	0.09%	0.08%	0.27%	0.0%	0.42%	0.28%	0.16%	0.16%	0.36%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2844	35	50	24	67	112	54	78	67	26	89	99	109	123	125	106	30	112	33	20	40	51	11	129	64	27	97	138	102	153	94	29	89	106	129	108	118					
		6.87%	5.27%	7.12%	6.81%	6.72%	7.51%	5.91%	8.40%	6.38%	8.38%	7.75%	6.83%	8.79%	8.45%	5.89%	7.29%	5.23%	14.08%	12.94%	9.85%	13.60%	5.44%	9.01%	6.89%	7.60%	6.97%	7.67%	7.06%	4.67%	6.65%	4.26%	11.28%	6.31%	6.05%	7.30%	5.89%	6.17%					
																																											
41	Против всех	2879	47	32	12	43	79	83	37	49	18	60	72	58	81	111	70	39	52	17	6	7	37	9	90	69	33	96	102	99	179	139	36	169	228	210	207	203					
		6.95%	7.07%	4.55%	3.40%	4.31%	5.30%	9.09%	3.98%	4.67%	5.80%	5.22%	4.97%	4.68%	5.57%	5.23%	4.81%	6.80%	6.54%	6.66%	2.95%	2.38%	3.95%	7.37%	4.80%	8.19%	8.52%	7.59%	5.22%	4.53%	7.78%	6.30%	14.00%	11.98%	13.02%	11.89%	11.29%	10.61%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
