Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																					
Дата голосования: 18.09.2016																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Владикавказ,  Правобережная"																																																																																					
																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																					
																																																																																					
		Сумма	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №377	УИК №378									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1886	30	30	30	35	30	40	30	30	41	30	30	30	30	40	30	30	30	30	30	35	35	30	30	50	40	30	40	30	30	30	40	30	30	30	30	22	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	38	30	30	10	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1465	18	18	26	31	27	35	15	15	33	25	21	14	30	40	30	30	21	29	30	35	35	22	30	45	40	30	40	12	23	17	33	30	13	30	30	15	19	11	30	26	30	11	18	18	24	21	23	18	28	30	13	19	11	14	40	31	26	10	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2552	75	55	55	1	4	40	19	31	100	55	55	12	75	55	27	8	45	7	16	55	100	33	8	100	100	39	100	0	11	0	100	32	3	3	5	55	14	16	100	7	10	8	9	43	12	45	65	33	6	73	30	55	23	9	5	18	10	6	0	0	0	0	20	0	2	0	0	0	3	0	449	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	421	12	12	4	4	3	5	15	15	8	5	9	16	0	0	0	0	9	1	0	0	0	8	0	5	0	0	0	18	7	13	7	0	17	0	0	7	11	19	0	4	0	19	12	12	6	9	7	12	2	0	17	11	19	16	0	7	4	20	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2109	56	74	33	32	32	41	22	14	82	36	32	9	28	30	43	23	8	32	55	23	43	24	28	64	82	51	54	12	30	25	42	49	51	71	27	23	29	20	80	14	26	9	30	33	26	32	37	40	52	45	33	36	12	24	69	25	37	6	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	897	15	29	31	17	10	0	24	28	70	60	35	3	5	28	65	0	2	0	0	0	15	0	18	71	71	55	20	0	3	0	0	2	0	0	0	0	50	0	0	0	0	0	10	0	0	16	8	0	0	5	0	6	3	6	54	7	0	2	0	0	2	3	2	0	0	0	0	0	10	14	0	10	4	8									
		0.94%	0.95%	2.11%	2.94%	0.97%	0.95%	0.00%	2.22%	2.85%	3.68%	5.03%	2.75%	0.44%	0.35%	2.46%	2.98%	0.00%	0.30%	0.00%	0.00%	0.00%	0.69%	0.00%	2.10%	3.81%	3.46%	3.14%	1.03%	0.00%	0.21%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	2.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	1.39%	0.48%	0.00%	0.00%	0.25%	0.00%	0.42%	0.49%	0.75%	2.42%	0.46%	0.00%	0.25%	0.00%	0.00%	0.58%	1.00%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	2.00%	5.00%	0.00%	0.59%	0.16%	1.24%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	322	9	0	0	0	0	0	1	4	0	5	0	9	1	0	0	0	3	0	0	0	22	0	0	0	0	0	3	0	1	0	0	6	0	0	0	0	0	0	0	0	30	1	15	20	0	20	10	0	0	10	0	8	0	9	0	31	0	2	0	0	13	5	3	1	1	4	1	0	34	3	0	27	3	7									
		0.34%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.41%	0.00%	0.42%	0.00%	1.33%	0.07%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.07%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.76%	0.14%	1.03%	1.54%	0.00%	1.74%	0.60%	0.00%	0.00%	0.49%	0.00%	0.56%	0.00%	1.13%	0.00%	2.02%	0.00%	0.25%	0.00%	0.00%	3.79%	1.67%	5.00%	0.69%	0.50%	1.96%	0.55%	0.00%	6.80%	1.07%	0.00%	1.59%	0.12%	1.09%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	148	8	0	0	0	0	0	0	5	0	0	0	3	2	0	0	0	1	0	0	0	18	0	0	0	0	0	0	0	2	1	0	5	0	0	0	0	0	0	0	0	0	2	8	8	0	22	5	0	0	9	7	2	3	4	0	7	0	0	0	3	4	4	0	0	0	2	0	0	8	1	0	0	1	3									
		0.15%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.44%	0.14%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.49%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.55%	0.62%	0.00%	1.91%	0.30%	0.00%	0.00%	0.44%	0.50%	0.14%	0.49%	0.50%	0.00%	0.46%	0.00%	0.00%	0.00%	0.18%	1.17%	1.33%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	1.60%	0.36%	0.00%	0.00%	0.04%	0.47%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	67099	1102	983	721	1225	780	1797	681	638	1178	781	867	425	875	795	1486	443	452	1106	1421	840	1759	563	541	1207	1385	1085	1215	622	908	128	1617	1686	1620	1900	1159	974	1248	496	1630	672	1317	483	926	894	700	729	1078	1254	1651	1414	933	1035	436	552	1403	1192	1124	515	662	1173	280	238	46	139	195	176	176	137	349	235	315	1512	2347	472									
		70.11%	70.10%	71.49%	68.28%	70.00%	73.72%	72.75%	63.06%	64.97%	62.00%	65.47%	68.00%	62.87%	61.23%	69.98%	68.04%	70.21%	66.77%	71.08%	61.99%	69.42%	80.58%	73.31%	62.98%	64.82%	67.43%	62.00%	62.47%	62.01%	62.97%	63.05%	70.30%	71.35%	70.71%	76.00%	70.03%	69.57%	65.68%	73.16%	71.49%	74.67%	77.47%	69.40%	63.64%	68.88%	64.81%	63.39%	65.02%	65.01%	68.22%	69.59%	66.64%	72.33%	70.78%	69.00%	62.97%	77.76%	76.72%	64.54%	70.05%	70.79%	81.63%	79.33%	76.67%	96.53%	97.50%	86.27%	96.17%	91.33%	69.80%	83.93%	70.16%	89.10%	96.62%	73.41%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	80	6	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	5	0	4	0	2	0	1	0	1	0	0	3	7	0	0	0	1	1	0	4	0	0	7	2	5									
		0.08%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.25%	0.00%	0.28%	0.00%	0.25%	0.00%	0.07%	0.00%	0.13%	0.00%	0.00%	0.87%	2.33%	0.00%	0.00%	0.00%	0.49%	0.55%	0.00%	0.80%	0.00%	0.00%	0.41%	0.08%	0.78%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1124	11	11	0	0	11	25	12	14	20	5	9	35	120	0	0	0	4	24	0	0	132	3	50	0	0	0	10	43	9	1	0	8	0	0	0	0	47	15	0	0	0	4	26	36	30	21	22	30	0	15	22	9	11	1	0	15	23	11	0	2	22	26	1	2	0	1	0	4	31	11	10	41	10	68									
		1.17%	0.70%	0.80%	0.00%	0.00%	1.04%	1.01%	1.11%	1.43%	1.05%	0.42%	0.71%	5.18%	8.40%	0.00%	0.00%	0.00%	0.59%	1.54%	0.00%	0.00%	6.05%	0.39%	5.82%	0.00%	0.00%	0.00%	0.51%	4.29%	0.62%	0.49%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	2.47%	2.21%	0.00%	0.00%	0.00%	0.57%	1.79%	2.77%	2.78%	1.83%	1.33%	1.56%	0.00%	0.74%	1.57%	0.63%	1.79%	0.13%	0.00%	0.98%	1.57%	1.38%	0.00%	0.12%	6.41%	8.67%	1.67%	1.39%	0.00%	0.49%	0.00%	2.67%	6.20%	3.93%	2.23%	2.42%	0.41%	10.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	51	0	0	0	0	0	0	1	4	0	0	2	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	4	0	2	0	3	0	3	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0									
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.41%	0.00%	0.00%	0.16%	0.44%	0.07%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.72%	0.00%	0.00%	0.20%	0.00%	0.14%	0.00%	0.38%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	1.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.08%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	75	2	0	0	0	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	6	0	0	0	0	0	6	3	0	10	10	0	0	5	0	3	0	2	0	4	0	0	0	0	3	2	0	1	0	2	0	0	0	0	0	5	1	0									
		0.08%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.23%	0.00%	0.87%	0.60%	0.00%	0.00%	0.25%	0.00%	0.21%	0.00%	0.25%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.87%	0.67%	0.00%	0.69%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.04%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	2									
		0.03%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.31%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	113	6	0	0	0	0	0	0	3	0	7	0	4	0	0	0	4	2	0	0	0	20	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	6	3	14	0	5	0	2	0	0	0	4	0	5	0	0	1	0	0	0	1	0	0	0	2	1	0	6	1	3									
		0.12%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.59%	0.00%	0.59%	0.00%	0.00%	0.00%	0.63%	0.30%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.08%	0.00%	0.52%	0.18%	0.73%	0.00%	0.25%	0.00%	0.14%	0.00%	0.00%	0.00%	0.26%	0.00%	0.63%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.40%	0.36%	0.00%	0.35%	0.04%	0.47%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	20352	337	292	253	421	233	605	242	237	458	265	303	138	335	273	524	140	191	355	552	289	150	185	207	449	495	422	466	240	341	49	564	514	531	495	310	305	405	150	549	179	350	166	362	304	255	244	399	465	769	491	312	312	130	193	553	246	283	160	226	408	0	9	2	1	1	7	3	9	31	10	110	68	9	15									
		21.26%	21.44%	21.24%	23.96%	24.06%	22.02%	24.49%	22.41%	24.13%	24.11%	22.21%	23.76%	20.41%	23.44%	24.03%	23.99%	22.19%	28.21%	22.81%	24.08%	23.88%	6.87%	24.09%	24.10%	24.11%	24.10%	24.11%	23.96%	23.93%	23.65%	24.14%	24.52%	21.75%	23.18%	19.80%	18.73%	21.79%	21.32%	22.12%	24.08%	19.89%	20.59%	23.85%	24.88%	23.42%	23.61%	21.22%	24.07%	24.11%	31.78%	24.16%	22.29%	21.80%	21.10%	24.13%	24.82%	16.05%	19.32%	20.05%	23.92%	24.62%	0.00%	3.00%	3.33%	0.69%	0.50%	3.43%	1.64%	6.00%	6.20%	3.57%	24.50%	4.01%	0.37%	2.33%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	3936	60	60	51	87	11	33	84	34	85	59	54	37	87	40	109	30	16	13	294	81	30	15	43	132	103	188	214	0	65	0	0	126	110	90	166	99	28	17	101	41	0	34	69	11	53	60	63	96	0	56	119	32	24	19	166	8	35	68	48	35	4	0	2	0	1	3	0	0	12	1	7	16	1	0									
		4.11%	3.82%	4.36%	4.83%	4.97%	1.04%	1.34%	7.78%	3.46%	4.47%	4.95%	4.24%	5.47%	6.09%	3.52%	4.99%	4.75%	2.36%	0.84%	12.83%	6.69%	1.37%	1.95%	5.01%	7.09%	5.01%	10.74%	11.00%	0.00%	4.51%	0.00%	0.00%	5.33%	4.80%	3.60%	10.03%	7.07%	1.47%	2.51%	4.43%	4.56%	0.00%	4.89%	4.74%	0.85%	4.91%	5.22%	3.80%	4.98%	0.00%	2.76%	8.50%	2.24%	3.90%	2.38%	7.45%	0.52%	2.39%	8.52%	5.08%	2.11%	1.17%	0.00%	3.33%	0.00%	0.50%	1.47%	0.00%	0.00%	2.40%	0.36%	1.56%	0.94%	0.04%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1167	13	0	0	0	13	10	19	8	75	11	0	9	3	0	0	0	2	37	25	0	18	0	0	0	0	0	10	98	99	24	119	10	30	15	20	22	116	0	0	0	0	3	15	12	24	8	38	70	0	10	6	7	6	5	52	11	0	31	0	36	0	1	1	0	1	3	0	0	4	2	0	5	3	7									
		1.22%	0.83%	0.00%	0.00%	0.00%	1.23%	0.40%	1.76%	0.81%	3.95%	0.92%	0.00%	1.33%	0.21%	0.00%	0.00%	0.00%	0.30%	2.38%	1.09%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	9.77%	6.87%	11.82%	5.17%	0.42%	1.31%	0.60%	1.21%	1.57%	6.11%	0.00%	0.00%	0.00%	0.00%	0.43%	1.03%	0.92%	2.22%	0.70%	2.29%	3.63%	0.00%	0.49%	0.43%	0.49%	0.97%	0.63%	2.33%	0.72%	0.00%	3.88%	0.00%	2.17%	0.00%	0.33%	1.67%	0.00%	0.50%	1.47%	0.00%	0.00%	0.80%	0.71%	0.00%	0.29%	0.12%	1.09%									
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
