Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Бахчисарайская																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624									
		1.25%	2.33%	0.88%	1.41%	0.43%	1.58%	2.01%	0.63%	1.71%	2.05%	1.31%	1.01%	1.59%	1.63%	1.48%	1.34%	1.67%	1.69%	1.31%	1.13%	1.57%	3.17%	0.00%	1.42%	1.22%	0.00%	0.77%	1.24%	0.95%	0.00%	0.85%	0.00%	1.10%	0.00%	1.45%	0.41%	1.94%	0.99%	1.34%	1.54%	0.59%	1.26%	1.43%	1.92%	0.99%	1.75%	0.83%	1.42%	0.60%	2.19%	0.00%	0.00%	3.01%	1.01%	1.56%	2.66%	0.53%	2.56%	0.82%	0.90%	0.72%	1.65%	0.51%	0.74%	1.48%	0.68%	0.00%	0.76%	1.38%	2.00%	1.55%	0.38%	0.78%	1.56%	1.99%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	484	0	2	5	6	11	5	10	16	10	3	4	18	9	12	14	7	11	3	5	4	0	4	12	7	3	4	12	6	0	3	3	6	6	12	9	7	3	5	7	24	10	3	4	16	2	15	2	0	6	1	1	2	8	8	10	11	11	8	12	3	7	6	3	8	5	3	2	14	3	5	0	0	1	2	4									
		1.46%	0.00%	0.44%	1.01%	1.28%	1.58%	3.36%	1.57%	2.11%	2.28%	1.31%	1.01%	2.38%	1.84%	1.27%	1.56%	1.06%	1.33%	0.79%	1.13%	1.57%	0.00%	2.25%	1.31%	2.85%	1.08%	1.54%	1.15%	1.42%	0.00%	1.28%	1.75%	1.32%	2.48%	3.49%	1.84%	1.69%	0.75%	2.23%	0.57%	1.76%	1.58%	0.61%	1.10%	1.98%	0.44%	1.77%	0.95%	0.00%	1.32%	0.69%	0.76%	1.50%	2.69%	1.56%	1.78%	1.94%	3.53%	1.31%	2.16%	2.17%	0.96%	1.03%	1.10%	1.69%	1.13%	4.35%	1.52%	1.93%	1.00%	1.55%	0.00%	0.00%	0.78%	1.32%	4.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	405	0	6	14	8	7	7	8	9	12	16	5	7	2	8	6	11	4	4	3	7	1	4	14	4	2	1	7	5	0	2	2	7	3	4	7	4	2	4	15	14	3	4	6	9	4	9	2	4	3	1	1	2	5	9	7	8	8	3	9	2	9	7	3	3	8	0	0	7	1	12	1	5	0	2	2									
		1.23%	0.00%	1.33%	2.83%	1.71%	1.00%	4.70%	1.26%	1.18%	2.73%	6.99%	1.26%	0.93%	0.41%	0.84%	0.67%	1.67%	0.48%	1.05%	0.68%	2.75%	0.53%	2.25%	1.53%	1.63%	0.72%	0.39%	0.67%	1.18%	0.00%	0.85%	1.17%	1.54%	1.24%	1.16%	1.43%	0.97%	0.50%	1.79%	1.21%	1.03%	0.47%	0.82%	1.65%	1.11%	0.88%	1.06%	0.95%	2.40%	0.66%	0.69%	0.76%	1.50%	1.68%	1.76%	1.24%	1.41%	2.56%	0.49%	1.62%	1.45%	1.24%	1.20%	1.10%	0.63%	1.81%	0.00%	0.00%	0.96%	0.33%	3.73%	0.38%	1.95%	0.00%	1.32%	2.41%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24039	53	332	304	316	466	80	411	530	278	124	268	512	332	675	627	456	606	276	350	147	144	136	662	169	209	180	816	331	124	186	139	332	182	237	362	286	307	177	995	1129	461	341	249	616	370	680	141	117	343	106	93	85	218	366	414	414	205	367	415	107	584	441	195	324	321	44	97	551	217	226	247	182	83	123	50									
		72.71%	61.63%	73.45%	61.41%	67.52%	66.76%	53.69%	64.62%	69.74%	63.33%	54.15%	67.51%	67.72%	67.76%	71.28%	70.06%	69.09%	73.37%	72.25%	79.19%	57.65%	76.19%	76.40%	72.11%	68.70%	74.91%	69.50%	77.94%	78.25%	77.99%	79.15%	81.29%	72.81%	75.21%	68.90%	73.88%	69.25%	76.56%	79.02%	80.57%	82.71%	72.83%	69.88%	68.41%	76.24%	80.96%	80.38%	66.82%	70.06%	75.22%	73.61%	70.99%	63.91%	73.40%	71.48%	73.53%	73.14%	65.71%	59.87%	74.64%	77.54%	80.44%	75.51%	71.69%	68.35%	72.79%	63.77%	73.48%	75.90%	72.33%	70.19%	92.86%	71.09%	64.84%	81.46%	60.24%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	250	2	1	6	5	7	2	4	4	3	6	2	5	5	7	13	5	5	4	1	6	0	0	8	2	2	2	3	2	1	2	1	4	3	10	1	5	3	2	6	6	3	3	2	8	1	2	2	4	1	0	1	6	1	7	9	6	3	3	1	0	3	4	1	1	11	2	0	3	2	1	0	1	2	0	0									
		0.76%	2.33%	0.22%	1.21%	1.07%	1.00%	1.34%	0.63%	0.53%	0.68%	2.62%	0.50%	0.66%	1.02%	0.74%	1.45%	0.76%	0.61%	1.05%	0.23%	2.35%	0.00%	0.00%	0.87%	0.81%	0.72%	0.77%	0.29%	0.47%	0.63%	0.85%	0.58%	0.88%	1.24%	2.91%	0.20%	1.21%	0.75%	0.89%	0.49%	0.44%	0.47%	0.61%	0.55%	0.99%	0.22%	0.24%	0.95%	2.40%	0.22%	0.00%	0.76%	4.51%	0.34%	1.37%	1.60%	1.06%	0.96%	0.49%	0.18%	0.00%	0.41%	0.68%	0.37%	0.21%	2.49%	2.90%	0.00%	0.41%	0.67%	0.31%	0.00%	0.39%	1.56%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	101	0	1	0	3	2	1	0	1	2	1	1	0	3	2	1	1	2	0	0	4	0	0	4	3	1	0	0	1	1	1	2	3	0	2	2	4	1	0	6	6	1	1	2	0	0	3	0	1	0	0	1	0	1	3	1	5	0	2	2	0	1	0	1	2	0	2	0	2	2	3	0	2	1	0	0									
		0.31%	0.00%	0.22%	0.00%	0.64%	0.29%	0.67%	0.00%	0.13%	0.46%	0.44%	0.25%	0.00%	0.61%	0.21%	0.11%	0.15%	0.24%	0.00%	0.00%	1.57%	0.00%	0.00%	0.44%	1.22%	0.36%	0.00%	0.00%	0.24%	0.63%	0.43%	1.17%	0.66%	0.00%	0.58%	0.41%	0.97%	0.25%	0.00%	0.49%	0.44%	0.16%	0.20%	0.55%	0.00%	0.00%	0.35%	0.00%	0.60%	0.00%	0.00%	0.76%	0.00%	0.34%	0.59%	0.18%	0.88%	0.00%	0.33%	0.36%	0.00%	0.14%	0.00%	0.37%	0.42%	0.00%	2.90%	0.00%	0.28%	0.67%	0.93%	0.00%	0.78%	0.78%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3451	16	59	85	58	114	12	110	102	53	17	59	109	62	121	123	102	90	25	43	29	16	16	99	25	32	31	111	32	7	18	12	50	26	33	56	53	36	17	102	93	66	58	49	73	38	67	21	12	31	14	7	6	27	54	63	41	31	71	36	7	37	62	25	48	54	9	8	68	29	17	10	19	14	12	13									
		10.44%	18.60%	13.05%	17.17%	12.39%	16.33%	8.05%	17.30%	13.42%	12.07%	7.42%	14.86%	14.42%	12.65%	12.78%	13.74%	15.45%	10.90%	6.54%	9.73%	11.37%	8.47%	8.99%	10.78%	10.16%	11.47%	11.97%	10.60%	7.57%	4.40%	7.66%	7.02%	10.96%	10.74%	9.59%	11.43%	12.83%	8.98%	7.59%	8.26%	6.81%	10.43%	11.89%	13.46%	9.03%	8.32%	7.92%	9.95%	7.19%	6.80%	9.72%	5.34%	4.51%	9.09%	10.55%	11.19%	7.24%	9.94%	11.58%	6.47%	5.07%	5.10%	10.62%	9.19%	10.13%	12.24%	13.04%	6.06%	9.37%	9.67%	5.28%	3.76%	7.42%	10.94%	7.95%	15.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	179	0	0	4	0	1	4	0	4	4	10	3	2	2	5	3	5	5	1	0	11	0	0	5	1	4	3	5	0	5	1	1	2	2	1	0	1	4	2	5	3	3	2	2	0	2	5	0	0	2	0	0	3	3	6	2	6	1	1	5	1	5	7	1	3	1	0	1	1	2	1	1	0	1	0	2									
		0.54%	0.00%	0.00%	0.81%	0.00%	0.14%	2.68%	0.00%	0.53%	0.91%	4.37%	0.76%	0.26%	0.41%	0.53%	0.34%	0.76%	0.61%	0.26%	0.00%	4.31%	0.00%	0.00%	0.54%	0.41%	1.43%	1.16%	0.48%	0.00%	3.14%	0.43%	0.58%	0.44%	0.83%	0.29%	0.00%	0.24%	0.99%	0.89%	0.40%	0.22%	0.47%	0.41%	0.55%	0.00%	0.44%	0.59%	0.00%	0.00%	0.44%	0.00%	0.00%	2.26%	1.01%	1.17%	0.36%	1.06%	0.32%	0.16%	0.90%	0.72%	0.69%	1.20%	0.37%	0.63%	0.23%	0.00%	0.76%	0.14%	0.67%	0.31%	0.38%	0.00%	0.78%	0.00%	2.41%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	118	0	1	2	1	6	0	1	2	9	2	1	5	1	12	3	5	6	1	1	0	0	0	4	1	0	1	2	0	0	2	1	1	0	0	0	1	1	0	3	2	2	2	2	1	4	0	0	0	2	0	0	0	0	0	1	0	0	3	4	0	4	1	2	4	1	0	1	2	1	0	0	0	2	0	1									
		0.36%	0.00%	0.22%	0.40%	0.21%	0.86%	0.00%	0.16%	0.26%	2.05%	0.87%	0.25%	0.66%	0.20%	1.27%	0.34%	0.76%	0.73%	0.26%	0.23%	0.00%	0.00%	0.00%	0.44%	0.41%	0.00%	0.39%	0.19%	0.00%	0.00%	0.85%	0.58%	0.22%	0.00%	0.00%	0.00%	0.24%	0.25%	0.00%	0.24%	0.15%	0.32%	0.41%	0.55%	0.12%	0.88%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.49%	0.72%	0.00%	0.55%	0.17%	0.74%	0.84%	0.23%	0.00%	0.76%	0.28%	0.33%	0.00%	0.00%	0.00%	1.56%	0.00%	1.20%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	41	0	0	0	2	2	1	1	0	0	0	1	1	2	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	0	2	0	1	0	0	1	1	0	1	1	2	1	0	1	0	1	1	0	3	0	0	0	3	1	0	0	0	0	0	0									
		0.12%	0.00%	0.00%	0.00%	0.43%	0.29%	0.67%	0.16%	0.00%	0.00%	0.00%	0.25%	0.13%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.56%	0.00%	0.00%	0.36%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.07%	0.00%	0.20%	0.55%	0.00%	0.00%	0.24%	0.00%	0.60%	0.00%	0.00%	0.76%	0.75%	0.00%	0.20%	0.18%	0.35%	0.32%	0.00%	0.18%	0.00%	0.14%	0.17%	0.00%	0.63%	0.00%	0.00%	0.00%	0.41%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	280	1	2	4	3	6	7	0	6	5	20	0	9	9	3	7	3	4	4	5	6	2	3	5	2	5	4	11	1	2	1	0	8	0	8	0	5	2	3	4	11	8	1	1	4	3	2	2	2	1	0	0	7	1	4	4	9	2	3	0	0	13	3	2	4	0	0	0	7	7	1	1	1	0	2	4									
		0.85%	1.16%	0.44%	0.81%	0.64%	0.86%	4.70%	0.00%	0.79%	1.14%	8.73%	0.00%	1.19%	1.84%	0.32%	0.78%	0.45%	0.48%	1.05%	1.13%	2.35%	1.06%	1.69%	0.54%	0.81%	1.79%	1.54%	1.05%	0.24%	1.26%	0.43%	0.00%	1.75%	0.00%	2.33%	0.00%	1.21%	0.50%	1.34%	0.32%	0.81%	1.26%	0.20%	0.27%	0.50%	0.66%	0.24%	0.95%	1.20%	0.22%	0.00%	0.00%	5.26%	0.34%	0.78%	0.71%	1.59%	0.64%	0.49%	0.00%	0.00%	1.79%	0.51%	0.74%	0.84%	0.00%	0.00%	0.00%	0.96%	2.33%	0.31%	0.38%	0.39%	0.00%	1.32%	4.82%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1546	7	24	35	37	32	9	53	47	27	5	28	42	22	49	43	33	46	17	11	13	12	9	50	12	5	17	39	21	8	15	7	17	7	15	25	23	16	6	38	41	39	38	21	44	13	30	10	10	32	6	3	8	17	23	13	12	14	27	45	12	24	17	9	17	15	1	9	18	13	12	4	10	15	0	2									
		4.68%	8.14%	5.31%	7.07%	7.91%	4.58%	6.04%	8.33%	6.18%	6.15%	2.18%	7.05%	5.56%	4.49%	5.17%	4.80%	5.00%	5.57%	4.45%	2.49%	5.10%	6.35%	5.06%	5.45%	4.88%	1.79%	6.56%	3.72%	4.96%	5.03%	6.38%	4.09%	3.73%	2.89%	4.36%	5.10%	5.57%	3.99%	2.68%	3.08%	3.00%	6.16%	7.79%	5.77%	5.45%	2.84%	3.55%	4.74%	5.99%	7.02%	4.17%	2.29%	6.02%	5.72%	4.49%	2.31%	2.12%	4.49%	4.40%	8.09%	8.70%	3.31%	2.91%	3.31%	3.59%	3.40%	1.45%	6.82%	2.48%	4.33%	3.73%	1.50%	3.91%	11.72%	0.00%	2.41%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	107	0	1	1	3	3	1	1	4	1	1	1	1	3	2	5	1	2	4	0	0	1	0	0	2	0	3	1	10	3	1	2	0	0	1	1	0	1	0	2	3	3	7	3	2	0	3	1	0	1	0	0	0	0	0	0	1	0	6	3	0	1	1	0	2	3	1	0	0	1	0	0	1	0	1	0									
		0.32%	0.00%	0.22%	0.20%	0.64%	0.43%	0.67%	0.16%	0.53%	0.23%	0.44%	0.25%	0.13%	0.61%	0.21%	0.56%	0.15%	0.24%	1.05%	0.00%	0.00%	0.53%	0.00%	0.00%	0.81%	0.00%	1.16%	0.10%	2.36%	1.89%	0.43%	1.17%	0.00%	0.00%	0.29%	0.20%	0.00%	0.25%	0.00%	0.16%	0.22%	0.47%	1.43%	0.82%	0.25%	0.00%	0.35%	0.47%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.98%	0.54%	0.00%	0.14%	0.17%	0.00%	0.42%	0.68%	1.45%	0.00%	0.00%	0.33%	0.00%	0.00%	0.39%	0.00%	0.66%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	968	4	12	15	10	17	4	14	17	17	9	11	18	8	26	19	9	12	32	9	5	7	3	24	8	9	5	14	0	7	0	1	4	8	3	10	6	12	2	11	17	17	12	10	17	6	9	23	15	17	15	21	1	9	14	17	25	22	103	9	2	14	21	21	25	11	5	6	12	8	33	0	20	3	5	1									
		2.93%	4.65%	2.65%	3.03%	2.14%	2.44%	2.68%	2.20%	2.24%	3.87%	3.93%	2.77%	2.38%	1.63%	2.75%	2.12%	1.36%	1.45%	8.38%	2.04%	1.96%	3.70%	1.69%	2.61%	3.25%	3.23%	1.93%	1.34%	0.00%	4.40%	0.00%	0.58%	0.88%	3.31%	0.87%	2.04%	1.45%	2.99%	0.89%	0.89%	1.25%	2.69%	2.46%	2.75%	2.10%	1.31%	1.06%	10.90%	8.98%	3.73%	10.42%	16.03%	0.75%	3.03%	2.73%	3.02%	4.42%	7.05%	16.80%	1.62%	1.45%	1.93%	3.60%	7.72%	5.27%	2.49%	7.25%	4.55%	1.65%	2.67%	10.25%	0.00%	7.81%	2.34%	3.31%	1.20%									
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
