Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Зубцовская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	65	3	7	3	1	3	2	1	2	3	1	0	1	2	0	3	2	1	0	1	2	0	1	9	2	1	1	1	0	1	1	2	2	4	2					
14	Число погашенных открепительных удостоверений	277	28	21	17	7	12	5	5	4	0	5	13	10	2	4	14	8	8	0	5	5	5	1	19	15	5	5	5	5	5	5	5	9	10	10					
15	Число открепительных удостоверений выданных ТИК	7	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	188	5	7	12	2	12	2	13	3	9	1	3	3	4	2	16	7	16	4	0	5	2	6	18	8	0	1	1	4	6	4	1	5	3	3					
		1.88%	0.80%	0.57%	1.34%	0.53%	2.25%	2.10%	7.69%	1.18%	4.39%	1.56%	1.19%	1.00%	2.66%	1.73%	2.61%	2.78%	4.62%	2.85%	0.0%	3.14%	1.80%	2.75%	2.26%	2.99%	0.0%	0.57%	0.82%	2.89%	5.40%	3.84%	0.54%	1.88%	1.11%	0.94%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	170	11	44	22	8	10	1	0	5	1	0	1	7	0	1	13	9	1	0	1	1	0	4	16	0	0	0	0	1	2	2	2	4	1	2					
		1.70%	1.77%	3.63%	2.46%	2.13%	1.87%	1.05%	0.0%	1.96%	0.48%	0.0%	0.39%	2.34%	0.0%	0.86%	2.12%	3.58%	0.28%	0.0%	1.05%	0.62%	0.0%	1.83%	2.01%	0.0%	0.0%	0.0%	0.0%	0.72%	1.80%	1.92%	1.09%	1.50%	0.37%	0.62%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	242	13	33	16	12	9	1	2	1	4	2	4	10	1	9	16	4	6	7	2	4	6	5	11	11	1	14	4	2	3	4	9	2	9	5					
		2.42%	2.09%	2.72%	1.79%	3.20%	1.69%	1.05%	1.18%	0.39%	1.95%	3.12%	1.59%	3.35%	0.66%	7.82%	2.61%	1.59%	1.73%	4.99%	2.10%	2.51%	5.40%	2.29%	1.38%	4.11%	1.28%	8.04%	3.30%	1.44%	2.70%	3.84%	4.91%	0.75%	3.33%	1.57%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	223	14	35	31	13	19	3	3	5	2	0	1	5	4	1	12	5	3	1	3	1	3	1	14	3	1	8	2	1	2	3	5	3	9	7					
		2.23%	2.25%	2.89%	3.47%	3.47%	3.57%	3.15%	1.77%	1.96%	0.97%	0.0%	0.39%	1.67%	2.66%	0.86%	1.96%	1.99%	0.86%	0.71%	3.15%	0.62%	2.70%	0.45%	1.76%	1.12%	1.28%	4.59%	1.65%	0.72%	1.80%	2.88%	2.73%	1.13%	3.33%	2.20%					
22	"5. ""За Русь Святую"""	80	5	14	9	9	6	1	1	0	1	0	1	3	0	0	3	0	0	3	0	1	0	3	5	1	0	1	0	0	1	1	0	0	8	3					
		0.80%	0.80%	1.15%	1.00%	2.40%	1.12%	1.05%	0.59%	0.0%	0.48%	0.0%	0.39%	1.00%	0.0%	0.0%	0.49%	0.0%	0.0%	2.14%	0.0%	0.62%	0.0%	1.37%	0.63%	0.37%	0.0%	0.57%	0.0%	0.0%	0.90%	0.96%	0.0%	0.0%	2.96%	0.94%					
23	"6. ""Объединенная Российская партия ""Русь"""	21	1	0	0	2	0	0	0	0	2	0	1	1	0	0	1	1	2	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	5	1					
		0.21%	0.16%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.97%	0.0%	0.39%	0.33%	0.0%	0.0%	0.16%	0.39%	0.57%	0.0%	0.0%	0.0%	0.90%	0.0%	0.0%	0.74%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	1.85%	0.31%					
24	"7. ""Новый курс - Автомобильная Россия"""	44	2	3	2	4	7	0	2	0	1	0	1	0	1	0	4	0	1	0	0	1	0	2	3	2	0	0	0	0	1	1	0	1	3	2					
		0.44%	0.32%	0.24%	0.22%	1.06%	1.31%	0.0%	1.18%	0.0%	0.48%	0.0%	0.39%	0.0%	0.66%	0.0%	0.65%	0.0%	0.28%	0.0%	0.0%	0.62%	0.0%	0.91%	0.37%	0.74%	0.0%	0.0%	0.0%	0.0%	0.90%	0.96%	0.0%	0.37%	1.11%	0.62%					
25	"8. ""Народно-республиканская партия России"""	19	1	1	2	1	1	0	0	0	0	0	2	0	0	0	1	1	1	0	0	1	0	0	0	2	1	0	1	0	0	1	0	2	0	0					
		0.19%	0.16%	0.08%	0.22%	0.26%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	0.0%	0.0%	0.16%	0.39%	0.28%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.74%	1.28%	0.0%	0.82%	0.0%	0.0%	0.96%	0.0%	0.75%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	33	1	2	5	1	2	0	0	1	0	0	4	1	0	1	2	0	1	0	0	0	0	1	3	1	0	2	1	1	0	0	1	1	1	0					
		0.33%	0.16%	0.16%	0.56%	0.26%	0.37%	0.0%	0.0%	0.39%	0.0%	0.0%	1.59%	0.33%	0.0%	0.86%	0.32%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.45%	0.37%	0.37%	0.0%	1.14%	0.82%	0.72%	0.0%	0.0%	0.54%	0.37%	0.37%	0.0%					
27	"10. ""Аграрная партия России"""	1156	25	71	47	12	25	24	44	57	39	20	21	34	10	11	36	43	98	11	30	51	15	37	37	17	32	47	33	12	27	13	24	78	46	29					
		11.58%	4.03%	5.87%	5.26%	3.20%	4.69%	25.26%	26.03%	22.44%	19.02%	31.25%	8.36%	11.40%	6.66%	9.56%	5.89%	17.13%	28.32%	7.85%	31.57%	32.07%	13.51%	16.97%	4.66%	6.36%	41.02%	27.01%	27.27%	8.69%	24.32%	12.5%	13.11%	29.43%	17.03%	9.11%					
28	"11. ""Истинные патриоты России"""	17	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	6	0	0	0	0	0					
		0.17%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.39%	0.48%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.62%	3.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.40%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	131	11	18	19	13	8	1	0	0	8	0	0	8	1	1	3	1	3	0	1	5	0	3	9	2	0	0	0	0	0	2	1	2	6	5					
		1.31%	1.77%	1.48%	2.13%	3.47%	1.50%	1.05%	0.0%	0.0%	3.90%	0.0%	0.0%	2.68%	0.66%	0.86%	0.49%	0.39%	0.86%	0.0%	1.05%	3.14%	0.0%	1.37%	1.13%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	1.92%	0.54%	0.75%	2.22%	1.57%					
30	"13. ""Демократическая партия России"""	28	0	0	4	3	4	0	0	1	0	0	1	2	0	0	2	0	0	0	1	1	0	3	1	0	1	1	0	0	0	1	0	2	0	0					
		0.28%	0.0%	0.0%	0.44%	0.80%	0.75%	0.0%	0.0%	0.39%	0.0%	0.0%	0.39%	0.67%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	1.05%	0.62%	0.0%	1.37%	0.12%	0.0%	1.28%	0.57%	0.0%	0.0%	0.0%	0.96%	0.0%	0.75%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	21	0	0	2	1	0	0	0	1	1	0	0	1	0	0	1	1	0	2	0	6	2	1	1	0	0	0	0	0	1	0	0	0	0	0					
		0.21%	0.0%	0.0%	0.22%	0.26%	0.0%	0.0%	0.0%	0.39%	0.48%	0.0%	0.0%	0.33%	0.0%	0.0%	0.16%	0.39%	0.0%	1.42%	0.0%	3.77%	1.80%	0.45%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	10	0	3	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0					
		0.10%	0.0%	0.24%	0.11%	0.26%	0.0%	1.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.54%	0.0%	0.37%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	765	56	158	78	28	53	5	16	18	11	2	13	22	12	10	46	10	11	9	4	3	3	17	59	12	0	12	1	10	5	11	24	15	11	20					
		7.66%	9.03%	13.06%	8.74%	7.48%	9.96%	5.26%	9.46%	7.08%	5.36%	3.12%	5.17%	7.38%	8.0%	8.69%	7.52%	3.98%	3.17%	6.42%	4.21%	1.88%	2.70%	7.79%	7.44%	4.49%	0.0%	6.89%	0.82%	7.24%	4.50%	10.57%	13.11%	5.66%	4.07%	6.28%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	34	0	3	4	0	7	0	1	0	2	0	1	0	2	1	1	1	0	0	1	1	0	0	2	2	0	0	0	1	0	0	0	1	1	2					
		0.34%	0.0%	0.24%	0.44%	0.0%	1.31%	0.0%	0.59%	0.0%	0.97%	0.0%	0.39%	0.0%	1.33%	0.86%	0.16%	0.39%	0.0%	0.0%	1.05%	0.62%	0.0%	0.0%	0.25%	0.74%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.37%	0.37%	0.62%					
35	"18. ""ЛДПР"""	1383	101	203	135	59	79	15	14	24	36	2	42	71	11	13	77	28	54	4	8	20	14	27	90	21	14	16	15	42	13	16	17	31	26	45					
		13.85%	16.29%	16.79%	15.13%	15.77%	14.84%	15.78%	8.28%	9.44%	17.56%	3.12%	16.73%	23.82%	7.33%	11.30%	12.60%	11.15%	15.60%	2.85%	8.42%	12.57%	12.61%	12.38%	11.34%	7.86%	17.94%	9.19%	12.39%	30.43%	11.71%	15.38%	9.28%	11.69%	9.62%	14.15%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	186	10	30	22	7	8	0	2	8	2	1	6	7	2	1	9	2	6	0	2	0	2	4	11	7	0	3	1	1	0	8	4	7	11	2					
		1.86%	1.61%	2.48%	2.46%	1.87%	1.50%	0.0%	1.18%	3.14%	0.97%	1.56%	2.39%	2.34%	1.33%	0.86%	1.47%	0.79%	1.73%	0.0%	2.10%	0.0%	1.80%	1.83%	1.38%	2.62%	0.0%	1.72%	0.82%	0.72%	0.0%	7.69%	2.18%	2.64%	4.07%	0.62%					
37	"20. ""Политическая партия ""Единая Россия"""	3584	245	380	278	136	192	26	56	91	53	30	113	78	75	40	278	110	106	89	30	42	50	66	364	114	19	40	27	42	25	24	60	76	89	140					
		35.90%	39.51%	31.43%	31.16%	36.36%	36.09%	27.36%	33.13%	35.82%	25.85%	46.87%	45.01%	26.17%	50.0%	34.78%	45.49%	43.82%	30.63%	63.57%	31.57%	26.41%	45.04%	30.27%	45.90%	42.69%	24.35%	22.98%	22.31%	30.43%	22.52%	23.07%	32.78%	28.67%	32.96%	44.02%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	4	4	1	0	1	0	0	1	0	0	1	0	0					
		0.19%	0.32%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.16%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	1.83%	0.50%	0.37%	0.0%	0.57%	0.0%	0.0%	0.90%	0.0%	0.0%	0.37%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	23	1	6	1	1	3	0	1	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1					
		0.23%	0.16%	0.49%	0.11%	0.26%	0.56%	0.0%	0.59%	0.0%	1.46%	0.0%	0.39%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.37%	0.0%	0.0%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.31%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1141	81	135	135	45	53	14	9	32	21	5	25	34	24	11	58	17	24	4	11	5	6	22	120	52	7	21	28	12	13	9	29	23	29	27					
		11.43%	13.06%	11.16%	15.13%	12.03%	9.96%	14.73%	5.32%	12.59%	10.24%	7.81%	9.96%	11.40%	16.0%	9.56%	9.49%	6.77%	6.93%	2.85%	11.57%	3.14%	5.40%	10.09%	15.13%	19.47%	8.97%	12.06%	23.14%	8.69%	11.71%	8.65%	15.84%	8.67%	10.74%	8.49%					
																																									
41	Против всех	344	25	53	49	10	21	1	4	4	6	1	10	10	3	9	21	9	12	6	1	4	2	6	12	3	0	4	7	6	4	2	4	6	8	21					
		3.44%	4.03%	4.38%	5.49%	2.67%	3.94%	1.05%	2.36%	1.57%	2.92%	1.56%	3.98%	3.35%	2.0%	7.82%	3.43%	3.58%	3.46%	4.28%	1.05%	2.51%	1.80%	2.75%	1.51%	1.12%	0.0%	2.29%	5.78%	4.34%	3.60%	1.92%	2.18%	2.26%	2.96%	6.60%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
