Выборы Президента Российской Федерации																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Воронеж, Левобережная"																																																																																					
																																																																																					
Итоги голосования 																																																																																					
																																																																																					
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178					
11	Число полученных открепительных  удостоверений	2115	35	65	35	40	25	20	40	35	25	30	35	50	95	100	20	30	20	15	15	20	10	10	31	20	30	10	35	33	30	25	20	35	35	40	30	27	15	15	16	20	30	25	25	20	40	35	20	25	25	25	35	15	20	25	25	10	45	25	25	20	22	25	20	21	15	15	25	25	30	30	20	20	35	5	5	5	25	20					
12	Число выданных открепительных удостоверений	1481	15	44	17	17	22	14	19	20	25	26	19	41	61	79	13	23	17	14	10	12	7	4	17	20	20	10	21	30	21	21	13	26	30	30	18	24	15	15	16	13	20	16	24	11	26	20	15	23	16	19	22	10	13	11	18	9	42	17	22	13	22	5	14	15	15	12	19	14	24	14	15	18	12	1	3	1	15	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1251	18	14	9	9	8	9	9	5	326	13	9	12	9	43	15	22	11	7	9	12	6	9	12	7	19	9	14	21	7	12	78	13	14	21	11	18	8	8	17	4	19	12	15	6	12	13	20	14	16	10	13	1	6	17	12	6	7	10	10	13	15	7	8	4	15	7	11	5	5	14	4	13	8	6	2	7	6	5					
14	Число неиспользованных открепительных удостоверений	634	20	21	18	23	3	6	21	15	0	4	16	9	34	21	7	7	3	1	5	8	3	6	14	0	10	0	14	3	9	4	7	9	5	10	12	3	0	0	0	7	10	9	1	9	14	15	5	2	9	6	13	5	7	14	7	1	3	8	3	7	0	20	6	6	0	3	6	11	6	16	5	2	23	4	2	4	10	4					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																					
18	. Глазьев Сергей Юрьевич	4352	47	34	38	45	39	48	51	39	74	49	50	57	65	68	59	70	42	47	33	58	40	35	77	55	91	19	51	63	60	67	40	65	111	71	72	103	40	52	64	32	77	60	55	39	68	69	76	98	72	106	67	54	37	87	69	20	66	80	82	47	65	63	40	46	58	47	78	80	66	54	24	54	42	10	6	10	28	31					
		5.28%	4.57%	3.29%	5.11%	3.90%	3.71%	4.26%	4.87%	3.31%	5.11%	4.33%	4.67%	5.16%	5.95%	6.43%	5.01%	5.24%	3.84%	4.12%	4.33%	4.88%	5.59%	5.52%	6.64%	5.69%	7.35%	3.27%	5.77%	4.90%	5.03%	5.77%	4.47%	4.73%	7.61%	6.18%	5.63%	8.04%	4.90%	7.65%	5.18%	4.20%	6.50%	5.48%	5.20%	5.31%	6.21%	6.12%	6.10%	7.60%	5.22%	7.99%	5.79%	5.30%	4.91%	6.38%	6.16%	2.99%	4.87%	6.99%	6.50%	4.05%	4.73%	6.06%	5.60%	3.87%	4.87%	4.17%	5.45%	6.29%	5.58%	4.30%	3.75%	5.48%	4.40%	2.77%	1.97%	2.89%	3.15%	3.29%					
19	. Малышкин Олег Александрович	1352	16	10	7	18	15	23	9	18	24	30	12	29	17	22	24	20	18	14	12	21	12	12	16	17	17	11	18	12	14	18	9	15	22	14	15	26	6	7	15	7	10	20	14	10	10	12	17	21	21	15	12	23	20	26	26	13	30	25	20	17	29	10	10	22	19	39	32	31	23	19	12	16	18	7	9	6	22	24					
		1.64%	1.56%	0.97%	0.94%	1.56%	1.43%	2.04%	0.86%	1.53%	1.66%	2.65%	1.12%	2.63%	1.56%	2.08%	2.04%	1.50%	1.65%	1.23%	1.57%	1.77%	1.68%	1.89%	1.38%	1.76%	1.37%	1.89%	2.04%	0.93%	1.17%	1.55%	1.01%	1.09%	1.51%	1.22%	1.17%	2.03%	0.74%	1.03%	1.21%	0.92%	0.84%	1.83%	1.32%	1.36%	0.91%	1.06%	1.36%	1.63%	1.52%	1.13%	1.04%	2.26%	2.65%	1.91%	2.32%	1.94%	2.22%	2.18%	1.59%	1.46%	2.11%	0.96%	1.40%	1.85%	1.60%	3.46%	2.24%	2.44%	1.95%	1.51%	1.88%	1.62%	1.88%	1.94%	2.96%	1.73%	2.47%	2.55%					
20	. Миронов Сергей Михайлович	870	4	16	7	14	12	13	13	13	23	8	10	9	6	14	8	14	8	18	7	13	6	7	11	13	15	4	7	12	13	14	7	11	10	17	22	10	7	2	10	9	11	15	11	6	11	12	11	19	16	25	9	3	12	9	9	6	17	19	12	21	7	8	14	7	11	11	14	13	19	19	5	15	13	2	4	6	5	6					
		1.06%	0.39%	1.55%	0.94%	1.21%	1.14%	1.15%	1.24%	1.10%	1.59%	0.71%	0.93%	0.82%	0.55%	1.32%	0.68%	1.05%	0.73%	1.58%	0.92%	1.09%	0.84%	1.10%	0.95%	1.35%	1.21%	0.69%	0.79%	0.93%	1.09%	1.21%	0.78%	0.80%	0.69%	1.48%	1.72%	0.78%	0.86%	0.29%	0.81%	1.18%	0.93%	1.37%	1.04%	0.82%	1.00%	1.06%	0.88%	1.47%	1.16%	1.89%	0.78%	0.29%	1.59%	0.66%	0.80%	0.90%	1.26%	1.66%	0.95%	1.81%	0.51%	0.77%	1.96%	0.59%	0.92%	0.98%	0.98%	1.02%	1.61%	1.51%	0.78%	1.52%	1.36%	0.55%	1.32%	1.73%	0.56%	0.64%					
21	. Путин Владимир Владимирович	50097	601	643	448	636	635	688	580	716	898	678	617	642	650	638	718	770	655	767	472	747	462	365	688	534	721	391	559	747	704	728	533	790	842	678	774	760	517	407	750	493	770	680	651	441	690	724	722	779	849	727	765	621	456	818	718	404	790	665	768	723	834	613	427	791	694	704	817	775	712	784	420	615	602	255	197	226	596	632					
		60.76%	58.46%	62.25%	60.30%	55.11%	60.36%	61.10%	55.40%	60.73%	61.97%	59.95%	57.66%	58.15%	59.52%	60.36%	61.00%	57.68%	59.93%	67.16%	61.86%	62.88%	64.53%	57.57%	59.31%	55.28%	58.24%	67.30%	63.24%	58.04%	58.96%	62.70%	59.62%	57.50%	57.71%	59.01%	60.56%	59.33%	63.36%	59.85%	60.73%	64.78%	65.03%	62.16%	61.53%	60.08%	63.01%	64.24%	57.95%	60.39%	61.52%	54.83%	66.12%	61.00%	60.48%	60.01%	64.05%	60.39%	58.35%	58.08%	60.90%	62.27%	60.70%	58.94%	59.80%	66.53%	58.32%	62.52%	57.13%	60.98%	60.24%	62.37%	65.62%	62.37%	63.04%	70.64%	64.80%	65.32%	66.97%	67.16%					
22	. Хакамада Ирина Муцуовна	3881	50	36	40	46	42	46	58	46	63	49	32	38	50	34	54	67	53	58	29	58	16	35	60	75	62	31	24	85	84	59	44	76	78	71	84	75	34	56	69	43	68	54	48	36	69	78	75	68	75	101	52	45	57	39	68	27	61	38	58	41	61	39	36	41	55	30	44	55	44	44	17	36	35	9	9	7	31	20					
		4.71%	4.86%	3.48%	5.38%	3.99%	3.99%	4.09%	5.54%	3.90%	4.35%	4.33%	2.99%	3.44%	4.58%	3.22%	4.59%	5.02%	4.85%	5.08%	3.80%	4.88%	2.23%	5.52%	5.17%	7.76%	5.01%	5.34%	2.71%	6.60%	7.04%	5.08%	4.92%	5.53%	5.35%	6.18%	6.57%	5.85%	4.17%	8.24%	5.59%	5.65%	5.74%	4.94%	4.54%	4.90%	6.30%	6.92%	6.02%	5.27%	5.43%	7.62%	4.49%	4.42%	7.56%	2.86%	6.07%	4.04%	4.51%	3.32%	4.60%	3.53%	4.44%	3.75%	5.04%	3.45%	4.62%	2.66%	3.08%	4.33%	3.72%	3.50%	2.66%	3.65%	3.66%	2.49%	2.96%	2.02%	3.48%	2.13%					
23	. Харитонов Николай Михайлович	18826	261	256	171	360	276	264	305	314	311	271	317	287	256	239	267	343	283	200	175	240	153	151	255	230	296	104	194	304	275	242	229	380	349	246	260	243	185	129	275	144	206	217	240	179	234	216	309	267	299	289	230	233	142	323	193	170	323	284	275	266	320	264	171	228	311	232	393	258	276	300	141	221	207	64	63	79	173	190					
		22.83%	25.39%	24.78%	23.01%	31.20%	26.24%	23.45%	29.13%	26.63%	21.46%	23.96%	29.63%	26.00%	23.44%	22.61%	22.68%	25.69%	25.89%	17.51%	22.94%	20.20%	21.37%	23.82%	21.98%	23.81%	23.91%	17.90%	21.95%	23.62%	23.03%	20.84%	25.62%	27.66%	23.92%	21.41%	20.34%	18.97%	22.67%	18.97%	22.27%	18.92%	17.40%	19.84%	22.68%	24.39%	21.37%	19.17%	24.80%	20.70%	21.67%	21.79%	19.88%	22.89%	18.83%	23.70%	17.22%	25.41%	23.86%	24.80%	21.81%	22.91%	23.29%	25.38%	23.95%	19.18%	26.13%	20.60%	27.48%	20.30%	23.35%	23.87%	22.03%	22.41%	21.68%	17.73%	20.72%	22.83%	19.44%	20.19%					
																																																																																					
24	Против всех	2525	37	32	28	29	23	30	28	27	44	38	27	37	46	40	38	43	24	28	28	45	23	25	49	31	31	14	25	54	38	31	25	30	39	46	48	59	21	24	40	24	36	40	32	19	6	8	30	38	39	50	20	30	28	50	30	29	54	30	32	36	49	35	12	44	39	53	47	52	31	30	17	25	22	9	12	6	27	29					
		3.06%	3.60%	3.10%	3.77%	2.51%	2.19%	2.66%	2.67%	2.29%	3.04%	3.36%	2.52%	3.35%	4.21%	3.78%	3.23%	3.22%	2.20%	2.45%	3.67%	3.79%	3.21%	3.94%	4.22%	3.21%	2.50%	2.41%	2.83%	4.20%	3.18%	2.67%	2.80%	2.18%	2.67%	4.00%	3.76%	4.61%	2.57%	3.53%	3.24%	3.15%	3.04%	3.66%	3.02%	2.59%	0.55%	0.71%	2.41%	2.95%	2.83%	3.77%	1.73%	2.95%	3.71%	3.67%	2.68%	4.33%	3.99%	2.62%	2.54%	3.10%	3.57%	3.37%	1.68%	3.70%	3.28%	4.71%	3.29%	4.09%	2.62%	2.39%	2.66%	2.54%	2.30%	2.49%	3.95%	1.73%	3.03%	3.08%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
