Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Ставропольская - 161																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3512	УИК №3513	УИК №3521	УИК №3530	УИК №3531	УИК №3532									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	190	29	10	17	33	6	30	16	16	6	9	15	3									
		2.48%	2.77%	2.02%	2.32%	2.42%	2.18%	5.15%	1.26%	3.97%	2.38%	2.53%	1.92%	2.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	115	11	10	10	23	4	7	17	6	1	5	19	2									
		1.50%	1.05%	2.02%	1.36%	1.69%	1.45%	1.20%	1.34%	1.49%	0.40%	1.40%	2.44%	1.67%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4036	445	242	448	695	152	271	728	214	168	209	409	55									
		52.59%	42.46%	48.79%	61.04%	51.07%	55.27%	46.48%	57.50%	53.10%	66.67%	58.71%	52.44%	45.83%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	39	6	4	3	6	2	5	3	8	1	1	0	0									
		0.51%	0.57%	0.81%	0.41%	0.44%	0.73%	0.86%	0.24%	1.99%	0.40%	0.28%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	30	2	3	2	3	0	2	5	8	2	1	1	1									
		0.39%	0.19%	0.60%	0.27%	0.22%	0.00%	0.34%	0.39%	1.99%	0.79%	0.28%	0.13%	0.83%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1512	285	106	106	254	50	126	196	76	32	75	172	34									
		19.70%	27.19%	21.37%	14.44%	18.66%	18.18%	21.61%	15.48%	18.86%	12.70%	21.07%	22.05%	28.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	60	2	2	3	27	0	10	11	1	2	2	0	0									
		0.78%	0.19%	0.40%	0.41%	1.98%	0.00%	1.72%	0.87%	0.25%	0.79%	0.56%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	134	17	17	5	22	6	8	34	5	3	4	11	2									
		1.75%	1.62%	3.43%	0.68%	1.62%	2.18%	1.37%	2.69%	1.24%	1.19%	1.12%	1.41%	1.67%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	0	0	1	1	0	0	11	3	0	0	0	0									
		0.21%	0.00%	0.00%	0.14%	0.07%	0.00%	0.00%	0.87%	0.74%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	84	7	2	11	7	8	8	25	2	3	2	5	4									
		1.09%	0.67%	0.40%	1.50%	0.51%	2.91%	1.37%	1.97%	0.50%	1.19%	0.56%	0.64%	3.33%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	817	56	68	79	179	29	81	121	46	21	31	97	9									
		10.65%	5.34%	13.71%	10.76%	13.15%	10.55%	13.89%	9.56%	11.41%	8.33%	8.71%	12.44%	7.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	46	4	1	1	3	2	4	23	1	0	3	4	0									
		0.60%	0.38%	0.20%	0.14%	0.22%	0.73%	0.69%	1.82%	0.25%	0.00%	0.84%	0.51%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	224	34	11	15	45	11	11	47	7	8	2	31	2									
		2.92%	3.24%	2.22%	2.04%	3.31%	4.00%	1.89%	3.71%	1.74%	3.17%	0.56%	3.97%	1.67%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
