Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Ямальская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	0	0	22	17	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	41	4	8	12	3	4	0	2	2	6	0	0	0									
		0.25%	0.79%	0.67%	0.89%	0.22%	0.36%	0.00%	0.18%	0.19%	0.25%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	83	6	9	8	4	6	0	8	13	29	0	0	0									
		0.51%	1.18%	0.75%	0.59%	0.29%	0.53%	0.00%	0.73%	1.26%	1.22%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	86	9	10	7	6	11	0	6	22	15	0	0	0									
		0.52%	1.78%	0.83%	0.52%	0.44%	0.98%	0.00%	0.55%	2.14%	0.63%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13486	282	1044	1029	1066	947	224	921	811	2002	1815	1725	1620									
		82.22%	55.62%	86.78%	76.11%	77.98%	84.18%	88.54%	84.11%	78.81%	84.40%	83.03%	84.98%	85.99%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	40	2	5	6	4	9	0	1	4	9	0	0	0									
		0.24%	0.39%	0.42%	0.44%	0.29%	0.80%	0.00%	0.09%	0.39%	0.38%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	3	1	3	1	3	0	0	3	3	0	0	0									
		0.10%	0.59%	0.08%	0.22%	0.07%	0.27%	0.00%	0.00%	0.29%	0.13%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1387	143	62	124	127	66	14	98	83	144	203	180	143									
		8.46%	28.21%	5.15%	9.17%	9.29%	5.87%	5.53%	8.95%	8.07%	6.07%	9.29%	8.87%	7.59%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	0	5	6	2	2	0	3	1	6	0	0	0									
		0.15%	0.00%	0.42%	0.44%	0.15%	0.18%	0.00%	0.27%	0.10%	0.25%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	27	2	4	5	1	4	0	2	4	5	0	0	0									
		0.16%	0.39%	0.33%	0.37%	0.07%	0.36%	0.00%	0.18%	0.39%	0.21%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	27	1	5	1	3	5	0	2	4	6	0	0	0									
		0.16%	0.20%	0.42%	0.07%	0.22%	0.44%	0.00%	0.18%	0.39%	0.25%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	50	1	3	9	6	4	0	5	6	16	0	0	0									
		0.30%	0.20%	0.25%	0.67%	0.44%	0.36%	0.00%	0.46%	0.58%	0.67%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	584	19	23	32	27	17	4	19	47	66	168	125	37									
		3.56%	3.75%	1.91%	2.37%	1.98%	1.51%	1.58%	1.74%	4.57%	2.78%	7.69%	6.16%	1.96%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	41	1	5	4	7	5	0	5	3	11	0	0	0									
		0.25%	0.20%	0.42%	0.30%	0.51%	0.44%	0.00%	0.46%	0.29%	0.46%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	394	12	9	95	95	37	4	14	15	29	0	0	84									
		2.40%	2.37%	0.75%	7.03%	6.95%	3.29%	1.58%	1.28%	1.46%	1.22%	0.00%	0.00%	4.46%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
