Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Гуковская городская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК  2237	УИК  2238	УИК  2239	УИК  2240	УИК  2241	УИК  2242	УИК  2243	УИК  2244	УИК  2245	УИК  2246	УИК  2247	УИК  2248	УИК  2249	УИК  2250	УИК  2251	УИК  2252	УИК  2253	УИК  2254	УИК  2255	УИК  2256	УИК  2257	УИК  2258	УИК  2259	УИК  2260	УИК  2261	УИК  2262	УИК  2263	УИК  2264	УИК  2265	УИК  2266	УИК  2267	УИК  2268	УИК  2269	УИК  2270	УИК  2271	УИК  2272	УИК  2273	УИК  2274	УИК  2275	УИК  2276	УИК  2277					
15	"Число открепительных удостоверений, выданных в ТИК"	11	1	0	1	0	0	1	0	0	2	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	1777	70	77	80	41	73	43	40	48	62	72	71	51	20	45	43	58	75	73	30	24	47	33	40	69	24	45	45	21	38	45	17	41	36	24	40	49	10	21	7	1	28					
		4.76%	5.00%	4.68%	5.79%	4.18%	6.64%	6.20%	5.38%	3.82%	4.89%	5.18%	3.50%	5.98%	2.47%	5.39%	4.60%	4.61%	5.65%	5.08%	2.73%	3.57%	5.19%	4.41%	4.31%	5.31%	2.94%	5.60%	6.72%	3.50%	6.67%	5.34%	3.14%	4.32%	6.32%	9.23%	7.09%	5.42%	1.68%	3.37%	1.55%	1.54%	5.16%					
19	. Малышкин Олег Александрович	1587	65	83	54	38	30	23	44	29	53	58	75	54	26	55	61	41	62	84	24	51	45	34	35	43	17	55	29	19	33	42	10	34	37	3	47	41	10	5	10	0	28					
		4.25%	4.65%	5.05%	3.91%	3.87%	2.73%	3.31%	5.91%	2.31%	4.18%	4.18%	3.70%	6.33%	3.21%	6.59%	6.52%	3.26%	4.67%	5.85%	2.19%	7.58%	4.97%	4.54%	3.77%	3.31%	2.08%	6.85%	4.33%	3.17%	5.79%	4.98%	1.85%	3.58%	6.49%	1.15%	8.33%	4.54%	1.68%	0.80%	2.21%	0.00%	5.16%					
20	. Миронов Сергей Михайлович	401	16	15	13	2	8	3	6	6	11	9	9	6	6	6	10	18	15	13	23	10	27	8	11	8	3	7	5	5	6	5	1	25	4	5	3	5	1	10	51	0	6					
		1.07%	1.14%	0.91%	0.94%	0.20%	0.73%	0.43%	0.81%	0.48%	0.87%	0.65%	0.44%	0.70%	0.74%	0.72%	1.07%	1.43%	1.13%	0.90%	2.09%	1.49%	2.98%	1.07%	1.18%	0.62%	0.37%	0.87%	0.75%	0.83%	1.05%	0.59%	0.18%	2.63%	0.70%	1.92%	0.53%	0.55%	0.17%	1.61%	11.28%	0.00%	1.10%					
21	. Путин Владимир Владимирович	24046	840	971	855	659	839	427	426	908	827	839	1469	490	579	518	580	717	821	900	850	420	499	514	658	892	577	504	357	383	318	491	387	603	340	162	311	677	424	436	231	35	312					
		64.35%	60.04%	59.03%	61.91%	67.18%	76.34%	61.53%	57.26%	72.35%	65.17%	60.40%	72.44%	57.44%	71.39%	62.04%	62.03%	57.04%	61.87%	62.63%	77.41%	62.41%	55.08%	68.62%	70.83%	68.67%	70.71%	62.76%	53.28%	63.83%	55.79%	58.24%	71.40%	63.47%	59.65%	62.31%	55.14%	74.89%	71.02%	69.98%	51.11%	53.85%	57.46%					
22	. Хакамада Ирина Муцуовна	807	30	44	44	27	37	16	13	19	25	41	37	8	15	12	17	21	25	48	47	19	35	15	14	30	12	13	25	17	8	18	2	19	10	2	8	14	1	0	5	1	13					
		2.16%	2.14%	2.67%	3.19%	2.75%	3.37%	2.31%	1.75%	1.51%	1.97%	2.95%	1.82%	0.94%	1.85%	1.44%	1.82%	1.67%	1.88%	3.34%	4.28%	2.82%	3.86%	2.00%	1.51%	2.31%	1.47%	1.62%	3.73%	2.83%	1.40%	2.14%	0.37%	2.00%	1.75%	0.77%	1.42%	1.55%	0.17%	0.00%	1.11%	1.54%	2.39%					
23	. Харитонов Николай Михайлович	7216	306	373	277	173	57	149	183	202	241	307	293	216	150	172	187	343	265	222	78	128	181	126	146	211	155	152	172	123	148	214	100	166	122	55	139	87	151	144	137	25	140					
		19.31%	21.87%	22.67%	20.06%	17.64%	5.19%	21.47%	24.60%	16.10%	18.99%	22.10%	14.45%	25.32%	18.50%	20.60%	20.00%	27.29%	19.97%	15.45%	7.10%	19.02%	19.98%	16.82%	15.72%	16.24%	19.00%	18.93%	25.67%	20.50%	25.96%	25.39%	18.45%	17.47%	21.40%	21.15%	24.65%	9.62%	25.29%	23.11%	30.31%	38.46%	25.78%					
																																																
24	Против всех	1305	65	66	45	41	45	25	30	30	47	57	55	25	15	22	29	49	54	94	35	19	65	19	23	45	18	25	28	28	16	28	18	62	19	7	10	21	0	0	7	3	15					
		3.49%	4.65%	4.01%	3.26%	4.18%	4.09%	3.60%	4.03%	2.39%	3.70%	4.10%	2.71%	2.93%	1.85%	2.63%	3.10%	3.90%	4.07%	6.54%	3.19%	2.82%	7.17%	2.54%	2.48%	3.46%	2.21%	3.11%	4.18%	4.67%	2.81%	3.32%	3.32%	6.53%	3.33%	2.69%	1.77%	2.32%	0.00%	0.00%	1.55%	4.62%	2.76%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
