Выборы Президента Российской Федерации																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Пермь, Свердловская"																																																																																																		
																																																																																																		
Итоги голосования 																																																																																																		
																																																																																																		
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471	УИК №3472	УИК №3473	УИК №3474	УИК №3475	УИК №3476	УИК №3477	УИК №3478	УИК №3479	УИК №3480	УИК №3481	УИК №3482	УИК №3483	УИК №3484	УИК №3485	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490	УИК №3491					
11	Число полученных открепительных  удостоверений	5000	150	70	50	70	60	80	50	100	120	70	50	100	40	50	100	50	20	40	40	60	60	70	50	40	50	50	40	60	60	100	50	50	50	90	50	60	50	50	60	70	50	40	70	40	50	60	60	60	40	80	60	50	70	70	40	40	60	50	50	40	40	40	60	60	170	70	80	80	100	50	70	60	50	90	60	70	40	30	30	20	20	50	20	30	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	2030	46	20	20	24	30	77	40	8	51	41	12	43	15	23	43	14	9	21	24	20	11	22	17	15	19	20	22	20	27	18	28	11	19	29	21	17	23	32	18	36	19	18	23	13	25	17	24	34	20	26	19	24	30	23	15	10	19	23	30	13	21	12	20	31	82	24	31	32	31	41	30	20	28	34	27	27	12	12	10	10	4	25	14	21	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1927	22	19	13	13	14	36	28	17	41	18	24	55	17	17	49	39	13	8	20	23	16	12	22	14	8	31	17	25	27	24	13	8	20	12	16	53	10	25	13	13	9	14	23	20	11	43	14	6	10	9	7	16	19	17	27	8	7	9	30	30	15	5	11	25	88	9	23	13	14	8	28	6	43	14	18	7	10	10	6	19	7	28	14	11	5	48	32	22	81	16	97					
14	Число неиспользованных открепительных удостоверений	2970	104	50	30	46	30	3	10	92	69	29	38	57	25	27	57	36	11	19	16	40	49	48	33	25	31	30	18	40	33	82	22	39	31	61	29	43	27	18	42	34	31	22	47	27	25	43	36	26	20	54	41	26	40	47	25	30	41	27	20	27	19	28	40	29	88	46	49	48	69	9	40	40	22	56	33	43	28	18	20	10	16	25	6	9	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																		
18	. Глазьев Сергей Юрьевич	4668	56	89	74	83	95	65	82	37	58	75	84	113	57	51	78	61	47	30	52	31	34	35	57	46	52	53	60	64	50	59	51	49	73	61	59	43	65	47	66	63	61	50	75	46	58	55	49	47	66	55	55	27	52	62	31	45	80	29	50	35	43	32	39	50	31	46	73	57	54	63	50	30	83	59	64	72	41	36	23	30	19	48	61	53	4	13	12	1	16	9	23					
		4.71%	4.44%	6.06%	5.31%	5.37%	5.97%	4.19%	5.95%	3.87%	4.60%	5.31%	6.75%	6.07%	6.23%	5.30%	5.66%	6.23%	6.43%	4.62%	6.00%	3.73%	4.72%	3.63%	5.11%	4.55%	5.66%	6.00%	6.29%	4.93%	4.46%	5.13%	4.90%	5.39%	5.04%	4.27%	4.44%	3.39%	5.00%	3.48%	5.73%	5.01%	4.80%	4.51%	5.08%	4.58%	4.55%	4.34%	4.31%	3.92%	5.44%	4.09%	5.23%	2.92%	4.14%	5.64%	3.44%	4.65%	5.92%	3.54%	3.92%	3.20%	4.25%	3.83%	3.48%	3.75%	3.75%	3.83%	4.92%	4.62%	3.74%	4.28%	3.73%	4.20%	5.40%	3.84%	4.77%	5.37%	4.80%	3.58%	3.30%	5.24%	6.38%	4.05%	4.47%	3.26%	3.92%	4.09%	4.88%	1.67%	6.45%	5.20%	3.59%					
19	. Малышкин Олег Александрович	1653	20	24	13	17	21	36	21	22	9	27	17	28	7	9	16	9	11	8	15	17	8	18	11	17	14	8	13	6	16	23	21	19	22	20	15	30	26	11	20	19	20	24	20	17	22	26	24	15	22	24	23	21	25	18	17	18	23	24	18	15	16	16	13	28	21	19	27	31	23	36	23	24	30	25	23	17	18	19	13	9	6	28	23	37	1	2	5	1	4	4	11					
		1.67%	1.59%	1.63%	0.93%	1.10%	1.32%	2.32%	1.52%	2.30%	0.71%	1.91%	1.37%	1.50%	0.77%	0.93%	1.16%	0.92%	1.50%	1.23%	1.73%	2.05%	1.11%	1.87%	0.99%	1.68%	1.52%	0.90%	1.36%	0.46%	1.43%	2.00%	2.02%	2.09%	1.52%	1.40%	1.13%	2.36%	2.00%	0.81%	1.74%	1.51%	1.57%	2.17%	1.35%	1.69%	1.73%	2.05%	2.11%	1.25%	1.81%	1.78%	2.19%	2.27%	1.99%	1.64%	1.88%	1.86%	1.70%	2.93%	1.41%	1.37%	1.58%	1.91%	1.16%	2.10%	2.54%	1.58%	1.82%	2.51%	1.60%	2.44%	1.72%	3.36%	1.95%	1.63%	1.71%	1.27%	2.11%	1.89%	1.87%	1.57%	2.01%	2.36%	1.68%	2.27%	0.98%	0.63%	2.03%	1.67%	1.61%	2.31%	1.72%					
20	. Миронов Сергей Михайлович	1280	14	25	20	17	19	15	30	10	10	14	17	17	13	8	20	18	15	9	14	12	13	18	11	11	13	16	7	10	17	14	13	14	19	24	24	16	20	18	15	14	14	11	20	20	24	19	21	15	10	13	13	13	13	13	11	20	18	5	18	14	15	15	13	5	11	16	15	15	23	24	13	12	11	22	22	13	12	12	3	9	2	16	15	20	0	0	5	1	3	0	8					
		1.29%	1.11%	1.70%	1.44%	1.10%	1.19%	0.97%	2.18%	1.05%	0.79%	0.99%	1.37%	0.91%	1.42%	0.83%	1.45%	1.84%	2.05%	1.38%	1.62%	1.44%	1.80%	1.87%	0.99%	1.09%	1.41%	1.81%	0.73%	0.77%	1.52%	1.22%	1.25%	1.54%	1.31%	1.68%	1.80%	1.26%	1.54%	1.33%	1.30%	1.11%	1.10%	0.99%	1.35%	1.99%	1.88%	1.50%	1.85%	1.25%	0.82%	0.97%	1.24%	1.41%	1.04%	1.18%	1.22%	2.07%	1.33%	0.61%	1.41%	1.28%	1.48%	1.79%	1.16%	0.38%	1.33%	1.33%	1.01%	1.22%	1.60%	1.63%	0.97%	1.68%	0.72%	1.43%	1.64%	0.97%	1.40%	1.19%	0.43%	1.57%	0.67%	1.35%	1.10%	1.23%	0.00%	0.00%	2.03%	1.67%	1.21%	0.00%	1.25%					
21	. Путин Владимир Владимирович	69782	879	922	925	1041	1078	1104	920	619	828	974	800	1277	571	661	875	606	462	452	568	607	490	688	782	717	617	549	624	898	742	825	723	650	1025	1011	950	957	912	1004	832	881	947	832	1086	718	905	934	785	837	846	961	769	735	900	782	688	688	934	621	907	825	718	624	826	940	638	850	1016	857	1009	1024	934	508	1094	1117	962	888	602	761	509	416	211	916	997	1270	75	233	181	43	177	124	516					
		70.44%	69.71%	62.81%	66.40%	67.29%	67.71%	71.23%	66.72%	64.82%	65.66%	68.98%	64.31%	68.58%	62.40%	68.64%	63.54%	61.90%	63.20%	69.54%	65.59%	73.04%	67.96%	71.30%	70.07%	70.85%	67.14%	62.10%	65.41%	69.24%	66.13%	71.68%	69.52%	71.51%	70.84%	70.70%	71.43%	75.35%	70.15%	74.37%	72.22%	70.03%	74.51%	75.09%	73.53%	71.51%	71.04%	73.78%	68.98%	69.81%	69.74%	71.40%	73.17%	79.46%	71.66%	71.09%	76.27%	71.15%	69.08%	75.73%	71.14%	75.48%	70.95%	74.64%	73.68%	70.57%	77.15%	70.83%	68.42%	69.51%	69.97%	69.52%	69.75%	71.15%	71.18%	72.72%	71.63%	66.17%	70.41%	75.72%	73.03%	72.60%	70.81%	77.23%	72.99%	78.06%	73.53%	73.27%	73.58%	71.67%	71.37%	71.68%	80.62%					
22	. Хакамада Ирина Муцуовна	8458	116	199	117	176	164	139	145	133	172	150	139	170	114	112	171	118	101	75	77	61	80	80	132	126	93	130	116	167	161	103	75	62	106	126	123	95	105	104	89	129	83	68	108	79	106	85	109	94	109	107	59	41	77	61	68	55	84	45	79	44	62	51	91	106	40	80	133	82	107	107	120	67	122	98	107	107	81	56	69	42	13	56	89	73	8	27	11	5	8	11	17					
		8.54%	9.20%	13.56%	8.40%	11.38%	10.30%	8.97%	10.51%	13.93%	13.64%	10.62%	11.17%	9.13%	12.46%	11.63%	12.42%	12.05%	13.82%	11.54%	8.89%	7.34%	11.10%	8.29%	11.83%	12.45%	10.12%	14.71%	12.16%	12.88%	14.35%	8.95%	7.21%	6.82%	7.33%	8.81%	9.25%	7.48%	8.08%	7.70%	7.73%	10.25%	6.53%	6.14%	7.31%	7.87%	8.32%	6.71%	9.58%	7.84%	8.99%	7.95%	5.61%	4.43%	6.13%	5.55%	7.54%	5.69%	6.21%	5.49%	6.20%	4.03%	6.13%	6.10%	8.12%	7.96%	4.84%	6.67%	8.96%	6.65%	7.42%	7.26%	8.96%	9.38%	7.94%	6.38%	7.97%	7.97%	9.47%	5.57%	9.90%	7.33%	4.36%	4.72%	6.52%	4.49%	7.84%	8.49%	4.47%	8.33%	3.23%	6.36%	2.66%					
23	. Харитонов Николай Михайлович	8026	107	126	162	123	114	111	111	67	109	79	117	151	103	78	142	101	62	43	96	62	66	69	65	55	85	74	78	82	71	75	114	71	122	103	99	53	104	96	82	84	91	75	112	65	103	100	88	128	99	119	76	55	121	113	51	89	136	47	138	104	102	60	75	135	35	115	151	122	137	137	121	41	115	141	95	147	59	89	61	39	30	81	106	86	6	23	22	7	24	13	29					
		8.10%	8.49%	8.58%	11.63%	7.95%	7.16%	7.16%	8.05%	7.02%	8.64%	5.59%	9.41%	8.11%	11.26%	8.10%	10.31%	10.32%	8.48%	6.62%	11.09%	7.46%	9.15%	7.15%	5.82%	5.43%	9.25%	8.37%	8.18%	6.32%	6.33%	6.52%	10.96%	7.81%	8.43%	7.20%	7.44%	4.17%	8.00%	7.11%	7.12%	6.68%	7.16%	6.77%	7.58%	6.47%	8.08%	7.90%	7.73%	10.68%	8.16%	8.84%	7.23%	5.95%	9.63%	10.27%	5.65%	9.20%	10.06%	5.73%	10.82%	9.52%	10.08%	7.18%	6.69%	10.14%	4.23%	9.58%	10.17%	9.89%	9.50%	9.30%	9.04%	5.74%	7.48%	9.18%	7.07%	10.95%	6.90%	8.86%	8.75%	6.81%	10.07%	6.83%	7.76%	5.29%	5.88%	7.23%	8.94%	11.67%	9.68%	7.51%	4.53%					
																																																																																																		
24	Против всех	4469	60	77	73	88	95	67	66	58	71	89	65	93	49	40	72	55	29	32	40	35	26	53	49	38	38	51	49	58	62	44	34	41	70	79	53	61	55	54	41	55	47	36	49	55	46	38	51	53	53	53	48	29	55	39	34	47	65	44	55	40	38	30	52	56	48	61	64	52	68	73	74	28	68	66	60	78	34	25	12	25	13	27	64	70	8	18	10	2	10	9	24					
		4.51%	4.76%	5.25%	5.24%	5.69%	5.97%	4.32%	4.79%	6.07%	5.63%	6.30%	5.23%	4.99%	5.36%	4.15%	5.23%	5.62%	3.97%	4.92%	4.62%	4.21%	3.61%	5.49%	4.39%	3.75%	4.13%	5.77%	5.14%	4.47%	5.53%	3.82%	3.27%	4.51%	4.84%	5.52%	3.98%	4.80%	4.23%	4.00%	3.56%	4.37%	3.70%	3.25%	3.32%	5.48%	3.61%	3.00%	4.48%	4.42%	4.37%	3.94%	4.57%	3.14%	4.38%	3.55%	3.77%	4.86%	4.81%	5.37%	4.31%	3.66%	3.75%	3.59%	4.64%	4.20%	5.80%	5.08%	4.31%	4.22%	4.72%	4.96%	5.53%	3.92%	4.42%	4.30%	4.47%	5.81%	3.98%	2.49%	1.72%	4.36%	4.36%	2.28%	4.69%	4.30%	7.84%	5.66%	4.07%	3.33%	4.03%	5.20%	3.75%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
