Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:    Камызякская																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	247	6	8	0	5	2	9	3	2	11	7	11	7	2	5	2	18	1	21	6	7	3	1	11	0	2	0	6	4	2	0	6	1	2	1	7	2	2	2	8	1	1	2	8	7	2	10	0	2	3	0	1	5	0	9	3					
		1.27%	1.21%	0.84%	0.0%	1.47%	2.29%	1.85%	1.86%	0.63%	1.18%	1.09%	1.65%	1.59%	0.38%	1.09%	0.49%	2.68%	0.72%	2.41%	2.07%	1.35%	1.87%	0.34%	4.28%	0.0%	3.57%	0.0%	0.92%	1.91%	0.8%	0.0%	1.55%	0.50%	1.05%	0.25%	1.54%	0.89%	2.24%	2.94%	0.90%	0.52%	0.78%	0.64%	1.58%	3.18%	2.40%	1.53%	0.0%	1.85%	0.42%	0.0%	0.83%	1.10%	0.0%	1.87%	1.24%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	412	12	16	6	6	0	12	6	9	20	16	13	3	9	7	11	12	3	13	9	16	5	10	4	5	3	5	27	6	6	6	7	3	6	8	3	2	0	1	12	1	7	4	13	11	0	11	0	5	8	7	2	13	5	6	1					
		2.12%	2.43%	1.68%	1.91%	1.77%	0.0%	2.47%	3.72%	2.86%	2.15%	2.5%	1.95%	0.68%	1.74%	1.53%	2.72%	1.78%	2.17%	1.49%	3.11%	3.10%	3.12%	3.41%	1.55%	5.43%	5.35%	2.80%	4.16%	2.87%	2.4%	6.0%	1.80%	1.51%	3.15%	2.00%	0.66%	0.89%	0.0%	1.47%	1.36%	0.52%	5.51%	1.28%	2.56%	5.0%	0.0%	1.69%	0.0%	4.62%	1.14%	2.96%	1.66%	2.86%	4.95%	1.24%	0.41%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	278	4	17	3	1	0	4	1	10	31	12	24	5	6	12	7	8	0	9	6	4	0	1	8	1	0	0	10	1	2	2	4	2	1	3	4	1	0	0	9	2	1	0	3	2	3	9	0	3	15	3	1	11	0	5	7					
		1.43%	0.81%	1.79%	0.95%	0.29%	0.0%	0.82%	0.62%	3.18%	3.33%	1.87%	3.60%	1.14%	1.16%	2.62%	1.73%	1.19%	0.0%	1.03%	2.07%	0.77%	0.0%	0.34%	3.11%	1.08%	0.0%	0.0%	1.54%	0.47%	0.8%	2.0%	1.03%	1.01%	0.52%	0.75%	0.88%	0.44%	0.0%	0.0%	1.02%	1.05%	0.78%	0.0%	0.59%	0.90%	3.61%	1.38%	0.0%	2.77%	2.14%	1.27%	0.83%	2.42%	0.0%	1.03%	2.90%					
22	"5. ""За Русь Святую"""	64	1	2	1	1	0	1	0	3	4	2	0	2	3	3	1	2	1	1	1	2	2	1	0	2	1	1	1	1	0	1	2	0	0	0	2	1	1	0	5	0	0	1	2	0	0	1	0	0	1	0	0	5	0	1	1					
		0.32%	0.20%	0.21%	0.31%	0.29%	0.0%	0.20%	0.0%	0.95%	0.43%	0.31%	0.0%	0.45%	0.58%	0.65%	0.24%	0.29%	0.72%	0.11%	0.34%	0.38%	1.25%	0.34%	0.0%	2.17%	1.78%	0.56%	0.15%	0.47%	0.0%	1.0%	0.51%	0.0%	0.0%	0.0%	0.44%	0.44%	1.12%	0.0%	0.56%	0.0%	0.0%	0.32%	0.39%	0.0%	0.0%	0.15%	0.0%	0.0%	0.14%	0.0%	0.0%	1.10%	0.0%	0.20%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	40	0	1	0	1	0	1	0	0	2	1	0	0	2	2	1	1	2	1	1	0	0	1	2	0	0	2	0	1	2	0	2	0	0	0	0	0	0	0	0	1	0	1	1	1	0	3	0	0	3	0	0	1	0	2	1					
		0.20%	0.0%	0.10%	0.0%	0.29%	0.0%	0.20%	0.0%	0.0%	0.21%	0.15%	0.0%	0.0%	0.38%	0.43%	0.24%	0.14%	1.44%	0.11%	0.34%	0.0%	0.0%	0.34%	0.77%	0.0%	0.0%	1.12%	0.0%	0.47%	0.8%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.32%	0.19%	0.45%	0.0%	0.46%	0.0%	0.0%	0.42%	0.0%	0.0%	0.22%	0.0%	0.41%	0.41%					
24	"7. ""Новый курс - Автомобильная Россия"""	81	1	4	0	0	0	2	3	2	10	0	4	0	3	1	2	5	2	4	2	1	0	1	1	0	0	0	5	1	0	0	2	2	0	2	1	1	0	0	3	4	0	0	2	0	2	3	0	0	2	0	0	1	0	2	0					
		0.41%	0.20%	0.42%	0.0%	0.0%	0.0%	0.41%	1.86%	0.63%	1.07%	0.0%	0.60%	0.0%	0.58%	0.21%	0.49%	0.74%	1.44%	0.45%	0.69%	0.19%	0.0%	0.34%	0.38%	0.0%	0.0%	0.0%	0.77%	0.47%	0.0%	0.0%	0.51%	1.01%	0.0%	0.50%	0.22%	0.44%	0.0%	0.0%	0.34%	2.10%	0.0%	0.0%	0.39%	0.0%	2.40%	0.46%	0.0%	0.0%	0.28%	0.0%	0.0%	0.22%	0.0%	0.41%	0.0%					
25	"8. ""Народно-республиканская партия России"""	48	1	1	0	0	0	1	2	1	0	1	0	0	0	0	1	0	0	1	4	1	0	0	0	1	0	2	0	0	0	0	1	1	0	1	0	2	0	1	2	0	0	3	1	1	0	6	2	0	2	0	3	2	0	2	1					
		0.24%	0.20%	0.10%	0.0%	0.0%	0.0%	0.20%	1.24%	0.31%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.11%	1.38%	0.19%	0.0%	0.0%	0.0%	1.08%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%	0.25%	0.50%	0.0%	0.25%	0.0%	0.89%	0.0%	1.47%	0.22%	0.0%	0.0%	0.96%	0.19%	0.45%	0.0%	0.92%	2.5%	0.0%	0.28%	0.0%	2.5%	0.44%	0.0%	0.41%	0.41%					
26	"9. ""Российская экологическая партия ""Зеленые"""	47	0	2	0	4	0	1	0	0	3	1	4	1	0	4	0	2	0	1	1	2	0	0	0	1	1	0	1	0	1	0	1	0	2	0	0	1	0	0	3	1	1	0	2	0	0	1	1	2	2	0	0	0	0	0	0					
		0.24%	0.0%	0.21%	0.0%	1.18%	0.0%	0.20%	0.0%	0.0%	0.32%	0.15%	0.60%	0.22%	0.0%	0.87%	0.0%	0.29%	0.0%	0.11%	0.34%	0.38%	0.0%	0.0%	0.0%	1.08%	1.78%	0.0%	0.15%	0.0%	0.4%	0.0%	0.25%	0.0%	1.05%	0.0%	0.0%	0.44%	0.0%	0.0%	0.34%	0.52%	0.78%	0.0%	0.39%	0.0%	0.0%	0.15%	1.25%	1.85%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1205	26	21	3	5	0	39	6	7	48	20	21	12	32	20	28	74	14	43	30	16	6	18	10	0	2	37	14	3	29	0	12	1	1	41	35	15	6	3	44	10	2	18	105	52	5	51	15	3	77	49	6	28	4	28	10					
		6.20%	5.27%	2.21%	0.95%	1.47%	0.0%	8.05%	3.72%	2.22%	5.16%	3.12%	3.15%	2.73%	6.18%	4.37%	6.94%	11.02%	10.14%	4.93%	10.38%	3.10%	3.75%	6.14%	3.89%	0.0%	3.57%	20.78%	2.15%	1.43%	11.6%	0.0%	3.10%	0.50%	0.52%	10.27%	7.72%	6.72%	6.74%	4.41%	5.0%	5.26%	1.57%	5.76%	20.75%	23.63%	6.02%	7.84%	18.75%	2.77%	11.03%	20.76%	5.0%	6.18%	3.96%	5.82%	4.14%					
28	"11. ""Истинные патриоты России"""	79	2	3	1	1	1	1	1	0	1	3	2	1	3	0	2	0	2	2	2	1	3	3	0	0	0	1	5	0	0	2	2	0	1	0	1	0	0	0	2	0	1	5	2	0	2	11	0	0	0	0	0	2	1	6	0					
		0.40%	0.40%	0.31%	0.31%	0.29%	1.14%	0.20%	0.62%	0.0%	0.10%	0.46%	0.30%	0.22%	0.58%	0.0%	0.49%	0.0%	1.44%	0.22%	0.69%	0.19%	1.87%	1.02%	0.0%	0.0%	0.0%	0.56%	0.77%	0.0%	0.0%	2.0%	0.51%	0.0%	0.52%	0.0%	0.22%	0.0%	0.0%	0.0%	0.22%	0.0%	0.78%	1.60%	0.39%	0.0%	2.40%	1.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.99%	1.24%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	236	4	14	10	3	1	10	3	2	6	4	10	3	6	5	9	1	3	8	4	11	0	6	5	1	2	1	10	6	2	4	5	2	2	9	5	5	0	0	8	1	0	4	3	4	1	6	0	0	5	0	5	5	1	11	0					
		1.21%	0.81%	1.47%	3.19%	0.88%	1.14%	2.06%	1.86%	0.63%	0.64%	0.62%	1.50%	0.68%	1.16%	1.09%	2.23%	0.14%	2.17%	0.91%	1.38%	2.13%	0.0%	2.04%	1.94%	1.08%	3.57%	0.56%	1.54%	2.87%	0.8%	4.0%	1.29%	1.01%	1.05%	2.25%	1.10%	2.24%	0.0%	0.0%	0.90%	0.52%	0.0%	1.28%	0.59%	1.81%	1.20%	0.92%	0.0%	0.0%	0.71%	0.0%	4.16%	1.10%	0.99%	2.28%	0.0%					
30	"13. ""Демократическая партия России"""	67	5	3	3	1	1	0	0	1	9	1	1	3	3	2	1	3	1	1	0	2	0	0	0	0	0	0	1	4	2	0	1	0	1	0	1	1	0	0	2	0	2	1	0	0	0	2	0	0	4	0	1	0	0	1	2					
		0.34%	1.01%	0.31%	0.95%	0.29%	1.14%	0.0%	0.0%	0.31%	0.96%	0.15%	0.15%	0.68%	0.58%	0.43%	0.24%	0.44%	0.72%	0.11%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	1.91%	0.8%	0.0%	0.25%	0.0%	0.52%	0.0%	0.22%	0.44%	0.0%	0.0%	0.22%	0.0%	1.57%	0.32%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.57%	0.0%	0.83%	0.0%	0.0%	0.20%	0.82%					
31	"14. ""Великая Россия - Евразийский Союз"""	137	3	6	3	1	4	3	0	1	4	4	8	1	6	3	1	5	0	7	4	2	0	7	0	0	2	1	7	1	4	0	2	0	1	2	5	0	0	1	5	0	1	1	2	3	1	2	2	2	4	0	4	3	0	4	4					
		0.70%	0.60%	0.63%	0.95%	0.29%	4.59%	0.61%	0.0%	0.31%	0.43%	0.62%	1.20%	0.22%	1.16%	0.65%	0.24%	0.74%	0.0%	0.80%	1.38%	0.38%	0.0%	2.38%	0.0%	0.0%	3.57%	0.56%	1.07%	0.47%	1.6%	0.0%	0.51%	0.0%	0.52%	0.50%	1.10%	0.0%	0.0%	1.47%	0.56%	0.0%	0.78%	0.32%	0.39%	1.36%	1.20%	0.30%	2.5%	1.85%	0.57%	0.0%	3.33%	0.66%	0.0%	0.83%	1.65%					
32	"15. ""Партия СЛОН"""	35	0	0	0	0	0	1	1	0	0	4	1	0	0	0	1	3	1	1	1	3	1	0	1	0	2	0	1	0	1	0	0	0	0	0	1	1	0	0	3	0	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.62%	0.0%	0.0%	0.62%	0.15%	0.0%	0.0%	0.0%	0.24%	0.44%	0.72%	0.11%	0.34%	0.58%	0.62%	0.0%	0.38%	0.0%	3.57%	0.0%	0.15%	0.0%	0.4%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.44%	0.0%	0.0%	0.34%	0.0%	0.78%	0.32%	0.19%	0.45%	0.0%	0.15%	0.0%	0.0%	0.14%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1313	22	85	4	15	2	34	6	30	93	49	66	35	39	59	33	52	11	92	18	39	8	16	12	5	1	9	37	10	8	5	26	7	21	24	20	10	2	8	69	5	2	13	44	4	9	31	0	1	34	17	8	28	2	31	2					
		6.76%	4.46%	8.97%	1.27%	4.43%	2.29%	7.02%	3.72%	9.55%	10.0%	7.65%	9.92%	7.99%	7.54%	12.91%	8.18%	7.74%	7.97%	10.56%	6.22%	7.55%	5.0%	5.46%	4.66%	5.43%	1.78%	5.05%	5.70%	4.78%	3.2%	5.0%	6.71%	3.53%	11.05%	6.01%	4.41%	4.48%	2.24%	11.76%	7.84%	2.63%	1.57%	4.16%	8.69%	1.81%	10.84%	4.76%	0.0%	0.92%	4.87%	7.20%	6.66%	6.18%	1.98%	6.44%	0.82%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	89	1	1	3	2	0	7	1	1	2	5	1	1	1	1	1	1	0	6	1	4	1	0	1	1	0	2	1	0	0	1	3	2	1	0	4	3	0	0	3	0	1	4	3	1	0	5	1	0	4	0	1	3	1	2	0					
		0.45%	0.20%	0.10%	0.95%	0.59%	0.0%	1.44%	0.62%	0.31%	0.21%	0.78%	0.15%	0.22%	0.19%	0.21%	0.24%	0.14%	0.0%	0.68%	0.34%	0.77%	0.62%	0.0%	0.38%	1.08%	0.0%	1.12%	0.15%	0.0%	0.0%	1.0%	0.77%	1.01%	0.52%	0.0%	0.88%	1.34%	0.0%	0.0%	0.34%	0.0%	0.78%	1.28%	0.59%	0.45%	0.0%	0.76%	1.25%	0.0%	0.57%	0.0%	0.83%	0.66%	0.99%	0.41%	0.0%					
35	"18. ""ЛДПР"""	2277	92	140	16	12	5	63	32	45	128	79	94	60	44	56	55	88	20	114	5	68	5	38	4	15	10	16	59	24	7	3	55	21	25	60	73	8	8	6	92	31	12	65	53	2	20	98	8	16	20	2	2	91	16	80	16					
		11.73%	18.66%	14.78%	5.11%	3.55%	5.74%	13.01%	19.87%	14.33%	13.76%	12.34%	14.13%	13.69%	8.51%	12.25%	13.64%	13.11%	14.49%	13.08%	1.73%	13.17%	3.12%	12.96%	1.55%	16.30%	17.85%	8.98%	9.09%	11.48%	2.8%	3.0%	14.21%	10.60%	13.15%	15.03%	16.11%	3.58%	8.98%	8.82%	10.45%	16.31%	9.44%	20.83%	10.47%	0.90%	24.09%	15.07%	10.0%	14.81%	2.86%	0.84%	1.66%	20.08%	15.84%	16.63%	6.63%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	272	9	23	3	7	1	5	6	0	13	10	9	10	17	9	1	6	1	13	6	8	1	1	4	1	0	1	8	3	4	0	5	0	1	8	3	4	2	1	10	1	2	3	7	3	1	8	1	3	7	3	3	7	0	3	6					
		1.40%	1.82%	2.42%	0.95%	2.07%	1.14%	1.03%	3.72%	0.0%	1.39%	1.56%	1.35%	2.28%	3.28%	1.96%	0.24%	0.89%	0.72%	1.49%	2.07%	1.55%	0.62%	0.34%	1.55%	1.08%	0.0%	0.56%	1.23%	1.43%	1.6%	0.0%	1.29%	0.0%	0.52%	2.00%	0.66%	1.79%	2.24%	1.47%	1.13%	0.52%	1.57%	0.96%	1.38%	1.36%	1.20%	1.23%	1.25%	2.77%	1.00%	1.27%	2.5%	1.54%	0.0%	0.62%	2.48%					
37	"20. ""Политическая партия ""Единая Россия"""	7096	181	403	205	117	14	124	65	128	342	221	218	174	193	153	123	191	52	323	85	247	63	100	76	35	22	60	200	91	116	39	191	148	93	145	170	63	42	21	331	69	61	92	164	82	13	207	25	49	209	67	34	159	51	101	148					
		36.56%	36.71%	42.55%	65.49%	34.61%	16.09%	25.61%	40.37%	40.76%	36.77%	34.53%	32.78%	39.72%	37.33%	33.47%	30.52%	28.46%	37.68%	37.08%	29.41%	47.86%	39.37%	34.12%	29.57%	38.04%	39.28%	33.70%	30.81%	43.54%	46.4%	39.0%	49.35%	74.74%	48.94%	36.34%	37.52%	28.25%	47.19%	30.88%	37.61%	36.31%	48.03%	29.48%	32.41%	37.27%	15.66%	31.84%	31.25%	45.37%	29.94%	28.38%	28.33%	35.09%	50.49%	20.99%	61.41%					
38	"21. ""Российская Конституционно-демократическая партия"""	44	0	3	2	2	0	1	0	0	0	3	0	2	1	0	1	2	0	0	0	1	0	1	0	0	0	0	2	1	0	0	2	0	0	0	3	1	0	0	2	0	0	4	0	1	0	3	0	0	0	0	1	3	0	2	0					
		0.22%	0.0%	0.31%	0.63%	0.59%	0.0%	0.20%	0.0%	0.0%	0.0%	0.46%	0.0%	0.45%	0.19%	0.0%	0.24%	0.29%	0.0%	0.0%	0.0%	0.19%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.30%	0.47%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.66%	0.44%	0.0%	0.0%	0.22%	0.0%	0.0%	1.28%	0.0%	0.45%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.83%	0.66%	0.0%	0.41%	0.0%					
39	"22. ""Развитие предпринимательства"""	40	0	3	0	0	0	2	0	1	2	1	1	2	1	2	1	0	0	2	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	3	0	0	3	0	0	1	0	3	2					
		0.20%	0.0%	0.31%	0.0%	0.0%	0.0%	0.41%	0.0%	0.31%	0.21%	0.15%	0.15%	0.45%	0.19%	0.43%	0.24%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.47%	0.8%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.46%	0.0%	0.0%	0.42%	0.0%	0.0%	0.22%	0.0%	0.62%	0.82%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3623	84	126	42	113	33	123	11	51	145	139	125	83	116	69	93	155	12	137	67	43	51	55	80	16	6	17	182	31	39	23	31	3	17	58	65	84	12	12	191	43	26	53	41	25	9	131	19	11	232	51	35	46	6	128	27					
		18.66%	17.03%	13.30%	13.41%	33.43%	37.93%	25.41%	6.83%	16.24%	15.59%	21.71%	18.79%	18.94%	22.43%	15.09%	23.07%	23.09%	8.69%	15.72%	23.18%	8.33%	31.87%	18.77%	31.12%	17.39%	10.71%	9.55%	28.04%	14.83%	15.6%	23.0%	8.01%	1.51%	8.94%	14.53%	14.34%	37.66%	13.48%	17.64%	21.70%	22.63%	20.47%	16.98%	8.10%	11.36%	10.84%	20.15%	23.75%	10.18%	33.23%	21.61%	29.16%	10.15%	5.94%	26.61%	11.20%					
																																																														
41	Против всех	776	18	37	5	19	4	15	5	11	30	32	37	17	19	29	20	24	4	49	14	11	4	8	7	3	2	10	28	7	3	7	9	0	3	13	34	8	5	4	22	6	5	19	16	5	10	29	3	5	23	12	4	22	9	26	5					
		3.99%	3.65%	3.90%	1.59%	5.62%	4.59%	3.09%	3.10%	3.50%	3.22%	5.0%	5.56%	3.88%	3.67%	6.34%	4.96%	3.57%	2.89%	5.62%	4.84%	2.13%	2.5%	2.73%	2.72%	3.26%	3.57%	5.61%	4.31%	3.34%	1.2%	7.0%	2.32%	0.0%	1.57%	3.25%	7.50%	3.58%	5.61%	5.88%	2.5%	3.15%	3.93%	6.08%	3.16%	2.27%	12.04%	4.46%	3.75%	4.62%	3.29%	5.08%	3.33%	4.85%	8.91%	5.40%	2.07%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
