Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Демянская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138					
30	"13. ""Демократическая партия России"""	36	1	1	0	1	0	1	0	0	8	0	0	3	0	3	2	2	0	1	4	5	4					
		0.56%	0.88%	1.56%	0.0%	0.52%	0.0%	0.59%	0.0%	0.0%	1.29%	0.0%	0.0%	1.03%	0.0%	1.45%	0.88%	0.69%	0.0%	0.27%	0.63%	0.58%	0.36%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	1	0	0	2	0	1	0	0	3	0	1	1	0	0	0	1	0	3	3	4	2					
		0.34%	0.88%	0.0%	0.0%	1.05%	0.0%	0.59%	0.0%	0.0%	0.48%	0.0%	0.31%	0.34%	0.0%	0.0%	0.0%	0.34%	0.0%	0.83%	0.47%	0.47%	0.18%					
32	"15. ""Партия СЛОН"""	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.18%					
33	"16. ""Родина"" (народно-патриотический союз)"""	507	9	3	10	3	7	12	8	16	58	2	16	25	2	21	20	25	14	6	34	90	126					
		7.89%	7.96%	4.68%	5.20%	1.57%	5.22%	7.10%	16.32%	7.40%	9.38%	1.52%	5.04%	8.59%	1.75%	10.19%	8.81%	8.71%	8.43%	1.66%	5.41%	10.57%	11.44%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	1	1	2	0	1	0	0	0	2	0	0	0	0	0	0	2	0	1	1	0	2					
		0.20%	0.88%	1.56%	1.04%	0.0%	0.74%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.27%	0.15%	0.0%	0.18%					
35	"18. ""ЛДПР"""	744	11	14	27	36	14	22	4	11	71	10	39	25	9	20	16	38	19	44	89	84	141					
		11.58%	9.73%	21.87%	14.06%	18.94%	10.44%	13.01%	8.16%	5.09%	11.48%	7.63%	12.30%	8.59%	7.89%	9.70%	7.04%	13.24%	11.44%	12.22%	14.17%	9.87%	12.80%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	220	2	2	12	10	9	4	0	7	21	2	5	7	8	7	9	10	3	9	34	27	32					
		3.42%	1.76%	3.12%	6.25%	5.26%	6.71%	2.36%	0.0%	3.24%	3.39%	1.52%	1.57%	2.40%	7.01%	3.39%	3.96%	3.48%	1.80%	2.5%	5.41%	3.17%	2.90%					
37	"20. ""Политическая партия ""Единая Россия"""	2219	33	18	80	73	57	46	22	44	276	86	116	145	50	86	112	90	39	103	222	216	305					
		34.54%	29.20%	28.12%	41.66%	38.42%	42.53%	27.21%	44.89%	20.37%	44.66%	65.64%	36.59%	49.82%	43.85%	41.74%	49.33%	31.35%	23.49%	28.61%	35.35%	25.38%	27.70%					
38	"21. ""Российская Конституционно-демократическая партия"""	22	1	0	0	1	0	0	0	0	5	0	1	0	1	0	0	3	0	1	4	1	4					
		0.34%	0.88%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.80%	0.0%	0.31%	0.0%	0.87%	0.0%	0.0%	1.04%	0.0%	0.27%	0.63%	0.11%	0.36%					
39	"22. ""Развитие предпринимательства"""	11	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	2	1	2					
		0.17%	0.88%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.46%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.27%	0.31%	0.11%	0.18%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	829	17	8	19	13	9	16	4	101	52	10	41	30	25	15	17	39	19	47	119	106	122					
		12.90%	15.04%	12.5%	9.89%	6.84%	6.71%	9.46%	8.16%	46.75%	8.41%	7.63%	12.93%	10.30%	21.92%	7.28%	7.48%	13.58%	11.44%	13.05%	18.94%	12.45%	11.08%					
																												
41	Против всех	247	3	0	7	12	6	6	0	7	11	2	13	8	4	10	9	4	8	13	7	51	66					
		3.84%	2.65%	0.0%	3.64%	6.31%	4.47%	3.55%	0.0%	3.24%	1.77%	1.52%	4.10%	2.74%	3.50%	4.85%	3.96%	1.39%	4.81%	3.61%	1.11%	5.99%	5.99%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
