Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
"Наименование Избирательной комиссии:    Дзержинская, Калининская"																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №962									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	696	3	2	2	1	0	2	2	4	9	6	15	6	18	12	8	17	20	16	19	15	15	8	14	3	16	11	23	6	14	10	15	12	16	10	16	13	20	17	17	14	12	12	13	27	27	20	7	9	0	12	15	11	17	12	12	18	2	5	10	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	478	5	3	1	4	2	8	9	2	10	2	9	15	6	4	5	55	20	12	7	7	8	0	10	5	9	10	14	8	7	7	11	3	8	11	7	6	8	9	1	5	11	6	9	4	5	14	1	10	2	5	1	9	7	7	9	11	9	15	5	5									
14	Число погашенных неиспользованных открепительных удостоверений	384	12	13	13	14	15	13	13	11	6	9	5	9	7	3	7	3	0	4	6	0	5	7	1	12	4	4	2	9	1	5	0	3	4	5	4	7	5	3	3	11	3	3	2	3	8	5	8	6	15	3	10	4	8	3	3	7	13	10	5	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	79	1	0	0	1	0	0	0	0	6	2	6	3	3	0	1	1	1	2	1	0	1	0	1	0	0	2	1	3	1	0	3	5	1	2	0	0	0	1	1	0	3	2	3	3	0	2	0	3	0	3	0	1	0	2	2	1	1	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1785	11	3	10	10	0	7	4	18	31	30	11	35	37	27	16	32	41	39	38	39	43	33	44	21	29	46	35	27	17	22	29	51	45	35	40	54	36	40	40	13	43	17	25	33	36	60	10	31	2	44	25	42	38	35	70	51	7	17	34	26									
		4.63%	2.18%	0.68%	4.17%	3.13%	0.00%	1.76%	1.53%	4.05%	3.88%	4.37%	2.68%	3.44%	3.13%	3.80%	4.36%	4.86%	5.09%	3.75%	3.39%	3.10%	6.53%	7.80%	6.26%	7.34%	6.39%	5.90%	3.71%	2.84%	3.28%	4.71%	2.87%	8.07%	8.12%	4.83%	6.32%	9.87%	5.59%	5.65%	5.52%	1.85%	5.85%	4.27%	3.21%	4.56%	5.00%	6.25%	3.52%	3.03%	1.61%	5.56%	5.84%	7.58%	5.09%	4.61%	8.97%	4.94%	4.70%	4.24%	5.18%	5.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	945	12	4	8	10	3	4	9	7	44	10	13	17	18	20	11	14	25	26	21	22	7	8	18	6	19	21	24	18	16	9	18	15	6	9	11	21	26	27	20	25	16	9	24	14	13	25	5	33	1	29	16	10	21	19	11	18	3	7	32	17									
		2.45%	2.38%	0.91%	3.33%	3.13%	1.02%	1.01%	3.45%	1.58%	5.51%	1.46%	3.17%	1.67%	1.52%	2.81%	2.99%	2.13%	3.10%	2.50%	1.87%	1.75%	1.06%	1.89%	2.56%	2.10%	4.19%	2.69%	2.54%	1.89%	3.08%	1.93%	1.78%	2.37%	1.08%	1.24%	1.74%	3.84%	4.04%	3.81%	2.76%	3.57%	2.18%	2.26%	3.08%	1.93%	1.81%	2.60%	1.76%	3.22%	0.81%	3.66%	3.74%	1.81%	2.81%	2.50%	1.41%	1.74%	2.01%	1.75%	4.88%	3.41%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	654	1	4	3	10	0	6	6	2	18	7	5	15	12	7	3	9	13	23	21	21	10	9	17	8	4	16	22	9	4	10	11	10	18	7	15	16	6	12	11	24	10	8	10	15	23	18	7	16	0	9	8	15	19	10	12	18	1	5	14	11									
		1.70%	0.20%	0.91%	1.25%	3.13%	0.00%	1.51%	2.30%	0.45%	2.25%	1.02%	1.22%	1.47%	1.02%	0.98%	0.82%	1.37%	1.61%	2.21%	1.87%	1.67%	1.52%	2.13%	2.42%	2.80%	0.88%	2.05%	2.33%	0.95%	0.77%	2.14%	1.09%	1.58%	3.25%	0.97%	2.37%	2.93%	0.93%	1.69%	1.52%	3.42%	1.36%	2.01%	1.28%	2.07%	3.19%	1.88%	2.46%	1.56%	0.00%	1.14%	1.87%	2.71%	2.54%	1.32%	1.54%	1.74%	0.67%	1.25%	2.13%	2.20%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18519	334	268	125	200	223	294	76	221	404	355	202	553	691	335	168	367	354	603	641	689	333	150	308	125	171	386	420	463	230	202	497	291	242	338	298	180	279	237	263	318	416	157	369	293	275	451	120	475	76	321	177	257	314	370	387	462	75	256	250	184									
		48.02%	66.14%	61.19%	52.08%	62.50%	75.59%	74.06%	29.12%	49.77%	50.56%	51.67%	49.27%	54.32%	58.46%	47.12%	45.78%	55.78%	43.92%	57.93%	57.18%	54.81%	50.53%	35.46%	43.81%	43.71%	37.67%	49.49%	44.49%	48.69%	44.32%	43.25%	49.11%	46.04%	43.68%	46.69%	47.08%	32.91%	43.32%	33.47%	36.33%	45.36%	56.60%	39.45%	47.31%	40.47%	38.19%	46.98%	42.25%	46.39%	61.29%	40.53%	41.36%	46.39%	42.03%	48.75%	49.62%	44.72%	50.34%	63.84%	38.11%	36.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	238	5	1	1	1	0	2	1	2	2	2	3	14	7	4	2	4	5	6	6	6	3	2	3	3	2	5	10	5	1	3	5	1	4	6	4	3	2	4	4	7	4	4	11	3	6	4	3	7	0	4	2	8	6	5	4	6	2	0	4	4									
		0.62%	0.99%	0.23%	0.42%	0.31%	0.00%	0.50%	0.38%	0.45%	0.25%	0.29%	0.73%	1.38%	0.59%	0.56%	0.54%	0.61%	0.62%	0.58%	0.54%	0.48%	0.46%	0.47%	0.43%	1.05%	0.44%	0.64%	1.06%	0.53%	0.19%	0.64%	0.49%	0.16%	0.72%	0.83%	0.63%	0.55%	0.31%	0.56%	0.55%	0.99%	0.54%	1.01%	1.41%	0.41%	0.83%	0.42%	1.06%	0.68%	0.00%	0.51%	0.47%	1.44%	0.80%	0.66%	0.51%	0.58%	1.34%	0.00%	0.61%	0.80%									
24	"6. Политическая партия ""Гражданская Платформа"""	43	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	2	3	0	2	1	0	0	1	0	1	0	1	1	0	3	1	1	2	0	1	1	0	2	0	1	2	0	0	2	1	0	0	1	2	2	2	0	0	0	0	0	1									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.25%	0.00%	0.18%	0.24%	0.00%	0.47%	0.14%	0.00%	0.00%	0.13%	0.00%	0.11%	0.00%	0.21%	0.10%	0.00%	0.54%	0.14%	0.16%	0.37%	0.00%	0.14%	0.14%	0.00%	0.27%	0.00%	0.13%	0.28%	0.00%	0.00%	0.70%	0.10%	0.00%	0.00%	0.23%	0.36%	0.27%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6049	40	70	40	33	51	28	40	65	106	112	69	161	248	114	64	91	148	113	146	154	78	58	98	53	91	124	174	166	104	92	136	90	82	112	95	90	96	119	145	106	93	84	113	129	111	159	65	190	21	134	63	91	115	135	105	165	33	36	100	105									
		15.68%	7.92%	15.98%	16.67%	10.31%	17.29%	7.05%	15.33%	14.64%	13.27%	16.30%	16.83%	15.82%	20.98%	16.03%	17.44%	13.83%	18.36%	10.85%	13.02%	12.25%	11.84%	13.71%	13.94%	18.53%	20.04%	15.90%	18.43%	17.46%	20.04%	19.70%	13.44%	14.24%	14.80%	15.47%	15.01%	16.45%	14.91%	16.81%	20.03%	15.12%	12.65%	21.11%	14.49%	17.82%	15.42%	16.56%	22.89%	18.55%	16.94%	16.92%	14.72%	16.43%	15.39%	17.79%	13.46%	15.97%	22.15%	8.98%	15.24%	21.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	373	2	3	1	1	0	1	3	4	6	2	9	16	10	6	3	4	3	4	8	9	5	4	10	4	5	9	5	15	8	5	12	9	6	7	8	12	17	11	8	5	2	7	7	8	7	8	0	7	0	8	7	4	8	7	6	10	3	3	6	5									
		0.97%	0.40%	0.68%	0.42%	0.31%	0.00%	0.25%	1.15%	0.90%	0.75%	0.29%	2.20%	1.57%	0.85%	0.84%	0.82%	0.61%	0.37%	0.38%	0.71%	0.72%	0.76%	0.95%	1.42%	1.40%	1.10%	1.15%	0.53%	1.58%	1.54%	1.07%	1.19%	1.42%	1.08%	0.97%	1.26%	2.19%	2.64%	1.55%	1.10%	0.71%	0.27%	1.76%	0.90%	1.10%	0.97%	0.83%	0.00%	0.68%	0.00%	1.01%	1.64%	0.72%	1.07%	0.92%	0.77%	0.97%	2.01%	0.75%	0.91%	1.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	350	9	1	3	2	0	5	4	7	5	5	5	4	10	4	1	5	13	4	12	7	2	9	11	2	4	8	9	4	2	1	7	10	4	13	7	13	0	13	13	1	5	3	7	3	6	9	3	11	0	5	2	8	14	5	13	7	1	1	5	3									
		0.91%	1.78%	0.23%	1.25%	0.63%	0.00%	1.26%	1.53%	1.58%	0.63%	0.73%	1.22%	0.39%	0.85%	0.56%	0.27%	0.76%	1.61%	0.38%	1.07%	0.56%	0.30%	2.13%	1.56%	0.70%	0.88%	1.03%	0.95%	0.42%	0.39%	0.21%	0.69%	1.58%	0.72%	1.80%	1.11%	2.38%	0.00%	1.84%	1.80%	0.14%	0.68%	0.75%	0.90%	0.41%	0.83%	0.94%	1.06%	1.07%	0.00%	0.63%	0.47%	1.44%	1.87%	0.66%	1.67%	0.68%	0.67%	0.25%	0.76%	0.60%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	36	1	0	1	0	0	1	0	0	0	1	0	0	1	2	2	0	0	2	0	1	0	0	0	1	0	0	2	0	0	0	1	1	1	0	0	0	0	0	2	0	1	1	1	1	0	0	0	1	0	1	1	0	3	4	1	1	0	0	0	0									
		0.09%	0.20%	0.00%	0.42%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.08%	0.28%	0.54%	0.00%	0.00%	0.19%	0.00%	0.08%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.10%	0.16%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.14%	0.25%	0.13%	0.14%	0.00%	0.00%	0.00%	0.10%	0.00%	0.13%	0.23%	0.00%	0.40%	0.53%	0.13%	0.10%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	533	3	1	2	1	1	5	8	4	4	10	2	2	8	15	7	12	15	8	23	13	12	25	12	3	7	11	8	11	4	10	12	3	14	11	11	14	8	25	8	12	10	3	9	21	8	11	1	19	0	8	7	13	12	6	8	15	4	2	8	3									
		1.38%	0.59%	0.23%	0.83%	0.31%	0.34%	1.26%	3.07%	0.90%	0.50%	1.46%	0.49%	0.20%	0.68%	2.11%	1.91%	1.82%	1.86%	0.77%	2.05%	1.03%	1.82%	5.91%	1.71%	1.05%	1.54%	1.41%	0.85%	1.16%	0.77%	2.14%	1.19%	0.47%	2.53%	1.52%	1.74%	2.56%	1.24%	3.53%	1.10%	1.71%	1.36%	0.75%	1.15%	2.90%	1.11%	1.15%	0.35%	1.86%	0.00%	1.01%	1.64%	2.35%	1.61%	0.79%	1.03%	1.45%	2.68%	0.50%	1.22%	0.60%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6555	67	71	36	35	13	29	107	84	129	97	57	148	94	135	70	92	137	139	139	206	137	82	127	44	96	116	163	140	92	86	233	101	89	132	102	106	131	166	155	136	100	76	156	148	156	153	42	166	21	166	92	82	129	102	111	221	11	51	157	96									
		16.99%	13.27%	16.21%	15.00%	10.94%	4.41%	7.30%	40.99%	18.92%	16.15%	14.12%	13.90%	14.54%	7.95%	18.99%	19.07%	13.98%	16.99%	13.35%	12.40%	16.39%	20.79%	19.39%	18.07%	15.38%	21.15%	14.87%	17.27%	14.72%	17.73%	18.42%	23.02%	15.98%	16.06%	18.23%	16.11%	19.38%	20.34%	23.45%	21.41%	19.40%	13.61%	19.10%	20.00%	20.44%	21.67%	15.94%	14.79%	16.21%	16.94%	20.96%	21.50%	14.80%	17.27%	13.44%	14.23%	21.39%	7.38%	12.72%	23.93%	19.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	90	1	0	0	0	0	1	0	1	1	1	0	1	1	3	1	1	0	5	4	4	3	5	3	1	2	0	4	2	2	2	3	1	4	2	3	2	1	1	3	1	0	0	0	2	1	3	1	3	0	2	0	1	0	0	2	2	1	0	1	1									
		0.23%	0.20%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.23%	0.13%	0.15%	0.00%	0.10%	0.08%	0.42%	0.27%	0.15%	0.00%	0.48%	0.36%	0.32%	0.46%	1.18%	0.43%	0.35%	0.44%	0.00%	0.42%	0.21%	0.39%	0.43%	0.30%	0.16%	0.72%	0.28%	0.47%	0.37%	0.16%	0.14%	0.41%	0.14%	0.00%	0.00%	0.00%	0.28%	0.14%	0.31%	0.35%	0.29%	0.00%	0.25%	0.00%	0.18%	0.00%	0.00%	0.26%	0.19%	0.67%	0.00%	0.15%	0.20%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1425	14	9	6	11	4	10	2	21	29	28	17	37	20	26	9	19	26	40	37	56	16	30	23	10	12	17	39	51	17	16	29	23	29	27	26	26	27	32	36	22	22	18	30	33	47	42	12	28	3	37	16	15	29	37	34	28	4	11	26	24									
		3.69%	2.77%	2.05%	2.50%	3.44%	1.36%	2.52%	0.77%	4.73%	3.63%	4.08%	4.15%	3.63%	1.69%	3.66%	2.45%	2.89%	3.23%	3.84%	3.30%	4.46%	2.43%	7.09%	3.27%	3.50%	2.64%	2.18%	4.13%	5.36%	3.28%	3.43%	2.87%	3.64%	5.23%	3.73%	4.11%	4.75%	4.19%	4.52%	4.97%	3.14%	2.99%	4.52%	3.85%	4.56%	6.53%	4.38%	4.23%	2.73%	2.42%	4.67%	3.74%	2.71%	3.88%	4.87%	4.36%	2.71%	2.68%	2.74%	3.96%	4.81%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
