Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Брянская																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243					
		0.16%	0.28%	0.43%	0.0%	0.92%	0.15%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.10%	0.0%	0.24%	0.0%	0.0%	0.0%	0.28%	0.08%	0.41%	0.0%	0.53%	0.0%	0.33%	0.0%	0.31%	0.0%	0.0%	0.28%	0.41%	0.29%	0.31%	0.74%	0.0%	0.33%	0.0%	0.69%	0.11%	0.10%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	280	5	2	5	0	13	3	2	3	2	2	1	8	3	4	36	0	2	2	15	3	15	4	2	6	6	12	7	4	10	12	16	15	11	2	10	1	4	0	1	7	11	2	1	10					
		1.22%	0.70%	0.43%	1.93%	0.0%	1.03%	0.74%	0.57%	0.52%	0.89%	0.45%	0.66%	1.06%	1.31%	2.20%	4.25%	0.0%	1.37%	1.12%	0.95%	0.43%	1.20%	1.64%	1.24%	3.22%	2.16%	1.0%	0.82%	1.26%	1.08%	1.20%	1.51%	3.14%	1.63%	0.63%	1.86%	0.29%	1.33%	0.0%	0.69%	0.79%	1.17%	1.03%	1.02%	2.87%					
30	"13. ""Демократическая партия России"""	80	3	3	1	0	2	2	0	0	0	1	0	6	1	3	5	1	0	0	4	4	3	2	0	0	1	5	3	2	4	3	3	3	0	1	4	1	2	0	1	1	3	0	1	1					
		0.35%	0.42%	0.65%	0.38%	0.0%	0.15%	0.49%	0.0%	0.0%	0.0%	0.22%	0.0%	0.80%	0.43%	1.65%	0.59%	0.24%	0.0%	0.0%	0.25%	0.57%	0.24%	0.82%	0.0%	0.0%	0.36%	0.41%	0.35%	0.63%	0.43%	0.30%	0.28%	0.62%	0.0%	0.31%	0.74%	0.29%	0.66%	0.0%	0.69%	0.11%	0.32%	0.0%	1.02%	0.28%					
31	"14. ""Великая Россия - Евразийский Союз"""	62	6	1	0	1	1	3	1	2	0	0	2	1	1	0	3	0	0	1	2	1	3	1	0	2	0	1	2	0	1	5	3	0	3	2	1	3	3	1	0	4	1	0	0	0					
		0.27%	0.84%	0.21%	0.0%	0.92%	0.07%	0.74%	0.28%	0.34%	0.0%	0.0%	1.32%	0.13%	0.43%	0.0%	0.35%	0.0%	0.0%	0.56%	0.12%	0.14%	0.24%	0.41%	0.0%	1.07%	0.0%	0.08%	0.23%	0.0%	0.10%	0.50%	0.28%	0.0%	0.44%	0.63%	0.18%	0.89%	1.00%	0.51%	0.0%	0.45%	0.10%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	41	0	1	0	0	4	0	0	3	0	2	1	1	3	0	0	0	0	0	2	1	5	0	0	0	0	5	0	0	0	2	1	0	1	0	0	1	0	3	0	0	3	0	2	0					
		0.17%	0.0%	0.21%	0.0%	0.0%	0.31%	0.0%	0.0%	0.52%	0.0%	0.45%	0.66%	0.13%	1.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.14%	0.40%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.20%	0.09%	0.0%	0.14%	0.0%	0.0%	0.29%	0.0%	1.55%	0.0%	0.0%	0.32%	0.0%	2.04%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1751	46	36	15	6	84	9	16	32	5	26	7	56	14	18	53	18	6	3	136	64	123	26	23	7	10	73	67	7	101	109	135	56	45	16	41	19	23	12	10	80	75	13	6	24					
		7.67%	6.47%	7.91%	5.81%	5.55%	6.70%	2.22%	4.57%	5.55%	2.23%	5.96%	4.63%	7.47%	6.11%	9.94%	6.26%	4.33%	4.13%	1.69%	8.68%	9.19%	9.91%	10.69%	14.28%	3.76%	3.61%	6.08%	7.91%	2.21%	10.96%	10.96%	12.74%	11.74%	6.68%	5.11%	7.64%	5.63%	7.69%	6.21%	6.99%	9.04%	8.02%	6.70%	6.12%	6.89%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	72	2	0	1	1	3	2	0	2	1	2	2	4	0	0	4	2	0	1	4	3	5	0	1	0	2	3	0	1	3	1	4	0	2	5	3	1	0	0	0	2	2	0	1	2					
		0.31%	0.28%	0.0%	0.38%	0.92%	0.23%	0.49%	0.0%	0.34%	0.44%	0.45%	1.32%	0.53%	0.0%	0.0%	0.47%	0.48%	0.0%	0.56%	0.25%	0.43%	0.40%	0.0%	0.62%	0.0%	0.72%	0.25%	0.0%	0.31%	0.32%	0.10%	0.37%	0.0%	0.29%	1.59%	0.55%	0.29%	0.0%	0.0%	0.0%	0.22%	0.21%	0.0%	1.02%	0.57%					
35	"18. ""ЛДПР"""	2746	112	57	31	11	160	23	23	62	27	72	11	77	19	12	114	51	16	3	169	86	122	30	22	22	25	158	72	26	137	148	148	68	74	36	84	54	52	25	18	103	129	27	2	28					
		12.04%	15.77%	12.52%	12.01%	10.18%	12.76%	5.67%	6.57%	10.76%	12.05%	16.51%	7.28%	10.28%	8.29%	6.62%	13.47%	12.28%	11.03%	1.69%	10.79%	12.35%	9.83%	12.34%	13.66%	11.82%	9.02%	13.16%	8.50%	8.22%	14.87%	14.88%	13.97%	14.25%	10.99%	11.50%	15.67%	16.02%	17.39%	12.95%	12.58%	11.65%	13.81%	13.91%	2.04%	8.04%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	415	15	16	7	7	24	2	3	13	8	7	3	25	0	2	15	9	4	2	25	7	26	6	2	6	2	16	9	4	17	23	17	12	9	4	14	13	6	1	0	20	5	2	1	6					
		1.81%	2.11%	3.51%	2.71%	6.48%	1.91%	0.49%	0.85%	2.25%	3.57%	1.60%	1.98%	3.33%	0.0%	1.10%	1.77%	2.16%	2.75%	1.12%	1.59%	1.00%	2.09%	2.46%	1.24%	3.22%	0.72%	1.33%	1.06%	1.26%	1.84%	2.31%	1.60%	2.51%	1.33%	1.27%	2.61%	3.85%	2.00%	0.51%	0.0%	2.26%	0.53%	1.03%	1.02%	1.72%					
37	"20. ""Политическая партия ""Единая Россия"""	8656	268	141	80	35	482	67	213	177	69	161	58	270	121	43	299	167	57	96	756	267	441	106	50	61	101	419	277	111	364	407	397	183	205	134	150	129	117	61	77	384	384	102	32	137					
		37.95%	37.74%	30.98%	31.00%	32.40%	38.46%	16.54%	60.85%	30.72%	30.80%	36.92%	38.41%	36.04%	52.83%	23.75%	35.34%	40.24%	39.31%	54.23%	48.27%	38.36%	35.56%	43.62%	31.05%	32.79%	36.46%	34.91%	32.70%	35.12%	39.52%	40.94%	37.48%	38.36%	30.46%	42.81%	27.98%	38.27%	39.13%	31.60%	53.84%	43.43%	41.11%	52.57%	32.65%	39.36%					
38	"21. ""Российская Конституционно-демократическая партия"""	62	3	1	1	0	3	3	0	3	1	3	0	3	1	3	1	0	5	1	2	3	1	1	2	0	0	3	2	0	1	4	1	1	3	0	0	1	1	0	0	0	2	1	0	1					
		0.27%	0.42%	0.21%	0.38%	0.0%	0.23%	0.74%	0.0%	0.52%	0.44%	0.68%	0.0%	0.40%	0.43%	1.65%	0.11%	0.0%	3.44%	0.56%	0.12%	0.43%	0.08%	0.41%	1.24%	0.0%	0.0%	0.25%	0.23%	0.0%	0.10%	0.40%	0.09%	0.20%	0.44%	0.0%	0.0%	0.29%	0.33%	0.0%	0.0%	0.0%	0.21%	0.51%	0.0%	0.28%					
39	"22. ""Развитие предпринимательства"""	53	1	2	1	0	4	1	0	3	1	0	0	0	0	1	1	0	0	0	5	4	5	2	0	0	1	2	0	3	2	3	0	3	0	0	3	0	1	1	0	0	2	0	0	1					
		0.23%	0.14%	0.43%	0.38%	0.0%	0.31%	0.24%	0.0%	0.52%	0.44%	0.0%	0.0%	0.0%	0.0%	0.55%	0.11%	0.0%	0.0%	0.0%	0.31%	0.57%	0.40%	0.82%	0.0%	0.0%	0.36%	0.16%	0.0%	0.94%	0.21%	0.30%	0.0%	0.62%	0.0%	0.0%	0.55%	0.0%	0.33%	0.51%	0.0%	0.0%	0.21%	0.0%	0.0%	0.28%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3819	128	101	59	26	221	84	30	161	66	80	43	168	23	41	151	60	22	35	149	104	196	39	28	29	48	241	239	56	114	110	139	53	99	51	107	63	45	52	11	93	115	21	40	78					
		16.74%	18.02%	22.19%	22.86%	24.07%	17.63%	20.74%	8.57%	27.95%	29.46%	18.34%	28.47%	22.42%	10.04%	22.65%	17.84%	14.45%	15.17%	19.77%	9.51%	14.94%	15.80%	16.04%	17.39%	15.59%	17.32%	20.08%	28.21%	17.72%	12.37%	11.06%	13.12%	11.11%	14.71%	16.29%	19.96%	18.69%	15.05%	26.94%	7.69%	10.52%	12.31%	10.82%	40.81%	22.41%					
																																																			
41	Против всех	1010	41	33	8	3	51	23	13	17	12	19	4	39	6	8	31	10	10	2	72	36	42	5	5	7	15	57	37	20	31	44	48	16	34	18	35	13	9	11	8	48	46	5	6	12					
		4.42%	5.77%	7.25%	3.10%	2.77%	4.07%	5.67%	3.71%	2.95%	5.35%	4.35%	2.64%	5.20%	2.62%	4.41%	3.66%	2.40%	6.89%	1.12%	4.59%	5.17%	3.38%	2.05%	3.10%	3.76%	5.41%	4.75%	4.36%	6.32%	3.36%	4.42%	4.53%	3.35%	5.05%	5.75%	6.52%	3.85%	3.01%	5.69%	5.59%	5.42%	4.92%	2.57%	6.12%	3.44%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
