Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Пий-Хемская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	8	0	0	2	0	1	0	0	0	1	1	2	1	0	0					
		0.21%	0.0%	0.0%	0.38%	0.0%	0.42%	0.0%	0.0%	0.0%	0.49%	0.37%	0.52%	0.49%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	4	1	2	0	0	0	0	0	0	0	1	0	0	0	0					
		0.10%	0.30%	1.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	2	1	3	0	1	1	0	0	1	1	0	0	0	0					
		0.26%	0.61%	0.52%	0.57%	0.0%	0.42%	0.65%	0.0%	0.0%	0.49%	0.37%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	123	13	10	34	18	16	6	3	6	4	2	7	1	3	0					
		3.23%	4.0%	5.29%	6.55%	4.69%	6.83%	3.92%	2.80%	1.80%	1.96%	0.74%	1.83%	0.49%	0.98%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	10	0	1	0	0	0	1	1	2	3	0	1	0	1	0					
		0.26%	0.0%	0.52%	0.0%	0.0%	0.0%	0.65%	0.93%	0.60%	1.47%	0.0%	0.26%	0.0%	0.32%	0.0%					
35	"18. ""ЛДПР"""	180	25	17	38	37	27	6	7	1	2	2	17	1	0	0					
		4.72%	7.69%	8.99%	7.32%	9.66%	11.53%	3.92%	6.54%	0.30%	0.98%	0.74%	4.45%	0.49%	0.0%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	76	3	4	6	1	2	3	4	7	5	21	9	6	5	0					
		1.99%	0.92%	2.11%	1.15%	0.26%	0.85%	1.96%	3.73%	2.10%	2.45%	7.77%	2.35%	2.95%	1.63%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	2473	205	115	306	192	118	95	66	244	136	168	252	158	232	186					
		64.94%	63.07%	60.84%	58.95%	50.13%	50.42%	62.09%	61.68%	73.27%	66.66%	62.22%	65.96%	77.83%	75.81%	93.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	0	0	0	2	0	0	0	2	0	1	0	1	0	0					
		0.15%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.60%	0.0%	0.37%	0.0%	0.49%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	4	0	0	2	0	0	0	0	0	0	0	1	0	1	0					
		0.10%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.32%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	328	27	16	47	70	29	9	10	16	9	29	24	14	25	3					
		8.61%	8.30%	8.46%	9.05%	18.27%	12.39%	5.88%	9.34%	4.80%	4.41%	10.74%	6.28%	6.89%	8.16%	1.5%					
																					
41	Против всех	60	8	2	10	15	3	1	4	4	4	1	2	2	2	2					
		1.57%	2.46%	1.05%	1.92%	3.91%	1.28%	0.65%	3.73%	1.20%	1.96%	0.37%	0.52%	0.98%	0.65%	1.0%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
