Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																											
Дата голосования: 18.09.2016																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская																																																																																											
																																																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																											
																																																																																											
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196									
14	Число погашенных неиспользованных открепительных удостоверений	749	18	11	10	6	7	6	13	4	14	10	17	7	8	20	8	11	8	13	12	8	7	9	0	17	2	14	10	14	9	9	12	7	10	11	8	9	13	8	7	14	8	15	9	5	8	16	9	13	17	8	14	3	8	10	10	7	11	11	20	43	7	0	4	24	6	11	11	10	9	7	9	5	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	372	33	4	2	1	3	2	3	5	5	8	10	9	0	4	1	7	2	1	1	1	1	3	2	1	17	6	2	5	0	3	3	0	2	1	0	1	3	0	2	12	7	36	5	4	1	4	1	3	2	3	5	0	5	1	0	3	1	2	11	83	0	0	7	2	1	6	4	2	4	0	0	3	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	716	2	10	10	11	11	6	4	8	17	11	13	9	4	8	4	3	12	20	14	19	4	8	17	6	5	9	18	6	2	17	10	13	12	7	8	13	5	14	11	17	11	21	13	4	6	12	7	13	11	11	9	10	12	4	6	23	5	11	16	13	8	5	5	9	13	17	5	7	7	4	1	7	1	2	0	1	0	0	4	4									
		1.60%	0.27%	1.85%	1.60%	2.26%	2.08%	0.95%	1.05%	1.33%	2.11%	1.26%	1.97%	2.10%	2.50%	1.90%	1.65%	0.57%	1.17%	2.76%	2.24%	3.74%	1.62%	2.42%	2.76%	1.06%	1.52%	1.34%	2.70%	2.30%	0.87%	2.45%	1.31%	1.75%	1.65%	1.00%	1.45%	1.73%	0.66%	1.81%	1.42%	1.76%	1.13%	1.75%	1.93%	0.91%	0.84%	2.23%	1.41%	2.10%	1.57%	1.77%	1.30%	1.88%	2.23%	1.42%	1.21%	2.15%	0.92%	1.65%	1.22%	1.11%	1.59%	0.80%	0.76%	1.43%	2.19%	2.25%	0.67%	1.45%	1.31%	0.97%	0.61%	3.66%	1.15%	1.43%	0.00%	2.44%	0.00%	0.00%	8.00%	3.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1151	10	15	11	16	15	21	11	15	16	16	14	18	6	12	6	14	23	22	18	16	9	7	14	15	8	24	16	7	2	21	20	19	17	14	16	28	17	20	14	27	25	30	23	13	19	15	10	18	16	13	13	12	12	9	13	17	21	20	45	21	15	20	17	15	8	14	21	14	11	11	9	5	1	5	1	0	2	4	3	0									
		2.57%	1.35%	2.78%	1.76%	3.29%	2.84%	3.34%	2.88%	2.50%	1.98%	1.83%	2.12%	4.20%	3.75%	2.85%	2.48%	2.66%	2.25%	3.04%	2.88%	3.15%	3.64%	2.11%	2.27%	2.66%	2.42%	3.58%	2.40%	2.68%	0.87%	3.03%	2.62%	2.55%	2.34%	2.00%	2.90%	3.73%	2.26%	2.59%	1.80%	2.80%	2.57%	2.50%	3.42%	2.97%	2.66%	2.79%	2.02%	2.91%	2.29%	2.09%	1.87%	2.26%	2.23%	3.19%	2.62%	1.59%	3.85%	2.99%	3.44%	1.80%	2.98%	3.22%	2.58%	2.38%	1.35%	1.85%	2.83%	2.89%	2.05%	2.66%	5.49%	2.62%	1.15%	3.57%	1.39%	0.00%	2.50%	7.14%	6.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1081	7	17	19	18	13	16	8	18	19	19	18	10	5	9	4	12	18	16	14	11	3	8	17	8	4	13	16	4	3	19	16	21	30	17	13	21	15	18	17	12	23	21	25	21	22	16	19	14	19	16	22	16	18	10	11	8	15	27	23	22	15	13	16	16	19	22	9	13	8	12	1	2	3	7	6	0	0	3	1	1									
		2.41%	0.95%	3.15%	3.04%	3.70%	2.46%	2.54%	2.09%	3.00%	2.35%	2.17%	2.73%	2.33%	3.13%	2.14%	1.65%	2.28%	1.76%	2.21%	2.24%	2.17%	1.21%	2.42%	2.76%	1.42%	1.21%	1.94%	2.40%	1.53%	1.30%	2.74%	2.10%	2.82%	4.13%	2.43%	2.36%	2.80%	1.99%	2.33%	2.19%	1.24%	2.37%	1.75%	3.71%	4.79%	3.08%	2.97%	3.84%	2.27%	2.72%	2.57%	3.17%	3.01%	3.34%	3.55%	2.21%	0.75%	2.75%	4.04%	1.76%	1.89%	2.98%	2.09%	2.42%	2.54%	3.20%	2.91%	1.21%	2.69%	1.49%	2.90%	0.61%	1.05%	3.45%	5.00%	8.33%	0.00%	0.00%	5.36%	2.00%	0.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19808	383	263	251	213	234	265	164	265	346	374	270	181	63	171	103	244	480	353	292	195	104	138	264	295	157	274	293	136	103	312	305	336	345	308	239	332	329	337	327	419	387	591	270	157	278	229	198	245	256	278	287	241	231	129	231	520	228	320	613	615	190	239	267	292	238	317	329	197	249	202	88	94	45	62	31	23	53	25	26	74									
		44.15%	51.76%	48.70%	40.10%	43.74%	44.23%	42.13%	42.93%	44.17%	42.87%	42.79%	40.91%	42.19%	39.38%	40.62%	42.56%	46.39%	46.88%	48.76%	46.65%	38.39%	42.11%	41.69%	42.79%	52.30%	47.58%	40.83%	43.99%	52.11%	44.78%	44.96%	40.03%	45.16%	47.46%	44.00%	43.38%	44.21%	43.69%	43.65%	42.08%	43.42%	39.86%	49.21%	40.12%	35.84%	38.88%	42.57%	40.00%	39.64%	36.62%	44.62%	41.35%	45.39%	42.86%	45.74%	46.48%	48.69%	41.83%	47.90%	46.90%	52.74%	37.77%	38.42%	40.45%	46.42%	40.13%	41.99%	44.28%	40.70%	46.46%	48.79%	53.66%	49.21%	51.72%	44.29%	43.06%	56.10%	66.25%	44.64%	52.00%	58.73%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	545	3	4	3	2	7	8	3	5	7	10	8	11	4	4	3	6	12	9	7	10	4	4	5	6	9	11	12	0	1	6	7	9	5	19	6	16	9	10	4	11	19	20	4	8	14	9	4	10	8	20	8	7	7	2	6	8	5	7	19	13	5	5	9	4	3	5	6	4	6	4	1	1	2	0	3	0	1	1	4	3									
		1.21%	0.41%	0.74%	0.48%	0.41%	1.32%	1.27%	0.79%	0.83%	0.87%	1.14%	1.21%	2.56%	2.50%	0.95%	1.24%	1.14%	1.17%	1.24%	1.12%	1.97%	1.62%	1.21%	0.81%	1.06%	2.73%	1.64%	1.80%	0.00%	0.43%	0.86%	0.92%	1.21%	0.69%	2.71%	1.09%	2.13%	1.20%	1.30%	0.51%	1.14%	1.96%	1.67%	0.59%	1.83%	1.96%	1.67%	0.81%	1.62%	1.14%	3.21%	1.15%	1.32%	1.30%	0.71%	1.21%	0.75%	0.92%	1.05%	1.45%	1.11%	0.99%	0.80%	1.36%	0.64%	0.51%	0.66%	0.81%	0.83%	1.12%	0.97%	0.61%	0.52%	2.30%	0.00%	4.17%	0.00%	1.25%	1.79%	8.00%	2.38%									
24	"6. Политическая партия ""Гражданская Платформа"""	96	1	1	0	0	1	0	0	3	2	1	0	2	0	3	0	2	2	2	0	2	0	1	4	1	0	0	0	0	1	1	3	0	2	0	1	1	2	1	1	1	4	3	1	1	1	0	0	2	2	3	2	1	1	0	2	9	3	0	2	2	0	2	1	1	0	1	1	2	1	0	0	1	0	0	0	1	0	1	0	3									
		0.21%	0.14%	0.19%	0.00%	0.00%	0.19%	0.00%	0.00%	0.50%	0.25%	0.11%	0.00%	0.47%	0.00%	0.71%	0.00%	0.38%	0.20%	0.28%	0.00%	0.39%	0.00%	0.30%	0.65%	0.18%	0.00%	0.00%	0.00%	0.00%	0.43%	0.14%	0.39%	0.00%	0.28%	0.00%	0.18%	0.13%	0.27%	0.13%	0.13%	0.10%	0.41%	0.25%	0.15%	0.23%	0.14%	0.00%	0.00%	0.32%	0.29%	0.48%	0.29%	0.19%	0.19%	0.00%	0.40%	0.84%	0.55%	0.00%	0.15%	0.17%	0.00%	0.32%	0.15%	0.16%	0.00%	0.13%	0.13%	0.41%	0.19%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	2.44%	0.00%	1.79%	0.00%	2.38%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	9181	170	124	171	109	110	144	98	111	188	217	185	104	47	105	60	111	223	118	120	106	49	66	104	107	62	146	143	55	26	128	159	119	133	125	105	134	159	142	138	190	170	220	130	97	146	122	124	134	179	105	139	90	111	62	115	248	120	128	271	228	122	104	125	123	114	138	130	99	103	85	35	39	21	27	8	9	20	14	5	10									
		20.47%	22.97%	22.96%	27.32%	22.38%	20.79%	22.89%	25.65%	18.50%	23.30%	24.83%	28.03%	24.24%	29.38%	24.94%	24.79%	21.10%	21.78%	16.30%	19.17%	20.87%	19.84%	19.94%	16.86%	18.97%	18.79%	21.76%	21.47%	21.07%	11.30%	18.44%	20.87%	15.99%	18.29%	17.86%	19.06%	17.84%	21.12%	18.39%	17.76%	19.69%	17.51%	18.32%	19.32%	22.15%	20.42%	22.68%	25.05%	21.68%	25.61%	16.85%	20.03%	16.95%	20.59%	21.99%	23.14%	23.22%	22.02%	19.16%	20.73%	19.55%	24.25%	16.72%	18.94%	19.55%	19.22%	18.28%	17.50%	20.45%	19.22%	20.53%	21.34%	20.42%	24.14%	19.29%	11.11%	21.95%	25.00%	25.00%	10.00%	7.94%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	304	2	2	2	1	2	6	0	3	11	6	4	1	0	0	4	4	10	1	2	2	2	2	4	3	3	6	6	1	1	4	3	1	3	9	2	9	9	2	8	8	9	10	7	2	2	5	4	6	9	9	6	2	4	3	2	4	3	4	8	6	1	5	8	6	9	6	6	3	4	0	0	2	0	0	0	0	0	0	0	0									
		0.68%	0.27%	0.37%	0.32%	0.21%	0.38%	0.95%	0.00%	0.50%	1.36%	0.69%	0.61%	0.23%	0.00%	0.00%	1.65%	0.76%	0.98%	0.14%	0.32%	0.39%	0.81%	0.60%	0.65%	0.53%	0.91%	0.89%	0.90%	0.38%	0.43%	0.58%	0.39%	0.13%	0.41%	1.29%	0.36%	1.20%	1.20%	0.26%	1.03%	0.83%	0.93%	0.83%	1.04%	0.46%	0.28%	0.93%	0.81%	0.97%	1.29%	1.44%	0.86%	0.38%	0.74%	1.06%	0.40%	0.37%	0.55%	0.60%	0.61%	0.51%	0.20%	0.80%	1.21%	0.95%	1.52%	0.79%	0.81%	0.62%	0.75%	0.00%	0.00%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	744	5	4	10	6	8	4	3	9	7	15	9	5	0	4	1	6	17	9	8	15	4	2	8	6	4	6	17	1	1	8	13	19	10	14	11	19	9	18	12	9	36	36	11	7	10	7	5	10	17	10	13	9	6	5	6	9	11	19	26	9	9	21	4	14	16	18	19	11	18	8	1	2	2	1	2	0	0	0	0	0									
		1.66%	0.68%	0.74%	1.60%	1.23%	1.51%	0.64%	0.79%	1.50%	0.87%	1.72%	1.36%	1.17%	0.00%	0.95%	0.41%	1.14%	1.66%	1.24%	1.28%	2.95%	1.62%	0.60%	1.30%	1.06%	1.21%	0.89%	2.55%	0.38%	0.43%	1.15%	1.71%	2.55%	1.38%	2.00%	1.99%	2.53%	1.20%	2.33%	1.54%	0.93%	3.71%	2.99%	1.63%	1.60%	1.40%	1.30%	1.01%	1.62%	2.43%	1.61%	1.87%	1.69%	1.11%	1.77%	1.21%	0.84%	2.02%	2.84%	1.99%	0.77%	1.79%	3.38%	0.61%	2.23%	2.70%	2.38%	2.56%	2.27%	3.36%	1.93%	0.61%	1.05%	2.30%	0.71%	2.78%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	75	0	0	1	0	0	0	0	2	2	1	3	0	1	2	0	4	0	1	1	2	0	3	0	3	1	1	1	0	1	1	1	0	1	3	1	0	1	0	3	0	1	2	0	0	1	2	0	1	2	0	0	0	0	0	0	3	1	1	0	9	1	0	2	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	0	1									
		0.17%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.33%	0.25%	0.11%	0.45%	0.00%	0.63%	0.48%	0.00%	0.76%	0.00%	0.14%	0.16%	0.39%	0.00%	0.91%	0.00%	0.53%	0.30%	0.15%	0.15%	0.00%	0.43%	0.14%	0.13%	0.00%	0.14%	0.43%	0.18%	0.00%	0.13%	0.00%	0.39%	0.00%	0.10%	0.17%	0.00%	0.00%	0.14%	0.37%	0.00%	0.16%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.18%	0.15%	0.00%	0.77%	0.20%	0.00%	0.30%	0.00%	0.00%	0.13%	0.27%	0.41%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	863	8	5	13	2	2	7	7	10	18	13	8	6	1	7	0	11	23	11	19	9	3	9	11	11	5	5	10	4	0	10	20	17	14	13	12	21	27	15	25	24	29	23	10	6	17	13	7	17	17	17	17	12	8	3	7	18	11	15	18	22	8	18	14	11	20	15	11	10	9	10	0	2	2	3	2	0	0	0	1	4									
		1.92%	1.08%	0.93%	2.08%	0.41%	0.38%	1.11%	1.83%	1.67%	2.23%	1.49%	1.21%	1.40%	0.63%	1.66%	0.00%	2.09%	2.25%	1.52%	3.04%	1.77%	1.21%	2.72%	1.78%	1.95%	1.52%	0.75%	1.50%	1.53%	0.00%	1.44%	2.62%	2.28%	1.93%	1.86%	2.18%	2.80%	3.59%	1.94%	3.22%	2.49%	2.99%	1.92%	1.49%	1.37%	2.38%	2.42%	1.41%	2.75%	2.43%	2.73%	2.45%	2.26%	1.48%	1.06%	1.41%	1.69%	2.02%	2.25%	1.38%	1.89%	1.59%	2.89%	2.12%	1.75%	3.37%	1.99%	1.48%	2.07%	1.68%	2.42%	0.00%	1.05%	2.30%	2.14%	2.78%	0.00%	0.00%	0.00%	2.00%	3.17%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6070	75	58	66	51	75	90	46	102	105	112	84	51	19	63	31	62	140	99	69	72	39	46	104	63	39	110	69	31	29	103	133	121	89	105	87	105	99	111	131	148	156	121	95	80	128	60	69	77	91	82	100	71	77	30	60	95	72	74	161	114	81	116	115	80	103	118	126	68	62	59	15	21	6	20	14	5	1	5	1	9									
		13.53%	10.14%	10.74%	10.54%	10.47%	14.18%	14.31%	12.04%	17.00%	13.01%	12.81%	12.73%	11.89%	11.88%	14.96%	12.81%	11.79%	13.67%	13.67%	11.02%	14.17%	15.79%	13.90%	16.86%	11.17%	11.82%	16.39%	10.36%	11.88%	12.61%	14.84%	17.45%	16.26%	12.24%	15.00%	15.79%	13.98%	13.15%	14.38%	16.86%	15.34%	16.07%	10.07%	14.12%	18.26%	17.90%	11.15%	13.94%	12.46%	13.02%	13.16%	14.41%	13.37%	14.29%	10.64%	12.07%	8.90%	13.21%	11.08%	12.32%	9.78%	16.10%	18.65%	17.42%	12.72%	17.37%	15.63%	16.96%	14.05%	11.57%	14.25%	9.15%	10.99%	6.90%	14.29%	19.44%	12.20%	1.25%	8.93%	2.00%	7.14%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	340	10	2	12	4	2	6	1	4	4	9	3	2	0	1	2	1	6	2	7	2	1	3	4	1	5	8	1	1	1	4	3	6	8	7	0	4	3	2	4	8	12	19	11	4	8	4	0	6	4	2	9	6	1	3	5	9	5	3	5	13	3	6	4	4	1	11	6	4	4	2	0	4	2	2	1	0	1	0	1	1									
		0.76%	1.35%	0.37%	1.92%	0.82%	0.38%	0.95%	0.26%	0.67%	0.50%	1.03%	0.45%	0.47%	0.00%	0.24%	0.83%	0.19%	0.59%	0.28%	1.12%	0.39%	0.40%	0.91%	0.65%	0.18%	1.52%	1.19%	0.15%	0.38%	0.43%	0.58%	0.39%	0.81%	1.10%	1.00%	0.00%	0.53%	0.40%	0.26%	0.51%	0.83%	1.24%	1.58%	1.63%	0.91%	1.12%	0.74%	0.00%	0.97%	0.57%	0.32%	1.30%	1.13%	0.19%	1.06%	1.01%	0.84%	0.92%	0.45%	0.38%	1.11%	0.60%	0.96%	0.61%	0.64%	0.17%	1.46%	0.81%	0.83%	0.75%	0.48%	0.00%	2.09%	2.30%	1.43%	1.39%	0.00%	1.25%	0.00%	2.00%	0.79%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2513	26	23	18	36	27	39	19	24	35	47	25	18	7	18	10	20	36	42	43	28	12	27	48	17	13	39	41	9	47	32	43	46	32	39	29	30	48	59	65	72	68	59	49	27	39	37	31	39	32	35	45	30	44	18	17	52	28	21	68	53	36	50	52	41	37	49	54	34	36	10	3	8	1	7	3	2	1	3	4	1									
		5.60%	3.51%	4.26%	2.88%	7.39%	5.10%	6.20%	4.97%	4.00%	4.34%	5.38%	3.79%	4.20%	4.38%	4.28%	4.13%	3.80%	3.52%	5.80%	6.87%	5.51%	4.86%	8.16%	7.78%	3.01%	3.94%	5.81%	6.16%	3.45%	20.43%	4.61%	5.64%	6.18%	4.40%	5.57%	5.26%	3.99%	6.37%	7.64%	8.37%	7.46%	7.00%	4.91%	7.28%	6.16%	5.45%	6.88%	6.26%	6.31%	4.58%	5.62%	6.48%	5.65%	8.16%	6.38%	3.42%	4.87%	5.14%	3.14%	5.20%	4.55%	7.16%	8.04%	7.88%	6.52%	6.24%	6.49%	7.27%	7.02%	6.72%	2.42%	1.83%	4.19%	1.15%	5.00%	4.17%	4.88%	1.25%	5.36%	8.00%	0.79%									
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
