Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Новичихинская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	21	5	6	0	0	0	0	0	1	0	0	0	1	6	0	1	1									
		0.51%	1.13%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.37%	1.40%	0.00%	0.42%	1.79%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	714	73	218	71	18	8	6	3	29	6	39	37	73	91	7	26	9									
		17.43%	16.44%	18.66%	24.65%	10.65%	13.56%	15.38%	6.38%	14.22%	8.45%	23.35%	9.81%	26.94%	21.21%	10.00%	10.97%	16.07%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	0	3	0	1	0	0	1	0	0	0	0	0	1	1	0	0									
		0.17%	0.00%	0.26%	0.00%	0.59%	0.00%	0.00%	2.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	1.43%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	606	50	187	21	48	5	2	13	27	9	28	56	51	56	6	41	6									
		14.79%	11.26%	16.01%	7.29%	28.40%	8.47%	5.13%	27.66%	13.24%	12.68%	16.77%	14.85%	18.82%	13.05%	8.57%	17.30%	10.71%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
