Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																										
Дата голосования: 18.09.2016																																																																																										
																																																																																										
"Наименование Избирательной комиссии:    Тюмень, Центральная"																																																																																										
																																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																										
																																																																																										
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1640	20	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	30	20	20	30	20	20	20	20	20	20	20	20	20	30	20	20	20	20	20	40	30	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	974	18	11	20	19	11	8	22	13	19	17	7	17	15	12	6	12	11	8	10	6	12	8	15	22	16	14	21	10	12	20	9	16	7	6	11	3	5	4	17	21	9	10	11	12	12	31	27	17	16	14	7	6	11	17	2	6	10	9	10	10	14	13	19	11	13	8	11	11	18	16	6	11	11	12	8	12	13	9	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1271	21	9	11	13	18	0	10	36	27	30	7	14	7	19	13	18	22	2	6	1	13	0	15	16	12	20	15	4	13	17	0	20	4	9	13	9	13	11	14	16	0	36	25	16	14	14	34	16	27	3	8	19	23	25	15	18	14	16	20	20	17	16	0	22	2	19	29	27	13	38	21	24	33	28	15	15	47	17	7									
14	Число погашенных неиспользованных открепительных удостоверений	666	2	9	0	1	9	12	8	7	1	3	13	3	5	8	14	8	9	12	10	14	8	12	5	8	4	6	9	10	8	10	11	4	13	14	9	17	15	16	3	9	11	10	9	8	8	9	3	3	4	6	13	14	9	3	18	14	10	11	10	10	6	7	1	9	7	12	9	9	2	4	14	9	9	8	12	8	7	11	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	117	0	1	0	1	1	4	2	2	3	1	2	1	0	0	1	3	1	0	1	0	1	0	0	3	1	0	4	1	0	1	0	2	1	1	0	0	0	1	4	3	1	3	3	0	1	4	1	1	5	2	0	2	1	2	1	1	1	2	0	1	3	3	4	5	2	1	3	0	0	1	3	3	2	1	3	2	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	248	0	3	1	0	10	5	4	1	1	0	15	5	1	0	3	3	1	1	5	0	1	1	4	8	1	1	2	1	6	2	7	1	1	1	6	0	0	2	4	3	1	7	3	3	7	24	2	1	2	3	2	1	3	13	0	10	1	1	1	1	4	1	1	0	0	0	0	6	1	1	13	1	8	4	0	1	1	5	4									
		0.25%	0.00%	0.20%	0.06%	0.00%	0.80%	0.40%	0.29%	0.09%	0.06%	0.00%	0.95%	0.34%	0.05%	0.00%	0.24%	0.20%	0.06%	0.07%	0.37%	0.00%	0.09%	0.16%	0.35%	0.52%	0.07%	0.07%	0.13%	0.07%	0.45%	0.14%	0.46%	0.08%	0.10%	0.11%	0.87%	0.00%	0.00%	0.16%	0.30%	0.16%	0.08%	0.41%	0.20%	0.20%	0.47%	1.50%	0.11%	0.07%	0.13%	0.26%	0.20%	0.11%	0.24%	0.78%	0.00%	1.04%	0.07%	0.08%	0.07%	0.11%	0.33%	0.06%	0.07%	0.00%	0.00%	0.00%	0.00%	0.44%	0.07%	0.06%	2.82%	0.09%	0.77%	0.42%	0.00%	0.08%	0.08%	0.36%	1.51%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	290	3	12	2	2	0	3	6	1	1	0	0	10	3	0	4	11	2	1	7	0	1	1	9	0	1	1	1	1	5	3	5	2	2	0	7	0	0	4	15	2	0	4	7	7	3	41	3	1	3	2	5	0	4	8	0	3	1	1	1	0	6	1	1	1	0	1	20	3	2	1	9	1	3	3	1	1	1	9	4									
		0.29%	0.23%	0.79%	0.12%	0.12%	0.00%	0.24%	0.44%	0.09%	0.06%	0.00%	0.00%	0.67%	0.14%	0.00%	0.32%	0.73%	0.12%	0.07%	0.52%	0.00%	0.09%	0.16%	0.80%	0.00%	0.07%	0.07%	0.07%	0.07%	0.37%	0.20%	0.33%	0.15%	0.20%	0.00%	1.01%	0.00%	0.00%	0.33%	1.11%	0.11%	0.00%	0.23%	0.47%	0.47%	0.20%	2.56%	0.16%	0.07%	0.19%	0.17%	0.50%	0.00%	0.33%	0.48%	0.00%	0.31%	0.07%	0.08%	0.07%	0.00%	0.50%	0.06%	0.07%	0.09%	0.00%	0.17%	1.77%	0.22%	0.13%	0.06%	1.95%	0.09%	0.29%	0.32%	0.10%	0.08%	0.08%	0.65%	1.51%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	278	15	5	2	3	5	1	11	1	1	1	0	5	1	0	3	8	2	1	4	0	1	0	2	2	1	1	1	1	2	3	9	0	7	1	12	0	0	3	13	1	1	8	4	7	0	43	1	1	5	1	4	1	4	5	0	4	1	1	1	1	6	1	1	0	0	1	15	4	2	2	11	1	2	0	1	1	1	1	6									
		0.27%	1.16%	0.33%	0.12%	0.18%	0.40%	0.08%	0.81%	0.09%	0.06%	0.07%	0.00%	0.34%	0.05%	0.00%	0.24%	0.53%	0.12%	0.07%	0.30%	0.00%	0.09%	0.00%	0.18%	0.13%	0.07%	0.07%	0.07%	0.07%	0.15%	0.20%	0.59%	0.00%	0.71%	0.11%	1.74%	0.00%	0.00%	0.24%	0.96%	0.05%	0.08%	0.47%	0.27%	0.47%	0.00%	2.68%	0.05%	0.07%	0.32%	0.09%	0.40%	0.11%	0.33%	0.30%	0.00%	0.42%	0.07%	0.08%	0.07%	0.11%	0.50%	0.06%	0.07%	0.00%	0.00%	0.17%	1.33%	0.30%	0.13%	0.12%	2.39%	0.09%	0.19%	0.00%	0.10%	0.08%	0.08%	0.07%	2.26%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	42843	617	947	615	642	595	612	658	447	613	540	755	708	523	423	596	719	647	545	643	450	410	234	549	741	559	540	406	573	639	707	728	510	471	345	360	267	283	586	647	574	501	815	709	716	706	642	616	574	754	549	476	361	587	797	158	458	516	501	541	364	581	627	590	454	541	223	529	645	579	529	224	444	481	450	379	500	487	660	155									
		42.34%	47.79%	62.47%	38.39%	38.56%	47.83%	48.69%	48.31%	38.21%	38.55%	38.60%	47.82%	47.74%	24.99%	38.56%	47.83%	47.77%	38.60%	37.72%	47.45%	38.59%	38.03%	37.56%	48.63%	48.53%	38.55%	38.54%	27.36%	38.61%	47.76%	47.83%	47.83%	38.61%	47.82%	38.55%	52.17%	38.64%	38.56%	47.84%	47.82%	30.73%	38.66%	47.80%	47.78%	47.83%	47.86%	40.07%	32.47%	38.55%	47.96%	47.74%	47.84%	38.53%	47.80%	47.87%	46.88%	47.81%	38.59%	38.57%	38.78%	38.60%	47.94%	38.58%	38.56%	38.61%	38.64%	38.38%	46.81%	47.78%	38.40%	33.04%	48.59%	38.28%	46.29%	47.77%	38.52%	38.55%	38.56%	47.72%	58.49%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	210	3	4	2	0	5	3	6	1	1	2	13	5	1	0	3	2	2	1	2	0	1	0	0	3	1	1	1	1	0	3	2	1	2	0	7	0	1	4	8	5	1	6	2	8	5	24	3	1	1	1	3	0	3	4	3	2	0	1	1	1	5	2	1	0	2	1	0	4	2	2	9	1	5	4	1	1	1	2	0									
		0.21%	0.23%	0.26%	0.12%	0.00%	0.40%	0.24%	0.44%	0.09%	0.06%	0.14%	0.82%	0.34%	0.05%	0.00%	0.24%	0.13%	0.12%	0.07%	0.15%	0.00%	0.09%	0.00%	0.00%	0.20%	0.07%	0.07%	0.07%	0.07%	0.00%	0.20%	0.13%	0.08%	0.20%	0.00%	1.01%	0.00%	0.14%	0.33%	0.59%	0.27%	0.08%	0.35%	0.13%	0.53%	0.34%	1.50%	0.16%	0.07%	0.06%	0.09%	0.30%	0.00%	0.24%	0.24%	0.89%	0.21%	0.00%	0.08%	0.07%	0.11%	0.41%	0.12%	0.07%	0.00%	0.14%	0.17%	0.00%	0.30%	0.13%	0.12%	1.95%	0.09%	0.48%	0.42%	0.10%	0.08%	0.08%	0.14%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	124	1	2	2	1	0	1	1	1	1	1	1	4	1	0	4	2	2	1	6	0	1	0	0	0	1	1	2	1	1	4	4	1	3	0	2	1	0	1	2	4	0	3	5	2	3	4	2	1	1	4	3	1	1	2	3	1	1	1	1	1	2	1	1	1	0	1	0	4	2	2	2	1	1	0	1	1	1	1	1									
		0.12%	0.08%	0.13%	0.12%	0.06%	0.00%	0.08%	0.07%	0.09%	0.06%	0.07%	0.06%	0.27%	0.05%	0.00%	0.32%	0.13%	0.12%	0.07%	0.44%	0.00%	0.09%	0.00%	0.00%	0.00%	0.07%	0.07%	0.13%	0.07%	0.07%	0.27%	0.26%	0.08%	0.30%	0.00%	0.29%	0.14%	0.00%	0.08%	0.15%	0.21%	0.00%	0.18%	0.34%	0.13%	0.20%	0.25%	0.11%	0.07%	0.06%	0.35%	0.30%	0.11%	0.08%	0.12%	0.89%	0.10%	0.07%	0.08%	0.07%	0.11%	0.17%	0.06%	0.07%	0.09%	0.00%	0.17%	0.00%	0.30%	0.13%	0.12%	0.43%	0.09%	0.10%	0.00%	0.10%	0.08%	0.08%	0.07%	0.38%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	18410	248	292	274	284	239	239	259	198	272	239	304	286	340	187	240	290	283	251	262	199	182	106	218	297	248	239	386	253	257	284	293	226	190	153	133	118	125	236	210	299	222	328	286	288	284	351	287	254	303	221	191	160	236	320	63	184	228	222	237	161	233	278	261	199	240	99	215	258	250	357	62	196	197	181	168	222	216	266	47									
		18.19%	19.21%	19.26%	17.10%	17.06%	19.21%	19.01%	19.02%	16.92%	17.11%	17.08%	19.25%	19.29%	16.24%	17.05%	19.26%	19.27%	16.89%	17.37%	19.34%	17.07%	16.88%	17.01%	19.31%	19.45%	17.10%	17.06%	26.01%	17.05%	19.21%	19.22%	19.25%	17.11%	19.29%	17.09%	19.28%	17.08%	17.03%	19.27%	15.52%	16.01%	17.13%	19.24%	19.27%	19.24%	19.25%	21.91%	15.13%	17.06%	19.27%	19.22%	19.20%	17.08%	19.22%	19.22%	18.69%	19.21%	17.05%	17.09%	16.99%	17.07%	19.22%	17.11%	17.06%	16.92%	17.14%	17.04%	19.03%	19.11%	16.58%	22.30%	13.45%	16.90%	18.96%	19.21%	17.07%	17.12%	17.10%	19.23%	17.74%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	180	0	2	2	2	2	2	5	1	1	1	6	5	2	0	4	2	2	1	7	0	1	0	0	5	1	1	1	1	2	4	1	1	1	1	5	0	1	4	15	3	1	2	2	1	2	16	1	1	2	3	1	0	3	5	3	4	1	0	1	1	2	1	1	0	1	1	0	4	2	2	7	1	2	5	1	1	1	2	1									
		0.18%	0.00%	0.13%	0.12%	0.12%	0.16%	0.16%	0.37%	0.09%	0.06%	0.07%	0.38%	0.34%	0.10%	0.00%	0.32%	0.13%	0.12%	0.07%	0.52%	0.00%	0.09%	0.00%	0.00%	0.33%	0.07%	0.07%	0.07%	0.07%	0.15%	0.27%	0.07%	0.08%	0.10%	0.11%	0.72%	0.00%	0.14%	0.33%	1.11%	0.16%	0.08%	0.12%	0.13%	0.07%	0.14%	0.99%	0.05%	0.07%	0.13%	0.26%	0.10%	0.00%	0.24%	0.30%	0.89%	0.42%	0.07%	0.00%	0.07%	0.11%	0.17%	0.06%	0.07%	0.00%	0.07%	0.17%	0.00%	0.30%	0.13%	0.12%	1.52%	0.09%	0.19%	0.53%	0.10%	0.08%	0.08%	0.14%	0.38%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	233	5	2	2	0	5	3	4	1	2	1	0	7	1	0	4	2	2	2	2	0	1	0	0	4	1	1	1	1	3	6	3	0	1	1	1	1	1	7	10	1	1	9	2	2	6	33	2	1	1	3	4	0	4	7	2	3	1	1	1	0	2	1	1	2	0	1	0	7	2	2	20	1	6	3	1	1	1	6	4									
		0.23%	0.39%	0.13%	0.12%	0.00%	0.40%	0.24%	0.29%	0.09%	0.13%	0.07%	0.00%	0.47%	0.05%	0.00%	0.32%	0.13%	0.12%	0.14%	0.15%	0.00%	0.09%	0.00%	0.00%	0.26%	0.07%	0.07%	0.07%	0.07%	0.22%	0.41%	0.20%	0.00%	0.10%	0.11%	0.14%	0.14%	0.14%	0.57%	0.74%	0.05%	0.08%	0.53%	0.13%	0.13%	0.41%	2.06%	0.11%	0.07%	0.06%	0.26%	0.40%	0.00%	0.33%	0.42%	0.59%	0.31%	0.07%	0.08%	0.07%	0.00%	0.17%	0.06%	0.07%	0.17%	0.00%	0.17%	0.00%	0.52%	0.13%	0.12%	4.34%	0.09%	0.58%	0.32%	0.10%	0.08%	0.08%	0.43%	1.51%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	123	0	3	2	2	0	1	1	1	2	1	2	6	3	0	0	3	2	3	8	0	1	0	0	1	1	1	2	1	2	4	5	1	1	1	1	0	1	1	2	1	0	0	7	1	2	2	1	1	1	1	0	1	1	6	2	1	1	1	1	1	1	1	1	0	1	1	0	6	2	2	0	1	3	3	1	1	1	0	0									
		0.12%	0.00%	0.20%	0.12%	0.12%	0.00%	0.08%	0.07%	0.09%	0.13%	0.07%	0.13%	0.40%	0.14%	0.00%	0.00%	0.20%	0.12%	0.21%	0.59%	0.00%	0.09%	0.00%	0.00%	0.07%	0.07%	0.07%	0.13%	0.07%	0.15%	0.27%	0.33%	0.08%	0.10%	0.11%	0.14%	0.00%	0.14%	0.08%	0.15%	0.05%	0.00%	0.00%	0.47%	0.07%	0.14%	0.12%	0.05%	0.07%	0.06%	0.09%	0.00%	0.11%	0.08%	0.36%	0.59%	0.10%	0.07%	0.08%	0.07%	0.11%	0.08%	0.06%	0.07%	0.00%	0.07%	0.17%	0.00%	0.44%	0.13%	0.12%	0.00%	0.09%	0.29%	0.32%	0.10%	0.08%	0.08%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	535	0	2	0	3	6	6	4	0	0	1	0	5	5	0	4	5	1	1	1	244	1	4	3	5	0	0	1	0	11	5	2	0	7	0	8	1	0	5	8	1	1	13	1	7	11	37	2	2	1	9	2	1	8	3	3	3	1	1	0	0	3	1	0	0	0	0	5	5	0	2	25	0	23	2	0	0	0	10	3									
		0.53%	0.00%	0.13%	0.00%	0.18%	0.48%	0.48%	0.29%	0.00%	0.00%	0.07%	0.00%	0.34%	0.24%	0.00%	0.32%	0.33%	0.06%	0.07%	0.07%	20.93%	0.09%	0.64%	0.27%	0.33%	0.00%	0.00%	0.07%	0.00%	0.82%	0.34%	0.13%	0.00%	0.71%	0.00%	1.16%	0.14%	0.00%	0.41%	0.59%	0.05%	0.08%	0.76%	0.07%	0.47%	0.75%	2.31%	0.11%	0.13%	0.06%	0.78%	0.20%	0.11%	0.65%	0.18%	0.89%	0.31%	0.07%	0.08%	0.00%	0.00%	0.25%	0.06%	0.00%	0.00%	0.00%	0.00%	0.44%	0.37%	0.00%	0.12%	5.42%	0.00%	2.21%	0.21%	0.00%	0.00%	0.00%	0.72%	1.13%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	18208	193	1	338	351	186	201	202	245	336	295	236	222	688	230	186	225	354	303	203	0	225	132	171	229	306	296	378	313	200	221	228	279	147	189	58	146	155	183	202	473	274	255	222	224	220	155	478	314	235	172	149	198	184	249	49	143	282	274	293	199	181	343	323	244	292	122	169	201	311	375	43	243	151	141	208	274	267	206	19									
		17.99%	14.95%	0.07%	21.10%	21.08%	14.95%	15.99%	14.83%	20.94%	21.13%	21.09%	14.95%	14.97%	32.87%	20.97%	14.93%	14.95%	21.12%	20.97%	14.98%	0.00%	20.87%	21.19%	15.15%	14.99%	21.10%	21.13%	25.47%	21.09%	14.95%	14.95%	14.98%	21.12%	14.92%	21.12%	8.41%	21.13%	21.12%	14.94%	14.93%	25.32%	21.14%	14.96%	14.96%	14.96%	14.92%	9.68%	25.20%	21.09%	14.95%	14.96%	14.97%	21.13%	14.98%	14.95%	14.54%	14.93%	21.09%	21.09%	21.00%	21.10%	14.93%	21.11%	21.11%	20.75%	20.86%	20.99%	14.96%	14.89%	20.62%	23.42%	9.33%	20.95%	14.53%	14.97%	21.14%	21.13%	21.14%	14.90%	7.17%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	462	8	4	1	2	0	2	2	1	1	1	5	3	1	0	4	2	1	16	0	261	3	0	1	1	1	1	1	1	4	5	2	0	1	1	1	0	1	2	9	0	2	2	7	2	5	4	2	2	24	4	3	1	3	8	2	2	3	1	1	0	1	1	3	0	0	0	0	7	1	1	4	1	9	1	0	1	1	1	2									
		0.46%	0.62%	0.26%	0.06%	0.12%	0.00%	0.16%	0.15%	0.09%	0.06%	0.07%	0.32%	0.20%	0.05%	0.00%	0.32%	0.13%	0.06%	1.11%	0.00%	22.38%	0.28%	0.00%	0.09%	0.07%	0.07%	0.07%	0.07%	0.07%	0.30%	0.34%	0.13%	0.00%	0.10%	0.11%	0.14%	0.00%	0.14%	0.16%	0.67%	0.00%	0.15%	0.12%	0.47%	0.13%	0.34%	0.25%	0.11%	0.13%	1.53%	0.35%	0.30%	0.11%	0.24%	0.48%	0.59%	0.21%	0.22%	0.08%	0.07%	0.00%	0.08%	0.06%	0.20%	0.00%	0.00%	0.00%	0.00%	0.52%	0.07%	0.06%	0.87%	0.09%	0.87%	0.11%	0.00%	0.08%	0.08%	0.07%	0.75%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	18433	185	217	359	373	178	178	185	259	356	313	226	208	523	246	178	216	373	318	191	0	238	139	161	216	328	316	301	336	192	212	218	296	141	200	69	155	164	175	194	501	291	244	212	214	211	180	497	334	226	165	142	210	176	238	47	137	299	291	314	211	173	364	343	263	309	129	164	189	336	323	25	258	137	135	221	292	284	199	16									
		18.22%	14.33%	14.31%	22.41%	22.40%	14.31%	14.16%	13.58%	22.14%	22.39%	22.37%	14.31%	14.03%	24.99%	22.42%	14.29%	14.35%	22.26%	22.01%	14.10%	0.00%	22.08%	22.31%	14.26%	14.15%	22.62%	22.56%	20.28%	22.64%	14.35%	14.34%	14.32%	22.41%	14.31%	22.35%	10.00%	22.43%	22.34%	14.29%	14.34%	26.82%	22.45%	14.31%	14.29%	14.30%	14.31%	11.24%	26.20%	22.43%	14.38%	14.35%	14.27%	22.41%	14.33%	14.29%	13.95%	14.30%	22.36%	22.40%	22.51%	22.38%	14.27%	22.40%	22.42%	22.36%	22.07%	22.20%	14.51%	14.00%	22.28%	20.17%	5.42%	22.24%	13.19%	14.33%	22.46%	22.51%	22.49%	14.39%	6.04%									
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
