Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Черемшанская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  2770	УИК  2771	УИК  2772	УИК  2773	УИК  2774	УИК  2775	УИК  2776	УИК  2777	УИК  2778	УИК  2779	УИК  2780	УИК  2781	УИК  2782	УИК  2783	УИК  2784	УИК  2785	УИК  2786	УИК  2787	УИК  2788	УИК  2789	УИК  2790	УИК  2791	УИК  2792	УИК  2793	УИК  2794	УИК  2795	УИК  2796	УИК  2797	УИК  2798	УИК  2799	УИК  2800	УИК  2801	УИК  2802	УИК  2803					
		0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.38%	0.0%	0.0%	0.0%	0.0%	2.00%	1.20%	0.27%	0.98%	1.39%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	38	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	1	0	1	0	0	0	13	4	0	4	6	0	0	0					
		0.26%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	1.33%	0.0%	0.0%	0.23%	0.0%	0.19%	0.0%	0.0%	0.0%	1.62%	0.48%	0.0%	0.79%	1.19%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	33	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	5	0	0	0	0	2	0	0	0	4	4	2	2	5	0	0	1					
		0.22%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.47%	0.0%	0.47%	0.0%	1.33%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.50%	0.48%	0.18%	0.39%	0.99%	0.0%	0.0%	0.89%					
22	"5. ""За Русь Святую"""	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	0	2	1	0	3	1	0	0	1					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.80%	0.0%	0.54%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.25%	0.12%	0.0%	0.59%	0.19%	0.0%	0.0%	0.89%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	3	1	0	0	2	0	0	0					
		0.07%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.26%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.12%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	15	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	4	0	2	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.16%	0.0%	0.68%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.12%	0.36%	0.0%	0.39%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	1	0	0	1	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.0%	0.0%	0.0%	0.37%	0.12%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	7	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0					
		0.04%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.19%	0.19%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	58	0	5	0	4	0	1	0	0	5	1	0	1	4	4	0	3	0	2	0	1	2	0	8	0	0	0	9	3	0	2	2	0	1	0					
		0.40%	0.0%	1.98%	0.0%	0.64%	0.0%	0.68%	0.0%	0.0%	3.64%	0.28%	0.0%	0.39%	0.42%	1.88%	0.0%	1.42%	0.0%	0.53%	0.0%	0.54%	0.47%	0.0%	1.54%	0.0%	0.0%	0.0%	1.12%	0.36%	0.0%	0.39%	0.39%	0.0%	0.31%	0.0%					
28	"11. ""Истинные патриоты России"""	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	0	0					
		0.05%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.24%	0.0%	0.39%	0.39%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	33	0	1	0	2	0	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	7	3	3	7	3	0	0	0					
		0.22%	0.0%	0.39%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.87%	0.36%	0.27%	1.38%	0.59%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	1	2	0	1	1	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.26%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.12%	0.24%	0.0%	0.19%	0.19%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.19%	0.0%	0.0%	0.31%	0.0%					
32	"15. ""Партия СЛОН"""	6	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0					
		0.04%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.12%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	120	0	1	0	1	1	0	0	0	3	0	2	0	2	5	0	3	1	2	4	1	3	8	6	0	1	1	25	21	8	15	6	0	0	0					
		0.82%	0.0%	0.39%	0.0%	0.16%	0.18%	0.0%	0.0%	0.0%	2.18%	0.0%	0.49%	0.0%	0.21%	2.35%	0.0%	1.42%	0.45%	0.53%	0.79%	0.54%	0.71%	1.03%	1.15%	0.0%	0.23%	0.19%	3.13%	2.53%	0.73%	2.96%	1.19%	0.0%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	20	0	0	0	4	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	3	3	0	0	0					
		0.13%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.24%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.54%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.12%	0.0%	0.59%	0.59%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	145	5	1	0	5	1	2	3	0	3	0	2	0	11	3	0	2	0	5	0	0	5	14	20	0	0	0	19	11	3	13	17	0	0	0					
		1.00%	1.09%	0.39%	0.0%	0.80%	0.18%	1.36%	1.57%	0.0%	2.18%	0.0%	0.49%	0.0%	1.16%	1.41%	0.0%	0.94%	0.0%	1.33%	0.0%	0.0%	1.18%	1.81%	3.86%	0.0%	0.0%	0.0%	2.38%	1.33%	0.27%	2.56%	3.37%	0.0%	0.0%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	459	10	4	0	63	6	17	1	0	1	0	1	4	19	9	2	42	9	10	5	2	6	8	8	7	2	6	63	74	23	34	8	6	3	6					
		3.17%	2.19%	1.58%	0.0%	10.19%	1.13%	11.64%	0.52%	0.0%	0.72%	0.0%	0.24%	1.59%	2.00%	4.24%	0.54%	19.90%	4.07%	2.67%	0.98%	1.09%	1.42%	1.03%	1.54%	1.67%	0.47%	1.15%	7.89%	8.94%	2.12%	6.71%	1.59%	1.47%	0.93%	5.35%					
37	"20. ""Политическая партия ""Единая Россия"""	12550	419	213	103	484	489	112	153	395	114	333	385	245	808	187	359	147	199	293	478	174	373	675	441	405	414	507	536	617	974	370	361	398	297	92					
		86.67%	92.08%	84.52%	94.49%	78.31%	92.43%	76.71%	80.10%	99.74%	83.21%	95.68%	96.00%	97.60%	85.41%	88.20%	98.35%	69.66%	90.04%	78.34%	94.46%	95.08%	88.38%	87.54%	85.13%	97.12%	98.10%	97.31%	67.16%	74.60%	89.93%	73.12%	71.76%	97.78%	92.52%	82.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.06%	0.0%	0.39%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.47%	0.0%	0.0%	0.90%	0.0%	0.0%	0.54%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.12%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	304	7	5	0	11	9	3	0	1	1	2	3	1	42	1	4	1	3	9	8	0	10	25	17	0	5	6	44	39	6	19	20	2	0	0					
		2.09%	1.53%	1.98%	0.0%	1.77%	1.70%	2.05%	0.0%	0.25%	0.72%	0.57%	0.74%	0.39%	4.43%	0.47%	1.09%	0.47%	1.35%	2.40%	1.58%	0.0%	2.36%	3.24%	3.28%	0.0%	1.18%	1.15%	5.51%	4.71%	0.55%	3.75%	3.97%	0.49%	0.0%	0.0%					
																																									
41	Против всех	123	0	6	0	3	5	4	5	0	1	0	1	0	16	0	0	3	2	4	2	2	7	20	2	1	0	0	17	3	6	6	6	1	0	0					
		0.84%	0.0%	2.38%	0.0%	0.48%	0.94%	2.73%	2.61%	0.0%	0.72%	0.0%	0.24%	0.0%	1.69%	0.0%	0.0%	1.42%	0.90%	1.06%	0.39%	1.09%	1.65%	2.59%	0.38%	0.23%	0.0%	0.0%	2.13%	0.36%	0.55%	1.18%	1.19%	0.24%	0.0%	0.0%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
