Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Ачинская городская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №2146	УИК №2151	УИК №2152	УИК №2153	УИК №2155	УИК №2156	УИК №2157	УИК №2158									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	413	7	8	14	10	8	2	6	4	4	5	7	10	12	14	22	14	12	9	6	6	5	15	11	3	10	16	14	9	9	18	7	10	8	10	14	7	10	6	8	8	9	1	10	7	0	0	0	1	7									
		1.58%	1.26%	1.58%	2.24%	1.30%	1.12%	1.15%	0.85%	1.10%	1.03%	2.28%	1.52%	1.60%	1.47%	1.30%	2.27%	1.63%	1.43%	1.20%	1.23%	1.30%	1.49%	2.05%	1.50%	1.03%	3.03%	2.06%	1.68%	1.12%	1.13%	2.10%	1.49%	1.93%	1.19%	1.68%	1.75%	1.11%	1.28%	1.81%	2.81%	2.89%	2.30%	0.42%	1.83%	1.34%	0.00%	0.00%	0.00%	2.17%	5.30%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	815	15	14	24	20	22	7	12	17	11	5	14	24	26	25	29	32	30	20	19	22	7	27	21	10	16	19	23	30	25	17	15	15	18	17	26	29	21	11	10	7	15	0	17	15	3	3	0	2	8									
		3.11%	2.70%	2.76%	3.85%	2.59%	3.08%	4.02%	1.71%	4.66%	2.82%	2.28%	3.04%	3.83%	3.19%	2.32%	2.99%	3.72%	3.58%	2.66%	3.91%	4.78%	2.09%	3.69%	2.86%	3.44%	4.85%	2.45%	2.76%	3.73%	3.14%	1.99%	3.20%	2.90%	2.67%	2.86%	3.25%	4.61%	2.69%	3.31%	3.51%	2.53%	3.84%	0.00%	3.11%	2.87%	6.00%	10.00%	0.00%	4.35%	6.06%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	635	17	10	16	19	20	3	19	8	7	7	14	11	24	27	27	13	18	24	15	10	7	21	16	4	7	29	28	21	14	28	9	6	29	16	11	10	13	5	7	5	1	0	13	13	1	1	0	4	7									
		2.43%	3.06%	1.97%	2.56%	2.46%	2.80%	1.72%	2.71%	2.19%	1.79%	3.20%	3.04%	1.76%	2.94%	2.51%	2.79%	1.51%	2.15%	3.20%	3.09%	2.17%	2.09%	2.87%	2.18%	1.37%	2.12%	3.73%	3.36%	2.61%	1.76%	3.27%	1.92%	1.16%	4.30%	2.69%	1.37%	1.59%	1.67%	1.51%	2.46%	1.81%	0.26%	0.00%	2.38%	2.49%	2.00%	3.33%	0.00%	8.70%	5.30%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8788	183	190	209	259	270	49	243	120	119	75	137	198	299	366	343	253	272	248	153	132	102	231	241	99	95	252	274	269	277	296	135	179	224	211	256	206	275	128	95	72	105	156	177	199	23	8	4	16	65									
		33.57%	32.97%	37.48%	33.49%	33.59%	37.76%	28.16%	34.62%	32.88%	30.51%	34.25%	29.72%	31.63%	36.64%	33.98%	35.43%	29.42%	32.50%	33.02%	31.48%	28.70%	30.45%	31.56%	32.79%	34.02%	28.79%	32.43%	32.85%	33.42%	34.84%	34.58%	28.78%	34.62%	33.19%	35.52%	31.96%	32.75%	35.26%	38.55%	33.33%	25.99%	26.85%	66.10%	32.42%	38.12%	46.00%	26.67%	30.77%	34.78%	49.24%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	299	5	8	6	14	7	2	10	4	1	0	6	8	14	17	16	9	9	9	10	3	4	6	9	2	5	8	10	2	8	10	5	5	8	8	7	6	3	8	2	1	4	2	6	8	1	1	0	0	2									
		1.14%	0.90%	1.58%	0.96%	1.82%	0.98%	1.15%	1.42%	1.10%	0.26%	0.00%	1.30%	1.28%	1.72%	1.58%	1.65%	1.05%	1.08%	1.20%	2.06%	0.65%	1.19%	0.82%	1.22%	0.69%	1.52%	1.03%	1.20%	0.25%	1.01%	1.17%	1.07%	0.97%	1.19%	1.35%	0.87%	0.95%	0.38%	2.41%	0.70%	0.36%	1.02%	0.85%	1.10%	1.53%	2.00%	3.33%	0.00%	0.00%	1.52%									
24	"6. Политическая партия ""Гражданская Платформа"""	47	1	0	0	1	1	0	3	1	0	0	0	1	2	4	1	4	4	3	0	0	0	0	0	1	0	0	2	0	2	1	0	0	0	3	1	0	2	2	0	0	1	3	1	0	0	0	0	0	2									
		0.18%	0.18%	0.00%	0.00%	0.13%	0.14%	0.00%	0.43%	0.27%	0.00%	0.00%	0.00%	0.16%	0.25%	0.37%	0.10%	0.47%	0.48%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.24%	0.00%	0.25%	0.12%	0.00%	0.00%	0.00%	0.51%	0.12%	0.00%	0.26%	0.60%	0.00%	0.00%	0.26%	1.27%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	1.52%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6841	156	112	161	188	176	51	207	97	146	70	130	146	165	245	241	222	216	192	121	140	90	175	176	68	90	211	241	194	240	233	158	157	156	160	216	171	221	91	74	89	96	46	139	115	8	7	7	7	23									
		26.13%	28.11%	22.09%	25.80%	24.38%	24.62%	29.31%	29.49%	26.58%	37.44%	31.96%	28.20%	23.32%	20.22%	22.75%	24.90%	25.81%	25.81%	25.57%	24.90%	30.43%	26.87%	23.91%	23.95%	23.37%	27.27%	27.16%	28.90%	24.10%	30.19%	27.22%	33.69%	30.37%	23.11%	26.94%	26.97%	27.19%	28.33%	27.41%	25.96%	32.13%	24.55%	19.49%	25.46%	22.03%	16.00%	23.33%	53.85%	15.22%	17.42%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	264	9	4	8	20	3	3	6	5	8	3	8	10	7	13	12	6	6	7	5	3	3	4	5	1	5	5	6	11	7	12	7	7	4	4	8	6	5	4	0	2	2	0	5	3	0	0	0	0	2									
		1.01%	1.62%	0.79%	1.28%	2.59%	0.42%	1.72%	0.85%	1.37%	2.05%	1.37%	1.74%	1.60%	0.86%	1.21%	1.24%	0.70%	0.72%	0.93%	1.03%	0.65%	0.90%	0.55%	0.68%	0.34%	1.52%	0.64%	0.72%	1.37%	0.88%	1.40%	1.49%	1.35%	0.59%	0.67%	0.99%	0.95%	0.64%	1.20%	0.00%	0.72%	0.51%	0.00%	0.92%	0.57%	0.00%	0.00%	0.00%	0.00%	1.52%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	267	5	9	7	14	11	1	6	2	5	1	1	9	7	23	9	11	6	4	9	3	5	4	8	2	6	5	6	7	12	3	2	9	4	3	8	4	10	1	3	4	2	3	4	9	0	0	0	0	0									
		1.02%	0.90%	1.78%	1.12%	1.82%	1.54%	0.57%	0.85%	0.55%	1.28%	0.46%	0.22%	1.44%	0.86%	2.14%	0.93%	1.28%	0.72%	0.53%	1.85%	0.65%	1.49%	0.55%	1.09%	0.69%	1.82%	0.64%	0.72%	0.87%	1.51%	0.35%	0.43%	1.74%	0.59%	0.51%	0.99%	0.64%	1.28%	0.30%	1.05%	1.44%	0.51%	1.27%	0.73%	1.72%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	45	0	0	1	0	1	0	3	0	0	0	0	1	1	4	4	3	0	0	5	0	0	0	1	2	0	1	1	5	4	1	0	0	0	1	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0									
		0.17%	0.00%	0.00%	0.16%	0.00%	0.14%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.16%	0.12%	0.37%	0.41%	0.35%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.14%	0.69%	0.00%	0.13%	0.12%	0.62%	0.50%	0.12%	0.00%	0.00%	0.00%	0.17%	0.12%	0.32%	0.13%	0.30%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	368	8	3	5	15	10	1	11	5	1	0	9	6	15	17	17	14	7	8	6	5	5	15	10	8	4	12	17	13	14	9	9	11	8	6	14	8	8	3	5	2	9	1	4	7	1	0	0	1	1									
		1.41%	1.44%	0.59%	0.80%	1.95%	1.40%	0.57%	1.57%	1.37%	0.26%	0.00%	1.95%	0.96%	1.84%	1.58%	1.76%	1.63%	0.84%	1.07%	1.23%	1.09%	1.49%	2.05%	1.36%	2.75%	1.21%	1.54%	2.04%	1.61%	1.76%	1.05%	1.92%	2.13%	1.19%	1.01%	1.75%	1.27%	1.03%	0.90%	1.75%	0.72%	2.30%	0.42%	0.73%	1.34%	2.00%	0.00%	0.00%	2.17%	0.76%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3771	70	65	91	103	97	35	97	68	45	21	70	106	116	155	139	149	132	118	72	66	54	118	104	39	49	109	107	125	92	133	61	67	103	78	111	96	126	35	42	33	80	6	83	81	1	6	0	7	10									
		14.40%	12.61%	12.82%	14.58%	13.36%	13.57%	20.11%	13.82%	18.63%	11.54%	9.59%	15.18%	16.93%	14.22%	14.39%	14.36%	17.33%	15.77%	15.71%	14.81%	14.35%	16.12%	16.12%	14.15%	13.40%	14.85%	14.03%	12.83%	15.53%	11.57%	15.54%	13.01%	12.96%	15.26%	13.13%	13.86%	15.26%	16.15%	10.54%	14.74%	11.91%	20.46%	2.54%	15.20%	15.52%	2.00%	20.00%	0.00%	15.22%	7.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1101	18	23	20	35	26	7	22	11	14	14	35	36	39	46	32	36	30	24	27	17	18	31	38	5	9	45	31	35	35	31	15	23	40	27	38	20	27	8	11	22	22	1	23	22	9	1	0	1	1									
		4.21%	3.24%	4.54%	3.21%	4.54%	3.64%	4.02%	3.13%	3.01%	3.59%	6.39%	7.59%	5.75%	4.78%	4.27%	3.31%	4.19%	3.58%	3.20%	5.56%	3.70%	5.37%	4.23%	5.17%	1.72%	2.73%	5.79%	3.72%	4.35%	4.40%	3.62%	3.20%	4.45%	5.93%	4.55%	4.74%	3.18%	3.46%	2.41%	3.86%	7.94%	5.63%	0.42%	4.21%	4.21%	18.00%	3.33%	0.00%	2.17%	0.76%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1736	43	36	46	60	39	6	26	18	18	13	23	39	66	97	50	72	63	52	22	33	28	66	70	40	25	51	47	52	40	44	18	21	56	33	63	42	40	10	16	20	36	8	47	26	3	2	1	7	2									
		6.63%	7.75%	7.10%	7.37%	7.78%	5.45%	3.45%	3.70%	4.93%	4.62%	5.94%	4.99%	6.23%	8.09%	9.01%	5.17%	8.37%	7.53%	6.92%	4.53%	7.17%	8.36%	9.02%	9.52%	13.75%	7.58%	6.56%	5.64%	6.46%	5.03%	5.14%	3.84%	4.06%	8.30%	5.56%	7.87%	6.68%	5.13%	3.01%	5.61%	7.22%	9.21%	3.39%	8.61%	4.98%	6.00%	6.67%	7.69%	15.22%	1.52%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
