Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Тарская																																																																																								
																																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																								
																																																																																								
		Сумма	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998					
		2.06%	0.73%	1.81%	1.44%	3.73%	0.86%	2.97%	2.63%	1.65%	3.81%	2.80%	1.02%	1.22%	0.93%	1.14%	1.44%	0.71%	0.72%	1.77%	2.03%	2.11%	1.88%	0.78%	4.11%	0.53%	7.69%	0.0%	4.08%	1.18%	4.12%	0.0%	0.0%	3.60%	0.80%	3.70%	1.28%	3.46%	1.77%	1.53%	5.32%	0.91%	3.44%	1.99%	0.81%	1.45%	1.12%	0.0%	3.05%	3.47%	3.20%	3.57%	4.65%	0.0%	7.19%	1.04%	2.62%	7.14%	0.61%	4.77%	4.73%	0.0%	1.92%	4.08%	2.35%	0.0%	2.24%	4.30%	0.0%	3.57%	1.94%	3.35%	0.0%	2.02%	2.02%	1.79%	2.91%	2.43%	1.88%	0.90%	3.70%	0.56%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	492	8	5	17	0	17	13	9	14	3	15	17	15	22	33	6	15	32	27	24	17	31	6	2	4	1	0	0	0	0	0	0	2	3	0	4	2	1	6	3	2	13	3	2	0	1	0	4	4	5	1	1	0	4	4	2	1	0	3	0	0	4	0	3	1	2	0	1	6	2	5	0	11	1	4	5	9	13	0	0	1	0					
		2.10%	2.94%	1.29%	2.44%	0.0%	2.45%	2.03%	2.37%	2.57%	2.29%	14.01%	2.17%	3.06%	3.43%	3.76%	1.72%	2.68%	3.84%	4.35%	4.06%	3.27%	5.31%	1.57%	0.74%	2.15%	1.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	2.41%	0.0%	0.73%	1.15%	0.44%	2.29%	0.61%	1.83%	2.03%	0.99%	0.54%	0.0%	1.12%	0.0%	0.81%	2.77%	1.77%	1.19%	0.77%	0.0%	2.87%	4.16%	0.52%	1.02%	0.0%	0.95%	0.0%	0.0%	1.28%	0.0%	1.17%	0.86%	1.12%	0.0%	1.36%	1.43%	1.29%	1.52%	0.0%	2.47%	1.01%	1.43%	4.85%	1.68%	3.49%	0.0%	0.0%	0.56%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	597	8	12	12	2	14	15	16	10	7	6	15	16	10	28	6	14	14	11	6	7	14	8	16	3	4	0	0	10	4	0	0	6	2	2	11	1	4	0	10	1	22	8	15	5	2	0	11	3	9	1	4	1	5	2	16	7	3	14	5	0	5	3	4	0	3	2	1	8	4	20	2	22	5	6	4	14	25	2	2	5	2					
		2.55%	2.94%	3.10%	1.72%	1.86%	2.02%	2.35%	4.22%	1.84%	5.34%	5.60%	1.92%	3.27%	1.56%	3.19%	1.72%	2.50%	1.68%	1.77%	1.01%	1.34%	2.40%	2.09%	5.99%	1.61%	6.15%	0.0%	0.0%	3.93%	4.12%	0.0%	0.0%	1.66%	1.61%	3.70%	2.02%	0.57%	1.77%	0.0%	2.04%	0.91%	3.44%	2.65%	4.06%	1.81%	2.24%	0.0%	2.24%	2.08%	3.20%	1.19%	3.10%	0.86%	3.59%	2.08%	4.19%	7.14%	1.85%	4.45%	2.95%	0.0%	1.60%	6.12%	1.56%	0.0%	1.68%	2.15%	1.36%	1.90%	2.59%	6.09%	2.22%	4.95%	5.05%	2.15%	3.88%	2.62%	6.72%	0.90%	2.46%	2.82%	3.63%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	556	0	5	12	0	27	22	19	14	2	3	45	19	23	55	13	21	23	23	26	24	24	2	4	0	1	0	0	2	0	0	0	1	1	0	7	0	2	5	3	0	8	4	3	5	2	0	4	3	3	0	2	0	1	2	5	1	0	3	0	0	4	2	2	5	2	0	0	4	3	7	1	4	17	8	3	3	7	0	1	9	0					
		2.38%	0.0%	1.29%	1.72%	0.0%	3.89%	3.44%	5.01%	2.57%	1.52%	2.80%	5.76%	3.88%	3.59%	6.27%	3.74%	3.76%	2.76%	3.70%	4.40%	4.62%	4.11%	0.52%	1.49%	0.0%	1.53%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.27%	0.80%	0.0%	1.28%	0.0%	0.88%	1.91%	0.61%	0.0%	1.25%	1.32%	0.81%	1.81%	2.24%	0.0%	0.81%	2.08%	1.06%	0.0%	1.55%	0.0%	0.71%	2.08%	1.31%	1.02%	0.0%	0.95%	0.0%	0.0%	1.28%	4.08%	0.78%	4.31%	1.12%	0.0%	0.0%	0.95%	1.94%	2.13%	1.11%	0.90%	17.17%	2.87%	2.91%	0.56%	1.88%	0.0%	1.23%	5.08%	0.0%					
22	"5. ""За Русь Святую"""	90	0	1	0	2	3	3	4	1	0	3	3	1	3	2	0	2	0	4	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	2	7	0	5	4	0	0	1	0	2	0	0	0	2	0	1	0	1	0	0	0	0	0	4	0	3	1	0	0	0	2	0	0	0	4	0	5	0	0	0	0	1	0	1					
		0.38%	0.0%	0.25%	0.0%	1.86%	0.43%	0.47%	1.05%	0.18%	0.0%	2.80%	0.38%	0.20%	0.46%	0.22%	0.0%	0.35%	0.0%	0.64%	0.50%	0.19%	0.17%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.55%	0.0%	1.15%	0.0%	0.76%	1.43%	0.0%	0.78%	1.32%	0.0%	0.0%	1.12%	0.0%	0.40%	0.0%	0.0%	0.0%	1.55%	0.0%	0.71%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	1.28%	0.0%	1.17%	0.86%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.90%	0.0%	1.79%	0.0%	0.0%	0.0%	0.0%	1.23%	0.0%	1.81%					
23	"6. ""Объединенная Российская партия ""Русь"""	54	6	0	1	0	2	0	0	3	0	1	2	0	1	1	2	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	1	0	3	0	4	1	2	0	0	2	0	0	0	0					
		0.23%	2.20%	0.0%	0.14%	0.0%	0.28%	0.0%	0.0%	0.55%	0.0%	0.93%	0.25%	0.0%	0.15%	0.11%	0.57%	0.0%	0.24%	0.48%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	1.15%	0.0%	0.0%	0.20%	0.0%	0.15%	0.33%	0.27%	0.0%	0.0%	0.0%	0.0%	0.69%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	1.17%	0.0%	0.56%	0.0%	0.0%	0.23%	0.0%	0.91%	0.0%	0.90%	1.01%	0.71%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	112	3	2	4	0	8	4	4	4	0	2	2	6	2	3	0	3	4	4	5	3	7	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	2	2	2	1	0	0	1	0	1	0	0	0	0	0	3	0	0	1	1	0	3	0	1	0	1	2	0	0	2	2	0	1	0	7	0	3	0	0	0	0	0					
		0.47%	1.10%	0.51%	0.57%	0.0%	1.15%	0.62%	1.05%	0.73%	0.0%	1.86%	0.25%	1.22%	0.31%	0.34%	0.0%	0.53%	0.48%	0.64%	0.84%	0.57%	1.20%	0.26%	0.37%	0.0%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	0.0%	0.27%	0.80%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.31%	0.66%	0.54%	0.36%	0.0%	0.0%	0.20%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.31%	0.59%	0.0%	0.96%	0.0%	0.39%	0.0%	0.56%	2.15%	0.0%	0.0%	1.29%	0.60%	0.0%	0.22%	0.0%	2.51%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	22	0	0	0	0	0	0	2	1	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.57%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	1.43%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.35%	0.0%	0.0%	0.26%	0.90%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	56	0	3	2	0	1	2	1	1	1	0	2	1	2	2	0	3	1	1	0	1	6	0	0	0	0	0	0	0	0	0	0	2	0	2	1	3	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	5	0	2	0	0	0	0	0	0	1	1	0	0	0					
		0.23%	0.0%	0.77%	0.28%	0.0%	0.14%	0.31%	0.26%	0.18%	0.76%	0.0%	0.25%	0.20%	0.31%	0.22%	0.0%	0.53%	0.12%	0.16%	0.0%	0.19%	1.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	3.70%	0.18%	1.73%	0.0%	0.76%	0.0%	0.0%	0.15%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	1.12%	0.0%	0.0%	1.19%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.45%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1574	10	11	19	4	20	27	15	18	12	6	39	13	24	28	10	25	27	15	21	21	21	24	46	7	5	15	27	33	21	3	1	38	24	5	65	14	6	10	23	7	36	16	5	33	4	2	43	3	36	7	13	7	20	0	34	3	15	16	30	0	49	9	40	6	16	8	11	28	5	13	12	41	8	29	10	94	57	46	1	6	2					
		6.74%	3.67%	2.84%	2.73%	3.73%	2.88%	4.23%	3.95%	3.31%	9.16%	5.60%	5.0%	2.65%	3.75%	3.19%	2.88%	4.48%	3.24%	2.41%	3.55%	4.04%	3.60%	6.28%	17.22%	3.76%	7.69%	30.0%	27.55%	12.99%	21.64%	8.10%	5.55%	10.52%	19.35%	9.25%	11.94%	8.09%	2.66%	3.83%	4.71%	6.42%	5.64%	5.31%	1.35%	12.0%	4.49%	8.0%	8.75%	2.08%	12.81%	8.33%	10.07%	6.08%	14.38%	0.0%	8.92%	3.06%	9.25%	5.09%	17.75%	0.0%	15.75%	18.36%	15.68%	5.17%	8.98%	8.60%	15.06%	6.68%	3.24%	3.96%	13.33%	9.23%	8.08%	10.43%	9.70%	17.60%	15.32%	20.81%	1.23%	3.38%	3.63%					
28	"11. ""Истинные патриоты России"""	37	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	1	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	3	0	0	0	0	0	2	0	1	1	1	4	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.35%	0.12%	0.0%	0.84%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.85%	0.0%	0.0%	0.44%	0.0%	0.20%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.35%	1.19%	0.77%	3.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	2.04%	0.39%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	171	3	1	9	0	8	6	7	5	0	1	5	6	2	7	6	4	7	1	6	0	4	3	2	1	0	0	0	3	0	0	0	2	1	0	1	3	3	1	7	2	3	2	1	0	0	0	6	0	4	3	2	0	0	0	3	2	0	1	1	0	3	0	4	0	2	1	0	4	0	0	0	1	0	0	2	3	3	2	0	1	0					
		0.73%	1.10%	0.25%	1.29%	0.0%	1.15%	0.94%	1.84%	0.92%	0.0%	0.93%	0.64%	1.22%	0.31%	0.79%	1.72%	0.71%	0.84%	0.16%	1.01%	0.0%	0.68%	0.78%	0.74%	0.53%	0.0%	0.0%	0.0%	1.18%	0.0%	0.0%	0.0%	0.55%	0.80%	0.0%	0.18%	1.73%	1.33%	0.38%	1.43%	1.83%	0.47%	0.66%	0.27%	0.0%	0.0%	0.0%	1.22%	0.0%	1.42%	3.57%	1.55%	0.0%	0.0%	0.0%	0.78%	2.04%	0.0%	0.31%	0.59%	0.0%	0.96%	0.0%	1.56%	0.0%	1.12%	1.07%	0.0%	0.95%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	1.94%	0.56%	0.80%	0.90%	0.0%	0.56%	0.0%					
30	"13. ""Демократическая партия России"""	82	0	2	0	1	1	5	1	1	0	1	2	3	3	3	0	2	2	2	6	1	4	1	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	3	0	7	0	0	0	0	0	0	0	2	0	1	0	4	0	2	0	2	0	1	1	0	0	3	0	0	0	0	0	1	1	1	1	0	0	1					
		0.35%	0.0%	0.51%	0.0%	0.93%	0.14%	0.78%	0.26%	0.18%	0.0%	0.93%	0.25%	0.61%	0.46%	0.34%	0.0%	0.35%	0.24%	0.32%	1.01%	0.19%	0.68%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.57%	0.0%	0.0%	0.20%	0.0%	0.0%	0.33%	0.27%	0.36%	3.37%	0.0%	1.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.61%	0.0%	2.36%	0.0%	0.64%	0.0%	0.78%	0.0%	0.56%	1.07%	0.0%	0.0%	1.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.97%	0.18%	0.26%	0.45%	0.0%	0.0%	1.81%					
31	"14. ""Великая Россия - Евразийский Союз"""	74	1	1	2	0	0	2	2	6	1	0	0	0	0	3	1	1	2	2	3	0	3	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	5	3	0	2	0	0	2	0	0	2	0	0	0	0	12	3	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0					
		0.31%	0.36%	0.25%	0.28%	0.0%	0.0%	0.31%	0.52%	1.10%	0.76%	0.0%	0.0%	0.0%	0.0%	0.34%	0.28%	0.17%	0.24%	0.32%	0.50%	0.0%	0.51%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.83%	0.0%	0.0%	0.18%	0.0%	0.0%	1.91%	0.61%	0.0%	0.31%	0.0%	0.0%	0.72%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	10.43%	2.15%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.32%	2.04%	0.39%	0.0%	0.0%	1.07%	0.0%	0.23%	0.64%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	48	0	3	0	0	0	0	0	1	0	3	1	2	0	3	0	1	2	2	0	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	3	1	0	0	1	0	2	0	0	2	0	0	0	0	0	2	0	0	1	2	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	4	0	0	0	0					
		0.20%	0.0%	0.77%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	2.80%	0.12%	0.40%	0.0%	0.34%	0.0%	0.17%	0.24%	0.32%	0.0%	0.0%	0.34%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.80%	0.0%	0.55%	0.57%	0.0%	0.0%	0.20%	0.0%	0.31%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	2.38%	0.0%	0.0%	0.71%	2.08%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.56%	1.07%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	1.01%	0.35%	0.0%	0.0%	1.07%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1215	15	24	43	3	54	59	14	38	10	4	47	44	82	67	18	51	61	43	33	54	31	4	4	10	1	0	1	2	1	0	0	9	3	2	15	2	3	22	21	0	27	17	1	4	4	0	16	4	9	2	9	3	9	3	14	2	5	2	8	0	3	2	16	12	9	2	1	13	7	8	0	18	1	33	3	14	12	9	1	11	6					
