Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																	
Дата голосования: 04.12.2011																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Борская																																																																																																	
																																																																																																	
Сводная таблица результатов выборов																																																																																																	
																																																																																																	
		Сумма	УИК №191	УИК №246	УИК №247	УИК №293	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №403	УИК №774	УИК №806	УИК №807	УИК №808	УИК №963	УИК №964	УИК №2501					
		0.82%	1.22%	0.14%	0.70%	0.76%	0.71%	1.15%	1.11%	1.12%	1.02%	0.52%	1.26%	1.17%	0.45%	0.83%	1.37%	0.41%	0.31%	0.30%	1.02%	1.43%	0.74%	1.61%	1.26%	0.81%	1.22%	1.14%	1.06%	1.30%	0.81%	1.13%	0.49%	0.57%	1.38%	0.00%	0.92%	0.66%	1.10%	1.46%	0.84%	0.54%	0.82%	0.67%	1.01%	0.52%	0.27%	0.60%	0.33%	0.59%	0.65%	0.44%	0.00%	0.56%	0.73%	0.19%	1.07%	0.36%	0.35%	0.48%	0.64%	1.12%	1.09%	0.41%	0.87%	1.39%	0.00%	0.73%	1.05%	0.39%	1.48%	0.21%	0.97%	0.00%	0.28%	1.35%	0.95%	0.71%	0.26%	0.70%	0.87%	0.74%	0.52%	0.16%	0.49%	0.77%	0.70%	0.34%	0.66%	0.65%	1.74%	1.86%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	12675	152	161	179	143	212	184	186	187	185	183	174	133	148	143	202	107	170	132	182	167	177	197	179	139	201	122	245	260	153	178	127	160	189	1	54	188	107	71	213	168	146	126	266	130	64	106	135	186	176	90	55	139	122	105	149	250	117	163	120	138	104	101	138	59	29	90	187	16	161	112	95	34	103	199	239	154	52	53	69	49	85	117	102	146	198	113	183	132	201	112					
		22.83%	20.68%	22.58%	31.46%	18.01%	25.21%	26.55%	25.80%	23.20%	23.48%	18.89%	21.86%	15.54%	22.09%	16.96%	27.63%	21.75%	26.36%	19.73%	23.10%	21.69%	21.72%	28.89%	28.14%	18.66%	27.20%	23.19%	32.45%	28.17%	24.72%	28.80%	20.82%	22.76%	23.63%	0.52%	16.56%	24.87%	19.60%	14.85%	22.47%	22.86%	30.04%	21.18%	29.72%	22.65%	17.49%	15.80%	22.31%	27.43%	28.48%	19.65%	30.22%	26.03%	22.30%	20.23%	26.47%	29.73%	20.31%	26.29%	38.59%	25.79%	22.71%	13.70%	15.02%	20.49%	16.11%	11.00%	19.62%	6.30%	29.87%	23.78%	22.95%	17.44%	28.85%	26.93%	28.25%	15.62%	13.54%	18.47%	20.00%	18.22%	22.31%	18.72%	25.12%	28.13%	23.13%	19.12%	23.98%	21.36%	31.80%	23.19%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1436	30	11	16	42	23	32	34	28	33	5	32	21	12	18	23	9	11	17	18	36	32	22	36	24	20	21	26	30	20	42	17	18	21	0	3	13	19	6	30	23	9	27	25	16	4	12	8	14	20	12	3	9	4	3	18	10	0	12	5	7	7	18	17	3	2	38	29	1	2	5	7	3	2	15	17	4	7	0	2	8	16	22	11	14	25	12	16	12	14	15					
		2.59%	4.08%	1.54%	2.81%	5.29%	2.73%	4.62%	4.72%	3.47%	4.19%	0.52%	4.02%	2.45%	1.79%	2.14%	3.15%	1.83%	1.71%	2.54%	2.28%	4.68%	3.93%	3.23%	5.66%	3.22%	2.71%	3.99%	3.44%	3.25%	3.23%	6.80%	2.79%	2.56%	2.63%	0.00%	0.92%	1.72%	3.48%	1.26%	3.16%	3.13%	1.85%	4.54%	2.79%	2.79%	1.09%	1.79%	1.32%	2.06%	3.24%	2.62%	1.65%	1.69%	0.73%	0.58%	3.20%	1.19%	0.00%	1.94%	1.61%	1.31%	1.53%	2.44%	1.85%	1.04%	1.11%	4.65%	3.04%	0.39%	0.37%	1.06%	1.69%	1.54%	0.56%	2.03%	2.01%	0.41%	1.82%	0.00%	0.58%	2.97%	4.20%	3.52%	2.71%	2.70%	2.92%	2.03%	2.10%	1.94%	2.22%	3.11%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	27010	336	410	238	409	395	274	283	326	319	499	341	531	316	553	245	245	274	379	323	325	515	254	210	426	291	231	262	350	226	219	297	459	426	179	195	414	234	241	449	276	192	252	320	284	219	434	319	338	249	240	83	271	299	292	245	371	250	324	117	235	220	451	514	150	103	492	489	214	224	272	217	117	174	302	311	653	269	191	216	116	175	298	153	228	406	307	384	369	249	237					
		48.64%	45.71%	57.50%	41.83%	51.51%	46.97%	39.54%	39.25%	40.45%	40.48%	51.50%	42.84%	62.03%	47.16%	65.60%	33.52%	49.80%	42.48%	56.65%	40.99%	42.21%	63.19%	37.24%	33.02%	57.18%	39.38%	43.92%	34.70%	37.92%	36.51%	35.44%	48.69%	65.29%	53.25%	93.23%	59.82%	54.76%	42.86%	50.42%	47.36%	37.55%	39.51%	42.35%	35.75%	49.48%	59.84%	64.68%	52.73%	49.85%	40.29%	52.40%	45.60%	50.75%	54.66%	56.26%	43.52%	44.11%	43.40%	52.26%	37.62%	43.93%	48.03%	61.19%	55.93%	52.08%	57.22%	60.15%	51.31%	84.25%	41.56%	57.75%	52.42%	60.00%	48.74%	40.87%	36.76%	66.23%	70.05%	66.55%	62.61%	43.12%	45.93%	47.68%	37.68%	43.93%	47.43%	51.95%	50.33%	59.71%	39.40%	49.07%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	243	6	3	2	3	4	7	4	2	6	3	5	8	1	6	3	1	2	3	6	3	6	2	6	3	6	0	6	4	4	3	3	2	6	0	3	6	4	1	4	4	2	2	5	3	0	0	1	5	5	3	0	4	1	1	2	1	2	1	3	4	2	1	3	1	1	2	6	0	1	2	2	1	0	2	4	1	2	0	0	1	1	2	3	0	3	3	0	1	1	1					
		0.44%	0.82%	0.42%	0.35%	0.38%	0.48%	1.01%	0.55%	0.25%	0.76%	0.31%	0.63%	0.93%	0.15%	0.71%	0.41%	0.20%	0.31%	0.45%	0.76%	0.39%	0.74%	0.29%	0.94%	0.40%	0.81%	0.00%	0.79%	0.43%	0.65%	0.49%	0.49%	0.28%	0.75%	0.00%	0.92%	0.79%	0.73%	0.21%	0.42%	0.54%	0.41%	0.34%	0.56%	0.52%	0.00%	0.00%	0.17%	0.74%	0.81%	0.66%	0.00%	0.75%	0.18%	0.19%	0.36%	0.12%	0.35%	0.16%	0.96%	0.75%	0.44%	0.14%	0.33%	0.35%	0.56%	0.24%	0.63%	0.00%	0.19%	0.42%	0.48%	0.51%	0.00%	0.27%	0.47%	0.10%	0.52%	0.00%	0.00%	0.37%	0.26%	0.32%	0.74%	0.00%	0.35%	0.51%	0.00%	0.16%	0.16%	0.21%					
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
