Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Борская																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	987	20	20	20	15	15	10	15	10	20	20	10	10	15	15	15	20	20	10	35	20	10	10	10	24	10	10	20	20	13	0	0	20	10	10	10	20	20	10	20	10	0	2	18	23	20	10	10	10	10	10	15	20	10	15	10	10	10	14	1	10	10	5	15	10	10	10	10	10	10	10	20	17	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	701	9	16	20	11	6	9	3	10	11	18	10	5	11	8	11	16	20	9	35	20	6	2	10	21	8	8	20	13	12	0	0	11	10	10	7	13	20	10	15	10	0	2	18	22	17	3	2	2	2	1	4	10	10	15	3	6	7	13	0	6	2	2	13	1	9	8	6	2	8	10	4	16	10	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	557	11	10	10	5	8	16	4	22	4	10	8	4	8	7	4	11	19	8	10	8	12	18	5	14	1	7	15	6	9	15	24	11	36	11	5	13	7	5	9	4	1	3	5	6	10	3	4	2	3	1	3	10	13	2	1	10	2	3	3	3	3	5	6	4	5	5	2	2	7	4	4	4	1	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	286	11	4	0	4	9	1	12	0	9	2	0	5	4	7	4	4	0	1	0	0	4	8	0	3	2	2	0	7	1	0	0	9	0	0	3	7	0	0	5	0	0	0	0	1	3	7	8	8	8	9	11	10	0	0	7	4	3	1	1	4	8	3	2	9	1	2	4	8	2	0	16	1	0	10	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
18	1.Политическая партия «Аграрная партия России»	1095	23	18	20	23	14	17	14	18	24	17	12	13	14	10	21	27	23	24	24	20	13	11	14	26	21	13	16	6	19	5	1	28	7	6	21	18	27	13	26	15	7	8	12	37	35	6	4	10	13	14	15	27	14	10	14	13	8	12	2	13	6	20	19	4	9	8	8	3	3	15	18	11	3	7	5					
		1.83%	1.50%	1.34%	1.68%	2.11%	1.37%	1.43%	1.40%	2.16%	1.94%	1.14%	1.56%	1.70%	1.37%	1.17%	2.26%	2.00%	1.74%	3.32%	1.99%	1.52%	1.61%	1.71%	1.64%	1.93%	2.74%	1.69%	1.68%	0.78%	2.37%	2.11%	0.33%	1.99%	1.00%	0.98%	2.30%	1.32%	2.11%	2.02%	1.78%	2.65%	1.81%	1.82%	1.80%	2.88%	3.12%	1.48%	1.82%	1.86%	2.33%	2.76%	2.05%	2.82%	1.48%	1.84%	3.89%	2.39%	1.47%	1.85%	2.86%	3.86%	2.63%	2.12%	1.78%	1.72%	1.45%	1.65%	1.64%	1.17%	0.75%	1.69%	1.62%	1.36%	0.78%	2.37%	1.34%					
19	2.Всероссийская политическая партия «Гражданская Сила»	463	24	17	7	14	6	11	21	7	11	8	7	4	4	7	8	12	18	2	11	13	12	8	14	19	5	9	12	4	8	4	0	7	5	7	5	15	9	4	8	1	3	2	2	9	5	0	0	2	1	3	4	3	11	5	0	2	0	1	0	0	0	14	9	0	3	1	2	0	0	3	6	0	0	3	1					
		0.77%	1.57%	1.26%	0.59%	1.29%	0.59%	0.93%	2.10%	0.84%	0.89%	0.54%	0.91%	0.52%	0.39%	0.82%	0.86%	0.89%	1.36%	0.28%	0.91%	0.99%	1.49%	1.24%	1.64%	1.41%	0.65%	1.17%	1.26%	0.52%	0.99%	1.69%	0.00%	0.50%	0.72%	1.15%	0.55%	1.10%	0.70%	0.62%	0.55%	0.18%	0.78%	0.46%	0.30%	0.70%	0.45%	0.00%	0.00%	0.37%	0.18%	0.59%	0.55%	0.31%	1.16%	0.92%	0.00%	0.37%	0.00%	0.15%	0.00%	0.00%	0.00%	1.48%	0.84%	0.00%	0.48%	0.21%	0.41%	0.00%	0.00%	0.34%	0.54%	0.00%	0.00%	1.02%	0.27%					
20	3.Политическая партия «Демократическая партия России»	65	1	0	1	1	0	1	0	1	0	2	0	1	1	1	0	1	1	0	4	0	0	2	1	0	1	0	2	0	1	3	0	2	3	0	2	4	3	1	1	0	0	0	0	3	3	0	1	1	0	1	2	2	0	2	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	0					
		0.11%	0.07%	0.00%	0.08%	0.09%	0.00%	0.08%	0.00%	0.12%	0.00%	0.13%	0.00%	0.13%	0.10%	0.12%	0.00%	0.07%	0.08%	0.00%	0.33%	0.00%	0.00%	0.31%	0.12%	0.00%	0.13%	0.00%	0.21%	0.00%	0.12%	1.27%	0.00%	0.14%	0.43%	0.00%	0.22%	0.29%	0.23%	0.16%	0.07%	0.00%	0.00%	0.00%	0.00%	0.23%	0.27%	0.00%	0.45%	0.19%	0.00%	0.20%	0.27%	0.21%	0.00%	0.37%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.16%	0.00%	0.21%	0.00%	0.00%	0.11%	0.09%	0.00%	0.00%	0.34%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7550	198	151	142	104	122	108	120	101	130	141	90	130	142	103	125	255	234	130	177	209	140	101	119	194	130	116	121	102	129	10	40	200	77	36	139	133	212	63	183	66	18	35	62	214	157	48	19	71	64	63	98	138	114	66	60	37	64	69	6	58	11	76	106	9	62	65	49	30	66	105	111	83	33	17	43					
		12.63%	12.94%	11.22%	11.89%	9.55%	11.97%	9.09%	12.02%	12.14%	10.49%	9.49%	11.72%	16.99%	13.88%	12.06%	13.46%	18.92%	17.69%	18.01%	14.68%	15.92%	17.39%	15.68%	13.92%	14.38%	16.97%	15.08%	12.68%	13.30%	16.10%	4.22%	13.29%	14.27%	11.03%	5.90%	15.22%	9.73%	16.56%	9.81%	12.53%	11.66%	4.66%	7.97%	9.31%	16.65%	13.99%	11.85%	8.64%	13.17%	11.47%	12.43%	13.39%	14.39%	12.05%	12.13%	16.67%	6.80%	11.74%	10.65%	8.57%	17.21%	4.82%	8.05%	9.92%	3.88%	9.97%	13.40%	10.06%	11.67%	16.42%	11.81%	10.02%	10.27%	8.53%	5.76%	11.53%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	388	15	10	11	10	4	11	10	5	10	10	7	7	7	2	18	10	16	6	18	15	5	1	5	14	8	4	5	3	9	2	2	10	2	1	2	5	12	4	10	4	4	6	1	7	6	3	0	2	3	1	3	8	4	1	0	3	1	4	0	0	0	7	2	0	2	1	1	2	0	2	3	0	0	0	1					
		0.65%	0.98%	0.74%	0.92%	0.92%	0.39%	0.93%	1.00%	0.60%	0.81%	0.67%	0.91%	0.92%	0.68%	0.23%	1.94%	0.74%	1.21%	0.83%	1.49%	1.14%	0.62%	0.16%	0.58%	1.04%	1.04%	0.52%	0.52%	0.39%	1.12%	0.84%	0.66%	0.71%	0.29%	0.16%	0.22%	0.37%	0.94%	0.62%	0.68%	0.71%	1.04%	1.37%	0.15%	0.54%	0.53%	0.74%	0.00%	0.37%	0.54%	0.20%	0.41%	0.83%	0.42%	0.18%	0.00%	0.55%	0.18%	0.62%	0.00%	0.00%	0.00%	0.74%	0.19%	0.00%	0.32%	0.21%	0.21%	0.78%	0.00%	0.22%	0.27%	0.00%	0.00%	0.00%	0.27%					
23	6.Политическая партия «Партия социальной справедливости»	113	1	2	1	1	4	2	2	4	0	3	1	0	0	1	1	2	3	2	4	8	1	1	0	1	2	1	1	2	2	0	0	4	1	2	3	4	2	3	6	2	0	1	1	2	0	2	0	3	1	1	0	6	0	1	0	2	0	1	0	0	0	0	2	0	0	1	0	0	0	2	2	2	1	0	2					
		0.19%	0.07%	0.15%	0.08%	0.09%	0.39%	0.17%	0.20%	0.48%	0.00%	0.20%	0.13%	0.00%	0.00%	0.12%	0.11%	0.15%	0.23%	0.28%	0.33%	0.61%	0.12%	0.16%	0.00%	0.07%	0.26%	0.13%	0.10%	0.26%	0.25%	0.00%	0.00%	0.29%	0.14%	0.33%	0.33%	0.29%	0.16%	0.47%	0.41%	0.35%	0.00%	0.23%	0.15%	0.16%	0.00%	0.49%	0.00%	0.56%	0.18%	0.20%	0.00%	0.63%	0.00%	0.18%	0.00%	0.37%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.22%	0.18%	0.25%	0.26%	0.00%	0.54%					
24	7.Политическая партия «Либерально-демократическая партия России»	4562	124	98	90	88	89	111	88	67	113	105	63	54	81	84	83	107	86	52	94	111	62	40	91	109	45	57	69	55	54	11	33	125	66	62	45	106	88	44	96	47	25	33	53	68	81	19	18	39	40	49	48	79	84	31	32	44	38	43	3	29	31	65	88	9	40	26	37	11	24	77	93	47	29	19	17					
		7.63%	8.10%	7.28%	7.54%	8.08%	8.73%	9.34%	8.82%	8.05%	9.12%	7.07%	8.20%	7.06%	7.92%	9.84%	8.93%	7.94%	6.50%	7.20%	7.79%	8.45%	7.70%	6.21%	10.64%	8.08%	5.87%	7.41%	7.23%	7.17%	6.74%	4.64%	10.96%	8.92%	9.46%	10.16%	4.93%	7.75%	6.88%	6.85%	6.57%	8.30%	6.48%	7.52%	7.96%	5.29%	7.22%	4.69%	8.18%	7.24%	7.17%	9.66%	6.56%	8.24%	8.88%	5.70%	8.89%	8.09%	6.97%	6.64%	4.29%	8.61%	13.60%	6.89%	8.23%	3.88%	6.43%	5.36%	7.60%	4.28%	5.97%	8.66%	8.39%	5.82%	7.49%	6.44%	4.56%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	5387	153	137	109	108	85	129	93	92	122	144	68	51	84	70	70	135	128	70	104	143	96	65	106	120	74	64	72	69	80	10	20	137	53	59	69	121	113	58	113	29	21	29	44	114	84	34	12	43	37	39	70	100	60	48	35	28	52	63	2	70	11	77	68	7	61	32	45	21	39	141	164	54	25	9	25					
		9.01%	10.00%	10.18%	9.13%	9.92%	8.34%	10.86%	9.32%	11.06%	9.85%	9.70%	8.85%	6.67%	8.21%	8.20%	7.53%	10.01%	9.67%	9.70%	8.62%	10.89%	11.93%	10.09%	12.40%	8.90%	9.66%	8.32%	7.55%	8.99%	9.99%	4.22%	6.64%	9.77%	7.59%	9.67%	7.56%	8.85%	8.83%	9.03%	7.73%	5.12%	5.44%	6.61%	6.61%	8.87%	7.49%	8.40%	5.45%	7.98%	6.63%	7.69%	9.56%	10.43%	6.34%	8.82%	9.72%	5.15%	9.54%	9.72%	2.86%	20.77%	4.82%	8.16%	6.36%	3.02%	9.81%	6.60%	9.24%	8.17%	9.70%	15.86%	14.80%	6.68%	6.46%	3.05%	6.70%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	335	4	6	10	7	2	4	7	6	10	11	2	4	5	8	3	5	0	1	4	4	4	5	6	6	3	5	7	4	7	5	5	8	5	3	9	17	9	3	10	1	1	2	4	6	5	3	0	5	4	1	3	7	3	2	3	1	1	3	0	1	3	9	7	1	4	2	2	1	1	4	9	3	3	3	3					
		0.56%	0.26%	0.45%	0.84%	0.64%	0.20%	0.34%	0.70%	0.72%	0.81%	0.74%	0.26%	0.52%	0.49%	0.94%	0.32%	0.37%	0.00%	0.14%	0.33%	0.30%	0.50%	0.78%	0.70%	0.44%	0.39%	0.65%	0.73%	0.52%	0.87%	2.11%	1.66%	0.57%	0.72%	0.49%	0.99%	1.24%	0.70%	0.47%	0.68%	0.18%	0.26%	0.46%	0.60%	0.47%	0.45%	0.74%	0.00%	0.93%	0.72%	0.20%	0.41%	0.73%	0.32%	0.37%	0.83%	0.18%	0.18%	0.46%	0.00%	0.30%	1.32%	0.95%	0.65%	0.43%	0.64%	0.41%	0.41%	0.39%	0.25%	0.45%	0.81%	0.37%	0.78%	1.02%	0.80%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	38631	953	862	781	702	676	759	622	514	802	1003	492	490	667	552	575	762	771	415	721	767	456	405	486	829	457	479	632	511	478	178	193	857	466	421	607	923	785	430	974	392	304	316	474	800	733	284	165	355	384	322	476	576	643	375	209	405	378	440	57	164	163	657	750	202	423	343	336	180	262	531	690	602	284	230	273					
		64.65%	62.29%	64.04%	65.41%	64.46%	66.34%	63.89%	62.32%	61.78%	64.73%	67.54%	64.06%	64.05%	65.20%	64.64%	61.89%	56.53%	58.28%	57.48%	59.78%	58.42%	56.65%	62.89%	56.84%	61.45%	59.66%	62.29%	66.25%	66.62%	59.68%	75.11%	64.12%	61.13%	66.76%	69.02%	66.48%	67.52%	61.33%	66.98%	66.67%	69.26%	78.76%	71.98%	71.17%	62.26%	65.33%	70.12%	75.00%	65.86%	68.82%	63.51%	65.03%	60.06%	67.97%	68.93%	58.06%	74.45%	69.36%	67.90%	81.43%	48.66%	71.49%	69.60%	70.16%	87.07%	68.01%	70.72%	68.99%	70.04%	65.17%	59.73%	62.27%	74.50%	73.39%	77.97%	73.19%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	571	24	28	9	21	12	19	7	4	11	21	11	5	5	3	13	17	29	10	27	10	5	4	8	23	11	14	8	4	9	3	2	8	2	7	7	17	9	10	20	2	1	3	0	10	6	3	1	4	2	3	6	3	8	1	1	5	2	6	0	1	0	13	6	0	3	3	3	2	4	2	5	2	1	2	0					
		0.96%	1.57%	2.08%	0.75%	1.93%	1.18%	1.60%	0.70%	0.48%	0.89%	1.41%	1.43%	0.65%	0.49%	0.35%	1.40%	1.26%	2.19%	1.39%	2.24%	0.76%	0.62%	0.62%	0.94%	1.70%	1.44%	1.82%	0.84%	0.52%	1.12%	1.27%	0.66%	0.57%	0.29%	1.15%	0.77%	1.24%	0.70%	1.56%	1.37%	0.35%	0.26%	0.68%	0.00%	0.78%	0.53%	0.74%	0.45%	0.74%	0.36%	0.59%	0.82%	0.31%	0.85%	0.18%	0.28%	0.92%	0.37%	0.93%	0.00%	0.30%	0.00%	1.38%	0.56%	0.00%	0.48%	0.62%	0.62%	0.78%	0.99%	0.22%	0.45%	0.25%	0.26%	0.68%	0.00%					
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
