Выборы Президента Российской Федерации																																																																																																																																
																																																																																																																																
Наименование Избирательной комиссии:    Ногинская																																																																																																																																
																																																																																																																																
Итоги голосования 																																																																																																																																
																																																																																																																																
		Сумма	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																
18	. Глазьев Сергей Юрьевич	5082	58	40	52	71	27	16	85	81	25	24	31	45	60	13	59	0	21	23	4	23	38	34	43	31	69	63	21	28	60	31	20	42	74	46	68	24	79	32	36	46	51	41	1	61	91	32	35	45	53	30	70	48	47	29	21	58	55	88	67	81	45	31	10	7	31	51	49	12	35	16	7	39	77	65	90	100	85	91	72	72	69	47	52	82	73	33	69	43	81	64	17	54	43	9	15	13	22	23	65	17	11	18	29	12	10	7	3	84	72	69	11	17	5	28	6	12	19	44	21	9	72					
		4.56%	4.16%	3.30%	3.66%	5.98%	3.74%	2.55%	6.22%	4.99%	4.22%	2.99%	3.78%	5.69%	4.81%	1.40%	5.62%	0.00%	4.16%	2.67%	2.82%	2.45%	5.16%	3.45%	5.74%	2.28%	4.79%	6.47%	4.17%	4.65%	5.05%	5.41%	3.21%	3.63%	6.20%	3.73%	5.74%	5.76%	4.27%	5.53%	3.52%	5.82%	5.15%	4.65%	0.45%	4.81%	7.34%	7.42%	4.24%	4.10%	4.72%	5.92%	6.19%	5.97%	5.45%	4.45%	3.76%	6.37%	3.49%	4.58%	5.78%	5.17%	6.57%	9.01%	3.53%	2.43%	2.98%	3.74%	2.68%	2.62%	5.84%	4.34%	5.07%	6.29%	7.13%	4.35%	4.40%	5.73%	4.08%	4.46%	4.71%	4.28%	6.86%	2.69%	5.52%	4.26%	5.02%	2.71%	5.42%	5.51%	7.96%	4.79%	3.54%	6.32%	3.48%	3.45%	3.81%	4.38%	3.48%	5.68%	4.23%	2.62%	1.90%	4.72%	4.25%	5.33%	3.28%	5.22%	0.92%	6.35%	6.20%	5.21%	4.33%	3.59%	2.42%	4.88%	3.66%	7.69%	3.19%	4.26%	7.32%	1.85%	3.45%					
19	. Малышкин Олег Александрович	2016	26	32	25	29	11	15	28	26	11	11	17	13	36	21	24	2	13	7	10	23	13	21	23	32	25	11	5	2	27	7	17	7	25	17	20	6	24	10	16	12	17	14	20	17	17	4	13	15	18	10	31	11	23	7	8	22	22	28	30	23	16	6	10	11	16	23	37	7	11	4	0	16	15	14	20	19	28	44	36	23	20	24	20	20	28	30	23	10	12	11	4	15	7	3	7	3	9	6	22	9	16	6	11	11	5	1	2	19	30	22	2	6	8	7	5	2	3	22	8	10	131					
		1.81%	1.87%	2.64%	1.76%	2.44%	1.53%	2.39%	2.05%	1.60%	1.85%	1.37%	2.07%	1.64%	2.88%	2.26%	2.29%	0.59%	2.57%	0.81%	7.04%	2.45%	1.76%	2.13%	3.07%	2.35%	1.73%	1.13%	0.99%	0.33%	2.27%	1.22%	2.73%	0.60%	2.10%	1.38%	1.69%	1.44%	1.30%	1.73%	1.57%	1.52%	1.72%	1.59%	9.09%	1.34%	1.37%	0.93%	1.57%	1.37%	1.60%	1.97%	2.74%	1.37%	2.67%	1.08%	1.43%	2.42%	1.40%	1.46%	2.59%	1.47%	2.34%	1.74%	3.53%	3.82%	1.54%	1.68%	2.03%	1.53%	1.84%	1.08%	0.00%	2.58%	1.39%	0.94%	0.98%	1.09%	1.34%	2.16%	2.36%	1.37%	1.99%	1.37%	2.12%	1.04%	1.92%	2.47%	1.81%	1.28%	1.18%	0.82%	0.83%	1.76%	0.57%	1.15%	1.78%	1.01%	1.42%	1.48%	1.43%	1.39%	2.76%	1.57%	1.61%	4.89%	1.64%	0.75%	0.61%	1.44%	2.58%	1.66%	0.79%	1.27%	3.86%	1.22%	3.05%	1.28%	0.50%	2.13%	2.79%	2.06%	6.27%					
20	. Миронов Сергей Михайлович	775	21	15	8	17	5	7	13	22	4	7	5	3	3	15	7	3	4	1	6	6	4	5	7	10	8	4	4	4	11	2	2	8	8	3	13	2	18	5	9	6	6	6	2	10	9	4	4	7	8	2	8	6	12	7	1	6	8	12	3	28	7	0	1	0	5	2	7	6	4	2	0	1	6	3	7	6	7	41	26	9	7	10	5	19	6	9	7	4	1	4	1	8	5	3	0	3	1	6	5	2	2	2	4	0	1	1	2	11	10	13	1	6	1	2	2	1	5	3	0	6	2					
		0.70%	1.51%	1.24%	0.56%	1.43%	0.69%	1.11%	0.95%	1.36%	0.67%	0.87%	0.61%	0.38%	0.24%	1.61%	0.67%	0.88%	0.79%	0.12%	4.23%	0.64%	0.54%	0.51%	0.93%	0.73%	0.55%	0.41%	0.80%	0.66%	0.93%	0.35%	0.32%	0.69%	0.67%	0.24%	1.10%	0.48%	0.97%	0.86%	0.88%	0.76%	0.61%	0.68%	0.91%	0.79%	0.73%	0.93%	0.48%	0.64%	0.71%	0.39%	0.71%	0.75%	1.39%	1.08%	0.18%	0.66%	0.51%	0.62%	0.26%	1.79%	1.02%	0.00%	0.35%	0.00%	0.48%	0.15%	0.38%	1.31%	0.67%	0.54%	0.00%	0.16%	0.56%	0.20%	0.34%	0.34%	0.34%	2.01%	1.70%	0.53%	0.70%	0.57%	0.53%	0.99%	0.41%	0.74%	0.55%	0.51%	0.10%	0.30%	0.21%	0.94%	0.41%	1.15%	0.00%	1.01%	0.16%	1.48%	0.33%	0.31%	0.34%	0.52%	0.59%	0.00%	0.33%	0.75%	0.61%	0.83%	0.86%	0.98%	0.39%	1.27%	0.48%	0.35%	1.22%	0.64%	0.84%	0.29%	0.00%	1.23%	0.10%					
21	. Путин Владимир Владимирович	81566	1062	920	1122	862	518	480	941	1104	403	582	590	586	907	577	706	303	367	738	101	721	537	791	528	1112	1130	697	379	437	830	411	469	849	837	996	843	295	1418	376	716	552	726	618	122	927	827	307	638	863	799	360	758	553	584	471	405	643	1231	1469	827	1175	482	231	196	238	819	1028	1535	290	439	278	101	475	775	1175	1612	1146	1220	1481	1027	1322	711	1431	672	1526	1009	886	902	537	728	1106	394	550	736	179	318	199	503	305	1205	528	467	314	318	181	178	90	284	945	838	934	208	378	124	435	116	108	480	821	216	404	1336					
		73.23%	76.18%	75.85%	79.07%	72.56%	71.84%	76.43%	68.89%	68.06%	67.96%	72.57%	71.95%	74.08%	72.68%	62.11%	67.24%	88.86%	72.67%	85.71%	71.13%	76.78%	72.86%	80.22%	70.49%	81.64%	78.36%	71.63%	75.35%	72.59%	69.92%	71.73%	75.28%	73.32%	70.16%	80.71%	71.14%	70.74%	76.65%	64.94%	70.06%	69.87%	73.26%	70.07%	55.45%	73.16%	66.69%	71.23%	77.24%	78.60%	71.21%	71.01%	67.08%	68.78%	67.75%	72.35%	72.45%	70.66%	78.06%	76.47%	71.35%	75.03%	70.36%	67.15%	69.26%	82.64%	78.60%	75.31%	84.06%	63.32%	73.29%	75.34%	73.19%	76.61%	71.76%	78.65%	78.79%	65.67%	58.51%	72.60%	67.21%	78.55%	70.68%	81.96%	71.34%	79.27%	69.35%	72.80%	70.80%	68.85%	71.51%	82.78%	82.08%	64.40%	59.64%	68.58%	80.71%	67.00%	79.59%	75.31%	78.50%	81.36%	80.52%	82.41%	46.63%	80.44%	58.36%	67.16%	86.85%	71.43%	72.12%	70.54%	81.89%	79.92%	59.90%	75.78%	70.73%	69.23%	80.54%	79.55%	75.26%	83.13%	63.95%					
22	. Хакамада Ирина Муцуовна	3718	41	35	37	42	47	23	56	69	28	31	21	34	43	42	25	0	19	20	2	22	13	14	17	33	41	49	23	24	36	19	42	60	39	27	55	21	58	21	57	34	32	48	22	59	44	11	29	44	42	13	58	25	53	20	16	28	39	24	36	52	16	10	7	5	31	33	33	11	15	11	2	12	54	43	61	58	58	90	54	34	52	49	24	63	75	44	48	45	48	42	14	57	28	6	12	19	7	11	31	10	11	7	11	0	5	1	6	59	51	65	3	6	10	33	11	3	6	16	9	10	57					
		3.34%	2.94%	2.89%	2.61%	3.54%	6.52%	3.66%	4.10%	4.25%	4.72%	3.87%	2.56%	4.30%	3.45%	4.52%	2.38%	0.00%	3.76%	2.32%	1.41%	2.34%	1.76%	1.42%	2.27%	2.42%	2.84%	5.04%	4.57%	3.99%	3.03%	3.32%	6.74%	5.18%	3.27%	2.19%	4.64%	5.04%	3.14%	3.63%	5.58%	4.30%	3.23%	5.44%	10.00%	4.66%	3.55%	2.55%	3.51%	4.01%	3.74%	2.56%	5.13%	3.11%	6.15%	3.07%	2.86%	3.08%	2.47%	1.25%	3.11%	3.32%	2.34%	2.91%	2.47%	1.74%	2.98%	2.42%	1.81%	2.40%	2.50%	2.98%	1.45%	1.94%	5.00%	2.88%	2.98%	3.32%	2.78%	4.41%	3.53%	2.02%	5.17%	2.81%	2.55%	3.27%	5.15%	3.62%	3.77%	5.77%	4.72%	3.14%	2.92%	6.67%	2.27%	2.30%	3.05%	6.40%	1.11%	2.72%	2.02%	1.54%	1.90%	1.84%	1.61%	0.00%	1.64%	0.75%	1.83%	4.46%	4.39%	4.91%	1.18%	1.27%	4.83%	5.75%	6.71%	1.92%	1.01%	1.55%	3.14%	2.06%	2.73%					
23	. Харитонов Николай Михайлович	11124	114	102	115	89	58	54	135	146	87	97	107	67	138	178	164	25	54	53	6	88	97	74	86	75	84	78	43	79	140	69	54	97	140	92	121	51	156	75	126	94	86	91	2	122	155	34	70	74	142	61	142	92	90	67	67	98	138	131	140	117	46	41	42	15	96	159	62	109	64	44	25	42	105	115	157	282	561	181	136	143	85	116	108	110	151	130	156	90	80	48	36	93	95	49	28	39	68	39	144	44	44	22	100	12	91	30	25	116	58	103	18	27	27	35	15	27	55	95	21	37	405					
		9.99%	8.18%	8.41%	8.10%	7.49%	8.04%	8.60%	9.88%	9.00%	14.67%	12.09%	13.05%	8.47%	11.06%	19.16%	15.62%	7.33%	10.69%	6.16%	4.23%	9.37%	13.16%	7.51%	11.48%	5.51%	5.83%	8.02%	8.55%	13.12%	11.79%	12.04%	8.67%	8.38%	11.74%	7.46%	10.21%	12.23%	8.43%	12.95%	12.33%	11.90%	8.68%	10.32%	0.91%	9.63%	12.50%	7.89%	8.47%	6.74%	12.66%	12.03%	12.57%	11.44%	10.44%	10.29%	11.99%	10.77%	8.75%	6.82%	12.08%	7.47%	6.72%	11.92%	14.84%	5.21%	9.21%	11.65%	3.40%	23.80%	10.68%	11.92%	18.12%	6.77%	9.72%	7.70%	7.67%	16.16%	26.91%	8.87%	8.90%	8.50%	8.45%	6.64%	11.46%	5.71%	10.38%	10.68%	12.24%	11.54%	7.86%	3.59%	7.50%	10.89%	7.70%	18.77%	7.11%	13.13%	10.76%	9.63%	9.38%	6.78%	7.59%	5.77%	14.66%	5.33%	29.84%	22.39%	7.65%	8.77%	4.99%	7.78%	7.09%	5.71%	13.04%	6.10%	9.15%	17.31%	9.23%	9.21%	7.32%	7.61%	19.39%					
																																																																																																																																
24	Против всех	5774	64	52	54	71	49	30	92	163	32	44	42	34	57	59	50	7	19	15	9	51	26	32	30	60	74	66	18	20	70	30	17	83	62	43	51	15	91	58	50	40	69	52	45	62	90	35	30	45	45	25	50	53	39	39	31	44	66	53	50	68	57	22	15	11	42	60	91	19	17	11	1	27	39	65	80	100	116	112	166	61	55	58	48	86	93	67	48	40	60	56	8	64	163	10	14	16	18	9	43	30	27	7	181	5	13	2	2	82	95	111	10	24	30	30	6	2	19	18	12	6	73					
		5.18%	4.59%	4.29%	3.81%	5.98%	6.80%	4.78%	6.73%	10.05%	5.40%	5.49%	5.12%	4.30%	4.57%	6.35%	4.76%	2.05%	3.76%	1.74%	6.34%	5.43%	3.53%	3.25%	4.01%	4.41%	5.13%	6.78%	3.58%	3.32%	5.90%	5.24%	2.73%	7.17%	5.20%	3.48%	4.30%	3.60%	4.92%	10.02%	4.89%	5.06%	6.96%	5.90%	20.45%	4.89%	7.26%	8.12%	3.63%	4.10%	4.01%	4.93%	4.42%	6.59%	4.52%	5.99%	5.55%	4.84%	4.19%	2.76%	4.31%	4.34%	8.32%	6.40%	5.30%	3.82%	4.03%	4.40%	4.98%	4.15%	2.84%	2.98%	0.72%	4.35%	3.61%	4.35%	3.91%	5.73%	5.56%	5.49%	10.86%	3.62%	5.47%	3.32%	5.10%	4.47%	6.39%	5.51%	3.77%	5.13%	5.89%	4.19%	1.67%	7.49%	13.21%	3.83%	3.55%	5.39%	2.85%	2.22%	2.80%	4.62%	4.66%	1.84%	26.54%	2.22%	4.26%	1.49%	0.61%	6.20%	8.18%	8.38%	3.94%	5.07%	14.49%	5.23%	3.66%	1.28%	3.19%	1.74%	4.18%	1.23%	3.49%					
																																																																																																																																
																																																																																																																																
																																																																																																																																
																																																																																																																																
																																																																																																																																
																																																																																																																																
																																																																																																																																
																																																																																																																																
																																																																																																																																
																																																																																																																																
																																																																																																																																
																																																																																																																																
																																																																																																																																
																																																																																																																																
																																																																																																																																
