Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Милютинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  1063	УИК  1064	УИК  1065	УИК  1066	УИК  1067	УИК  1068	УИК  1069	УИК  1070	УИК  1071	УИК  1072	УИК  1073	УИК  1074	УИК  1075	УИК  1076	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  2455	УИК  2573					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	107	1	0	0	1	0	0	9	12	3	1	2	2	2	0	1	60	1	0	0	8	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	0	0	2	1	0	1	4	2	4	3	4	2	2	3	0	8	2	0	0	2	0	2					
14	Число погашенных открепительных удостоверений	393	14	15	15	49	15	15	46	3	12	14	8	8	13	10	54	0	49	10	15	7	11	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	167	0	5	7	10	12	4	16	10	10	6	2	3	15	3	4	36	2	2	6	8	6	0					
		1.41%	0.0%	1.01%	1.62%	1.09%	3.04%	1.19%	1.41%	2.01%	2.12%	0.94%	0.55%	0.92%	4.0%	1.32%	0.85%	2.41%	0.22%	0.98%	1.27%	3.26%	1.38%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	63	3	0	5	5	1	0	5	0	0	1	0	4	4	1	7	20	5	0	0	0	1	1					
		0.53%	0.36%	0.0%	1.15%	0.54%	0.25%	0.0%	0.44%	0.0%	0.0%	0.15%	0.0%	1.23%	1.06%	0.44%	1.50%	1.33%	0.56%	0.0%	0.0%	0.0%	0.23%	0.42%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	153	8	3	5	7	5	3	16	6	3	2	1	6	4	3	4	25	9	3	11	4	9	16					
		1.29%	0.98%	0.60%	1.15%	0.76%	1.26%	0.89%	1.41%	1.20%	0.63%	0.31%	0.27%	1.85%	1.06%	1.32%	0.85%	1.67%	1.02%	1.47%	2.34%	1.63%	2.07%	6.80%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	106	0	5	4	7	0	1	8	7	5	15	0	8	1	1	6	25	4	0	4	0	5	0					
		0.89%	0.0%	1.01%	0.92%	0.76%	0.0%	0.29%	0.70%	1.40%	1.06%	2.36%	0.0%	2.46%	0.26%	0.44%	1.28%	1.67%	0.45%	0.0%	0.85%	0.0%	1.15%	0.0%					
22	"5. ""За Русь Святую"""	58	0	0	2	4	3	0	1	2	0	3	0	0	1	2	7	13	6	0	1	0	11	2					
		0.49%	0.0%	0.0%	0.46%	0.43%	0.76%	0.0%	0.08%	0.40%	0.0%	0.47%	0.0%	0.0%	0.26%	0.88%	1.50%	0.87%	0.68%	0.0%	0.21%	0.0%	2.53%	0.85%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	1	1	1	6	1	1	1	0	0	0	0	1	0	0	0	1	2	1	1	1	0	1					
		0.16%	0.12%	0.20%	0.23%	0.65%	0.25%	0.29%	0.08%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.06%	0.22%	0.49%	0.21%	0.40%	0.0%	0.42%					
24	"7. ""Новый курс - Автомобильная Россия"""	34	0	4	2	1	0	0	4	0	3	6	0	1	1	0	1	6	2	0	1	0	0	2					
		0.28%	0.0%	0.81%	0.46%	0.10%	0.0%	0.0%	0.35%	0.0%	0.63%	0.94%	0.0%	0.30%	0.26%	0.0%	0.21%	0.40%	0.22%	0.0%	0.21%	0.0%	0.0%	0.85%					
25	"8. ""Народно-республиканская партия России"""	12	0	0	0	5	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.54%	0.25%	0.0%	0.0%	0.0%	0.0%	0.15%	0.27%	0.30%	0.26%	0.0%	0.21%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	16	0	2	0	2	1	0	0	0	0	1	2	0	0	1	2	1	3	0	0	0	0	1					
		0.13%	0.0%	0.40%	0.0%	0.21%	0.25%	0.0%	0.0%	0.0%	0.0%	0.15%	0.55%	0.0%	0.0%	0.44%	0.42%	0.06%	0.34%	0.0%	0.0%	0.0%	0.0%	0.42%					
27	"10. ""Аграрная партия России"""	623	36	37	44	75	17	36	52	20	35	53	20	4	16	31	18	31	45	2	17	8	14	12					
		5.26%	4.43%	7.50%	10.18%	8.20%	4.31%	10.74%	4.58%	4.02%	7.44%	8.34%	5.55%	1.23%	4.26%	13.65%	3.86%	2.07%	5.12%	0.98%	3.61%	3.26%	3.22%	5.10%					
28	"11. ""Истинные патриоты России"""	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	2	0	1	1	0	0					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.73%	0.22%	0.0%	0.21%	0.40%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	73	6	4	2	4	1	1	5	1	0	2	2	3	4	2	6	11	0	0	5	5	5	4					
		0.61%	0.73%	0.81%	0.46%	0.43%	0.25%	0.29%	0.44%	0.20%	0.0%	0.31%	0.55%	0.92%	1.06%	0.88%	1.28%	0.73%	0.0%	0.0%	1.06%	2.04%	1.15%	1.70%					
30	"13. ""Демократическая партия России"""	19	0	0	0	1	0	0	0	0	0	0	1	3	0	0	2	6	1	0	3	1	0	1					
		0.16%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.92%	0.0%	0.0%	0.42%	0.40%	0.11%	0.0%	0.63%	0.40%	0.0%	0.42%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	0	3	0	1	0	1	1	2	0	6	0	1	0	0	0	2	2	0	2	1	0	0					
		0.18%	0.0%	0.60%	0.0%	0.10%	0.0%	0.29%	0.08%	0.40%	0.0%	0.94%	0.0%	0.30%	0.0%	0.0%	0.0%	0.13%	0.22%	0.0%	0.42%	0.40%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	7	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.81%	0.0%	0.42%					
33	"16. ""Родина"" (народно-патриотический союз)"""	543	21	8	18	32	13	11	58	13	10	25	14	7	22	22	49	127	0	15	22	4	42	10					
		4.59%	2.58%	1.62%	4.16%	3.50%	3.29%	3.28%	5.11%	2.61%	2.12%	3.93%	3.88%	2.16%	5.86%	9.69%	10.51%	8.50%	0.0%	7.35%	4.68%	1.63%	9.67%	4.25%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	30	3	0	0	2	0	1	2	3	1	1	0	1	1	1	1	4	3	0	4	1	1	0					
		0.25%	0.36%	0.0%	0.0%	0.21%	0.0%	0.29%	0.17%	0.60%	0.21%	0.15%	0.0%	0.30%	0.26%	0.44%	0.21%	0.26%	0.34%	0.0%	0.85%	0.40%	0.23%	0.0%					
35	"18. ""ЛДПР"""	1296	7	32	38	78	56	41	119	45	71	79	20	55	68	34	62	253	50	30	64	29	48	17					
		10.95%	0.86%	6.49%	8.79%	8.53%	14.21%	12.23%	10.50%	9.05%	15.10%	12.44%	5.55%	16.97%	18.13%	14.97%	13.30%	16.94%	5.69%	14.70%	13.61%	11.83%	11.05%	7.23%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	158	2	9	3	17	9	1	8	3	3	11	3	7	6	2	5	33	7	3	12	4	6	4					
		1.33%	0.24%	1.82%	0.69%	1.85%	2.28%	0.29%	0.70%	0.60%	0.63%	1.73%	0.83%	2.16%	1.6%	0.88%	1.07%	2.21%	0.79%	1.47%	2.55%	1.63%	1.38%	1.70%					
37	"20. ""Политическая партия ""Единая Россия"""	6756	650	322	243	546	238	202	672	362	181	329	250	205	168	103	144	608	685	129	239	152	198	130					
		57.12%	80.04%	65.31%	56.24%	59.73%	60.40%	60.29%	59.31%	72.83%	38.51%	51.81%	69.44%	63.27%	44.8%	45.37%	30.90%	40.72%	78.01%	63.23%	50.85%	62.04%	45.62%	55.31%					
38	"21. ""Российская Конституционно-демократическая партия"""	88	0	1	4	3	1	2	2	0	4	56	0	1	0	0	2	2	0	0	4	2	3	1					
		0.74%	0.0%	0.20%	0.92%	0.32%	0.25%	0.59%	0.17%	0.0%	0.85%	8.81%	0.0%	0.30%	0.0%	0.0%	0.42%	0.13%	0.0%	0.0%	0.85%	0.81%	0.69%	0.42%					
39	"22. ""Развитие предпринимательства"""	11	0	0	0	2	0	1	0	0	1	2	0	0	0	1	0	2	0	0	2	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.21%	0.0%	0.29%	0.0%	0.0%	0.21%	0.31%	0.0%	0.0%	0.0%	0.44%	0.0%	0.13%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1190	64	51	45	106	30	22	110	14	127	30	31	10	46	12	116	180	34	14	57	9	60	22					
		10.06%	7.88%	10.34%	10.41%	11.59%	7.61%	6.56%	9.70%	2.81%	27.02%	4.72%	8.61%	3.08%	12.26%	5.28%	24.89%	12.05%	3.87%	6.86%	12.12%	3.67%	13.82%	9.36%					
																													
41	Против всех	278	9	6	4	0	4	6	10	9	13	5	13	2	15	3	21	91	9	5	12	9	22	10					
		2.35%	1.10%	1.21%	0.92%	0.0%	1.01%	1.79%	0.88%	1.81%	2.76%	0.78%	3.61%	0.61%	4.0%	1.32%	4.50%	6.09%	1.02%	2.45%	2.55%	3.67%	5.06%	4.25%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
