Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
Наименование Избирательной комиссии:    Красносельская  №26																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК  5346					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1718	18	38	40	33	35	35	29	21	33	56	32	27	36	19	36	33	22	32	29	18	11	32	30	23	36	37	31	42	34	41	34	42	28	12	17	45	27	30	18	29	8	7	33	29	40	15	26	26	25	35	41	7	28	49	39	30	8	15	7	28	1					
		3.33%	6.59%	3.53%	4.54%	3.09%	3.48%	3.14%	2.93%	1.86%	2.54%	4.85%	3.59%	2.67%	4.69%	2.57%	4.16%	3.13%	2.01%	3.28%	3.42%	2.53%	4.41%	4.53%	3.98%	4.68%	3.31%	3.96%	3.28%	3.86%	3.65%	3.72%	3.01%	4.45%	3.21%	2.91%	2.67%	4.92%	3.22%	3.04%	1.18%	2.46%	2.11%	2.07%	3.83%	3.60%	4.17%	3.0%	2.54%	3.12%	2.61%	4.07%	3.41%	2.70%	2.94%	4.60%	4.03%	3.72%	6.77%	3.30%	4.89%	1.99%	4.34%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4777	27	131	82	110	131	110	112	121	121	120	84	107	99	78	89	105	109	130	69	49	8	81	63	47	104	109	91	99	84	136	113	91	71	23	35	49	56	84	49	53	30	31	64	82	92	44	115	106	69	74	75	24	101	106	120	72	3	17	23	96	3					
		9.27%	9.89%	12.19%	9.31%	10.30%	13.04%	9.89%	11.34%	10.76%	9.32%	10.40%	9.44%	10.58%	12.90%	10.55%	10.30%	9.96%	9.98%	13.34%	8.14%	6.90%	3.21%	11.48%	8.37%	9.57%	9.57%	11.69%	9.62%	9.10%	9.02%	12.36%	10.00%	9.65%	8.16%	5.58%	5.51%	5.36%	6.69%	8.51%	3.21%	4.50%	7.93%	9.17%	7.43%	10.18%	9.59%	8.8%	11.25%	12.74%	7.21%	8.62%	6.25%	9.26%	10.60%	9.97%	12.40%	8.93%	2.54%	3.74%	16.08%	6.82%	13.04%					
22	"5. ""За Русь Святую"""	301	6	7	5	8	3	7	1	5	4	5	4	6	3	2	2	6	2	7	10	12	1	2	10	6	7	4	8	10	9	12	5	3	2	2	7	5	1	3	11	9	1	0	7	2	3	4	2	11	6	7	5	3	4	2	4	6	1	6	0	5	0					
		0.58%	2.19%	0.65%	0.56%	0.74%	0.29%	0.62%	0.10%	0.44%	0.30%	0.43%	0.44%	0.59%	0.39%	0.27%	0.23%	0.56%	0.18%	0.71%	1.18%	1.69%	0.40%	0.28%	1.32%	1.22%	0.64%	0.42%	0.84%	0.91%	0.96%	1.09%	0.44%	0.31%	0.22%	0.48%	1.10%	0.54%	0.11%	0.30%	0.72%	0.76%	0.26%	0.0%	0.81%	0.24%	0.31%	0.8%	0.19%	1.32%	0.62%	0.81%	0.41%	1.15%	0.42%	0.18%	0.41%	0.74%	0.84%	1.32%	0.0%	0.35%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	197	1	4	3	2	2	3	3	5	3	5	2	11	1	3	2	4	3	4	3	4	0	6	5	1	2	1	3	6	3	1	3	2	2	0	6	2	0	2	11	8	0	0	3	1	4	1	8	1	6	6	7	2	7	2	3	1	0	5	0	8	0					
		0.38%	0.36%	0.37%	0.34%	0.18%	0.19%	0.26%	0.30%	0.44%	0.23%	0.43%	0.22%	1.08%	0.13%	0.40%	0.23%	0.37%	0.27%	0.41%	0.35%	0.56%	0.0%	0.85%	0.66%	0.20%	0.18%	0.10%	0.31%	0.55%	0.32%	0.09%	0.26%	0.21%	0.22%	0.0%	0.94%	0.21%	0.0%	0.20%	0.72%	0.68%	0.0%	0.0%	0.34%	0.12%	0.41%	0.2%	0.78%	0.12%	0.62%	0.69%	0.58%	0.77%	0.73%	0.18%	0.31%	0.12%	0.0%	1.10%	0.0%	0.56%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	453	2	13	4	6	5	8	11	9	10	5	8	12	2	5	6	6	3	3	14	5	1	5	4	2	15	9	12	10	7	8	3	6	2	3	13	11	6	10	36	11	7	1	5	5	5	2	10	7	8	10	17	1	6	6	12	4	0	13	0	23	0					
		0.87%	0.73%	1.21%	0.45%	0.56%	0.49%	0.71%	1.11%	0.80%	0.77%	0.43%	0.89%	1.18%	0.26%	0.67%	0.69%	0.56%	0.27%	0.30%	1.65%	0.70%	0.40%	0.70%	0.53%	0.40%	1.38%	0.96%	1.26%	0.91%	0.75%	0.72%	0.26%	0.63%	0.22%	0.72%	2.04%	1.20%	0.71%	1.01%	2.36%	0.93%	1.85%	0.29%	0.58%	0.62%	0.52%	0.4%	0.97%	0.84%	0.83%	1.16%	1.41%	0.38%	0.63%	0.56%	1.24%	0.49%	0.0%	2.86%	0.0%	1.63%	0.0%					
25	"8. ""Народно-республиканская партия России"""	47	0	0	0	0	1	0	0	0	3	1	0	0	1	0	0	1	1	0	7	1	1	1	0	0	0	0	1	2	2	0	0	0	1	0	0	3	0	1	3	3	0	1	0	0	0	1	0	0	1	0	2	1	0	3	1	0	1	0	1	1	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.23%	0.08%	0.0%	0.0%	0.13%	0.0%	0.0%	0.09%	0.09%	0.0%	0.82%	0.14%	0.40%	0.14%	0.0%	0.0%	0.0%	0.0%	0.10%	0.18%	0.21%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.32%	0.0%	0.10%	0.19%	0.25%	0.0%	0.29%	0.0%	0.0%	0.0%	0.2%	0.0%	0.0%	0.10%	0.0%	0.16%	0.38%	0.0%	0.28%	0.10%	0.0%	0.84%	0.0%	0.69%	0.07%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	292	1	8	5	3	5	4	1	4	3	6	7	13	1	3	1	11	5	6	2	3	0	1	4	1	6	5	5	6	1	10	6	6	7	0	10	9	7	10	21	8	1	1	4	6	9	1	7	0	5	4	9	0	2	7	4	1	0	3	1	12	0					
		0.56%	0.36%	0.74%	0.56%	0.28%	0.49%	0.35%	0.10%	0.35%	0.23%	0.52%	0.78%	1.28%	0.13%	0.40%	0.11%	1.04%	0.45%	0.61%	0.23%	0.42%	0.0%	0.14%	0.53%	0.20%	0.55%	0.53%	0.52%	0.55%	0.10%	0.90%	0.53%	0.63%	0.80%	0.0%	1.57%	0.98%	0.83%	1.01%	1.37%	0.68%	0.26%	0.29%	0.46%	0.74%	0.93%	0.2%	0.68%	0.0%	0.52%	0.46%	0.75%	0.0%	0.21%	0.65%	0.41%	0.12%	0.0%	0.66%	0.69%	0.85%	0.0%					
27	"10. ""Аграрная партия России"""	839	8	10	18	14	16	18	14	16	14	14	18	11	12	6	10	18	14	5	15	11	1	13	9	6	9	24	19	22	15	33	14	12	14	4	4	20	9	18	17	23	11	5	25	11	11	10	20	28	20	16	17	6	20	15	33	12	2	4	8	17	0					
		1.62%	2.93%	0.93%	2.04%	1.31%	1.59%	1.61%	1.41%	1.42%	1.07%	1.21%	2.02%	1.08%	1.56%	0.81%	1.15%	1.70%	1.28%	0.51%	1.77%	1.54%	0.40%	1.84%	1.19%	1.22%	0.82%	2.57%	2.01%	2.02%	1.61%	3.0%	1.24%	1.27%	1.60%	0.97%	0.62%	2.18%	1.07%	1.82%	1.11%	1.95%	2.91%	1.47%	2.90%	1.36%	1.14%	2.0%	1.95%	3.36%	2.08%	1.86%	1.41%	2.31%	2.10%	1.41%	3.41%	1.48%	1.69%	0.88%	5.59%	1.20%	0.0%					
28	"11. ""Истинные патриоты России"""	48	0	0	2	0	2	1	0	1	1	0	3	0	0	0	0	1	1	0	2	2	2	2	2	0	1	1	2	0	0	0	0	1	0	1	1	1	0	1	9	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1					
		0.09%	0.0%	0.0%	0.22%	0.0%	0.19%	0.08%	0.0%	0.08%	0.07%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.09%	0.09%	0.0%	0.23%	0.28%	0.80%	0.28%	0.26%	0.0%	0.09%	0.10%	0.21%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.24%	0.15%	0.10%	0.0%	0.10%	0.59%	0.17%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	0.44%	0.0%	0.0%	4.34%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	668	4	16	10	8	10	10	14	10	17	14	7	18	11	4	5	13	8	9	11	27	87	8	11	6	8	16	22	12	10	10	5	11	9	8	5	6	11	14	17	14	2	2	3	7	5	7	8	14	5	13	16	5	15	13	13	6	3	3	1	11	0					
		1.29%	1.46%	1.48%	1.13%	0.74%	0.99%	0.89%	1.41%	0.88%	1.30%	1.21%	0.78%	1.78%	1.43%	0.54%	0.57%	1.23%	0.73%	0.92%	1.29%	3.80%	34.93%	1.13%	1.46%	1.22%	0.73%	1.71%	2.32%	1.10%	1.07%	0.90%	0.44%	1.16%	1.03%	1.94%	0.78%	0.65%	1.31%	1.41%	1.11%	1.19%	0.52%	0.59%	0.34%	0.86%	0.52%	1.4%	0.78%	1.68%	0.52%	1.51%	1.33%	1.93%	1.57%	1.22%	1.34%	0.74%	2.54%	0.66%	0.69%	0.78%	0.0%					
30	"13. ""Демократическая партия России"""	93	2	0	2	1	3	0	0	13	1	1	0	3	1	0	0	1	0	0	2	1	5	0	0	2	0	2	1	1	0	0	2	0	2	1	2	2	1	2	5	1	0	0	1	2	1	1	1	4	2	0	1	0	0	1	3	1	3	3	1	7	1					
		0.18%	0.73%	0.0%	0.22%	0.09%	0.29%	0.0%	0.0%	1.15%	0.07%	0.08%	0.0%	0.29%	0.13%	0.0%	0.0%	0.09%	0.0%	0.0%	0.23%	0.14%	2.00%	0.0%	0.0%	0.40%	0.0%	0.21%	0.10%	0.09%	0.0%	0.0%	0.17%	0.0%	0.22%	0.24%	0.31%	0.21%	0.11%	0.20%	0.32%	0.08%	0.0%	0.0%	0.11%	0.24%	0.10%	0.2%	0.09%	0.48%	0.20%	0.0%	0.08%	0.0%	0.0%	0.09%	0.31%	0.12%	2.54%	0.66%	0.69%	0.49%	4.34%					
31	"14. ""Великая Россия - Евразийский Союз"""	79	0	1	2	3	0	0	4	1	3	0	0	0	1	0	0	1	1	1	0	2	5	0	2	0	5	1	1	2	4	1	0	0	0	1	0	1	2	1	4	0	1	1	1	0	0	1	0	1	0	6	1	0	4	1	4	1	2	3	0	2	0					
		0.15%	0.0%	0.09%	0.22%	0.28%	0.0%	0.0%	0.40%	0.08%	0.23%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.09%	0.09%	0.10%	0.0%	0.28%	2.00%	0.0%	0.26%	0.0%	0.46%	0.10%	0.10%	0.18%	0.42%	0.09%	0.0%	0.0%	0.0%	0.24%	0.0%	0.10%	0.23%	0.10%	0.26%	0.0%	0.26%	0.29%	0.11%	0.0%	0.0%	0.2%	0.0%	0.12%	0.0%	0.69%	0.08%	0.0%	0.42%	0.09%	0.41%	0.12%	1.69%	0.66%	0.0%	0.14%	0.0%					
32	"15. ""Партия СЛОН"""	79	0	0	0	0	2	3	0	1	1	0	2	5	3	0	0	1	2	2	2	0	3	1	0	1	0	1	0	2	2	2	2	0	4	0	0	1	0	2	19	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	6	0	0	0					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.19%	0.26%	0.0%	0.08%	0.07%	0.0%	0.22%	0.49%	0.39%	0.0%	0.0%	0.09%	0.18%	0.20%	0.23%	0.0%	1.20%	0.14%	0.0%	0.20%	0.0%	0.10%	0.0%	0.18%	0.21%	0.18%	0.17%	0.0%	0.45%	0.0%	0.0%	0.10%	0.0%	0.20%	1.24%	0.0%	0.0%	0.0%	0.11%	0.12%	0.10%	0.2%	0.09%	0.12%	0.10%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	1.32%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6609	38	150	119	150	138	156	121	165	212	168	119	124	76	95	113	129	146	125	122	81	2	84	82	64	172	118	121	112	104	141	159	120	126	30	56	104	132	118	89	183	49	45	101	102	140	56	140	126	108	122	144	36	136	120	121	119	0	17	30	230	3					
		12.82%	13.91%	13.96%	13.52%	14.05%	13.74%	14.02%	12.25%	14.67%	16.33%	14.57%	13.38%	12.26%	9.90%	12.85%	13.07%	12.23%	13.36%	12.83%	14.40%	11.40%	0.80%	11.91%	10.90%	13.03%	15.83%	12.66%	12.80%	10.30%	11.17%	12.81%	14.08%	12.72%	14.48%	7.28%	8.81%	11.37%	15.78%	11.96%	5.84%	15.56%	12.96%	13.31%	11.73%	12.67%	14.59%	11.2%	13.69%	15.14%	11.28%	14.21%	12.0%	13.89%	14.28%	11.28%	12.51%	14.76%	0.0%	3.74%	20.97%	16.34%	13.04%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	74	0	2	3	0	1	0	3	1	0	0	0	2	0	3	0	1	1	1	1	1	7	0	0	0	0	1	0	2	1	1	1	1	0	0	2	0	1	1	5	1	1	1	1	1	0	0	1	0	6	4	0	1	0	1	1	2	5	3	0	2	0					
		0.14%	0.0%	0.18%	0.34%	0.0%	0.09%	0.0%	0.30%	0.08%	0.0%	0.0%	0.0%	0.19%	0.0%	0.40%	0.0%	0.09%	0.09%	0.10%	0.11%	0.14%	2.81%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.18%	0.10%	0.09%	0.08%	0.10%	0.0%	0.0%	0.31%	0.0%	0.11%	0.10%	0.32%	0.08%	0.26%	0.29%	0.11%	0.12%	0.0%	0.0%	0.09%	0.0%	0.62%	0.46%	0.0%	0.38%	0.0%	0.09%	0.10%	0.24%	4.23%	0.66%	0.0%	0.14%	0.0%					
35	"18. ""ЛДПР"""	4630	10	86	68	75	66	86	87	92	88	106	75	70	54	66	78	74	93	66	71	91	4	74	68	42	74	59	88	100	71	73	89	72	75	57	46	90	80	97	313	108	27	27	97	73	81	56	103	73	100	74	109	23	75	97	61	72	11	82	12	195	0					
		8.98%	3.66%	8.00%	7.72%	7.02%	6.57%	7.73%	8.81%	8.18%	6.77%	9.19%	8.43%	6.92%	7.04%	8.93%	9.02%	7.02%	8.51%	6.77%	8.38%	12.81%	1.60%	10.49%	9.04%	8.55%	6.81%	6.33%	9.31%	9.19%	7.62%	6.63%	7.88%	7.63%	8.62%	13.83%	7.24%	9.84%	9.56%	9.83%	20.55%	9.18%	7.14%	7.98%	11.26%	9.06%	8.44%	11.2%	10.07%	8.77%	10.44%	8.62%	9.08%	8.88%	7.87%	9.12%	6.30%	8.93%	9.32%	18.06%	8.39%	13.85%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	2042	11	31	33	54	44	29	42	44	37	41	39	39	30	31	37	44	37	37	32	19	6	29	49	29	37	31	38	52	48	42	25	34	35	60	43	62	35	59	27	42	22	22	39	25	45	22	37	10	32	38	48	13	35	39	41	34	4	13	9	19	1					
		3.96%	4.02%	2.88%	3.74%	5.06%	4.38%	2.60%	4.25%	3.91%	2.85%	3.55%	4.38%	3.85%	3.91%	4.19%	4.28%	4.17%	3.38%	3.79%	3.77%	2.67%	2.40%	4.11%	6.51%	5.90%	3.40%	3.32%	4.02%	4.78%	5.15%	3.81%	2.21%	3.60%	4.02%	14.56%	6.77%	6.78%	4.18%	5.98%	1.77%	3.57%	5.82%	6.50%	4.52%	3.10%	4.69%	4.4%	3.62%	1.20%	3.34%	4.42%	4.0%	5.01%	3.67%	3.66%	4.23%	4.21%	3.38%	2.86%	6.29%	1.35%	4.34%					
37	"20. ""Политическая партия ""Единая Россия"""	17138	85	348	311	371	304	420	361	382	440	360	288	349	263	280	288	379	354	298	261	239	54	224	265	158	329	310	289	363	341	344	397	338	259	130	269	283	300	358	540	344	131	113	293	282	292	165	347	252	340	265	412	77	290	346	339	252	43	132	30	455	6					
		33.26%	31.13%	32.40%	35.34%	34.77%	30.27%	37.76%	36.57%	33.98%	33.89%	31.22%	32.39%	34.52%	34.28%	37.88%	33.33%	35.95%	32.41%	30.59%	30.81%	33.66%	21.68%	31.77%	35.23%	32.17%	30.29%	33.26%	30.58%	33.39%	36.62%	31.27%	35.16%	35.84%	29.77%	31.55%	42.36%	30.96%	35.88%	36.30%	35.45%	29.25%	34.65%	33.43%	34.03%	35.03%	30.44%	33.0%	33.95%	30.28%	35.52%	30.88%	34.33%	29.72%	30.46%	32.54%	35.05%	31.26%	36.44%	29.07%	20.97%	32.33%	26.08%					
38	"21. ""Российская Конституционно-демократическая партия"""	57	1	1	0	0	0	1	1	0	3	0	0	1	3	1	3	1	2	1	1	1	3	2	0	0	2	1	2	0	0	0	2	0	0	0	0	2	0	2	3	1	0	2	0	1	0	0	0	4	0	0	2	0	0	0	2	1	1	0	0	3	0					
		0.11%	0.36%	0.09%	0.0%	0.0%	0.0%	0.08%	0.10%	0.0%	0.23%	0.0%	0.0%	0.09%	0.39%	0.13%	0.34%	0.09%	0.18%	0.10%	0.11%	0.14%	1.20%	0.28%	0.0%	0.0%	0.18%	0.10%	0.21%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.20%	0.19%	0.08%	0.0%	0.59%	0.0%	0.12%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.20%	0.12%	0.84%	0.0%	0.0%	0.21%	0.0%					
39	"22. ""Развитие предпринимательства"""	598	5	17	6	10	13	15	10	17	17	17	7	17	5	6	9	15	24	11	8	5	1	9	10	3	16	12	8	12	18	13	16	16	11	7	4	10	4	6	9	11	1	0	2	17	9	6	8	8	15	19	11	3	15	5	16	9	2	6	4	12	0					
