Выборы Президента Российской Федерации																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Ангарская																																																																																																																	
																																																																																																																	
Итоги голосования 																																																																																																																	
																																																																																																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106					
		5.46%	3.04%	4.66%	2.47%	5.66%	3.98%	4.50%	4.40%	4.02%	5.35%	4.37%	5.39%	4.49%	6.15%	5.86%	5.36%	5.53%	4.72%	4.21%	3.35%	4.26%	3.49%	5.96%	6.10%	5.79%	3.48%	4.85%	5.33%	5.08%	4.00%	5.76%	4.60%	5.39%	5.54%	4.67%	4.80%	4.50%	5.01%	3.76%	4.39%	5.19%	1.23%	4.07%	4.51%	4.45%	5.77%	5.20%	5.71%	5.66%	4.26%	6.14%	4.23%	3.34%	5.72%	5.80%	6.06%	4.92%	5.70%	7.57%	7.14%	6.69%	6.47%	6.91%	6.13%	6.89%	6.39%	6.43%	6.02%	6.33%	6.12%	8.27%	7.40%	7.09%	6.92%	5.77%	6.83%	6.11%	5.67%	1.93%	2.14%	5.06%	6.29%	6.68%	6.37%	5.65%	6.24%	5.70%	3.20%	6.91%	6.12%	6.68%	4.70%	4.87%	2.47%	5.83%	7.71%	10.96%	4.86%	9.86%	7.14%	1.28%	7.14%	0.00%	3.85%	5.56%	6.06%	5.45%					
19	. Малышкин Олег Александрович	3704	43	45	29	26	28	60	39	35	29	48	34	40	27	28	31	25	55	32	52	39	44	33	38	20	31	43	34	58	54	30	39	44	10	30	31	35	43	16	56	60	3	36	41	34	48	56	55	52	43	39	37	30	55	26	55	34	31	40	44	60	34	36	40	55	32	39	34	42	56	52	30	42	38	29	29	18	38	44	16	40	35	47	27	45	25	16	38	35	34	27	42	52	43	3	64	46	10	44	0	4	4	2	1	0	1	2					
		3.66%	7.68%	6.99%	4.48%	3.42%	3.98%	5.19%	5.53%	4.14%	2.77%	4.28%	3.16%	3.33%	2.44%	2.28%	2.77%	2.06%	4.12%	3.37%	5.63%	3.87%	3.34%	3.45%	4.94%	2.41%	2.69%	4.01%	3.42%	3.88%	3.72%	3.08%	3.10%	4.24%	1.11%	4.00%	3.72%	3.94%	3.65%	3.76%	4.03%	4.10%	1.85%	4.31%	4.40%	3.61%	4.95%	4.55%	4.19%	4.14%	3.46%	3.19%	3.07%	3.13%	5.33%	3.59%	3.54%	2.65%	2.68%	3.09%	3.21%	4.78%	3.61%	3.36%	4.54%	4.68%	3.19%	3.53%	2.96%	3.45%	4.69%	3.91%	4.04%	3.50%	3.13%	3.56%	2.75%	2.44%	3.42%	3.69%	4.29%	2.81%	3.44%	3.17%	2.15%	3.98%	2.23%	2.17%	4.05%	2.75%	3.59%	3.84%	2.50%	3.67%	8.85%	0.83%	5.19%	6.46%	5.41%	5.78%	0.00%	5.13%	5.71%	5.88%	1.92%	0.00%	3.03%	1.82%					
20	. Миронов Сергей Михайлович	975	1	7	2	5	10	14	4	8	9	13	14	10	14	12	9	18	21	15	6	10	10	2	3	6	10	11	12	20	6	7	12	5	45	11	4	5	14	4	12	18	1	10	13	9	10	18	15	17	9	11	12	8	9	9	15	12	8	10	8	10	10	7	10	8	16	8	16	14	16	13	11	10	13	12	14	6	4	5	3	11	6	15	5	3	12	4	5	13	6	4	8	13	4	1	9	7	3	12	0	0	1	0	1	0	1	2					
		0.96%	0.18%	1.09%	0.31%	0.66%	1.42%	1.21%	0.57%	0.95%	0.86%	1.16%	1.30%	0.83%	1.27%	0.98%	0.80%	1.49%	1.57%	1.58%	0.65%	0.99%	0.76%	0.21%	0.39%	0.72%	0.87%	1.03%	1.21%	1.34%	0.41%	0.72%	0.95%	0.48%	4.99%	1.47%	0.48%	0.56%	1.19%	0.94%	0.86%	1.23%	0.62%	1.20%	1.39%	0.95%	1.03%	1.46%	1.14%	1.35%	0.72%	0.90%	1.00%	0.84%	0.87%	1.24%	0.97%	0.94%	0.69%	0.77%	0.58%	0.80%	1.06%	0.65%	1.14%	0.68%	1.60%	0.72%	1.39%	1.15%	1.34%	0.98%	1.48%	0.83%	1.07%	1.47%	1.33%	0.81%	0.36%	0.42%	0.80%	0.77%	0.59%	1.01%	0.40%	0.27%	1.07%	0.54%	0.53%	1.02%	0.63%	0.57%	0.48%	0.92%	0.82%	0.28%	0.73%	0.98%	1.62%	1.58%	0.00%	0.00%	1.43%	0.00%	1.92%	0.00%	3.03%	1.82%					
21	. Путин Владимир Владимирович	63492	325	407	440	437	501	738	431	558	662	698	669	758	653	781	694	714	784	588	601	674	837	615	472	565	720	679	660	965	872	647	810	628	579	507	530	566	751	274	868	874	110	520	580	581	600	735	778	798	797	790	772	647	611	441	993	819	714	775	820	776	572	654	512	671	600	683	741	735	718	801	444	726	705	520	645	455	748	945	250	886	612	937	780	720	678	457	620	812	584	433	1172	910	295	255	778	420	123	421	20	42	47	23	35	16	22	80					
		62.73%	58.04%	63.20%	67.90%	57.50%	71.16%	63.84%	61.13%	66.04%	63.23%	62.21%	62.17%	63.01%	59.10%	63.60%	62.02%	58.96%	58.68%	61.89%	65.04%	66.80%	63.51%	64.33%	61.30%	68.15%	62.55%	63.28%	66.33%	64.55%	60.10%	66.50%	64.29%	60.50%	64.19%	67.60%	63.63%	63.67%	63.75%	64.32%	62.49%	59.70%	67.90%	62.28%	62.23%	61.61%	61.86%	59.71%	59.25%	63.59%	64.12%	64.65%	64.01%	67.54%	59.26%	60.91%	63.98%	63.93%	61.66%	59.85%	59.77%	61.78%	60.66%	61.06%	58.12%	57.06%	59.88%	61.87%	64.60%	60.39%	60.18%	60.23%	59.76%	60.55%	58.07%	63.80%	61.20%	61.74%	67.33%	79.21%	67.02%	62.26%	60.12%	63.23%	62.10%	63.60%	60.43%	62.01%	66.10%	63.74%	61.67%	61.51%	69.76%	64.27%	60.70%	70.83%	63.15%	58.99%	66.49%	55.32%	71.43%	53.85%	67.14%	67.65%	67.31%	88.89%	66.67%	72.73%					
22	. Хакамада Ирина Муцуовна	6380	23	21	30	49	24	76	49	61	67	86	97	92	102	93	63	107	102	84	55	43	75	63	46	53	62	48	71	82	147	49	94	54	44	42	37	52	79	24	77	113	7	56	52	66	56	80	89	67	109	61	51	54	79	41	103	85	74	72	97	67	52	53	65	72	78	72	66	74	82	55	62	91	80	56	89	38	61	41	20	114	63	104	77	51	84	62	50	75	61	49	83	76	17	22	63	48	4	47	1	9	1	2	4	0	0	4					
		6.30%	4.11%	3.26%	4.63%	6.45%	3.41%	6.57%	6.95%	7.22%	6.40%	7.66%	9.01%	7.65%	9.23%	7.57%	5.63%	8.84%	7.63%	8.84%	5.95%	4.26%	5.69%	6.59%	5.97%	6.39%	5.39%	4.47%	7.14%	5.48%	10.13%	5.04%	7.46%	5.20%	4.88%	5.60%	4.44%	5.85%	6.71%	5.63%	5.54%	7.72%	4.32%	6.71%	5.58%	7.00%	5.77%	6.50%	6.78%	5.34%	8.77%	4.99%	4.23%	5.64%	7.66%	5.66%	6.64%	6.64%	6.39%	5.56%	7.07%	5.33%	5.51%	4.95%	7.38%	6.12%	7.78%	6.52%	5.75%	6.08%	6.87%	4.14%	8.34%	7.59%	6.59%	6.87%	8.44%	5.16%	5.49%	3.44%	5.36%	8.01%	6.19%	7.02%	6.13%	4.51%	7.49%	8.41%	5.33%	5.89%	6.44%	6.96%	4.94%	5.37%	3.50%	6.11%	5.11%	6.74%	2.16%	6.18%	3.57%	11.54%	1.43%	5.88%	7.69%	0.00%	0.00%	3.64%					
23	. Харитонов Николай Михайлович	14765	123	84	91	149	82	152	113	104	150	151	142	173	175	175	196	203	211	131	141	153	228	136	113	87	223	173	113	161	182	148	200	200	130	88	150	141	177	65	218	212	24	138	159	156	139	199	212	156	151	175	224	138	165	104	192	193	199	208	213	189	155	177	131	189	150	159	141	175	164	205	95	165	201	101	142	125	148	76	62	196	155	166	193	159	171	110	114	167	142	108	182	195	98	49	144	85	31	114	4	11	12	0	4	0	4	12					
		14.59%	21.96%	13.04%	14.04%	19.61%	11.65%	13.15%	16.03%	12.31%	14.33%	13.46%	13.20%	14.38%	15.84%	14.25%	17.52%	16.76%	15.79%	13.79%	15.26%	15.16%	17.30%	14.23%	14.68%	10.49%	19.37%	16.12%	11.36%	10.77%	12.54%	15.21%	15.87%	19.27%	14.41%	11.73%	18.01%	15.86%	15.03%	15.26%	15.69%	14.48%	14.81%	16.53%	17.06%	16.54%	14.33%	16.17%	16.15%	12.43%	12.15%	14.32%	18.57%	14.41%	16.00%	14.36%	12.37%	15.07%	17.18%	16.06%	15.52%	15.05%	16.44%	16.53%	14.87%	16.07%	14.97%	14.40%	12.29%	14.38%	13.75%	15.41%	12.79%	13.76%	16.56%	12.39%	13.47%	16.96%	13.32%	6.37%	16.62%	13.77%	15.23%	11.20%	15.37%	14.05%	15.24%	14.93%	12.15%	13.11%	14.99%	15.34%	10.83%	13.77%	20.16%	13.61%	11.69%	11.94%	16.76%	14.98%	14.29%	14.10%	17.14%	0.00%	7.69%	0.00%	12.12%	10.91%					
																																																																																																																	
24	Против всех	5628	22	37	32	46	28	55	33	41	67	68	56	71	62	56	52	71	89	54	29	41	70	38	39	42	55	60	48	127	118	32	42	49	34	31	37	42	49	21	88	104	13	33	38	49	51	73	87	84	79	56	56	42	49	41	97	63	62	89	83	59	53	58	57	89	53	58	71	84	80	82	38	73	86	47	63	42	49	51	12	100	81	106	78	60	79	44	66	79	51	32	101	94	14	3	59	23	4	37	1	11	0	7	5	1	3	3					
		5.56%	3.93%	5.75%	4.94%	6.05%	3.98%	4.76%	4.68%	4.85%	6.40%	6.06%	5.20%	5.90%	5.61%	4.56%	4.65%	5.86%	6.66%	5.68%	3.14%	4.06%	5.31%	3.97%	5.06%	5.07%	4.78%	5.59%	4.82%	8.49%	8.13%	3.29%	3.33%	4.72%	3.77%	4.13%	4.44%	4.72%	4.16%	4.93%	6.34%	7.10%	8.02%	3.95%	4.08%	5.20%	5.26%	5.93%	6.63%	6.69%	6.36%	4.58%	4.64%	4.38%	4.75%	5.66%	6.25%	4.92%	5.35%	6.87%	6.05%	4.70%	5.62%	5.42%	6.47%	7.57%	5.29%	5.25%	6.19%	6.90%	6.71%	6.17%	5.11%	6.09%	7.08%	5.77%	5.98%	5.70%	4.41%	4.27%	3.22%	7.03%	7.96%	7.15%	6.21%	5.30%	7.04%	5.97%	7.04%	6.20%	5.39%	4.55%	6.01%	6.64%	2.88%	0.83%	4.79%	3.23%	2.16%	4.86%	3.57%	14.10%	0.00%	20.59%	9.62%	5.56%	9.09%	2.73%					
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
