Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																											
Дата голосования: 02.12.2007																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Миасская городская																																																																																											
																																																																																											
Сводная таблица результатов выборов																																																																																											
																																																																																											
		Сумма	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1612	15	15	1	15	25	20	30	20	15	15	25	25	25	30	15	15	30	25	30	25	30	30	39	25	15	15	15	25	25	25	15	25	25	15	15	25	15	10	15	15	15	15	15	15	15	15	29	15	15	25	15	15	17	25	35	15	15	25	30	15	15	30	15	20	15	15	15	15	20	25	15	15	15	15	15	15	15	15	15	15	15	15	1	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1090	8	1	1	0	16	14	25	16	14	14	19	16	22	23	11	5	23	20	16	16	27	22	25	19	15	13	14	19	16	20	15	19	19	10	5	22	8	7	13	5	10	9	8	13	13	14	23	13	15	20	10	12	15	19	15	4	12	15	20	7	15	16	8	19	5	15	4	5	18	15	14	11	12	13	5	11	4	15	3	1	2	3	1	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	888	14	4	4	7	28	5	10	6	18	11	7	15	9	8	8	10	11	13	7	20	12	14	14	11	16	4	9	14	18	13	5	16	13	19	25	19	12	5	4	8	17	18	16	15	3	15	17	19	10	16	13	10	16	3	15	6	11	9	4	5	12	17	6	2	9	4	13	18	8	7	14	6	7	10	3	9	16	2	8	4	1	3	0	5					
14	Число погашенных неиспользованных открепительных удостоверений	522	7	14	0	15	9	6	5	4	1	1	6	9	3	7	4	10	7	5	14	9	3	8	14	6	0	2	1	6	9	5	0	6	6	5	10	3	7	3	2	10	5	6	7	2	2	1	6	2	0	5	5	3	2	6	20	11	3	10	10	8	0	14	7	1	10	0	11	10	2	10	1	4	3	2	10	4	11	0	12	14	13	12	0	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	188	4	2	1	0	5	0	1	5	2	2	2	1	1	2	2	1	1	4	2	4	2	1	2	2	2	4	4	5	1	2	2	2	2	3	0	3	0	1	2	1	1	2	4	3	2	0	3	3	2	2	1	1	5	1	2	2	4	4	2	2	8	4	0	5	2	4	2	5	4	9	2	4	0	1	2	3	0	0	2	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																											
18	1.Политическая партия «Аграрная партия России»	1799	9	7	9	0	24	31	33	35	32	25	17	25	28	29	27	34	30	31	40	46	40	44	54	32	29	14	18	19	35	27	11	20	15	24	19	31	30	15	15	13	30	19	29	17	26	23	41	23	33	31	22	20	27	34	16	10	13	19	34	13	22	28	11	19	16	20	9	5	12	15	12	11	18	12	6	9	12	5	9	14	10	10	4	13					
		2.05%	1.60%	1.80%	1.52%	0.00%	1.95%	2.62%	2.37%	2.65%	2.60%	2.21%	1.51%	1.86%	2.81%	2.56%	2.59%	3.39%	2.32%	2.11%	2.67%	2.98%	2.44%	3.09%	3.29%	1.93%	2.03%	1.57%	1.73%	1.39%	2.38%	1.64%	1.01%	1.42%	1.62%	2.78%	2.26%	1.62%	3.26%	2.04%	1.74%	1.75%	2.35%	1.63%	2.58%	1.53%	2.80%	1.76%	2.37%	1.42%	1.94%	2.02%	2.32%	2.03%	2.12%	2.43%	1.66%	2.11%	1.36%	1.57%	2.05%	2.40%	1.46%	1.79%	2.18%	1.92%	2.50%	1.79%	1.85%	0.80%	1.69%	1.57%	1.42%	1.20%	2.05%	1.49%	0.91%	1.17%	2.28%	1.14%	1.46%	2.42%	2.12%	3.68%	5.06%	1.85%					
19	2.Всероссийская политическая партия «Гражданская Сила»	814	1	1	3	0	21	19	21	18	12	12	23	28	9	20	8	12	23	18	26	26	27	28	20	7	13	5	8	11	9	17	5	9	3	1	5	27	7	10	7	7	9	16	5	6	2	6	14	19	16	15	9	8	10	11	11	2	6	11	21	3	12	12	0	4	3	5	2	1	8	0	3	1	8	4	3	5	2	1	2	4	1	1	0	5					
		0.93%	0.18%	0.26%	0.51%	0.00%	1.70%	1.60%	1.51%	1.36%	0.97%	1.06%	2.04%	2.08%	0.90%	1.77%	0.77%	1.20%	1.78%	1.22%	1.73%	1.68%	1.64%	1.96%	1.22%	0.42%	0.91%	0.56%	0.77%	0.81%	0.61%	1.03%	0.46%	0.64%	0.32%	0.12%	0.60%	1.41%	0.76%	1.36%	0.81%	0.94%	0.71%	1.37%	0.44%	0.54%	0.22%	0.46%	0.81%	1.17%	0.94%	0.98%	0.95%	0.81%	0.78%	0.79%	1.14%	0.42%	0.63%	0.91%	1.27%	0.55%	0.80%	0.77%	0.00%	0.40%	0.47%	0.45%	0.41%	0.16%	1.13%	0.00%	0.35%	0.11%	0.91%	0.50%	0.46%	0.65%	0.38%	0.23%	0.32%	0.69%	0.21%	0.37%	0.00%	0.71%					
20	3.Политическая партия «Демократическая партия России»	98	0	0	1	0	2	1	1	1	0	0	0	4	1	1	1	1	1	2	3	2	2	0	0	1	2	0	1	1	2	4	3	3	0	1	1	1	0	2	1	1	2	2	0	1	0	1	1	4	1	3	1	0	0	2	2	1	3	3	1	1	2	3	0	1	1	0	1	1	0	0	3	1	0	3	0	0	1	1	0	0	0	0	1	2					
		0.11%	0.00%	0.00%	0.17%	0.00%	0.16%	0.08%	0.07%	0.08%	0.00%	0.00%	0.00%	0.30%	0.10%	0.09%	0.10%	0.10%	0.08%	0.14%	0.20%	0.13%	0.12%	0.00%	0.00%	0.06%	0.14%	0.00%	0.10%	0.07%	0.14%	0.24%	0.27%	0.21%	0.00%	0.12%	0.12%	0.05%	0.00%	0.27%	0.12%	0.13%	0.16%	0.17%	0.00%	0.09%	0.00%	0.08%	0.06%	0.25%	0.06%	0.20%	0.11%	0.00%	0.00%	0.14%	0.21%	0.21%	0.31%	0.25%	0.06%	0.18%	0.13%	0.19%	0.00%	0.10%	0.16%	0.00%	0.21%	0.16%	0.00%	0.00%	0.35%	0.11%	0.00%	0.37%	0.00%	0.00%	0.19%	0.23%	0.00%	0.00%	0.00%	0.00%	1.27%	0.29%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	14531	67	39	60	9	143	198	315	255	296	233	198	258	182	208	214	204	235	297	363	295	351	270	371	270	223	170	184	179	239	297	209	247	96	161	127	267	157	65	192	107	253	177	125	200	187	238	313	270	297	283	169	187	243	272	133	38	165	286	301	59	173	284	81	122	88	174	40	65	90	116	101	114	83	103	70	76	27	23	76	66	46	19	10	37					
		16.58%	11.94%	10.05%	10.14%	16.36%	11.61%	16.72%	22.63%	19.29%	24.01%	20.60%	17.58%	19.18%	18.27%	18.39%	20.50%	20.36%	18.20%	20.20%	24.20%	19.08%	21.38%	18.95%	22.59%	16.27%	15.62%	19.04%	17.66%	13.10%	16.25%	18.01%	19.16%	17.51%	10.34%	18.63%	15.12%	13.96%	17.05%	8.84%	22.27%	14.40%	19.84%	15.18%	11.11%	18.05%	20.13%	18.25%	18.06%	16.66%	17.48%	18.44%	17.85%	18.98%	19.04%	19.47%	13.81%	8.00%	17.31%	23.58%	18.19%	10.89%	11.50%	18.16%	16.04%	12.32%	13.77%	15.54%	8.23%	10.40%	12.71%	12.13%	11.92%	12.43%	9.43%	12.78%	10.62%	9.86%	5.12%	5.23%	12.32%	11.40%	9.77%	6.99%	12.66%	5.28%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	800	4	2	4	0	19	25	25	17	18	13	19	19	11	19	9	19	11	28	26	16	25	36	21	9	13	7	5	10	13	9	11	7	8	8	6	17	14	7	8	9	10	9	5	3	4	16	10	11	13	11	9	7	8	13	3	2	5	3	3	1	7	6	3	4	5	5	7	3	6	14	10	1	5	8	8	3	2	1	1	2	0	0	1	5					
		0.91%	0.71%	0.52%	0.68%	0.00%	1.54%	2.11%	1.80%	1.29%	1.46%	1.15%	1.69%	1.41%	1.10%	1.68%	0.86%	1.90%	0.85%	1.90%	1.73%	1.03%	1.52%	2.53%	1.28%	0.54%	0.91%	0.78%	0.48%	0.73%	0.88%	0.55%	1.01%	0.50%	0.86%	0.93%	0.71%	0.89%	1.52%	0.95%	0.93%	1.21%	0.78%	0.77%	0.44%	0.27%	0.43%	1.23%	0.58%	0.68%	0.77%	0.72%	0.95%	0.71%	0.63%	0.93%	0.31%	0.42%	0.52%	0.25%	0.18%	0.18%	0.47%	0.38%	0.59%	0.40%	0.78%	0.45%	1.44%	0.48%	0.85%	1.46%	1.18%	0.11%	0.57%	0.99%	1.21%	0.39%	0.38%	0.23%	0.16%	0.35%	0.00%	0.00%	1.27%	0.71%					
23	6.Политическая партия «Партия социальной справедливости»	220	3	0	1	1	4	5	7	6	6	3	1	1	0	4	6	2	2	6	5	2	3	2	2	8	3	1	2	5	0	3	2	4	3	2	1	4	3	3	4	4	4	2	1	1	3	1	5	6	5	7	3	1	5	5	2	0	0	1	10	1	6	4	2	1	1	0	0	0	2	0	0	0	4	0	1	5	4	1	0	0	1	0	0	1					
		0.25%	0.53%	0.00%	0.17%	1.82%	0.32%	0.42%	0.50%	0.45%	0.49%	0.27%	0.09%	0.07%	0.00%	0.35%	0.57%	0.20%	0.15%	0.41%	0.33%	0.13%	0.18%	0.14%	0.12%	0.48%	0.21%	0.11%	0.19%	0.37%	0.00%	0.18%	0.18%	0.28%	0.32%	0.23%	0.12%	0.21%	0.33%	0.41%	0.46%	0.54%	0.31%	0.17%	0.09%	0.09%	0.32%	0.08%	0.29%	0.37%	0.29%	0.46%	0.32%	0.10%	0.39%	0.36%	0.21%	0.00%	0.00%	0.08%	0.60%	0.18%	0.40%	0.26%	0.40%	0.10%	0.16%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.45%	0.00%	0.15%	0.65%	0.76%	0.23%	0.00%	0.00%	0.21%	0.00%	0.00%	0.14%					
24	7.Политическая партия «Либерально-демократическая партия России»	7016	48	34	41	2	111	93	101	89	66	76	78	107	72	77	69	74	105	109	128	113	110	125	114	141	117	64	84	112	125	149	87	140	79	75	78	181	70	42	73	49	81	82	93	76	76	129	155	141	122	130	70	64	116	111	93	52	76	75	114	45	142	130	26	80	45	69	39	67	82	73	72	81	70	78	52	62	40	52	44	27	34	18	2	122					
		8.01%	8.56%	8.76%	6.93%	3.64%	9.01%	7.85%	7.26%	6.73%	5.35%	6.72%	6.93%	7.96%	7.23%	6.81%	6.61%	7.39%	8.13%	7.41%	8.53%	7.31%	6.70%	8.77%	6.94%	8.50%	8.19%	7.17%	8.06%	8.20%	8.50%	9.04%	7.97%	9.92%	8.51%	8.68%	9.29%	9.46%	7.60%	5.71%	8.47%	6.59%	6.35%	7.03%	8.27%	6.86%	8.18%	9.89%	8.94%	8.70%	7.18%	8.47%	7.39%	6.50%	9.09%	7.95%	9.66%	10.95%	7.97%	6.18%	6.89%	8.30%	9.44%	8.31%	5.15%	8.08%	7.04%	6.16%	8.02%	10.72%	11.58%	7.64%	8.50%	8.83%	7.95%	9.68%	7.89%	8.04%	7.59%	11.82%	7.13%	4.66%	7.22%	6.62%	2.53%	17.40%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	9397	41	59	53	2	103	153	199	212	150	129	139	164	142	143	125	148	139	179	159	175	236	158	196	131	160	114	117	133	137	144	121	141	75	105	75	158	139	69	80	115	138	129	136	110	95	126	176	140	168	126	89	115	111	158	92	46	95	175	227	48	145	150	75	108	75	92	22	50	82	138	86	77	73	81	48	77	31	40	56	38	39	14	4	78					
		10.72%	7.31%	15.21%	8.95%	3.64%	8.36%	12.92%	14.30%	16.04%	12.17%	11.41%	12.34%	12.19%	14.26%	12.64%	11.97%	14.77%	10.77%	12.18%	10.60%	11.32%	14.37%	11.09%	11.94%	7.90%	11.20%	12.77%	11.23%	9.74%	9.31%	8.73%	11.09%	9.99%	8.08%	12.15%	8.93%	8.26%	15.09%	9.39%	9.28%	15.48%	10.82%	11.06%	12.09%	9.93%	10.23%	9.66%	10.16%	8.64%	9.89%	8.21%	9.40%	11.68%	8.70%	11.31%	9.55%	9.68%	9.97%	14.43%	13.72%	8.86%	9.64%	9.59%	14.85%	10.91%	11.74%	8.21%	4.53%	8.00%	11.58%	14.44%	10.15%	8.40%	8.30%	10.05%	7.28%	9.99%	5.88%	9.09%	9.08%	6.56%	8.28%	5.15%	5.06%	11.13%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	760	1	3	0	2	10	10	19	15	7	9	16	12	5	9	8	9	8	12	20	17	24	13	20	13	8	8	4	10	18	9	16	20	4	5	12	23	12	2	5	1	10	9	4	18	7	16	18	16	15	14	9	11	11	9	9	8	13	7	15	11	8	11	5	9	10	3	4	5	5	5	2	4	5	6	5	5	6	1	1	2	4	2	0	3					
		0.87%	0.18%	0.77%	0.00%	3.64%	0.81%	0.84%	1.36%	1.13%	0.57%	0.80%	1.42%	0.89%	0.50%	0.80%	0.77%	0.90%	0.62%	0.82%	1.33%	1.10%	1.46%	0.91%	1.22%	0.78%	0.56%	0.90%	0.38%	0.73%	1.22%	0.55%	1.47%	1.42%	0.43%	0.58%	1.43%	1.20%	1.30%	0.27%	0.58%	0.13%	0.78%	0.77%	0.36%	1.62%	0.75%	1.23%	1.04%	0.99%	0.88%	0.91%	0.95%	1.12%	0.86%	0.64%	0.93%	1.68%	1.36%	0.58%	0.91%	2.03%	0.53%	0.70%	0.99%	0.91%	1.56%	0.27%	0.82%	0.80%	0.71%	0.52%	0.24%	0.44%	0.57%	0.74%	0.76%	0.65%	1.14%	0.23%	0.16%	0.35%	0.85%	0.74%	0.00%	0.43%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	48702	377	238	409	38	745	567	581	600	580	578	584	637	497	546	509	434	657	690	636	744	726	642	734	1011	812	478	577	855	800	927	568	777	620	458	471	1145	446	479	449	400	687	674	695	637	500	681	954	928	962	868	528	547	694	745	563	307	546	597	875	347	944	882	285	619	375	723	352	418	414	568	552	616	589	500	454	514	386	307	418	417	325	206	57	424					
		55.58%	67.20%	61.34%	69.09%	69.09%	60.47%	47.89%	41.74%	45.39%	47.04%	51.11%	51.87%	47.36%	49.90%	48.28%	48.75%	43.31%	50.89%	46.94%	42.40%	48.12%	44.21%	45.05%	44.70%	60.94%	56.86%	53.53%	55.37%	62.59%	54.38%	56.22%	52.06%	55.07%	66.81%	53.01%	56.07%	59.85%	48.43%	65.17%	52.09%	53.84%	53.88%	57.80%	61.78%	57.49%	53.82%	52.22%	55.05%	57.25%	56.62%	56.55%	55.76%	55.53%	54.39%	53.33%	58.46%	64.63%	57.29%	49.22%	52.87%	64.02%	62.77%	56.39%	56.44%	62.53%	58.69%	64.55%	72.43%	66.88%	58.47%	59.41%	65.17%	67.18%	66.93%	62.03%	68.89%	66.67%	73.24%	69.77%	67.75%	72.02%	69.00%	75.74%	72.15%	60.49%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2447	5	2	7	1	37	66	76	67	53	43	42	80	42	55	58	55	59	74	84	92	83	87	93	25	31	16	33	16	34	43	29	27	15	18	33	45	34	26	20	21	26	30	12	30	20	51	30	42	47	27	22	22	36	27	24	6	18	23	31	10	20	26	12	10	10	12	5	7	7	17	2	6	8	2	5	8	6	3	6	4	3	1	0	6					
		2.79%	0.89%	0.52%	1.18%	1.82%	3.00%	5.57%	5.46%	5.07%	4.30%	3.80%	3.73%	5.95%	4.22%	4.86%	5.56%	5.49%	4.57%	5.03%	5.60%	5.95%	5.05%	6.11%	5.66%	1.51%	2.17%	1.79%	3.17%	1.17%	2.31%	2.61%	2.66%	1.91%	1.62%	2.08%	3.93%	2.35%	3.69%	3.54%	2.32%	2.83%	2.04%	2.57%	1.07%	2.71%	2.15%	3.91%	1.73%	2.59%	2.77%	1.76%	2.32%	2.23%	2.82%	1.93%	2.49%	1.26%	1.89%	1.90%	1.87%	1.85%	1.33%	1.66%	2.38%	1.01%	1.56%	1.07%	1.03%	1.12%	0.99%	1.78%	0.24%	0.65%	0.91%	0.25%	0.76%	1.04%	1.14%	0.68%	0.97%	0.69%	0.64%	0.37%	0.00%	0.86%					
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
