Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Хунзахская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	22	3	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0									
		0.14%	0.22%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.60%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.08%	0.29%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
		0.09%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	42	16	0	0	0	0	0	0	3	2	0	0	0	2	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
		0.28%	1.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.26%	0.00%	0.00%	0.00%	1.09%	4.34%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	836	357	42	10	13	8	5	0	45	47	2	21	6	17	0	7	12	0	0	2	0	0	0	22	20	5	22	5	2	10	15	10	4	51	4	4	0	0	2	5	4	0	2	0	13	0	0	13	0	0	10	9	0	0	3	0	7									
		5.48%	26.10%	20.19%	4.98%	8.18%	8.99%	3.57%	0.00%	7.80%	6.14%	2.22%	4.19%	1.62%	9.24%	0.00%	4.24%	2.58%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	4.49%	9.35%	6.94%	11.76%	5.56%	0.90%	4.27%	3.74%	7.81%	8.89%	20.32%	1.79%	3.54%	0.00%	0.00%	1.39%	2.17%	2.45%	0.00%	0.76%	0.00%	1.75%	0.00%	0.00%	22.81%	0.00%	0.00%	3.13%	3.10%	0.00%	0.00%	5.45%	0.00%	3.61%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	105	12	0	1	0	1	0	0	13	3	0	33	0	0	0	0	0	0	0	2	0	0	0	0	27	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2									
		0.69%	0.88%	0.00%	0.50%	0.00%	1.12%	0.00%	0.00%	2.25%	0.39%	0.00%	6.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	12.62%	0.00%	1.07%	0.00%	0.00%	2.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	94	7	0	2	0	1	0	0	8	0	0	2	0	0	0	0	0	0	0	4	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	19	0	0	0	10	2	12	0	0	0	0									
		0.62%	0.51%	0.00%	0.99%	0.00%	1.12%	0.00%	0.00%	1.39%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.56%	0.00%	0.00%	0.00%	5.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.61%	0.00%	0.00%	0.00%	3.13%	0.69%	4.84%	0.00%	0.00%	0.00%	0.00%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
