Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Кяхтинская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	99	4	1	0	0	1	4	1	1	0	0	0	0	0	0	0	2	0	0	2	1	1	0	0	3	0	0	1	0	1	0	2	9	0	0	2	6	4	13	5	0	2	1	6	1	6	0	5	14	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	126	4	3	0	0	4	2	1	0	1	2	1	1	2	0	0	0	1	4	0	0	0	1	1	7	0	1	0	2	0	0	3	3	1	0	2	11	5	11	6	3	2	2	5	4	4	3	21	1	1									
		0.96%	1.44%	2.78%	0.00%	0.00%	7.84%	1.45%	0.20%	0.00%	2.44%	1.06%	1.47%	1.19%	1.79%	0.00%	0.00%	0.00%	0.98%	1.57%	0.00%	0.00%	0.00%	0.55%	1.43%	2.06%	0.00%	1.75%	0.00%	2.82%	0.00%	0.00%	1.22%	1.13%	0.67%	0.00%	1.65%	1.92%	0.80%	1.07%	0.99%	0.70%	0.40%	0.40%	1.03%	1.01%	0.83%	0.50%	1.05%	0.43%	1.25%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	398	10	2	3	3	1	3	21	2	1	8	3	1	1	2	1	4	5	5	7	2	3	2	1	17	3	1	0	5	8	1	15	12	8	2	3	18	20	23	21	11	10	18	13	14	14	12	42	6	10									
		3.03%	3.60%	1.85%	3.45%	5.26%	1.96%	2.17%	4.23%	6.25%	2.44%	4.26%	4.41%	1.19%	0.89%	3.33%	2.00%	2.67%	4.90%	1.96%	5.69%	2.25%	1.86%	1.10%	1.43%	5.00%	7.89%	1.75%	0.00%	7.04%	6.35%	1.85%	6.10%	4.51%	5.33%	2.38%	2.48%	3.14%	3.19%	2.24%	3.45%	2.55%	1.98%	3.60%	2.67%	3.54%	2.90%	1.98%	2.10%	2.61%	12.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	242	4	0	3	2	0	0	16	2	0	6	3	1	5	0	1	2	3	5	2	1	2	3	2	7	0	0	0	0	4	0	11	7	1	1	1	9	6	19	16	11	18	7	10	8	14	2	24	3	0									
		1.84%	1.44%	0.00%	3.45%	3.51%	0.00%	0.00%	3.23%	6.25%	0.00%	3.19%	4.41%	1.19%	4.46%	0.00%	2.00%	1.33%	2.94%	1.96%	1.63%	1.12%	1.24%	1.65%	2.86%	2.06%	0.00%	0.00%	0.00%	0.00%	3.17%	0.00%	4.47%	2.63%	0.67%	1.19%	0.83%	1.57%	0.96%	1.85%	2.63%	2.55%	3.56%	1.40%	2.05%	2.03%	2.90%	0.33%	1.20%	1.30%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6243	156	45	36	33	33	81	230	17	22	89	30	26	54	42	23	48	43	125	59	21	59	91	32	150	12	25	25	32	70	26	124	157	59	45	54	266	285	448	250	182	226	210	206	173	196	329	1132	136	30									
		47.50%	56.12%	41.67%	41.38%	57.89%	64.71%	58.70%	46.37%	53.13%	53.66%	47.34%	44.12%	30.95%	48.21%	70.00%	46.00%	32.00%	42.16%	49.02%	47.97%	23.60%	36.65%	50.00%	45.71%	44.12%	31.58%	43.86%	49.02%	45.07%	55.56%	48.15%	50.41%	59.02%	39.33%	53.57%	44.63%	46.34%	45.45%	43.62%	41.12%	42.23%	44.75%	42.00%	42.30%	43.80%	40.58%	54.38%	56.49%	59.13%	37.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	56	1	0	1	0	0	1	0	0	0	0	1	1	3	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	2	1	0	0	2	0	3	1	2	3	4	1	2	2	8	12	1	0									
		0.43%	0.36%	0.00%	1.15%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	1.47%	1.19%	2.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	0.55%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.67%	0.00%	0.00%	0.35%	0.00%	0.29%	0.16%	0.46%	0.59%	0.80%	0.21%	0.51%	0.41%	1.32%	0.60%	0.43%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	37	1	1	0	0	0	0	1	1	0	0	0	1	3	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	2	0	2	3	2	1	1	0	1	6	2	1									
		0.28%	0.36%	0.93%	0.00%	0.00%	0.00%	0.00%	0.20%	3.13%	0.00%	0.00%	0.00%	1.19%	2.68%	0.00%	2.00%	0.67%	0.00%	0.39%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.17%	0.16%	0.19%	0.00%	0.46%	0.59%	0.40%	0.21%	0.25%	0.00%	0.17%	0.30%	0.87%	1.25%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2061	12	22	11	5	8	8	76	2	7	30	10	11	19	2	1	32	16	54	8	6	12	41	9	34	0	6	4	13	2	2	21	11	10	11	6	85	93	259	97	81	81	77	79	75	78	128	356	39	11									
		15.68%	4.32%	20.37%	12.64%	8.77%	15.69%	5.80%	15.32%	6.25%	17.07%	15.96%	14.71%	13.10%	16.96%	3.33%	2.00%	21.33%	15.69%	21.18%	6.50%	6.74%	7.45%	22.53%	12.86%	10.00%	0.00%	10.53%	7.84%	18.31%	1.59%	3.70%	8.54%	4.14%	6.67%	13.10%	4.96%	14.81%	14.83%	25.22%	15.95%	18.79%	16.04%	15.40%	16.22%	18.99%	16.15%	21.16%	17.76%	16.96%	13.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	31	1	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	4	4	0	2	3	1	1	0	0	0	4	0	0									
		0.24%	0.36%	0.93%	2.30%	0.00%	1.96%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.38%	0.00%	1.19%	0.00%	0.17%	0.64%	0.39%	0.00%	0.46%	0.59%	0.20%	0.21%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	406	18	1	3	1	0	4	17	0	0	5	2	14	0	0	4	3	1	3	1	5	1	6	6	8	4	1	0	0	7	1	3	11	3	0	2	12	13	23	20	16	27	26	15	15	15	9	76	2	2									
		3.09%	6.47%	0.93%	3.45%	1.75%	0.00%	2.90%	3.43%	0.00%	0.00%	2.66%	2.94%	16.67%	0.00%	0.00%	8.00%	2.00%	0.98%	1.18%	0.81%	5.62%	0.62%	3.30%	8.57%	2.35%	10.53%	1.75%	0.00%	0.00%	5.56%	1.85%	1.22%	4.14%	2.00%	0.00%	1.65%	2.09%	2.07%	2.24%	3.29%	3.71%	5.35%	5.20%	3.08%	3.80%	3.11%	1.49%	3.79%	0.87%	2.50%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	2	4	0	0									
		0.12%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	3.13%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.17%	0.00%	0.10%	0.00%	0.23%	0.00%	0.20%	0.00%	0.00%	0.00%	0.33%	0.20%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	57	5	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	5	3	3	1	2	2	3	2	2	16	0	1									
		0.43%	1.80%	0.00%	1.15%	0.00%	0.00%	1.45%	0.00%	0.00%	0.00%	0.00%	1.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	1.10%	0.00%	0.29%	0.00%	3.51%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.49%	0.70%	0.20%	0.40%	0.41%	0.76%	0.41%	0.33%	0.80%	0.00%	1.25%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2308	48	15	19	12	2	31	91	5	7	38	12	23	14	14	4	43	25	41	42	38	64	20	16	79	17	20	14	12	23	23	46	48	47	17	50	149	123	147	128	78	79	89	96	70	99	54	137	23	16									
		17.56%	17.27%	13.89%	21.84%	21.05%	3.92%	22.46%	18.35%	15.63%	17.07%	20.21%	17.65%	27.38%	12.50%	23.33%	8.00%	28.67%	24.51%	16.08%	34.15%	42.70%	39.75%	10.99%	22.86%	23.24%	44.74%	35.09%	27.45%	16.90%	18.25%	42.59%	18.70%	18.05%	31.33%	20.24%	41.32%	25.96%	19.62%	14.31%	21.05%	18.10%	15.64%	17.80%	19.71%	17.72%	20.50%	8.93%	6.84%	10.00%	20.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	44	0	1	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	5	0	2	3	0	1	1	1	4	9	4	1									
		0.33%	0.00%	0.93%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	2.44%	0.00%	0.00%	1.19%	1.79%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.49%	0.00%	0.46%	0.59%	0.00%	0.21%	0.25%	0.21%	0.66%	0.45%	1.74%	1.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	774	15	8	2	0	2	4	30	0	1	7	2	2	6	0	14	6	3	9	2	15	20	11	1	23	2	1	3	3	10	0	19	12	13	2	1	11	60	55	47	27	37	52	46	18	39	34	89	6	4									
		5.89%	5.40%	7.41%	2.30%	0.00%	3.92%	2.90%	6.05%	0.00%	2.44%	3.72%	2.94%	2.38%	5.36%	0.00%	28.00%	4.00%	2.94%	3.53%	1.63%	16.85%	12.42%	6.04%	1.43%	6.76%	5.26%	1.75%	5.88%	4.23%	7.94%	0.00%	7.72%	4.51%	8.67%	2.38%	0.83%	1.92%	9.57%	5.36%	7.73%	6.26%	7.33%	10.40%	9.45%	4.56%	8.07%	5.62%	4.44%	2.61%	5.00%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
