Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																												
Дата голосования: 04.12.2011																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №12																																																																																												
																																																																																												
Сводная таблица результатов выборов																																																																																												
																																																																																												
		Сумма	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4240	30	30	30	45	60	30	50	40	40	70	50	40	40	50	30	50	50	50	50	40	65	35	55	75	40	40	30	26	44	30	40	40	40	40	30	30	50	40	50	30	25	35	30	30	30	50	30	30	30	30	41	89	50	130	35	130	35	520	30	30	130	30	60	60	30	50	50	30	50	40	30	30	30	30	50	30	50	30	50	35	45	60	50	40	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3061	10	11	22	31	44	29	28	30	25	50	43	35	33	39	24	45	35	41	39	30	62	28	55	66	37	30	11	21	32	27	32	32	38	38	24	17	36	30	35	30	22	35	17	20	27	42	19	23	30	23	40	40	41	21	32	41	34	365	24	22	36	21	48	46	27	34	42	25	48	35	29	27	9	15	47	21	37	28	36	34	37	40	35	33	28					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1972	20	37	53	25	28	20	8	18	11	12	18	10	19	22	20	17	26	11	24	27	27	11	20	19	12	22	17	18	17	20	17	28	15	25	32	21	28	28	27	21	53	43	20	32	32	78	29	47	22	17	22	13	11	35	34	22	7	19	31	21	13	16	10	18	27	21	32	9	25	26	37	19	32	3	21	24	17	30	25	11	41	17	16	15	28					
14	Число погашенных неиспользованных открепительных удостоверений	1179	20	19	8	14	16	1	22	10	15	20	7	5	7	11	6	5	15	9	11	10	3	7	0	9	3	10	19	5	12	3	8	8	2	2	6	13	14	10	15	0	3	0	13	10	3	8	11	7	0	7	1	49	9	109	3	89	1	155	6	8	94	9	12	14	3	16	8	5	2	5	1	3	21	15	3	9	13	2	14	1	8	20	15	7	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	98	0	0	0	0	0	1	1	0	1	4	0	0	1	0	0	2	0	1	3	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	4	0	0	0	0	0	0	0	2	3	6	2	0	2	0	0	2	8	1	1	0	3	7	8	4	1	4	6	5	0	0	0	1	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	30519	121	169	323	352	427	465	281	352	309	406	318	303	350	338	309	422	327	340	321	240	340	187	450	356	434	363	212	303	379	327	414	342	412	357	370	352	399	473	419	370	384	397	257	105	270	370	334	376	333	383	426	359	404	292	413	400	415	143	489	448	482	380	412	430	380	355	451	352	423	431	433	427	219	169	354	367	426	400	400	404	408	428	425	425	408					
		28.97%	25.16%	23.57%	27.44%	23.99%	25.65%	32.40%	24.96%	27.14%	28.07%	29.44%	27.06%	28.56%	24.79%	25.26%	31.02%	30.06%	28.68%	27.31%	24.94%	27.37%	25.89%	25.79%	27.59%	27.86%	32.39%	26.81%	32.82%	27.72%	33.25%	24.98%	31.92%	27.90%	29.32%	28.15%	30.33%	27.59%	26.55%	31.16%	30.92%	30.06%	32.38%	25.27%	26.72%	12.44%	27.95%	29.58%	28.89%	28.79%	29.42%	29.67%	28.57%	33.18%	29.51%	25.00%	26.71%	25.51%	25.81%	26.00%	33.47%	30.98%	34.26%	30.84%	29.30%	26.71%	29.78%	29.49%	32.28%	28.78%	30.52%	30.70%	34.15%	34.32%	31.88%	32.50%	29.97%	30.63%	32.22%	32.68%	31.60%	33.64%	31.68%	32.75%	32.77%	27.72%	28.94%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	11075	59	76	121	151	170	151	160	141	116	185	143	149	160	149	98	166	118	160	175	126	155	96	162	115	139	165	61	103	148	151	132	160	158	142	146	114	152	171	142	135	100	132	96	63	72	116	99	124	100	121	151	83	135	95	124	206	138	45	153	184	146	119	140	150	121	125	163	113	143	166	116	125	61	64	119	127	132	104	174	123	107	102	160	174	143					
		10.51%	12.27%	10.60%	10.28%	10.29%	10.21%	10.52%	14.21%	10.87%	10.54%	13.42%	12.17%	14.04%	11.33%	11.14%	9.84%	11.82%	10.35%	12.85%	13.60%	14.37%	11.81%	13.24%	9.93%	8.99%	10.37%	12.19%	9.44%	9.42%	12.98%	11.54%	10.18%	13.05%	11.25%	11.20%	11.97%	8.93%	10.11%	11.26%	10.48%	10.97%	8.43%	8.40%	9.98%	7.46%	7.45%	9.27%	8.56%	9.49%	8.83%	9.37%	10.13%	7.67%	9.86%	8.13%	8.02%	13.14%	8.58%	8.18%	10.47%	12.72%	10.38%	9.66%	9.96%	9.32%	9.48%	10.38%	11.67%	9.24%	10.32%	11.82%	9.15%	10.05%	8.88%	12.31%	10.08%	10.60%	9.98%	8.50%	13.74%	10.24%	8.31%	7.80%	12.34%	11.35%	10.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1516	7	3	22	39	23	21	14	18	16	25	23	22	19	25	13	24	12	24	13	10	12	5	26	14	23	24	13	19	15	20	20	16	23	21	12	16	29	21	19	14	18	19	14	16	32	13	15	17	11	12	27	16	24	22	13	25	24	7	14	22	10	15	15	22	22	19	16	15	25	14	13	13	13	5	15	11	12	16	13	21	24	25	18	31	17					
		1.44%	1.46%	0.42%	1.87%	2.66%	1.38%	1.46%	1.24%	1.39%	1.45%	1.81%	1.96%	2.07%	1.35%	1.87%	1.31%	1.71%	1.05%	1.93%	1.01%	1.14%	0.91%	0.69%	1.59%	1.10%	1.72%	1.77%	2.01%	1.74%	1.32%	1.53%	1.54%	1.31%	1.64%	1.66%	0.98%	1.25%	1.93%	1.38%	1.40%	1.14%	1.52%	1.21%	1.46%	1.90%	3.31%	1.04%	1.30%	1.30%	0.97%	0.93%	1.81%	1.48%	1.75%	1.88%	0.84%	1.59%	1.49%	1.27%	0.96%	1.52%	0.71%	1.22%	1.07%	1.37%	1.72%	1.58%	1.15%	1.23%	1.80%	0.99%	1.03%	1.05%	1.89%	0.96%	1.27%	0.92%	0.91%	1.31%	1.03%	1.75%	1.86%	1.91%	1.39%	2.02%	1.21%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	19494	82	123	164	308	341	228	196	268	227	256	229	194	292	270	172	254	256	275	230	128	204	123	244	177	237	271	93	195	202	237	249	222	287	254	241	261	261	228	232	239	231	264	156	104	169	226	209	238	195	223	282	186	230	208	238	319	327	122	222	278	265	227	300	341	263	239	255	281	218	283	229	218	119	90	238	224	239	190	240	244	280	272	277	295	290					
		18.50%	17.05%	17.15%	13.93%	20.99%	20.48%	15.89%	17.41%	20.66%	20.62%	18.56%	19.49%	18.28%	20.68%	20.18%	17.27%	18.09%	22.46%	22.09%	17.87%	14.60%	15.54%	16.97%	14.96%	13.85%	17.69%	20.01%	14.40%	17.84%	17.72%	18.11%	19.20%	18.11%	20.43%	20.03%	19.75%	20.45%	17.37%	15.02%	17.12%	19.42%	19.48%	16.80%	16.22%	12.32%	17.49%	18.07%	18.08%	18.22%	17.23%	17.27%	18.91%	17.19%	16.80%	17.81%	15.39%	20.34%	20.34%	22.18%	15.20%	19.23%	18.83%	18.43%	21.34%	21.18%	20.61%	19.85%	18.25%	22.98%	15.73%	20.16%	18.06%	17.52%	17.32%	17.31%	20.15%	18.70%	18.08%	15.52%	18.96%	20.32%	21.74%	20.81%	21.36%	19.24%	20.57%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	14991	71	128	188	305	77	216	130	207	203	183	87	136	222	115	167	245	67	79	245	116	72	23	46	124	190	216	97	162	139	291	179	196	218	186	159	261	284	156	225	217	162	215	155	111	202	241	241	270	217	198	204	132	169	215	313	244	289	94	301	180	169	213	251	248	70	173	190	211	225	170	182	168	136	43	185	78	200	155	60	44	180	195	162	267	235					
		14.23%	14.76%	17.85%	15.97%	20.79%	4.62%	15.05%	11.55%	15.96%	18.44%	13.27%	7.40%	12.82%	15.72%	8.59%	16.77%	17.45%	5.88%	6.35%	19.04%	13.23%	5.48%	3.17%	2.82%	9.70%	14.18%	15.95%	15.02%	14.82%	12.19%	22.23%	13.80%	15.99%	15.52%	14.67%	13.03%	20.45%	18.90%	10.28%	16.61%	17.63%	13.66%	13.69%	16.11%	13.15%	20.91%	19.26%	20.85%	20.67%	19.17%	15.34%	13.68%	12.20%	12.34%	18.41%	20.25%	15.56%	17.97%	17.09%	20.60%	12.45%	12.01%	17.29%	17.85%	15.40%	5.49%	14.37%	13.60%	17.25%	16.23%	12.11%	14.35%	13.50%	19.80%	8.27%	15.66%	6.51%	15.13%	12.66%	4.74%	3.66%	13.98%	14.92%	12.49%	17.42%	16.67%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24993	131	198	314	256	596	320	262	282	211	302	344	242	331	414	206	262	335	343	266	238	472	280	660	460	265	290	148	272	225	251	276	274	282	279	265	235	339	406	283	220	262	505	249	422	203	263	236	240	245	328	364	286	373	312	403	342	376	124	240	301	295	247	262	388	401	264	293	215	315	310	252	254	130	127	251	369	281	220	360	338	252	250	227	306	277					
		23.72%	27.23%	27.62%	26.68%	17.45%	35.80%	22.30%	23.27%	21.74%	19.16%	21.90%	29.28%	22.81%	23.44%	30.94%	20.68%	18.66%	29.39%	27.55%	20.67%	27.14%	35.95%	38.62%	40.47%	35.99%	19.78%	21.42%	22.91%	24.89%	19.74%	19.17%	21.28%	22.35%	20.07%	22.00%	21.72%	18.42%	22.55%	26.75%	20.89%	17.87%	22.09%	32.15%	25.88%	50.00%	21.01%	21.02%	20.42%	18.38%	21.64%	25.41%	24.41%	26.43%	27.25%	26.71%	26.07%	21.81%	23.38%	22.55%	16.43%	20.82%	20.97%	20.05%	18.63%	24.10%	31.43%	21.93%	20.97%	17.58%	22.73%	22.08%	19.87%	20.42%	18.92%	24.42%	21.25%	30.80%	21.26%	17.97%	28.44%	28.14%	19.57%	19.13%	17.50%	19.96%	19.65%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1070	4	7	13	19	14	12	12	13	8	10	10	9	11	9	13	14	10	10	15	9	14	3	17	10	20	10	10	16	11	19	13	6	10	11	11	13	17	13	21	11	19	10	14	8	3	8	8	25	17	10	14	8	12	14	23	21	16	5	18	25	19	13	14	13	7	7	14	16	14	9	19	12	4	6	7	5	16	17	11	12	19	13	14	18	15					
		1.02%	0.83%	0.98%	1.10%	1.30%	0.84%	0.84%	1.07%	1.00%	0.73%	0.73%	0.85%	0.85%	0.78%	0.67%	1.31%	0.99%	0.88%	0.80%	1.17%	1.03%	1.07%	0.41%	1.04%	0.78%	1.49%	0.74%	1.55%	1.46%	0.96%	1.45%	1.00%	0.49%	0.71%	0.87%	0.90%	1.02%	1.13%	0.86%	1.55%	0.89%	1.60%	0.64%	1.46%	0.95%	0.31%	0.64%	0.69%	1.91%	1.50%	0.77%	0.94%	0.74%	0.88%	1.20%	1.49%	1.34%	0.99%	0.91%	1.23%	1.73%	1.35%	1.06%	0.99%	0.81%	0.55%	0.58%	1.00%	1.31%	1.01%	0.64%	1.50%	0.96%	0.58%	1.15%	0.59%	0.42%	1.21%	1.39%	0.87%	0.99%	1.48%	0.99%	1.08%	1.17%	1.06%					
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
