Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																										
Дата голосования: 02.12.2007																																																																																																																										
																																																																																																																										
Наименование Избирательной комиссии:    Выборгская																																																																																																																										
																																																																																																																										
Сводная таблица результатов выборов																																																																																																																										
																																																																																																																										
		Сумма	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358					
18	1.Политическая партия «Аграрная партия России»	2311	9	32	6	8	25	8	21	17	20	31	31	22	18	36	21	23	32	27	26	23	23	22	28	22	19	16	5	29	15	30	35	24	30	52	29	42	28	20	13	1	20	18	5	8	10	5	15	28	34	23	39	36	32	10	25	32	14	9	19	12	3	15	0	10	4	22	4	12	14	2	17	20	37	42	21	9	8	15	16	32	25	36	11	21	34	6	28	14	12	0	10	8	25	7	1	11	12	15	56	26	15	6	19	11	14	19	2	10	41	71	53	11	10	30	25					
		2.69%	1.55%	2.94%	1.37%	1.37%	2.80%	1.82%	2.98%	2.69%	1.52%	2.89%	3.34%	2.58%	2.09%	2.26%	2.29%	2.57%	3.12%	2.98%	2.68%	2.56%	2.16%	2.37%	3.25%	2.19%	2.21%	2.07%	0.81%	2.93%	1.86%	2.95%	3.51%	2.20%	2.50%	3.54%	2.24%	3.28%	2.36%	1.82%	4.26%	0.50%	3.40%	1.73%	2.84%	2.34%	3.02%	1.82%	2.94%	2.03%	2.53%	1.71%	2.95%	2.67%	3.35%	3.58%	6.85%	2.13%	1.03%	1.97%	2.12%	4.46%	1.01%	2.94%	0.00%	1.29%	1.66%	3.84%	2.12%	1.84%	3.38%	1.53%	3.39%	2.96%	3.37%	3.28%	5.33%	2.81%	1.02%	2.01%	1.82%	3.49%	2.94%	3.97%	2.16%	5.00%	4.98%	2.00%	4.45%	2.25%	5.06%	0.00%	4.48%	1.34%	5.33%	2.11%	0.60%	1.32%	1.43%	0.83%	8.09%	4.67%	2.80%	1.35%	2.54%	1.29%	1.60%	2.41%	0.39%	2.12%	5.11%	7.22%	5.50%	3.91%	3.83%	4.40%	4.04%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1087	8	17	7	5	17	4	15	13	16	16	20	25	16	18	12	17	38	18	15	14	15	20	14	20	19	17	9	17	9	13	15	11	22	25	14	17	26	17	1	4	7	10	0	1	3	2	3	13	19	16	19	21	6	3	1	12	14	2	2	3	0	1	0	11	2	4	1	5	1	0	3	7	14	23	0	3	9	9	12	8	8	13	3	3	5	2	4	8	0	1	0	9	2	5	0	7	16	5	5	4	1	3	12	23	11	4	0	7	5	8	3	1	3	7	13					
		1.26%	1.38%	1.56%	1.60%	0.86%	1.91%	0.91%	2.13%	2.05%	1.22%	1.49%	2.16%	2.93%	1.86%	1.13%	1.31%	1.90%	3.70%	1.98%	1.55%	1.56%	1.41%	2.16%	1.62%	1.99%	2.21%	2.20%	1.45%	1.72%	1.12%	1.28%	1.50%	1.01%	1.83%	1.70%	1.08%	1.33%	2.19%	1.55%	0.33%	1.98%	1.19%	0.96%	0.00%	0.29%	0.91%	0.73%	0.59%	0.94%	1.41%	1.19%	1.44%	1.56%	0.63%	1.08%	0.27%	0.80%	1.03%	0.44%	0.22%	1.12%	0.00%	0.20%	0.00%	1.42%	0.83%	0.70%	0.53%	0.77%	0.24%	0.00%	0.60%	1.04%	1.28%	1.80%	0.00%	0.94%	1.15%	1.21%	1.37%	0.87%	0.94%	1.43%	0.59%	0.71%	0.73%	0.67%	0.64%	1.29%	0.00%	0.48%	0.00%	1.51%	0.43%	1.51%	0.00%	0.84%	1.91%	0.28%	0.72%	0.72%	0.19%	0.67%	1.60%	2.70%	1.26%	0.51%	0.00%	1.48%	0.62%	0.81%	0.31%	0.36%	1.15%	1.03%	2.10%					
20	3.Политическая партия «Демократическая партия России»	84	0	3	0	0	1	0	0	0	1	3	1	2	1	0	3	1	3	1	1	0	3	3	0	5	0	3	0	0	0	0	1	1	1	2	2	0	1	2	0	0	0	0	0	1	0	0	0	0	1	2	1	2	0	0	1	2	4	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	2	1	0	0	0	1	3	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0					
		0.10%	0.00%	0.28%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.08%	0.28%	0.11%	0.23%	0.12%	0.00%	0.33%	0.11%	0.29%	0.11%	0.10%	0.00%	0.28%	0.32%	0.00%	0.50%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.10%	0.09%	0.08%	0.14%	0.15%	0.00%	0.08%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.07%	0.15%	0.08%	0.15%	0.00%	0.00%	0.27%	0.13%	0.29%	0.00%	0.11%	0.37%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.09%	0.08%	0.00%	0.00%	0.13%	0.00%	0.00%	0.11%	0.12%	0.00%	0.20%	0.00%	0.00%	0.33%	0.16%	0.16%	0.00%	0.00%	0.00%	0.33%	0.21%	0.00%	0.00%	0.00%	0.12%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.15%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7573	45	91	26	22	75	43	79	57	87	144	118	95	96	145	106	94	128	125	117	132	106	103	95	105	86	78	76	122	90	128	109	108	132	143	144	157	131	128	18	4	35	65	12	20	19	9	31	96	92	100	87	75	86	15	36	77	97	22	45	43	8	33	10	93	14	38	15	46	33	6	39	86	112	116	13	29	36	69	66	86	92	89	36	40	77	15	40	45	22	9	11	33	48	14	14	58	69	39	28	24	22	24	70	105	94	77	60	32	48	110	70	14	13	53	80					
		8.80%	7.76%	8.37%	5.94%	3.77%	8.41%	9.79%	11.21%	9.00%	6.61%	13.45%	12.73%	11.12%	11.14%	9.12%	11.56%	10.50%	12.48%	13.78%	12.07%	14.67%	9.93%	11.10%	11.02%	10.46%	10.02%	10.08%	12.24%	12.32%	11.17%	12.59%	10.92%	9.92%	10.99%	9.75%	11.13%	12.28%	11.04%	11.66%	5.90%	1.98%	5.94%	6.26%	6.82%	5.85%	5.74%	3.27%	6.08%	6.98%	6.85%	7.44%	6.57%	5.56%	9.01%	5.38%	9.86%	5.12%	7.11%	4.81%	5.02%	15.99%	2.68%	6.47%	4.78%	12.02%	5.81%	6.63%	7.94%	7.06%	7.97%	4.58%	7.78%	12.74%	10.21%	9.07%	3.30%	9.06%	4.59%	9.26%	7.53%	9.37%	10.81%	9.82%	7.06%	9.52%	11.27%	5.00%	6.36%	7.25%	9.28%	4.35%	4.93%	5.52%	10.23%	4.23%	8.33%	6.95%	8.23%	2.16%	4.05%	4.31%	4.10%	5.38%	9.36%	12.34%	10.77%	9.77%	11.61%	6.78%	5.98%	11.19%	7.27%	4.98%	4.98%	7.77%	12.92%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	843	6	9	6	10	16	3	14	6	19	16	21	8	16	7	9	9	21	21	15	4	9	7	16	15	10	5	9	17	12	12	11	25	16	15	14	14	18	11	0	1	2	13	4	1	9	3	2	14	10	11	15	18	6	1	0	8	6	1	4	3	7	3	0	6	1	1	1	10	2	0	2	2	12	13	1	2	2	1	1	3	6	3	0	4	5	0	2	5	0	0	0	7	5	0	2	5	4	11	3	3	1	1	21	19	16	10	0	0	3	9	5	0	6	4	9					
		0.98%	1.03%	0.83%	1.37%	1.72%	1.79%	0.68%	1.99%	0.95%	1.44%	1.49%	2.27%	0.94%	1.86%	0.44%	0.98%	1.01%	2.05%	2.32%	1.55%	0.44%	0.84%	0.75%	1.86%	1.49%	1.17%	0.65%	1.45%	1.72%	1.49%	1.18%	1.10%	2.30%	1.33%	1.02%	1.08%	1.09%	1.52%	1.00%	0.00%	0.50%	0.34%	1.25%	2.27%	0.29%	2.72%	1.09%	0.39%	1.02%	0.74%	0.82%	1.13%	1.33%	0.63%	0.36%	0.00%	0.53%	0.44%	0.22%	0.45%	1.12%	2.35%	0.59%	0.00%	0.78%	0.41%	0.17%	0.53%	1.53%	0.48%	0.00%	0.40%	0.30%	1.09%	1.02%	0.25%	0.63%	0.25%	0.13%	0.11%	0.33%	0.71%	0.33%	0.00%	0.95%	0.73%	0.00%	0.32%	0.81%	0.00%	0.00%	0.00%	1.17%	1.07%	0.00%	1.19%	0.60%	0.48%	0.61%	0.43%	0.54%	0.19%	0.22%	2.81%	2.23%	1.83%	1.27%	0.00%	0.00%	0.37%	0.92%	0.52%	0.00%	2.30%	0.59%	1.45%					
23	6.Политическая партия «Партия социальной справедливости»	177	1	5	2	0	2	0	1	0	3	2	1	1	3	3	3	3	2	1	2	1	1	1	2	1	5	2	0	5	0	3	1	6	3	2	7	1	6	2	0	1	0	1	1	0	2	1	0	1	2	3	4	1	1	0	1	2	2	0	2	0	0	1	0	0	0	1	0	1	3	1	2	1	3	6	1	2	3	2	0	1	0	1	0	1	0	0	0	2	0	0	0	1	2	2	0	0	1	4	1	0	2	2	1	3	2	1	0	2	0	4	0	1	2	0	5					
		0.21%	0.17%	0.46%	0.46%	0.00%	0.22%	0.00%	0.14%	0.00%	0.23%	0.19%	0.11%	0.12%	0.35%	0.19%	0.33%	0.34%	0.19%	0.11%	0.21%	0.11%	0.09%	0.11%	0.23%	0.10%	0.58%	0.26%	0.00%	0.51%	0.00%	0.29%	0.10%	0.55%	0.25%	0.14%	0.54%	0.08%	0.51%	0.18%	0.00%	0.50%	0.00%	0.10%	0.57%	0.00%	0.60%	0.36%	0.00%	0.07%	0.15%	0.22%	0.30%	0.07%	0.10%	0.00%	0.27%	0.13%	0.15%	0.00%	0.22%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.17%	0.00%	0.15%	0.72%	0.76%	0.40%	0.15%	0.27%	0.47%	0.25%	0.63%	0.38%	0.27%	0.00%	0.11%	0.00%	0.11%	0.00%	0.24%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.17%	0.43%	0.60%	0.00%	0.00%	0.12%	0.22%	0.14%	0.00%	0.37%	0.45%	0.13%	0.35%	0.23%	0.13%	0.00%	0.42%	0.00%	0.41%	0.00%	0.36%	0.77%	0.00%	0.81%					
24	7.Политическая партия «Либерально-демократическая партия России»	7806	54	124	48	55	86	51	59	65	115	78	65	53	74	68	69	73	80	89	61	74	91	77	78	62	72	52	42	68	64	77	76	116	114	125	123	109	101	81	22	27	65	105	19	34	34	33	35	132	125	146	150	140	80	17	39	130	104	52	89	12	22	38	17	92	16	60	18	55	23	9	44	70	105	135	23	25	88	85	127	94	74	91	35	25	61	25	73	41	17	24	32	44	34	21	15	93	104	341	56	38	52	50	92	80	76	59	50	30	70	72	90	31	25	45	35					
		9.08%	9.31%	11.41%	10.96%	9.43%	9.64%	11.62%	8.37%	10.27%	8.74%	7.28%	7.01%	6.21%	8.58%	4.28%	7.52%	8.16%	7.80%	9.81%	6.30%	8.22%	8.53%	8.30%	9.05%	6.18%	8.39%	6.72%	6.76%	6.87%	7.94%	7.57%	7.62%	10.65%	9.49%	8.52%	9.51%	8.52%	8.51%	7.38%	7.21%	13.37%	11.04%	10.11%	10.80%	9.94%	10.27%	12.00%	6.86%	9.59%	9.31%	10.86%	11.33%	10.37%	8.39%	6.09%	10.68%	8.64%	7.62%	11.38%	9.92%	4.46%	7.38%	7.45%	8.13%	11.89%	6.64%	10.47%	9.52%	8.44%	5.56%	6.87%	8.78%	10.37%	9.57%	10.56%	5.84%	7.81%	11.21%	11.41%	14.48%	10.24%	8.70%	10.04%	6.86%	5.95%	8.93%	8.33%	11.61%	6.60%	7.17%	11.59%	14.35%	7.36%	7.25%	6.34%	8.93%	11.14%	12.41%	18.89%	8.09%	6.82%	9.70%	11.21%	12.30%	9.40%	8.71%	7.49%	9.67%	6.36%	8.72%	7.32%	9.35%	11.03%	9.58%	6.60%	5.65%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	10141	72	91	43	59	87	40	81	81	126	133	123	113	97	135	120	117	132	121	122	126	141	129	91	117	108	98	94	149	91	154	123	156	158	210	168	155	147	136	30	13	57	102	26	31	24	32	48	144	140	134	152	187	124	34	18	214	164	42	73	41	21	44	33	90	24	52	25	83	42	14	72	93	175	179	59	27	51	94	86	157	188	131	64	43	94	36	47	89	29	17	30	47	59	18	22	96	93	30	83	53	42	45	110	128	102	94	61	54	83	111	109	45	31	64	98					
		11.79%	12.41%	8.37%	9.82%	10.12%	9.75%	9.11%	11.49%	12.80%	9.57%	12.42%	13.27%	13.23%	11.25%	8.49%	13.09%	13.07%	12.87%	13.34%	12.59%	14.00%	13.21%	13.90%	10.56%	11.65%	12.59%	12.66%	15.14%	15.05%	11.29%	15.14%	12.32%	14.33%	13.16%	14.31%	12.98%	12.12%	12.38%	12.39%	9.84%	6.44%	9.68%	9.82%	14.77%	9.06%	7.25%	11.64%	9.41%	10.47%	10.42%	9.97%	11.48%	13.85%	12.99%	12.19%	4.93%	14.23%	12.01%	9.19%	8.14%	15.24%	7.05%	8.63%	15.79%	11.63%	9.96%	9.08%	13.23%	12.73%	10.14%	10.69%	14.37%	13.78%	15.95%	13.99%	14.97%	8.44%	6.50%	12.62%	9.81%	17.10%	22.09%	14.46%	12.55%	10.24%	13.76%	12.00%	7.47%	14.33%	12.24%	8.21%	13.45%	7.86%	12.58%	5.44%	13.10%	11.50%	11.10%	1.66%	11.99%	9.52%	7.84%	10.09%	14.71%	15.04%	11.68%	11.93%	11.80%	11.44%	10.34%	11.29%	11.32%	16.01%	11.88%	9.38%	15.83%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	651	4	5	2	5	5	3	11	1	12	20	5	9	8	9	8	7	6	7	11	4	6	7	9	3	6	6	5	3	5	8	9	12	3	12	11	12	11	8	0	1	3	7	1	4	3	1	8	10	7	9	6	7	8	0	4	6	10	2	5	1	0	2	3	8	1	2	4	3	0	0	5	7	5	14	1	4	3	7	6	5	8	7	1	4	4	2	1	3	4	0	1	4	4	1	2	12	8	16	8	8	5	3	10	10	11	7	1	5	2	11	8	3	3	6	7					
