Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Апшеронская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357									
		2.40%	2.05%	2.81%	1.53%	1.79%	2.76%	2.72%	2.34%	1.48%	1.73%	3.25%	3.14%	2.23%	1.09%	1.40%	2.16%	2.15%	3.42%	1.32%	2.74%	2.99%	2.52%	2.75%	3.07%	2.97%	3.35%	2.48%	1.30%	2.79%	2.39%	2.66%	1.33%	3.37%	3.04%	3.65%	1.74%	0.99%	1.83%	4.44%	1.88%	2.62%	1.18%	1.94%	2.11%	3.64%	4.72%	2.67%	1.77%	2.18%	3.78%	5.82%	3.25%	2.26%	2.07%	2.12%	1.94%	5.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	528	9	12	1	20	3	17	14	24	11	13	39	24	6	22	19	1	2	11	8	14	23	23	25	0	2	16	8	6	14	7	1	12	11	9	2	3	2	5	8	5	4	5	0	12	3	3	4	4	5	1	2	5	1	16	8	3									
		1.54%	1.23%	1.53%	0.51%	1.79%	0.44%	2.01%	1.64%	2.09%	1.36%	1.62%	4.22%	1.91%	0.59%	1.81%	1.41%	0.43%	1.37%	1.12%	1.83%	1.55%	1.93%	2.18%	2.26%	0.00%	0.84%	1.37%	1.30%	1.12%	4.18%	1.43%	0.11%	3.11%	1.76%	1.22%	1.74%	0.99%	0.92%	3.70%	0.84%	1.01%	1.57%	4.85%	0.00%	2.43%	2.83%	0.80%	1.41%	1.45%	0.65%	0.28%	0.50%	1.13%	0.69%	1.10%	1.94%	1.97%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22016	358	493	137	693	532	446	592	561	577	500	456	718	811	642	904	180	80	704	278	516	767	639	628	57	177	713	446	390	218	323	623	211	458	511	70	234	168	81	735	335	169	66	90	278	43	213	206	163	408	200	235	265	100	1174	327	117									
		64.23%	48.91%	62.96%	69.90%	62.10%	77.33%	52.78%	69.40%	48.83%	71.15%	62.42%	49.30%	57.17%	80.06%	52.88%	67.31%	77.25%	54.79%	71.47%	63.47%	57.21%	64.35%	60.51%	56.68%	56.44%	74.06%	60.94%	72.52%	72.49%	65.07%	66.05%	68.99%	54.66%	73.28%	69.15%	60.87%	76.97%	77.06%	60.00%	76.72%	67.40%	66.54%	64.08%	94.74%	56.28%	40.57%	56.80%	72.79%	59.27%	53.19%	55.40%	58.75%	59.95%	68.97%	80.36%	79.37%	76.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	163	4	3	0	9	1	4	3	7	5	1	9	5	4	6	2	0	1	2	0	12	9	3	5	0	0	7	1	4	1	4	0	4	0	1	0	3	0	1	10	2	2	0	0	3	0	0	0	2	3	1	1	6	1	3	7	1									
		0.48%	0.55%	0.38%	0.00%	0.81%	0.15%	0.47%	0.35%	0.61%	0.62%	0.12%	0.97%	0.40%	0.39%	0.49%	0.15%	0.00%	0.68%	0.20%	0.00%	1.33%	0.76%	0.28%	0.45%	0.00%	0.00%	0.60%	0.16%	0.74%	0.30%	0.82%	0.00%	1.04%	0.00%	0.14%	0.00%	0.99%	0.00%	0.74%	1.04%	0.40%	0.79%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.73%	0.39%	0.28%	0.25%	1.36%	0.69%	0.21%	1.70%	0.66%									
24	"6. Политическая партия ""Гражданская Платформа"""	69	0	0	0	7	0	0	3	2	1	3	4	2	3	3	0	1	2	1	0	4	1	0	2	0	0	0	0	1	0	0	0	1	1	4	0	2	0	0	1	0	0	1	0	1	0	1	0	1	2	2	1	7	0	0	4	0									
		0.20%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.35%	0.17%	0.12%	0.37%	0.43%	0.16%	0.30%	0.25%	0.00%	0.43%	1.37%	0.10%	0.00%	0.44%	0.08%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.26%	0.16%	0.54%	0.00%	0.66%	0.00%	0.00%	0.10%	0.00%	0.00%	0.97%	0.00%	0.20%	0.00%	0.27%	0.00%	0.36%	0.26%	0.55%	0.25%	1.58%	0.00%	0.00%	0.97%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3978	146	77	25	139	61	139	92	111	76	83	113	140	20	188	148	18	31	89	54	137	145	130	168	20	18	159	64	47	44	75	109	57	67	80	16	37	24	24	83	51	35	11	2	62	22	67	33	54	104	47	40	30	11	114	31	10									
		11.61%	19.95%	9.83%	12.76%	12.46%	8.87%	16.45%	10.79%	9.66%	9.37%	10.36%	12.22%	11.15%	1.97%	15.49%	11.02%	7.73%	21.23%	9.04%	12.33%	15.19%	12.16%	12.31%	15.16%	19.80%	7.53%	13.59%	10.41%	8.74%	13.13%	15.34%	12.07%	14.77%	10.72%	10.83%	13.91%	12.17%	11.01%	17.78%	8.66%	10.26%	13.78%	10.68%	2.11%	12.55%	20.75%	17.87%	11.66%	19.64%	13.56%	13.02%	10.00%	6.79%	7.59%	7.80%	7.52%	6.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	111	1	3	0	4	0	5	3	6	2	3	9	5	4	2	5	0	0	2	1	3	6	4	5	0	0	3	2	0	0	2	0	5	1	6	0	0	0	0	2	3	2	0	0	2	0	0	0	0	4	0	0	1	1	0	1	3									
		0.32%	0.14%	0.38%	0.00%	0.36%	0.00%	0.59%	0.35%	0.52%	0.25%	0.37%	0.97%	0.40%	0.39%	0.16%	0.37%	0.00%	0.00%	0.20%	0.23%	0.33%	0.50%	0.38%	0.45%	0.00%	0.00%	0.26%	0.33%	0.00%	0.00%	0.41%	0.00%	1.30%	0.16%	0.81%	0.00%	0.00%	0.00%	0.00%	0.21%	0.60%	0.79%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.23%	0.69%	0.00%	0.24%	1.97%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	210	7	5	1	13	6	8	3	12	9	13	18	9	3	10	7	0	1	1	2	7	7	11	8	3	1	5	1	1	1	2	0	3	1	4	0	1	0	2	3	1	3	0	0	1	0	1	1	1	1	1	1	5	0	3	2	0									
		0.61%	0.96%	0.64%	0.51%	1.16%	0.87%	0.95%	0.35%	1.04%	1.11%	1.62%	1.95%	0.72%	0.30%	0.82%	0.52%	0.00%	0.68%	0.10%	0.46%	0.78%	0.59%	1.04%	0.72%	2.97%	0.42%	0.43%	0.16%	0.19%	0.30%	0.41%	0.00%	0.78%	0.16%	0.54%	0.00%	0.33%	0.00%	1.48%	0.31%	0.20%	1.18%	0.00%	0.00%	0.20%	0.00%	0.27%	0.35%	0.36%	0.13%	0.28%	0.25%	1.13%	0.00%	0.21%	0.49%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	40	1	2	0	5	0	0	0	2	7	0	0	0	3	2	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	3	0	1	2	0									
		0.12%	0.14%	0.26%	0.00%	0.45%	0.00%	0.00%	0.00%	0.17%	0.86%	0.00%	0.00%	0.00%	0.30%	0.16%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.09%	0.16%	0.19%	0.00%	0.20%	0.00%	0.00%	0.16%	0.00%	0.87%	0.00%	0.46%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.25%	0.68%	0.00%	0.07%	0.49%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	202	5	2	3	11	3	11	2	4	2	6	8	11	5	11	1	3	0	10	1	7	6	7	8	0	0	8	7	2	2	1	9	3	5	5	0	2	1	1	4	4	3	2	0	1	0	1	1	1	4	1	1	3	3	0	0	0									
		0.59%	0.68%	0.26%	1.53%	0.99%	0.44%	1.30%	0.23%	0.35%	0.25%	0.75%	0.86%	0.88%	0.49%	0.91%	0.07%	1.29%	0.00%	1.02%	0.23%	0.78%	0.50%	0.66%	0.72%	0.00%	0.00%	0.68%	1.14%	0.37%	0.60%	0.20%	0.99%	0.78%	0.80%	0.68%	0.00%	0.66%	0.46%	0.74%	0.42%	0.80%	1.18%	1.94%	0.00%	0.20%	0.00%	0.27%	0.35%	0.36%	0.52%	0.28%	0.25%	0.68%	2.07%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4385	131	121	17	118	45	141	81	347	69	85	152	209	97	204	162	19	16	119	57	132	136	159	166	5	20	171	54	54	31	41	123	52	49	57	5	17	13	5	70	57	21	8	0	96	23	59	23	33	155	75	65	89	19	86	16	10									
		12.79%	17.90%	15.45%	8.67%	10.57%	6.54%	16.69%	9.50%	30.20%	8.51%	10.61%	16.43%	16.64%	9.58%	16.80%	12.06%	8.15%	10.96%	12.08%	13.01%	14.63%	11.41%	15.06%	14.98%	4.95%	8.37%	14.62%	8.78%	10.04%	9.25%	8.38%	13.62%	13.47%	7.84%	7.71%	4.35%	5.59%	5.96%	3.70%	7.31%	11.47%	8.27%	7.77%	0.00%	19.43%	21.70%	15.73%	8.13%	12.00%	20.21%	20.78%	16.25%	20.14%	13.10%	5.89%	3.88%	6.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	117	6	1	0	10	2	2	7	1	1	2	4	3	5	22	4	0	5	1	2	0	1	1	3	1	0	1	3	2	0	2	0	2	1	1	0	1	1	0	0	2	1	0	0	3	1	2	0	1	3	0	2	2	0	2	0	0									
		0.34%	0.82%	0.13%	0.00%	0.90%	0.29%	0.24%	0.82%	0.09%	0.12%	0.25%	0.43%	0.24%	0.49%	1.81%	0.30%	0.00%	3.42%	0.10%	0.46%	0.00%	0.08%	0.09%	0.27%	0.99%	0.00%	0.09%	0.49%	0.37%	0.00%	0.41%	0.00%	0.52%	0.16%	0.14%	0.00%	0.33%	0.46%	0.00%	0.00%	0.40%	0.39%	0.00%	0.00%	0.61%	0.94%	0.53%	0.00%	0.36%	0.39%	0.00%	0.50%	0.45%	0.00%	0.14%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	640	14	13	2	16	1	17	9	23	11	26	32	39	35	23	22	1	0	10	12	23	19	23	19	5	3	20	17	8	9	6	26	11	6	14	0	0	0	7	14	15	3	0	0	4	4	7	2	2	18	4	22	8	3	11	1	0									
		1.87%	1.91%	1.66%	1.02%	1.43%	0.15%	2.01%	1.06%	2.00%	1.36%	3.25%	3.46%	3.11%	3.46%	1.89%	1.64%	0.43%	0.00%	1.02%	2.74%	2.55%	1.59%	2.18%	1.71%	4.95%	1.26%	1.71%	2.76%	1.49%	2.69%	1.23%	2.88%	2.85%	0.96%	1.89%	0.00%	0.00%	0.00%	5.19%	1.46%	3.02%	1.18%	0.00%	0.00%	0.81%	3.77%	1.87%	0.71%	0.73%	2.35%	1.11%	5.50%	1.81%	2.07%	0.75%	0.24%	0.00%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
