Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
Наименование Избирательной комиссии:    Mихайловская																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79									
		1.34%	0.69%	0.0%	0.28%	0.26%	1.25%	1.04%	1.24%	0.64%	1.56%	0.64%	1.39%	1.35%	1.31%	2.41%	2.04%	0.47%	0.87%	0.68%	0.0%	3.00%	1.23%	2.62%	0.0%	3.33%	0.33%	1.16%	2.40%	0.75%	0.0%	3.30%	0.81%	1.73%	2.94%	1.25%	0.0%	2.16%	0.94%	2.02%	1.27%	0.0%	1.23%	0.0%	3.73%	0.0%	5.45%	3.08%	2.29%	0.0%	0.0%	2.46%	2.05%	2.66%	1.20%	3.35%	2.63%	2.63%	0.96%	1.96%	2.13%	0.85%									
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	419	14	8	34	15	24	13	7	16	11	8	20	7	3	13	2	1	3	2	0	7	7	8	2	3	1	0	5	0	1	3	0	0	3	2	2	14	8	1	1	5	0	3	2	0	6	6	5	2	3	6	1	2	72	1	1	3	6	2	15	9									
		2.58%	1.94%	1.43%	4.83%	3.98%	6.0%	2.70%	1.74%	3.41%	5.72%	2.59%	6.96%	1.89%	0.78%	2.85%	0.45%	0.47%	0.87%	0.68%	0.0%	5.26%	1.08%	2.62%	2.66%	5.0%	0.33%	0.0%	0.85%	0.0%	1.33%	2.47%	0.0%	0.0%	1.76%	1.25%	2.19%	3.03%	3.79%	0.50%	0.42%	4.50%	0.0%	3.19%	0.74%	0.0%	5.45%	2.64%	2.29%	1.26%	1.29%	2.46%	0.41%	2.66%	21.62%	0.67%	1.31%	1.97%	2.88%	1.30%	6.41%	1.92%									
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1973	98	60	94	76	67	52	55	43	28	40	20	78	40	78	92	49	60	39	76	2	53	19	9	5	43	6	67	24	11	4	3	25	19	2	0	61	37	11	7	9	4	2	42	0	10	35	9	14	15	22	33	15	38	21	7	30	24	17	10	63									
		12.18%	13.59%	10.77%	13.37%	20.21%	16.75%	10.83%	13.71%	9.18%	14.58%	12.98%	6.96%	21.13%	10.52%	17.10%	20.86%	23.44%	17.54%	13.35%	19.94%	1.50%	8.19%	6.22%	12.0%	8.33%	14.28%	6.97%	11.51%	18.04%	14.66%	3.30%	2.43%	8.68%	11.17%	1.25%	0.0%	13.20%	17.53%	5.55%	2.97%	8.10%	2.46%	2.12%	15.67%	0.0%	9.09%	15.41%	4.12%	8.86%	6.49%	9.05%	13.58%	20.0%	11.41%	14.09%	9.21%	19.73%	11.53%	11.11%	4.27%	13.46%									
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	271	28	14	13	7	4	10	13	11	5	9	12	6	8	10	4	2	8	2	0	0	6	4	3	1	2	2	7	3	1	2	4	0	1	1	0	7	1	7	1	0	6	1	7	0	10	1	4	0	1	3	0	0	0	2	4	0	0	2	4	7									
		1.67%	3.88%	2.51%	1.84%	1.86%	1.0%	2.08%	3.24%	2.35%	2.60%	2.92%	4.18%	1.62%	2.10%	2.19%	0.90%	0.95%	2.33%	0.68%	0.0%	0.0%	0.92%	1.31%	4.0%	1.66%	0.66%	2.32%	1.20%	2.25%	1.33%	1.65%	3.25%	0.0%	0.58%	0.62%	0.0%	1.51%	0.47%	3.53%	0.42%	0.0%	3.70%	1.06%	2.61%	0.0%	9.09%	0.44%	1.83%	0.0%	0.43%	1.23%	0.0%	0.0%	0.0%	1.34%	5.26%	0.0%	0.0%	1.30%	1.70%	1.49%									
22	"5. ""За Русь Святую"""	118	5	4	3	5	1	1	5	2	22	1	0	4	7	1	5	3	2	0	2	1	3	1	0	1	0	2	2	2	0	0	1	0	2	1	0	3	0	2	0	0	2	0	4	0	0	0	3	0	1	1	0	2	0	0	0	0	3	1	4	3									
		0.72%	0.69%	0.71%	0.42%	1.32%	0.25%	0.20%	1.24%	0.42%	11.45%	0.32%	0.0%	1.08%	1.84%	0.21%	1.13%	1.43%	0.58%	0.0%	0.52%	0.75%	0.46%	0.32%	0.0%	1.66%	0.0%	2.32%	0.34%	1.50%	0.0%	0.0%	0.81%	0.0%	1.17%	0.62%	0.0%	0.64%	0.0%	1.01%	0.0%	0.0%	1.23%	0.0%	1.49%	0.0%	0.0%	0.0%	1.37%	0.0%	0.43%	0.41%	0.0%	2.66%	0.0%	0.0%	0.0%	0.0%	1.44%	0.65%	1.70%	0.64%									
23	"6. ""Объединенная Российская партия ""Русь"""	41	2	2	5	0	1	0	0	0	4	0	1	2	0	1	0	0	1	0	2	0	1	1	0	0	2	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	3	1	1	1	1	2	0	0	0	1	0	1	0	0	0	0									
		0.25%	0.27%	0.35%	0.71%	0.0%	0.25%	0.0%	0.0%	0.0%	2.08%	0.0%	0.34%	0.54%	0.0%	0.21%	0.0%	0.0%	0.29%	0.0%	0.52%	0.0%	0.15%	0.32%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.34%	0.58%	0.0%	0.0%	0.21%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.72%	0.44%	0.45%	0.63%	0.43%	0.82%	0.0%	0.0%	0.0%	0.67%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%									
24	"7. ""Новый курс - Автомобильная Россия"""	89	2	2	5	1	8	5	3	1	0	3	2	3	3	2	4	0	5	0	1	0	4	1	1	0	3	0	1	4	0	0	1	0	0	0	0	3	0	1	0	0	1	0	1	0	0	2	3	0	1	1	4	1	1	0	3	1	0	0	1	0									
		0.54%	0.27%	0.35%	0.71%	0.26%	2.0%	1.04%	0.74%	0.21%	0.0%	0.97%	0.69%	0.81%	0.78%	0.43%	0.90%	0.0%	1.46%	0.0%	0.26%	0.0%	0.61%	0.32%	1.33%	0.0%	0.99%	0.0%	0.17%	3.00%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.50%	0.0%	0.0%	0.61%	0.0%	0.37%	0.0%	0.0%	0.88%	1.37%	0.0%	0.43%	0.41%	1.64%	1.33%	0.30%	0.0%	3.94%	0.65%	0.0%	0.0%	0.42%	0.0%									
25	"8. ""Народно-республиканская партия России"""	26	1	0	2	0	0	1	0	1	0	0	0	1	0	3	0	1	2	0	0	2	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	1	0	1	0									
		0.16%	0.13%	0.0%	0.28%	0.0%	0.0%	0.20%	0.0%	0.21%	0.0%	0.0%	0.0%	0.27%	0.0%	0.65%	0.0%	0.47%	0.58%	0.0%	0.0%	1.50%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.65%	0.81%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.32%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.48%	0.0%	0.42%	0.0%									
26	"9. ""Российская экологическая партия ""Зеленые"""	29	1	2	3	0	0	0	0	2	0	1	3	0	1	0	2	0	0	0	0	0	0	1	2	1	0	0	2	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1									
		0.17%	0.13%	0.35%	0.42%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.32%	1.04%	0.0%	0.26%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	2.66%	1.66%	0.0%	0.0%	0.34%	0.75%	0.0%	0.0%	0.0%	0.34%	0.0%	0.62%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.90%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%									
27	"10. ""Аграрная партия России"""	797	16	15	15	7	9	9	18	9	2	7	7	2	7	11	12	6	4	15	6	14	46	30	1	2	17	9	37	6	12	4	9	33	3	23	1	9	57	25	14	5	10	8	24	1	8	16	22	5	2	13	9	10	21	21	18	5	0	4	48	18									
		4.92%	2.21%	2.69%	2.13%	1.86%	2.25%	1.87%	4.48%	1.92%	1.04%	2.27%	2.43%	0.54%	1.84%	2.41%	2.72%	2.87%	1.16%	5.13%	1.57%	10.52%	7.10%	9.83%	1.33%	3.33%	5.64%	10.46%	6.35%	4.51%	16.0%	3.30%	7.31%	11.45%	1.76%	14.46%	1.09%	1.94%	27.01%	12.62%	5.95%	4.50%	6.17%	8.51%	8.95%	1.75%	7.27%	7.04%	10.09%	3.16%	0.86%	5.34%	3.70%	13.33%	6.30%	14.09%	23.68%	3.28%	0.0%	2.61%	20.51%	3.84%									
28	"11. ""Истинные патриоты России"""	49	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	11	3	1	0	0	0	0	0	1	0	13	4	1	1	0	0	0	0	0	1	0	0	0									
		0.30%	0.0%	0.17%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.47%	0.0%	0.68%	0.26%	0.0%	0.15%	0.65%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.47%	5.55%	1.27%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	8.22%	1.73%	0.41%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%									
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	198	13	9	5	2	5	12	6	11	3	3	0	12	4	4	2	3	1	4	0	1	6	5	1	0	0	0	8	0	1	0	1	3	2	0	0	7	4	2	9	0	5	0	5	0	1	3	5	0	4	3	5	0	1	3	0	0	8	4	1	1									
		1.22%	1.80%	1.61%	0.71%	0.53%	1.25%	2.5%	1.49%	2.35%	1.56%	0.97%	0.0%	3.25%	1.05%	0.87%	0.45%	1.43%	0.29%	1.36%	0.0%	0.75%	0.92%	1.63%	1.33%	0.0%	0.0%	0.0%	1.37%	0.0%	1.33%	0.0%	0.81%	1.04%	1.17%	0.0%	0.0%	1.51%	1.89%	1.01%	3.82%	0.0%	3.08%	0.0%	1.86%	0.0%	0.90%	1.32%	2.29%	0.0%	1.73%	1.23%	2.05%	0.0%	0.30%	2.01%	0.0%	0.0%	3.84%	2.61%	0.42%	0.21%									
30	"13. ""Демократическая партия России"""	53	1	0	1	2	0	1	1	2	2	0	0	4	0	3	3	1	1	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	2	0	0	1	0	2	0	1	1	0	0	0	3	0	0	1	0	0	2	0	0	1	0	1	1	0	0	0									
		0.32%	0.13%	0.0%	0.14%	0.53%	0.0%	0.20%	0.24%	0.42%	1.04%	0.0%	0.0%	1.08%	0.0%	0.65%	0.68%	0.47%	0.29%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	2.40%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.21%	0.0%	1.01%	0.0%	0.90%	0.61%	0.0%	0.0%	0.0%	2.72%	0.0%	0.0%	0.63%	0.0%	0.0%	0.82%	0.0%	0.0%	0.67%	0.0%	0.65%	0.48%	0.0%	0.0%	0.0%									
31	"14. ""Великая Россия - Евразийский Союз"""	35	2	2	0	0	0	1	1	0	2	0	0	0	0	0	0	0	2	0	3	1	1	2	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	2	1	0	1	1	2									
		0.21%	0.27%	0.35%	0.0%	0.0%	0.0%	0.20%	0.24%	0.0%	1.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.78%	0.75%	0.15%	0.65%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.82%	0.81%	0.34%	0.0%	0.62%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.90%	0.44%	0.0%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.67%	2.63%	0.65%	0.0%	0.65%	0.42%	0.42%									
32	"15. ""Партия СЛОН"""	34	1	5	1	0	0	0	1	3	3	0	0	0	3	1	0	0	1	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1									
		0.21%	0.13%	0.89%	0.14%	0.0%	0.0%	0.0%	0.24%	0.64%	1.56%	0.0%	0.0%	0.0%	0.78%	0.21%	0.0%	0.0%	0.29%	0.0%	0.0%	0.75%	0.30%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.58%	0.62%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.37%	1.75%	0.0%	0.0%	0.0%	0.63%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	1.31%	0.0%	0.48%	0.0%	0.0%	0.21%									
33	"16. ""Родина"" (народно-патриотический союз)"""	1136	63	54	113	20	34	31	33	37	5	28	28	28	46	34	29	13	38	8	41	11	39	21	3	5	8	5	27	8	2	13	5	15	12	5	3	44	7	17	15	2	9	13	4	4	6	19	16	4	8	11	14	5	5	3	1	4	17	15	8	20									
		7.01%	8.73%	9.69%	16.07%	5.31%	8.5%	6.45%	8.22%	7.90%	2.60%	9.09%	9.75%	7.58%	12.10%	7.45%	6.57%	6.22%	11.11%	2.73%	10.76%	8.27%	6.02%	6.88%	4.0%	8.33%	2.65%	5.81%	4.63%	6.01%	2.66%	10.74%	4.06%	5.20%	7.05%	3.14%	3.29%	9.52%	3.31%	8.58%	6.38%	1.80%	5.55%	13.82%	1.49%	7.01%	5.45%	8.37%	7.33%	2.53%	3.46%	4.52%	5.76%	6.66%	1.50%	2.01%	1.31%	2.63%	8.17%	9.80%	3.41%	4.27%									
34	"17. ""Партия Мира и Единства (ПМЕ)"""	53	1	1	0	0	0	2	1	3	3	1	0	0	0	1	0	0	1	3	1	0	0	0	2	0	2	0	3	2	0	0	0	1	1	0	2	1	0	2	1	0	2	2	3	0	0	1	0	3	0	0	2	0	0	0	0	2	0	0	1	2									
		0.32%	0.13%	0.17%	0.0%	0.0%	0.0%	0.41%	0.24%	0.64%	1.56%	0.32%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.29%	1.02%	0.26%	0.0%	0.0%	0.0%	2.66%	0.0%	0.66%	0.0%	0.51%	1.50%	0.0%	0.0%	0.0%	0.34%	0.58%	0.0%	2.19%	0.21%	0.0%	1.01%	0.42%	0.0%	1.23%	2.12%	1.11%	0.0%	0.0%	0.44%	0.0%	1.89%	0.0%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	1.31%	0.0%	0.0%	0.42%	0.42%									
35	"18. ""ЛДПР"""	1785	88	79	62	54	45	71	43	60	15	35	42	33	28	40	33	20	26	17	34	27	38	57	8	6	65	10	32	3	8	15	20	28	16	19	0	51	33	27	24	1	31	10	22	3	12	25	18	23	22	26	26	10	30	16	9	14	41	26	29	79									
		11.02%	12.20%	14.18%	8.81%	14.36%	11.25%	14.79%	10.72%	12.82%	7.81%	11.36%	14.63%	8.94%	7.36%	8.77%	7.48%	9.56%	7.60%	5.82%	8.92%	20.30%	5.87%	18.68%	10.66%	10.0%	21.59%	11.62%	5.49%	2.25%	10.66%	12.39%	16.26%	9.72%	9.41%	11.94%	0.0%	11.03%	15.63%	13.63%	10.21%	0.90%	19.13%	10.63%	8.20%	5.26%	10.90%	11.01%	8.25%	14.55%	9.52%	10.69%	10.69%	13.33%	9.00%	10.73%	11.84%	9.21%	19.71%	16.99%	12.39%	16.88%									
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	215	13	2	7	3	7	4	5	5	3	4	2	4	5	7	6	4	4	5	2	1	11	6	2	2	2	1	8	3	3	2	1	7	7	1	0	8	2	1	2	0	3	5	6	0	5	3	6	0	0	1	2	0	6	0	1	1	0	0	3	11									
		1.32%	1.80%	0.35%	0.99%	0.79%	1.75%	0.83%	1.24%	1.06%	1.56%	1.29%	0.69%	1.08%	1.31%	1.53%	1.36%	1.91%	1.16%	1.71%	0.52%	0.75%	1.70%	1.96%	2.66%	3.33%	0.66%	1.16%	1.37%	2.25%	4.0%	1.65%	0.81%	2.43%	4.11%	0.62%	0.0%	1.73%	0.94%	0.50%	0.85%	0.0%	1.85%	5.31%	2.23%	0.0%	4.54%	1.32%	2.75%	0.0%	0.0%	0.41%	0.82%	0.0%	1.80%	0.0%	1.31%	0.65%	0.0%	0.0%	1.28%	2.35%									
37	"20. ""Политическая партия ""Единая Россия"""	5482	224	160	168	99	106	140	136	151	52	102	81	98	139	158	144	65	104	128	138	46	299	81	28	17	122	34	249	45	30	48	66	106	59	61	36	145	47	67	86	77	75	19	92	43	25	74	79	54	120	110	83	23	78	53	15	59	61	59	59	159									
		33.86%	31.06%	28.72%	23.89%	26.32%	26.5%	29.16%	33.91%	32.26%	27.08%	33.11%	28.22%	26.55%	36.57%	34.64%	32.65%	31.10%	30.40%	43.83%	36.22%	34.58%	46.21%	26.55%	37.33%	28.33%	40.53%	39.53%	42.78%	33.83%	40.0%	39.66%	53.65%	36.80%	34.70%	38.36%	39.56%	31.38%	22.27%	33.83%	36.59%	69.36%	46.29%	20.21%	34.32%	75.43%	22.72%	32.59%	36.23%	34.17%	51.94%	45.26%	34.15%	30.66%	23.42%	35.57%	19.73%	38.81%	29.32%	38.56%	25.21%	33.97%									
38	"21. ""Российская Конституционно-демократическая партия"""	29	1	1	0	0	2	0	0	1	2	2	0	0	0	3	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	3	0									
		0.17%	0.13%	0.17%	0.0%	0.0%	0.5%	0.0%	0.0%	0.21%	1.04%	0.64%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.32%	1.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.50%	0.85%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.30%	0.67%	0.0%	0.65%	0.0%	0.0%	1.28%	0.0%									
39	"22. ""Развитие предпринимательства"""	28	1	2	1	3	0	1	0	1	1	2	0	0	0	0	0	1	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	2									
		0.17%	0.13%	0.35%	0.14%	0.79%	0.0%	0.20%	0.0%	0.21%	0.52%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.29%	0.0%	0.26%	0.0%	0.0%	0.65%	0.0%	1.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	1.06%	0.37%	0.0%	0.0%	0.88%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.42%									
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2216	104	107	123	56	60	87	39	82	12	38	33	65	56	43	69	26	63	40	57	12	82	40	7	7	16	14	84	25	3	23	3	43	13	28	25	79	6	8	59	6	7	25	23	4	7	19	21	27	42	24	43	3	57	14	9	15	31	14	29	59									
