Выборы Президента Российской Федерации																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Киров, Октябрьская"																																																																																				
																																																																																				
Итоги голосования 																																																																																				
																																																																																				
		Сумма	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499					
11	Число полученных открепительных  удостоверений	1985	30	40	30	30	25	30	30	30	25	30	25	25	30	25	40	25	30	25	25	25	35	25	35	25	25	35	25	30	30	35	25	30	30	30	30	30	30	30	30	30	35	40	50	30	30	25	25	40	30	25	30	25	25	30	25	30	25	30	25	30	25	25	35	25	10	40	25	0	0	0	0	0	0	0	0	0	25					
12	Число выданных открепительных удостоверений	900	12	15	18	15	13	17	12	15	5	19	5	7	15	7	11	6	18	8	14	17	6	3	9	15	5	17	12	16	15	9	24	10	25	25	17	12	23	12	17	12	11	34	38	23	17	7	12	14	11	8	15	14	12	7	15	18	16	15	7	11	7	11	5	10	2	7	12	0	0	0	0	0	0	0	0	0	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	867	5	10	11	7	6	9	4	10	17	6	11	10	7	9	9	10	6	13	27	5	11	6	14	3	3	4	8	4	28	7	11	14	15	20	15	2	19	21	13	13	6	26	17	21	17	13	6	16	9	14	20	7	10	11	11	21	4	6	8	12	13	7	4	3	5	5	5	17	21	12	10	11	19	22	22	7	6					
14	Число неиспользованных открепительных удостоверений	1085	18	25	12	15	12	13	18	15	20	11	20	18	15	18	29	19	12	17	11	8	29	22	26	10	20	18	13	14	15	26	1	20	5	5	13	18	7	18	13	18	24	6	12	7	13	18	13	26	19	17	15	11	13	23	10	12	9	15	18	19	18	14	30	15	8	33	13	0	0	0	0	0	0	0	0	0	17					
15	"Число открепительных удостоверений, выданных в ТИК"	85	2	2	0	1	1	2	2	2	1	1	0	0	0	0	0	2	4	1	1	2	0	0	0	0	0	1	3	1	1	0	2	3	2	6	1	1	1	1	2	1	0	1	0	2	1	2	1	0	2	5	0	3	2	2	1	2	0	0	1	2	0	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																				
18	. Глазьев Сергей Юрьевич	4827	76	106	112	94	62	86	107	127	32	96	71	73	95	25	75	61	88	53	53	88	69	43	74	52	41	82	66	71	88	68	71	90	96	104	131	85	50	58	60	103	102	56	37	82	73	83	45	79	102	27	56	75	53	81	79	85	54	99	44	81	23	36	59	35	12	54	20	3	9	8	1	5	3	15	6	3	60					
		6.48%	6.35%	7.47%	8.39%	7.85%	6.72%	7.33%	8.77%	10.72%	5.69%	7.63%	7.99%	8.35%	6.23%	4.96%	5.47%	6.55%	6.93%	6.42%	5.63%	8.94%	6.69%	6.04%	6.36%	5.80%	5.70%	7.07%	6.87%	5.44%	5.91%	7.27%	5.91%	7.18%	7.67%	7.53%	8.88%	6.95%	4.45%	4.02%	4.95%	7.24%	7.02%	4.76%	4.17%	6.68%	5.38%	7.56%	5.06%	6.71%	8.61%	4.74%	5.00%	7.81%	6.66%	7.17%	7.44%	6.45%	5.06%	7.66%	5.06%	6.52%	2.39%	3.79%	6.43%	4.40%	4.43%	4.33%	2.74%	4.23%	3.64%	6.78%	1.45%	8.20%	2.83%	7.01%	7.59%	5.08%	7.24%					
19	. Малышкин Олег Александрович	1886	33	41	30	29	24	34	38	22	19	17	22	28	39	9	45	35	31	24	21	19	31	16	19	32	18	33	25	25	50	18	15	37	37	27	44	31	15	36	29	39	29	18	13	36	38	17	18	29	39	13	29	25	16	36	34	20	28	34	26	31	25	30	25	26	8	32	24	3	9	1	2	4	3	3	1	1	23					
		2.53%	2.76%	2.89%	2.25%	2.42%	2.60%	2.90%	3.11%	1.86%	3.38%	1.35%	2.47%	3.20%	2.56%	1.79%	3.28%	3.76%	2.44%	2.91%	2.23%	1.93%	3.01%	2.25%	1.63%	3.57%	2.50%	2.84%	2.60%	1.92%	3.36%	1.93%	1.25%	2.95%	2.96%	1.96%	2.98%	2.53%	1.34%	2.50%	2.39%	2.74%	2.00%	1.53%	1.47%	2.93%	2.80%	1.55%	2.02%	2.46%	3.29%	2.28%	2.59%	2.60%	2.01%	3.19%	3.20%	1.52%	2.62%	2.63%	2.99%	2.49%	2.60%	3.15%	2.73%	3.27%	2.95%	2.56%	3.29%	4.23%	3.64%	0.85%	2.90%	6.56%	2.83%	1.40%	1.27%	1.69%	2.77%					
20	. Миронов Сергей Михайлович	700	15	9	16	10	8	8	16	12	10	8	8	11	19	5	13	7	18	12	5	13	7	3	8	13	11	9	11	16	15	9	6	15	10	11	14	8	8	16	9	17	12	16	4	18	11	9	8	13	7	8	7	4	5	11	14	9	11	10	5	10	10	8	7	4	3	11	2	0	4	2	1	1	0	6	0	0	10					
		0.94%	1.25%	0.63%	1.20%	0.83%	0.87%	0.68%	1.31%	1.01%	1.78%	0.64%	0.90%	1.26%	1.25%	0.99%	0.95%	0.75%	1.42%	1.45%	0.53%	1.32%	0.68%	0.42%	0.69%	1.45%	1.53%	0.78%	1.14%	1.23%	1.01%	0.96%	0.50%	1.20%	0.80%	0.80%	0.95%	0.65%	0.71%	1.11%	0.74%	1.20%	0.83%	1.36%	0.45%	1.47%	0.81%	0.82%	0.90%	1.10%	0.59%	1.40%	0.62%	0.42%	0.63%	0.97%	1.32%	0.68%	1.03%	0.77%	0.58%	0.80%	1.04%	0.84%	0.76%	0.50%	1.11%	0.88%	0.27%	0.00%	1.62%	1.69%	1.45%	1.64%	0.00%	2.80%	0.00%	0.00%	1.21%					
21	. Путин Владимир Владимирович	49744	795	908	839	755	568	730	732	682	372	759	551	530	982	353	935	618	841	575	646	652	671	463	807	596	461	725	627	854	954	590	805	785	818	915	919	797	779	1099	875	918	960	885	650	795	968	733	618	782	766	395	778	592	555	743	731	856	763	890	586	803	750	707	673	561	182	932	565	49	167	87	58	40	81	161	48	39	514					
		66.73%	66.47%	63.99%	62.85%	63.02%	61.54%	62.18%	60.00%	57.55%	66.19%	60.33%	61.98%	60.64%	64.39%	70.04%	68.25%	66.38%	66.22%	69.61%	68.58%	66.26%	65.08%	65.03%	69.33%	66.44%	64.12%	62.50%	65.24%	65.44%	64.03%	63.10%	67.03%	62.60%	65.39%	66.26%	62.26%	65.17%	69.37%	76.27%	72.25%	64.56%	66.07%	75.26%	73.28%	64.79%	71.39%	66.76%	69.44%	66.44%	64.70%	69.30%	69.40%	61.67%	69.72%	65.75%	68.83%	64.95%	71.51%	68.89%	67.43%	64.60%	77.96%	74.34%	73.39%	70.48%	67.16%	74.68%	77.40%	69.01%	67.61%	73.73%	84.06%	65.57%	76.42%	75.23%	60.76%	66.10%	62.00%					
22	. Хакамада Ирина Муцуовна	3916	57	86	57	51	41	61	62	66	31	59	29	40	85	21	77	45	68	48	42	59	65	35	40	62	29	67	63	76	100	78	91	63	69	63	114	71	71	49	51	78	88	49	52	86	56	52	35	45	58	31	50	46	36	72	57	92	100	98	52	85	28	23	30	34	7	27	18	4	14	5	4	1	3	8	2	5	43					
		5.25%	4.77%	6.06%	4.27%	4.26%	4.44%	5.20%	5.08%	5.57%	5.52%	4.69%	3.26%	4.58%	5.57%	4.17%	5.62%	4.83%	5.35%	5.81%	4.46%	6.00%	6.30%	4.92%	3.44%	6.91%	4.03%	5.78%	6.56%	5.82%	6.71%	8.34%	7.58%	5.02%	5.52%	4.56%	7.72%	5.81%	6.32%	3.40%	4.21%	5.49%	6.06%	4.17%	5.86%	7.01%	4.13%	4.74%	3.93%	3.82%	4.90%	5.44%	4.46%	4.79%	4.52%	6.37%	5.37%	6.98%	9.37%	7.59%	5.98%	6.84%	2.91%	2.42%	3.27%	4.27%	2.58%	2.16%	2.47%	5.63%	5.67%	4.24%	5.80%	1.64%	2.83%	3.74%	2.53%	8.47%	5.19%					
23	. Харитонов Николай Михайлович	10377	176	201	228	218	171	197	206	227	77	264	166	165	232	71	174	125	169	88	146	125	121	122	172	94	132	190	132	193	213	146	160	211	171	192	179	178	147	119	136	201	213	112	80	144	169	157	131	170	172	69	160	192	89	125	101	193	74	124	112	184	106	111	86	112	49	160	91	8	29	10	3	7	11	12	19	7	150					
		13.92%	14.72%	14.16%	17.08%	18.20%	18.53%	16.78%	16.89%	19.16%	13.70%	20.99%	18.67%	18.88%	15.21%	14.09%	12.70%	13.43%	13.31%	10.65%	15.50%	12.70%	11.74%	17.13%	14.78%	10.48%	18.36%	16.38%	13.74%	14.79%	14.30%	15.61%	13.32%	16.83%	13.67%	13.90%	12.13%	14.55%	13.09%	8.26%	11.23%	14.14%	14.66%	9.52%	9.02%	11.74%	12.46%	14.30%	14.72%	14.44%	14.53%	12.11%	14.27%	20.00%	11.18%	11.06%	9.51%	14.64%	6.94%	9.60%	12.89%	14.80%	11.02%	11.67%	9.38%	14.07%	18.08%	12.82%	12.47%	11.27%	11.74%	8.47%	4.35%	11.48%	10.38%	5.61%	24.05%	11.86%	18.09%					
																																																																																				
24	Против всех	2728	39	62	41	39	40	52	51	44	20	49	34	21	63	19	46	38	52	22	23	27	62	24	36	44	25	52	33	63	60	21	44	48	46	62	73	48	45	58	41	46	42	34	48	64	35	39	25	55	34	24	37	20	35	59	41	57	36	33	42	45	17	27	37	20	8	22	9	3	14	3	0	3	5	8	3	4	27					
		3.66%	3.26%	4.37%	3.07%	3.26%	4.33%	4.43%	4.18%	3.71%	3.56%	3.90%	3.82%	2.40%	4.13%	3.77%	3.36%	4.08%	4.09%	2.66%	2.44%	2.74%	6.01%	3.37%	3.09%	4.91%	3.48%	4.48%	3.43%	4.83%	4.03%	2.25%	3.66%	3.83%	3.68%	4.49%	4.95%	3.92%	4.01%	4.02%	3.39%	3.23%	2.89%	2.89%	5.41%	5.22%	2.58%	3.55%	2.81%	4.67%	2.87%	4.21%	3.30%	2.08%	4.40%	5.22%	3.86%	4.32%	3.37%	2.55%	4.83%	3.62%	1.77%	2.84%	4.03%	2.51%	2.95%	1.76%	1.23%	4.23%	5.67%	2.54%	0.00%	4.92%	4.72%	3.74%	3.80%	6.78%	3.26%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
