Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																												
Дата голосования: 18.09.2016																																																																																																												
																																																																																																												
"Наименование Избирательной комиссии:    Калининград, Московская"																																																																																																												
																																																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																												
																																																																																																												
		Сумма	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №712	УИК №713	УИК №723	УИК №724	УИК №725	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №736	УИК №737	УИК №738	УИК №739	УИК №741	УИК №742	УИК №743									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1060	10	10	10	20	10	10	20	10	20	10	20	20	20	10	10	10	10	10	10	20	10	20	10	20	10	20	10	20	20	10	10	10	10	20	20	20	30	20	20	10	10	20	10	10	20	20	20	20	20	10	20	20	20	10	20	40	20	20	10	10	20	20	10	20	10	10	10	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	671	10	6	7	15	4	7	10	8	11	6	8	18	14	5	4	4	4	9	9	13	9	13	6	12	4	12	7	11	11	6	7	9	9	17	12	17	22	15	13	3	8	8	6	9	13	10	12	8	15	2	11	18	7	3	11	30	15	16	5	7	11	11	5	16	8	5	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1383	20	4	13	9	30	55	197	7	16	9	86	93	111	111	78	28	10	3	14	44	10	104	8	10	7	2	1	6	3	2	4	4	4	9	5	5	4	8	8	5	18	1	10	9	4	2	3	6	5	0	1	2	5	4	6	28	10	2	3	26	28	11	10	10	5	5	17	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	389	0	4	3	5	6	3	10	2	9	4	12	2	6	5	6	6	6	1	1	7	1	7	4	8	6	8	3	9	9	4	3	1	1	3	8	3	8	5	7	7	2	12	4	1	7	10	8	12	5	8	9	2	13	7	9	10	5	4	5	3	9	9	5	4	2	5	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	233	3	5	4	4	1	3	3	6	2	1	3	5	3	1	1	3	2	1	3	2	6	2	3	10	2	5	3	9	5	0	3	2	2	3	7	4	4	7	8	1	2	9	1	8	3	0	1	8	5	2	3	3	4	2	2	5	4	4	1	3	1	1	3	7	1	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1260	25	25	14	18	9	30	18	34	20	15	34	20	26	22	20	24	20	14	20	15	44	21	6	22	11	7	22	28	20	15	22	22	25	22	9	23	23	15	29	5	6	27	18	7	20	15	5	12	10	13	17	19	15	6	9	19	16	13	3	20	23	34	13	19	7	13	2	3	19	1	0	3	2	2	2	2	5	4	1	2	1	1	1	1	2	1	0	1	1	1	0	1	0	1	0	0	7									
		2.29%	3.06%	3.26%	2.03%	2.56%	2.57%	3.01%	1.73%	4.99%	2.44%	2.02%	2.59%	2.07%	2.27%	2.36%	2.09%	2.22%	1.76%	1.66%	1.60%	2.43%	3.18%	2.33%	1.06%	1.97%	3.42%	0.85%	2.24%	2.91%	2.15%	1.56%	2.64%	2.31%	2.25%	2.03%	1.33%	2.13%	2.47%	1.47%	2.43%	0.79%	1.06%	3.04%	2.65%	1.73%	2.62%	1.94%	1.19%	1.91%	2.11%	4.55%	2.21%	2.62%	2.39%	1.75%	1.72%	1.98%	1.96%	1.81%	0.87%	2.82%	3.07%	4.55%	1.88%	2.29%	2.11%	2.53%	1.54%	1.49%	2.31%	5.88%	0.00%	4.76%	2.82%	2.74%	2.82%	2.30%	5.81%	4.40%	2.78%	3.33%	1.75%	2.17%	2.44%	2.27%	11.76%	5.88%	0.00%	5.56%	6.67%	6.67%	0.00%	1.64%	0.00%	1.67%	0.00%	0.00%	4.19%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1560	16	19	24	27	8	29	28	10	16	12	31	21	28	24	17	15	29	31	32	10	17	26	16	36	8	30	32	18	34	40	23	30	43	43	28	26	31	42	32	19	12	30	9	7	27	21	4	16	9	6	21	24	18	13	10	37	28	30	15	26	26	17	17	21	8	7	2	10	15	0	1	6	9	5	6	3	7	6	3	1	3	3	0	1	1	0	0	0	0	0	0	1	5	6	2	0	4									
		2.83%	1.96%	2.48%	3.49%	3.84%	2.29%	2.91%	2.70%	1.47%	1.95%	1.62%	2.36%	2.17%	2.45%	2.57%	1.77%	1.39%	2.55%	3.68%	2.56%	1.62%	1.23%	2.89%	2.82%	3.23%	2.48%	3.66%	3.27%	1.87%	3.66%	4.16%	2.76%	3.15%	3.87%	3.97%	4.15%	2.41%	3.33%	4.13%	2.68%	3.01%	2.12%	3.37%	1.33%	1.73%	3.54%	2.72%	0.95%	2.54%	1.90%	2.10%	2.73%	3.31%	2.87%	3.79%	1.92%	3.85%	3.43%	4.18%	4.37%	3.67%	3.47%	2.28%	2.46%	2.53%	2.42%	1.36%	1.54%	4.95%	1.82%	0.00%	5.88%	9.52%	12.68%	6.85%	8.45%	3.45%	8.14%	6.59%	8.33%	1.67%	5.26%	6.52%	0.00%	2.27%	5.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.64%	12.82%	10.00%	5.26%	0.00%	2.40%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1252	23	12	21	18	10	21	20	22	30	14	23	9	17	18	8	17	17	13	19	11	14	21	12	21	4	12	21	25	29	26	20	16	25	22	17	15	25	30	38	14	21	19	18	13	22	10	24	14	13	7	17	18	8	11	16	26	26	19	11	14	13	20	12	16	3	14	5	4	15	0	0	7	2	4	3	3	6	5	3	2	3	3	3	6	0	1	1	2	1	1	3	3	3	2	1	0	5									
		2.27%	2.82%	1.56%	3.05%	2.56%	2.86%	2.11%	1.93%	3.23%	3.66%	1.88%	1.75%	0.93%	1.48%	1.93%	0.84%	1.57%	1.50%	1.54%	1.52%	1.78%	1.01%	2.33%	2.11%	1.88%	1.24%	1.46%	2.14%	2.60%	3.12%	2.70%	2.40%	1.68%	2.25%	2.03%	2.52%	1.39%	2.68%	2.95%	3.19%	2.22%	3.70%	2.14%	2.65%	3.21%	2.88%	1.30%	5.70%	2.23%	2.74%	2.45%	2.21%	2.48%	1.28%	3.21%	3.07%	2.71%	3.19%	2.65%	3.21%	1.98%	1.73%	2.68%	1.74%	1.93%	0.91%	2.73%	3.85%	1.98%	1.82%	0.00%	0.00%	11.11%	2.82%	5.48%	4.23%	3.45%	6.98%	5.49%	8.33%	3.33%	5.26%	6.52%	7.32%	13.64%	0.00%	5.88%	6.25%	11.11%	6.67%	6.67%	23.08%	4.92%	7.69%	3.33%	2.63%	0.00%	2.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	21293	221	233	203	220	132	376	545	220	283	221	576	450	557	469	545	631	540	416	595	238	817	387	201	437	106	303	362	358	331	356	303	345	381	378	280	401	336	326	449	258	219	303	293	151	268	267	153	234	147	83	254	278	217	110	189	281	261	245	104	196	236	195	206	296	138	200	40	63	305	15	8	18	33	35	45	52	38	41	13	20	25	11	9	5	3	5	8	8	0	5	3	22	14	20	13	25	81									
		38.64%	27.05%	30.38%	29.51%	31.29%	37.71%	37.75%	52.50%	32.31%	34.55%	29.74%	43.84%	46.54%	48.65%	50.27%	56.89%	58.37%	47.54%	49.35%	47.68%	38.57%	59.12%	42.95%	35.39%	39.19%	32.92%	36.95%	36.94%	37.25%	35.63%	37.01%	36.33%	36.28%	34.32%	34.87%	41.48%	37.20%	36.05%	32.06%	37.64%	40.82%	38.62%	34.08%	43.15%	37.28%	35.12%	34.59%	36.34%	37.20%	31.01%	29.02%	33.07%	38.34%	34.61%	32.07%	36.21%	29.24%	31.99%	34.12%	30.32%	27.68%	31.47%	26.10%	29.86%	35.66%	41.69%	38.99%	30.77%	31.19%	37.01%	88.24%	47.06%	28.57%	46.48%	47.95%	63.38%	59.77%	44.19%	45.05%	36.11%	33.33%	43.86%	23.91%	21.95%	11.36%	17.65%	29.41%	50.00%	44.44%	0.00%	33.33%	23.08%	36.07%	35.90%	33.33%	34.21%	47.17%	48.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	598	8	13	13	9	3	15	7	4	9	10	13	9	9	16	5	8	11	6	13	3	9	12	6	17	3	7	7	12	8	8	1	13	14	10	5	11	10	5	15	2	6	14	5	2	7	12	6	4	10	3	9	7	10	3	5	8	10	4	2	4	10	8	7	12	2	6	1	2	10	0	1	2	0	4	5	1	5	5	1	0	3	3	0	0	0	0	0	1	0	0	1	3	0	2	3	0	10									
		1.09%	0.98%	1.69%	1.89%	1.28%	0.86%	1.51%	0.67%	0.59%	1.10%	1.35%	0.99%	0.93%	0.79%	1.71%	0.52%	0.74%	0.97%	0.71%	1.04%	0.49%	0.65%	1.33%	1.06%	1.52%	0.93%	0.85%	0.71%	1.25%	0.86%	0.83%	0.12%	1.37%	1.26%	0.92%	0.74%	1.02%	1.07%	0.49%	1.26%	0.32%	1.06%	1.57%	0.74%	0.49%	0.92%	1.55%	1.43%	0.64%	2.11%	1.05%	1.17%	0.97%	1.59%	0.87%	0.96%	0.83%	1.23%	0.56%	0.58%	0.56%	1.33%	1.07%	1.01%	1.45%	0.60%	1.17%	0.77%	0.99%	1.21%	0.00%	5.88%	3.17%	0.00%	5.48%	7.04%	1.15%	5.81%	5.49%	2.78%	0.00%	5.26%	6.52%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	7.69%	4.92%	0.00%	3.33%	7.89%	0.00%	5.99%									
24	"6. Политическая партия ""Гражданская Платформа"""	140	3	1	2	3	0	2	2	1	3	0	1	3	1	6	3	0	2	2	5	3	2	0	1	3	2	2	3	1	2	1	4	0	3	0	3	1	0	2	3	2	4	1	1	3	3	4	1	1	0	0	5	2	0	0	3	6	2	1	1	1	3	3	2	2	0	0	1	0	1	0	0	1	1	0	0	1	1	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1									
		0.25%	0.37%	0.13%	0.29%	0.43%	0.00%	0.20%	0.19%	0.15%	0.37%	0.00%	0.08%	0.31%	0.09%	0.64%	0.31%	0.00%	0.18%	0.24%	0.40%	0.49%	0.14%	0.00%	0.18%	0.27%	0.62%	0.24%	0.31%	0.10%	0.22%	0.10%	0.48%	0.00%	0.27%	0.00%	0.44%	0.09%	0.00%	0.20%	0.25%	0.32%	0.71%	0.11%	0.15%	0.74%	0.39%	0.52%	0.24%	0.16%	0.00%	0.00%	0.65%	0.28%	0.00%	0.00%	0.57%	0.62%	0.25%	0.14%	0.29%	0.14%	0.40%	0.40%	0.29%	0.24%	0.00%	0.00%	0.77%	0.00%	0.12%	0.00%	0.00%	1.59%	1.41%	0.00%	0.00%	1.15%	1.16%	4.40%	0.00%	0.00%	0.00%	0.00%	2.44%	2.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	9118	143	112	121	100	67	120	102	77	114	110	201	155	135	115	154	119	171	147	234	115	182	129	110	222	55	117	141	169	156	156	139	206	210	168	126	225	128	164	206	109	95	147	103	68	172	141	77	119	87	47	136	156	152	67	104	196	136	132	68	89	113	123	115	146	51	98	26	44	167	1	1	0	7	10	7	7	12	7	9	15	6	11	8	7	5	2	1	0	9	3	1	13	8	14	6	25	18									
		16.54%	17.50%	14.60%	17.59%	14.22%	19.14%	12.05%	9.83%	11.31%	13.92%	14.80%	15.30%	16.03%	11.79%	12.33%	16.08%	11.01%	15.05%	17.44%	18.75%	18.64%	13.17%	14.32%	19.37%	19.91%	17.08%	14.27%	14.39%	17.59%	16.79%	16.22%	16.67%	21.66%	18.92%	15.50%	18.67%	20.87%	13.73%	16.13%	17.27%	17.25%	16.75%	16.54%	15.17%	16.79%	22.54%	18.26%	18.29%	18.92%	18.35%	16.43%	17.71%	21.52%	24.24%	19.53%	19.92%	20.40%	16.67%	18.38%	19.83%	12.57%	15.07%	16.47%	16.67%	17.59%	15.41%	19.10%	20.00%	21.78%	20.27%	5.88%	5.88%	0.00%	9.86%	13.70%	9.86%	8.05%	13.95%	7.69%	25.00%	25.00%	10.53%	23.91%	19.51%	15.91%	29.41%	11.76%	6.25%	0.00%	60.00%	20.00%	7.69%	21.31%	20.51%	23.33%	15.79%	47.17%	10.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	651	19	7	6	11	5	5	18	12	13	13	5	11	12	8	7	11	11	2	25	7	13	4	10	15	3	5	5	9	7	8	12	11	18	13	12	16	11	12	23	8	4	13	9	6	1	2	6	6	10	8	9	11	8	1	6	21	4	11	3	11	11	11	6	14	1	6	0	4	19	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0									
		1.18%	2.33%	0.91%	0.87%	1.56%	1.43%	0.50%	1.73%	1.76%	1.59%	1.75%	0.38%	1.14%	1.05%	0.86%	0.73%	1.02%	0.97%	0.24%	2.00%	1.13%	0.94%	0.44%	1.76%	1.35%	0.93%	0.61%	0.51%	0.94%	0.75%	0.83%	1.44%	1.16%	1.62%	1.20%	1.78%	1.48%	1.18%	1.18%	1.93%	1.27%	0.71%	1.46%	1.33%	1.48%	0.13%	0.26%	1.43%	0.95%	2.11%	2.80%	1.17%	1.52%	1.28%	0.29%	1.15%	2.19%	0.49%	1.53%	0.87%	1.55%	1.47%	1.47%	0.87%	1.69%	0.30%	1.17%	0.00%	1.98%	2.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.75%	2.17%	0.00%	4.55%	0.00%	5.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.63%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1375	33	28	18	22	7	28	22	22	20	31	26	11	30	17	12	16	23	12	22	17	40	16	17	23	5	25	22	26	28	21	26	23	16	24	26	25	22	26	33	11	23	31	17	7	12	21	4	17	18	13	28	16	11	11	17	24	12	21	6	24	27	17	29	22	9	16	3	5	25	0	2	0	0	1	0	0	1	0	0	0	0	3	0	1	1	3	1	0	0	0	0	0	0	1	3	0	0									
		2.49%	4.04%	3.65%	2.62%	3.13%	2.00%	2.81%	2.12%	3.23%	2.44%	4.17%	1.98%	1.14%	2.62%	1.82%	1.25%	1.48%	2.02%	1.42%	1.76%	2.76%	2.89%	1.78%	2.99%	2.06%	1.55%	3.05%	2.24%	2.71%	3.01%	2.18%	3.12%	2.42%	1.44%	2.21%	3.85%	2.32%	2.36%	2.56%	2.77%	1.74%	4.06%	3.49%	2.50%	1.73%	1.57%	2.72%	0.95%	2.70%	3.80%	4.55%	3.65%	2.21%	1.75%	3.21%	3.26%	2.50%	1.47%	2.92%	1.75%	3.39%	3.60%	2.28%	4.20%	2.65%	2.72%	3.12%	2.31%	2.48%	3.03%	0.00%	11.76%	0.00%	0.00%	1.37%	0.00%	0.00%	1.16%	0.00%	0.00%	0.00%	0.00%	6.52%	0.00%	2.27%	5.88%	17.65%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.67%	7.89%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	78	1	0	0	2	0	1	3	2	2	0	1	2	1	0	1	1	1	0	5	3	3	1	0	2	0	0	0	2	1	0	1	1	0	2	1	1	2	1	2	2	2	2	0	1	0	1	1	0	0	0	1	1	0	1	2	1	2	2	1	0	0	2	2	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1									
		0.14%	0.12%	0.00%	0.00%	0.28%	0.00%	0.10%	0.29%	0.29%	0.24%	0.00%	0.08%	0.21%	0.09%	0.00%	0.10%	0.09%	0.09%	0.00%	0.40%	0.49%	0.22%	0.11%	0.00%	0.18%	0.00%	0.00%	0.00%	0.21%	0.11%	0.00%	0.12%	0.11%	0.00%	0.18%	0.15%	0.09%	0.21%	0.10%	0.17%	0.32%	0.35%	0.22%	0.00%	0.25%	0.00%	0.13%	0.24%	0.00%	0.00%	0.00%	0.13%	0.14%	0.00%	0.29%	0.38%	0.10%	0.25%	0.28%	0.29%	0.00%	0.00%	0.27%	0.29%	0.12%	0.30%	0.00%	0.00%	0.50%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1485	43	39	28	34	11	44	24	28	28	29	30	21	33	22	16	18	15	14	21	18	32	17	18	18	6	22	14	22	26	25	34	22	21	23	16	40	26	28	21	17	15	30	17	14	16	17	7	11	16	6	30	19	10	10	15	26	26	19	12	36	37	25	13	13	9	16	5	5	20	0	0	0	1	0	2	1	0	2	0	1	0	0	3	1	0	0	2	1	0	0	0	2	1	1	1	0	7									
		2.69%	5.26%	5.08%	4.07%	4.84%	3.14%	4.42%	2.31%	4.11%	3.42%	3.90%	2.28%	2.17%	2.88%	2.36%	1.67%	1.67%	1.32%	1.66%	1.68%	2.92%	2.32%	1.89%	3.17%	1.61%	1.86%	2.68%	1.43%	2.29%	2.80%	2.60%	4.08%	2.31%	1.89%	2.12%	2.37%	3.71%	2.79%	2.75%	1.76%	2.69%	2.65%	3.37%	2.50%	3.46%	2.10%	2.20%	1.66%	1.75%	3.38%	2.10%	3.91%	2.62%	1.59%	2.92%	2.87%	2.71%	3.19%	2.65%	3.50%	5.08%	4.93%	3.35%	1.88%	1.57%	2.72%	3.12%	3.85%	2.48%	2.43%	0.00%	0.00%	0.00%	1.41%	0.00%	2.82%	1.15%	0.00%	2.20%	0.00%	1.67%	0.00%	0.00%	7.32%	2.27%	0.00%	0.00%	12.50%	5.56%	0.00%	0.00%	0.00%	3.28%	2.56%	1.67%	2.63%	0.00%	4.19%									
