Выборы Президента Российской Федерации																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Неклиновская																																																																																					
																																																																																					
Итоги голосования 																																																																																					
																																																																																					
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №2449	УИК №2518	УИК №2586					
11	Число полученных открепительных  удостоверений	997	33	47	23	20	10	5	0	8	5	5	10	10	32	30	16	20	15	0	20	30	20	18	20	10	10	10	20	15	0	10	4	10	10	5	10	10	45	61	29	10	5	15	10	15	10	10	10	5	10	15	10	10	10	11	2	2	3	15	2	10	10	10	15	5	5	10	15	10	10	5	10	3	10	5	3	5	10	10					
12	Число выданных открепительных удостоверений	668	29	38	23	18	10	5	0	5	2	4	7	9	27	28	15	20	9	0	16	20	20	18	18	5	6	8	20	12	0	0	2	0	0	0	1	5	41	53	26	4	2	15	8	12	5	8	2	0	0	6	4	7	5	8	0	0	1	9	0	5	1	0	7	1	1	1	12	0	0	1	7	1	4	0	0	3	4	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	271	7	23	1	7	5	3	0	4	2	5	3	1	1	5	7	15	9	0	3	2	4	8	11	4	11	8	7	5	1	2	1	0	1	0	2	1	6	8	5	2	4	1	3	3	3	5	0	0	0	3	2	5	0	2	1	0	1	4	1	5	2	1	6	3	0	3	7	1	6	0	0	0	0	0	3	4	1	1					
14	Число неиспользованных открепительных удостоверений	329	4	9	0	2	0	0	0	3	3	1	3	1	5	2	1	0	6	0	4	10	0	0	2	5	4	2	0	3	0	10	2	10	10	5	9	5	4	8	3	6	3	0	2	3	5	2	8	5	10	9	6	3	5	3	2	2	2	6	2	5	9	10	8	4	4	9	3	10	10	4	3	2	6	5	3	2	6	6					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																					
18	. Глазьев Сергей Юрьевич	1568	47	52	35	57	30	6	3	23	9	22	2	15	26	69	18	41	16	6	38	52	51	62	45	21	20	20	23	39	4	2	16	1	0	0	1	6	55	67	52	15	28	50	58	27	22	31	14	10	3	3	9	22	21	28	0	1	3	6	0	17	0	9	21	5	5	5	5	0	35	6	6	3	9	0	0	19	13	7					
		3.13%	2.08%	3.00%	1.54%	2.51%	3.22%	1.85%	4.55%	3.54%	4.43%	5.93%	0.30%	2.14%	2.11%	5.35%	3.16%	3.90%	1.88%	1.61%	2.56%	3.29%	4.91%	6.36%	5.46%	3.99%	4.63%	4.82%	2.68%	3.00%	2.31%	1.90%	2.79%	0.65%	0.00%	0.00%	0.68%	1.84%	3.73%	3.65%	3.86%	4.41%	8.95%	4.95%	10.51%	2.58%	4.24%	4.81%	2.57%	3.95%	1.11%	0.31%	4.89%	3.87%	5.65%	2.30%	0.00%	1.67%	2.34%	0.84%	0.00%	2.50%	0.00%	3.53%	2.01%	3.70%	2.96%	1.98%	0.60%	0.00%	7.31%	1.56%	1.71%	2.29%	2.09%	0.00%	0.00%	5.59%	8.07%	2.45%					
19	. Малышкин Олег Александрович	1070	53	34	40	46	7	20	3	16	9	10	3	17	30	23	24	26	17	14	33	30	23	26	26	13	8	7	5	15	4	4	24	1	0	2	3	8	39	32	27	8	13	30	9	7	6	18	2	10	3	4	10	9	2	58	2	5	4	21	1	19	4	12	20	4	1	4	17	7	11	13	2	2	4	1	0	0	2	3					
		2.14%	2.35%	1.96%	1.75%	2.03%	0.75%	6.15%	4.55%	2.47%	4.43%	2.70%	0.45%	2.43%	2.44%	1.78%	4.21%	2.47%	2.00%	3.75%	2.22%	1.90%	2.21%	2.67%	3.16%	2.47%	1.85%	1.69%	0.58%	1.15%	2.31%	3.81%	4.18%	0.65%	0.00%	2.08%	2.05%	2.45%	2.65%	1.74%	2.01%	2.35%	4.15%	2.97%	1.63%	0.67%	1.16%	2.80%	0.37%	3.95%	1.11%	0.41%	5.43%	1.58%	0.54%	4.77%	3.12%	8.33%	3.12%	2.94%	1.19%	2.79%	1.69%	4.71%	1.91%	2.96%	0.59%	1.59%	2.04%	3.02%	2.30%	3.38%	0.57%	1.53%	0.93%	1.10%	0.00%	0.00%	1.24%	1.05%					
20	. Миронов Сергей Михайлович	345	13	15	60	13	2	3	0	2	1	3	1	2	10	8	6	4	5	2	8	6	13	9	6	5	4	1	1	7	0	0	8	1	0	0	2	4	8	8	10	2	3	6	4	0	2	4	0	1	1	2	0	13	4	7	3	0	0	8	0	3	0	0	5	0	3	4	2	2	4	2	2	0	1	0	0	0	3	3					
		0.69%	0.58%	0.86%	2.63%	0.57%	0.21%	0.92%	0.00%	0.31%	0.49%	0.81%	0.15%	0.29%	0.81%	0.62%	1.05%	0.38%	0.59%	0.54%	0.54%	0.38%	1.25%	0.92%	0.73%	0.95%	0.93%	0.24%	0.12%	0.54%	0.00%	0.00%	1.39%	0.65%	0.00%	0.00%	1.37%	1.23%	0.54%	0.44%	0.74%	0.59%	0.96%	0.59%	0.72%	0.00%	0.39%	0.62%	0.00%	0.40%	0.37%	0.20%	0.00%	2.29%	1.08%	0.58%	4.69%	0.00%	0.00%	1.12%	0.00%	0.44%	0.00%	0.00%	0.48%	0.00%	1.78%	1.59%	0.24%	0.86%	0.84%	0.52%	0.57%	0.00%	0.23%	0.00%	0.00%	0.00%	1.86%	1.05%					
21	. Путин Владимир Владимирович	37434	1803	1254	1990	1854	839	238	48	462	136	283	612	556	922	848	341	734	662	249	1191	1074	640	644	512	404	300	281	686	1041	133	83	460	147	130	90	137	220	1050	1205	728	212	188	675	331	865	430	450	424	210	238	763	110	395	278	791	49	47	98	574	72	542	193	203	863	110	136	202	619	209	340	299	283	112	374	88	92	260	98	224					
		74.75%	79.88%	72.24%	87.28%	81.75%	90.02%	73.23%	72.73%	71.19%	67.00%	76.28%	92.73%	79.43%	74.90%	65.79%	59.82%	69.84%	77.79%	66.76%	80.09%	67.97%	61.60%	66.05%	62.14%	76.81%	69.44%	67.71%	79.86%	80.08%	76.88%	79.05%	80.14%	94.84%	93.53%	93.75%	93.84%	67.48%	71.28%	65.60%	54.09%	62.35%	60.06%	66.83%	59.96%	82.78%	82.85%	69.88%	77.80%	83.00%	87.82%	77.94%	59.78%	69.54%	74.73%	65.00%	76.56%	78.33%	76.56%	80.28%	85.71%	79.59%	81.78%	79.61%	82.58%	81.48%	80.47%	80.16%	74.31%	90.09%	70.98%	77.66%	80.86%	85.50%	86.98%	96.70%	89.32%	76.47%	60.87%	78.32%					
22	. Хакамада Ирина Муцуовна	1027	29	38	35	39	11	11	5	16	6	8	4	15	41	44	17	42	15	6	27	40	31	25	27	12	10	9	22	14	5	2	5	0	1	0	0	6	24	24	34	9	14	26	25	0	5	24	10	0	2	3	3	13	11	18	1	0	0	12	3	12	5	2	29	6	8	8	23	1	8	11	6	1	10	0	0	8	6	4					
		2.05%	1.28%	2.19%	1.54%	1.72%	1.18%	3.38%	7.58%	2.47%	2.96%	2.16%	0.61%	2.14%	3.33%	3.41%	2.98%	4.00%	1.76%	1.61%	1.82%	2.53%	2.98%	2.56%	3.28%	2.28%	2.31%	2.17%	2.56%	1.08%	2.89%	1.90%	0.87%	0.00%	0.72%	0.00%	0.00%	1.84%	1.63%	1.31%	2.53%	2.65%	4.47%	2.57%	4.53%	0.00%	0.96%	3.73%	1.83%	0.00%	0.74%	0.31%	1.63%	2.29%	2.96%	1.48%	1.56%	0.00%	0.00%	1.68%	3.57%	1.76%	2.12%	0.78%	2.78%	4.44%	4.73%	3.17%	2.76%	0.43%	1.67%	2.86%	1.71%	0.76%	2.33%	0.00%	0.00%	2.35%	3.73%	1.40%					
23	. Харитонов Николай Михайлович	7082	273	281	70	229	42	39	6	90	32	33	35	77	171	253	134	166	109	90	159	289	228	175	164	40	67	78	81	154	16	12	35	5	8	3	0	65	239	425	451	79	49	186	119	129	36	98	71	20	16	204	36	94	51	273	9	7	17	78	8	70	28	25	77	5	8	21	147	9	67	40	37	13	27	2	8	29	32	33					
		14.14%	12.10%	16.19%	3.07%	10.10%	4.51%	12.00%	9.09%	13.87%	15.76%	8.89%	5.30%	11.00%	13.89%	19.63%	23.51%	15.79%	12.81%	24.13%	10.69%	18.29%	21.94%	17.95%	19.90%	7.60%	15.51%	18.80%	9.43%	11.85%	9.25%	11.43%	6.10%	3.23%	5.76%	3.12%	0.00%	19.94%	16.23%	23.14%	33.51%	23.24%	15.65%	18.42%	21.56%	12.34%	6.94%	15.22%	13.03%	7.91%	5.90%	20.84%	19.57%	16.55%	13.71%	22.43%	14.06%	11.67%	13.28%	10.91%	9.52%	10.28%	11.86%	9.80%	7.37%	3.70%	4.73%	8.33%	17.65%	3.88%	13.99%	10.39%	10.57%	9.92%	6.28%	2.20%	7.77%	8.53%	19.88%	11.54%					
																																																																																					
24	Против всех	1111	24	50	50	30	1	6	1	11	2	11	3	11	24	35	25	23	13	4	18	64	40	22	35	25	13	12	25	23	6	2	19	0	0	1	3	7	53	71	33	9	15	25	6	17	14	12	18	0	4	0	11	17	5	21	0	0	4	6	0	14	5	1	20	2	6	5	16	1	14	8	1	0	3	0	3	15	7	10					
		2.22%	1.06%	2.88%	2.19%	1.32%	0.11%	1.85%	1.52%	1.69%	0.99%	2.96%	0.45%	1.57%	1.95%	2.72%	4.39%	2.19%	1.53%	1.07%	1.21%	4.05%	3.85%	2.26%	4.25%	4.75%	3.01%	2.89%	2.91%	1.77%	3.47%	1.90%	3.31%	0.00%	0.00%	1.04%	2.05%	2.15%	3.60%	3.86%	2.45%	2.65%	4.79%	2.48%	1.09%	1.63%	2.70%	1.86%	3.30%	0.00%	1.48%	0.00%	5.98%	2.99%	1.34%	1.73%	0.00%	0.00%	3.12%	0.84%	0.00%	2.06%	2.12%	0.39%	1.91%	1.48%	3.55%	1.98%	1.92%	0.43%	2.92%	2.08%	0.29%	0.00%	0.70%	0.00%	2.91%	4.41%	4.35%	3.50%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
