Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
"Наименование Избирательной комиссии:    Нижний Новгород, Канавинская"																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385									
		7.14%	8.94%	1.72%	13.49%	11.26%	8.17%	10.48%	4.74%	12.68%	4.88%	11.82%	8.64%	5.06%	6.36%	8.20%	12.16%	10.89%	8.92%	11.89%	5.56%	5.51%	2.51%	4.67%	9.89%	3.89%	9.73%	9.87%	6.27%	8.87%	6.97%	7.11%	7.53%	9.36%	10.12%	10.49%	8.67%	11.51%	7.56%	9.59%	5.14%	10.67%	8.63%	10.59%	9.42%	5.04%	6.18%	11.68%	5.31%	10.48%	1.93%	4.24%	3.09%	6.08%	6.30%	5.79%	4.13%	2.35%	7.85%	6.70%	2.98%	4.62%	3.98%	9.74%	5.94%	5.76%	3.70%	6.83%	0.00%	13.04%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	269	0	7	2	6	5	8	9	7	7	2	6	4	3	5	2	1	6	2	2	9	8	1	3	3	0	4	0	4	2	4	2	5	5	1	2	4	4	1	2	5	2	0	5	1	2	7	3	0	6	3	9	2	7	0	3	2	3	4	1	8	1	6	4	2	15	19	0	1									
		0.56%	0.00%	0.60%	0.28%	0.91%	0.99%	0.92%	1.33%	0.70%	0.95%	0.25%	0.68%	0.48%	0.31%	0.65%	0.29%	0.20%	1.22%	0.41%	0.29%	1.46%	0.87%	0.09%	0.33%	0.31%	0.00%	0.49%	0.00%	0.52%	0.20%	0.68%	0.25%	1.06%	0.77%	0.35%	0.39%	0.60%	1.16%	0.13%	0.29%	1.67%	0.60%	0.00%	1.12%	0.24%	0.26%	1.39%	0.50%	0.00%	0.96%	0.55%	0.93%	0.20%	0.63%	0.00%	0.30%	0.20%	0.31%	0.56%	0.10%	0.82%	0.15%	0.71%	0.57%	0.35%	2.65%	2.54%	0.00%	4.35%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	442	1	12	0	7	9	6	9	5	5	1	12	10	5	4	2	2	4	2	5	3	7	7	0	8	13	21	6	3	4	7	19	17	5	1	0	10	5	5	8	4	6	7	5	1	6	6	8	0	2	6	4	6	33	21	9	2	8	6	3	8	2	3	5	8	10	13	0	0									
		0.92%	0.21%	1.03%	0.00%	1.07%	1.79%	0.69%	1.33%	0.50%	0.68%	0.13%	1.36%	1.20%	0.52%	0.52%	0.29%	0.40%	0.81%	0.41%	0.71%	0.49%	0.77%	0.64%	0.00%	0.82%	1.37%	2.56%	0.78%	0.39%	0.39%	1.18%	2.35%	3.62%	0.77%	0.35%	0.00%	1.49%	1.45%	0.65%	1.14%	1.33%	1.79%	1.06%	1.12%	0.24%	0.79%	1.19%	1.33%	0.00%	0.32%	1.10%	0.41%	0.61%	2.97%	2.53%	0.91%	0.20%	0.82%	0.84%	0.30%	0.82%	0.29%	0.36%	0.71%	1.40%	1.76%	1.74%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	65	1	12	1	0	0	0	1	0	0	0	0	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16	1	0	2	3	0	4	2	2	0	0	1	2	3	0	1	1	1	0	1									
		0.14%	0.21%	1.03%	0.14%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.24%	0.10%	0.13%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.12%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	2.57%	0.18%	0.00%	0.20%	0.27%	0.00%	0.40%	0.20%	0.20%	0.00%	0.00%	0.10%	0.29%	0.36%	0.00%	0.17%	0.18%	0.13%	0.00%	4.35%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	497	4	20	0	7	4	8	8	6	6	6	13	10	11	3	3	3	3	2	9	0	14	3	17	8	0	9	5	3	8	6	14	15	5	3	2	4	6	5	2	2	1	3	6	2	15	13	12	0	9	5	12	2	18	27	10	6	6	3	8	16	13	8	8	10	10	16	0	1									
		1.04%	0.85%	1.72%	0.00%	1.07%	0.80%	0.92%	1.19%	0.60%	0.81%	0.76%	1.48%	1.20%	1.15%	0.39%	0.43%	0.60%	0.61%	0.41%	1.28%	0.00%	1.53%	0.27%	1.87%	0.82%	0.00%	1.10%	0.65%	0.39%	0.79%	1.02%	1.73%	3.19%	0.77%	1.05%	0.39%	0.60%	1.74%	0.65%	0.29%	0.67%	0.30%	0.45%	1.35%	0.48%	1.97%	2.57%	1.99%	0.00%	1.45%	0.92%	1.23%	0.20%	1.62%	3.26%	1.01%	0.61%	0.61%	0.42%	0.80%	1.64%	1.92%	0.95%	1.13%	1.75%	1.76%	2.14%	0.00%	4.35%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3497	43	18	52	93	25	25	40	68	42	63	80	54	10	44	49	34	22	34	40	23	115	101	68	60	90	100	41	58	63	38	45	56	57	19	32	58	18	23	58	23	10	53	42	36	70	49	25	38	8	39	121	88	82	127	107	101	65	66	79	86	35	56	36	30	31	35	0	0									
		7.30%	9.15%	1.55%	7.39%	14.16%	4.98%	2.88%	5.93%	6.84%	5.70%	8.01%	9.09%	6.51%	1.04%	5.73%	7.01%	6.85%	4.46%	6.97%	5.71%	3.73%	12.57%	9.26%	7.47%	6.14%	9.51%	12.18%	5.36%	7.56%	6.19%	6.43%	5.56%	11.91%	8.74%	6.64%	6.17%	8.67%	5.23%	2.98%	8.29%	7.67%	2.98%	8.02%	9.42%	8.63%	9.21%	9.70%	4.15%	7.97%	1.29%	7.18%	12.45%	8.92%	7.38%	15.32%	10.78%	10.31%	6.63%	9.22%	7.85%	8.82%	5.16%	6.65%	5.09%	5.24%	5.47%	4.69%	0.00%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	148	0	13	0	3	0	6	1	1	0	8	4	0	2	0	2	0	0	0	1	2	3	1	0	3	4	1	1	1	0	3	3	4	3	1	1	5	2	1	2	4	0	0	3	3	5	2	1	0	7	1	4	0	3	2	0	3	3	0	2	2	4	2	1	1	8	5	0	0									
		0.31%	0.00%	1.12%	0.00%	0.46%	0.00%	0.69%	0.15%	0.10%	0.00%	1.02%	0.45%	0.00%	0.21%	0.00%	0.29%	0.00%	0.00%	0.00%	0.14%	0.32%	0.33%	0.09%	0.00%	0.31%	0.42%	0.12%	0.13%	0.13%	0.00%	0.51%	0.37%	0.85%	0.46%	0.35%	0.19%	0.75%	0.58%	0.13%	0.29%	1.33%	0.00%	0.00%	0.67%	0.72%	0.66%	0.40%	0.17%	0.00%	1.13%	0.18%	0.41%	0.00%	0.27%	0.24%	0.00%	0.31%	0.31%	0.00%	0.20%	0.21%	0.59%	0.24%	0.14%	0.17%	1.41%	0.67%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1956	14	21	14	23	23	33	36	35	19	52	60	40	61	36	21	24	19	24	41	22	16	39	27	35	7	81	36	28	33	13	28	40	3	11	16	50	7	20	43	11	17	27	21	2	32	21	22	27	10	22	43	17	22	48	20	84	53	19	64	34	50	40	30	34	13	21	1	0									
		4.08%	2.98%	1.80%	1.99%	3.50%	4.58%	3.80%	5.33%	3.52%	2.58%	6.61%	6.82%	4.82%	6.36%	4.69%	3.00%	4.84%	3.85%	4.92%	5.85%	3.57%	1.75%	3.57%	2.97%	3.58%	0.74%	9.87%	4.71%	3.65%	3.24%	2.20%	3.46%	8.51%	0.46%	3.85%	3.08%	7.47%	2.03%	2.59%	6.14%	3.67%	5.06%	4.08%	4.71%	0.48%	4.21%	4.16%	3.65%	5.66%	1.61%	4.05%	4.42%	1.72%	1.98%	5.79%	2.01%	8.57%	5.40%	2.65%	6.36%	3.49%	7.37%	4.75%	4.24%	5.93%	2.29%	2.81%	5.88%	0.00%									
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
