Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																						
Дата голосования: 02.12.2007																																																																																																						
																																																																																																						
Наименование Избирательной комиссии:    Сызранская городская																																																																																																						
																																																																																																						
Сводная таблица результатов выборов																																																																																																						
																																																																																																						
		Сумма	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2755	30	35	30	10	1	30	35	40	30	30	30	30	30	30	30	30	30	30	35	60	35	35	30	30	30	40	40	43	30	60	35	56	45	30	30	30	30	30	30	30	30	32	30	30	30	30	30	0	30	30	30	30	30	30	40	30	33	30	30	30	30	30	29	31	30	30	20	30	35	30	30	0	30	35	30	30	41	39	30	40	30	30	30	30	35	30	30	30	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1972	12	35	23	6	1	24	35	30	19	13	9	18	19	20	27	18	20	10	34	50	31	35	26	28	30	37	40	42	29	53	35	55	44	29	6	14	22	17	17	15	19	31	16	27	25	18	2	0	6	24	27	18	27	19	34	24	33	25	22	11	18	5	24	17	26	10	6	16	34	23	4	0	10	35	30	12	37	32	20	32	19	16	20	24	30	6	12	18	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2103	7	23	11	12	9	18	11	16	17	12	7	14	13	15	7	22	11	8	14	11	20	24	9	34	27	19	13	14	13	15	15	25	14	10	11	19	8	12	12	6	14	12	4	6	14	12	12	0	7	8	15	21	29	13	23	16	13	11	15	5	10	16	37	10	20	20	18	17	16	14	11	496	45	13	12	7	11	17	15	20	8	7	6	19	11	13	16	10	36	44	24	169	37	29	21					
14	Число погашенных неиспользованных открепительных удостоверений	783	18	0	7	4	0	6	0	10	11	17	21	12	11	10	3	12	10	20	1	10	4	0	4	2	0	3	0	1	1	7	0	1	1	1	24	16	8	13	13	15	11	1	14	3	5	12	28	0	24	6	3	12	3	11	6	6	0	5	8	19	12	25	5	14	4	20	14	14	1	7	26	0	20	0	0	18	4	7	10	8	11	14	10	6	5	24	18	12	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																						
18	1.Политическая партия «Аграрная партия России»	1519	2	22	14	4	4	7	25	13	34	5	12	16	11	23	33	20	22	9	25	38	26	43	17	19	35	29	37	26	39	23	28	32	30	15	16	4	9	7	12	8	8	16	10	9	20	14	2	0	1	3	21	15	29	13	26	21	36	20	13	7	17	3	18	15	21	3	10	14	22	13	3	2	9	29	16	2	26	19	19	41	10	10	19	21	18	12	11	13	1	2	3	12	1	2	4					
		1.93%	0.49%	1.52%	1.46%	1.73%	2.09%	0.70%	2.33%	1.32%	2.70%	0.80%	1.60%	2.31%	1.44%	2.28%	3.77%	2.36%	2.52%	1.91%	1.77%	3.00%	1.83%	3.27%	1.86%	1.73%	2.91%	2.25%	2.51%	1.74%	2.52%	1.49%	2.04%	1.98%	2.12%	1.65%	4.21%	0.60%	1.45%	1.99%	2.27%	1.22%	1.36%	1.53%	1.56%	1.11%	1.87%	2.11%	0.58%	0.00%	0.47%	0.41%	2.85%	2.06%	2.76%	1.73%	2.37%	2.50%	3.58%	2.73%	1.80%	1.65%	2.85%	0.96%	1.66%	1.62%	2.05%	0.65%	2.05%	2.30%	1.89%	1.56%	0.87%	0.18%	2.74%	2.02%	1.96%	1.20%	1.83%	0.99%	1.91%	2.46%	1.38%	1.34%	2.18%	2.07%	1.91%	2.12%	1.54%	1.32%	0.91%	1.14%	2.56%	2.04%	1.45%	2.86%	2.88%					
19	2.Всероссийская политическая партия «Гражданская Сила»	916	1	7	4	0	0	8	15	5	30	9	2	5	6	8	10	10	12	3	20	9	20	16	18	13	11	21	22	24	22	29	20	38	28	11	1	8	11	4	6	7	6	4	7	12	4	9	0	0	2	11	5	8	15	14	24	17	7	7	15	4	13	4	9	9	28	5	9	4	1	1	3	2	8	16	6	2	20	3	15	19	8	12	6	8	13	4	9	10	1	0	1	2	0	0	0					
		1.16%	0.25%	0.48%	0.42%	0.00%	0.00%	0.80%	1.40%	0.51%	2.38%	1.44%	0.27%	0.72%	0.79%	0.79%	1.14%	1.18%	1.37%	0.64%	1.41%	0.71%	1.41%	1.22%	1.97%	1.18%	0.92%	1.63%	1.49%	1.61%	1.42%	1.88%	1.46%	2.36%	1.98%	1.21%	0.26%	1.20%	1.78%	1.14%	1.13%	1.07%	1.02%	0.38%	1.09%	1.48%	0.37%	1.36%	0.00%	0.00%	0.93%	1.49%	0.68%	1.10%	1.43%	1.87%	2.19%	2.03%	0.70%	0.96%	2.08%	0.94%	2.18%	1.28%	0.83%	0.97%	2.73%	1.08%	1.84%	0.66%	0.09%	0.12%	0.87%	0.18%	2.43%	1.11%	0.73%	1.20%	1.41%	0.16%	1.51%	1.14%	1.10%	1.61%	0.69%	0.79%	1.38%	0.71%	1.26%	1.01%	0.91%	0.00%	0.85%	0.34%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	129	1	2	4	0	0	1	0	1	0	0	3	0	1	1	0	2	1	0	12	3	1	2	2	3	2	0	1	4	1	0	3	3	0	0	0	2	2	0	0	0	1	1	1	2	3	1	0	1	0	0	1	0	1	3	1	1	0	0	2	2	0	0	0	0	0	1	1	1	1	3	0	0	0	1	5	1	1	16	1	2	1	1	1	3	1	1	1	5	0	0	0	2	0	0	0					
		0.16%	0.25%	0.14%	0.42%	0.00%	0.00%	0.10%	0.00%	0.10%	0.00%	0.00%	0.40%	0.00%	0.13%	0.10%	0.00%	0.24%	0.11%	0.00%	0.85%	0.24%	0.07%	0.15%	0.22%	0.27%	0.17%	0.00%	0.07%	0.27%	0.06%	0.00%	0.22%	0.19%	0.00%	0.00%	0.00%	0.30%	0.32%	0.00%	0.00%	0.00%	0.17%	0.10%	0.16%	0.25%	0.28%	0.15%	0.00%	1.45%	0.00%	0.00%	0.14%	0.00%	0.10%	0.40%	0.09%	0.12%	0.00%	0.00%	0.28%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.20%	0.16%	0.09%	0.36%	0.00%	0.00%	0.00%	0.07%	0.61%	0.60%	0.07%	0.84%	0.10%	0.12%	0.14%	0.13%	0.11%	0.30%	0.11%	0.18%	0.14%	0.51%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	14145	32	210	122	19	22	138	186	193	213	111	177	175	153	195	183	206	157	43	287	276	329	266	211	291	290	329	303	300	295	306	295	277	280	117	56	92	78	42	68	97	61	192	127	141	149	105	13	1	15	87	88	83	221	112	169	159	180	114	129	49	109	27	220	201	193	94	74	145	247	91	55	4	35	332	186	19	329	208	201	310	172	163	238	270	210	94	113	55	15	14	13	62	2	5	24					
		17.96%	7.86%	14.48%	12.71%	8.23%	11.52%	13.76%	17.37%	19.59%	16.89%	17.79%	23.57%	25.22%	20.05%	19.31%	20.91%	24.26%	17.96%	9.11%	20.28%	21.82%	23.17%	20.23%	23.03%	26.48%	24.15%	25.54%	20.53%	20.12%	19.03%	19.88%	21.50%	17.17%	19.76%	12.86%	14.74%	13.79%	12.60%	11.93%	12.85%	14.76%	10.39%	18.34%	19.75%	17.39%	13.90%	15.84%	3.77%	1.45%	6.98%	11.79%	11.96%	11.40%	21.07%	14.93%	15.41%	18.95%	17.89%	15.57%	17.87%	11.56%	18.29%	8.63%	20.30%	21.68%	18.81%	20.22%	15.16%	23.81%	21.24%	10.89%	15.99%	0.36%	10.64%	23.14%	22.74%	11.45%	23.19%	10.90%	20.22%	18.56%	23.69%	21.82%	27.36%	26.57%	22.32%	16.64%	15.85%	5.57%	13.64%	8.00%	11.11%	10.53%	2.90%	7.14%	17.27%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	895	3	36	6	2	0	37	13	24	18	7	6	17	4	8	27	8	9	9	22	8	31	7	12	10	8	14	24	29	22	21	16	14	27	11	4	5	8	4	3	2	7	22	0	7	8	8	0	2	2	21	6	6	16	6	19	11	5	9	16	1	1	1	10	8	14	8	2	5	10	0	3	1	5	8	8	1	8	7	8	12	8	7	8	4	5	6	5	19	1	1	0	2	0	1	0					
		1.14%	0.74%	2.48%	0.63%	0.87%	0.00%	3.69%	1.21%	2.44%	1.43%	1.12%	0.80%	2.45%	0.52%	0.79%	3.09%	0.94%	1.03%	1.91%	1.55%	0.63%	2.18%	0.53%	1.31%	0.91%	0.67%	1.09%	1.63%	1.95%	1.42%	1.36%	1.17%	0.87%	1.91%	1.21%	1.05%	0.75%	1.29%	1.14%	0.57%	0.30%	1.19%	2.10%	0.00%	0.86%	0.75%	1.21%	0.00%	2.90%	0.93%	2.85%	0.82%	0.82%	1.53%	0.80%	1.73%	1.31%	0.50%	1.23%	2.22%	0.24%	0.17%	0.32%	0.92%	0.86%	1.36%	1.72%	0.41%	0.82%	0.86%	0.00%	0.87%	0.09%	1.52%	0.56%	0.98%	0.60%	0.56%	0.37%	0.80%	0.72%	1.10%	0.94%	0.92%	0.39%	0.53%	1.06%	0.70%	1.92%	0.91%	0.57%	0.00%	0.34%	0.00%	1.43%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	139	1	2	0	0	0	1	1	5	0	1	2	1	2	1	1	1	2	3	2	2	1	3	2	4	3	2	4	4	4	0	10	3	1	0	0	1	2	0	1	1	0	1	2	2	2	0	1	0	0	1	0	1	2	3	0	0	2	3	2	1	0	0	2	2	3	0	1	2	0	1	1	0	0	4	3	0	1	4	3	1	0	2	1	3	2	0	2	4	0	0	0	0	0	0	0					
		0.18%	0.25%	0.14%	0.00%	0.00%	0.00%	0.10%	0.09%	0.51%	0.00%	0.16%	0.27%	0.14%	0.26%	0.10%	0.11%	0.12%	0.23%	0.64%	0.14%	0.16%	0.07%	0.23%	0.22%	0.36%	0.25%	0.16%	0.27%	0.27%	0.26%	0.00%	0.73%	0.19%	0.07%	0.00%	0.00%	0.15%	0.32%	0.00%	0.19%	0.15%	0.00%	0.10%	0.31%	0.25%	0.19%	0.00%	0.29%	0.00%	0.00%	0.14%	0.00%	0.14%	0.19%	0.40%	0.00%	0.00%	0.20%	0.41%	0.28%	0.24%	0.00%	0.00%	0.18%	0.22%	0.29%	0.00%	0.20%	0.33%	0.00%	0.12%	0.29%	0.00%	0.00%	0.28%	0.37%	0.00%	0.07%	0.21%	0.30%	0.06%	0.00%	0.27%	0.11%	0.30%	0.21%	0.00%	0.28%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	8185	45	126	110	27	23	119	113	97	150	51	71	67	81	110	89	87	96	47	133	134	118	120	83	106	115	120	144	158	184	156	158	178	141	109	40	71	44	46	69	81	68	106	52	79	165	60	8	2	13	82	63	109	102	82	99	66	77	49	69	52	60	32	147	102	98	45	49	54	124	99	37	48	38	154	68	16	151	321	82	188	84	59	59	113	103	48	87	187	5	28	8	46	5	6	14					
		10.39%	11.06%	8.69%	11.46%	11.69%	12.04%	11.86%	10.55%	9.85%	11.90%	8.17%	9.45%	9.65%	10.62%	10.89%	10.17%	10.25%	10.98%	9.96%	9.40%	10.59%	8.31%	9.13%	9.06%	9.65%	9.58%	9.32%	9.76%	10.60%	11.87%	10.14%	11.52%	11.04%	9.95%	11.98%	10.53%	10.64%	7.11%	13.07%	13.04%	12.33%	11.58%	10.12%	8.09%	9.74%	15.39%	9.05%	2.32%	2.90%	6.05%	11.11%	8.56%	14.97%	9.72%	10.93%	9.02%	7.87%	7.65%	6.69%	9.56%	12.26%	10.07%	10.22%	13.56%	11.00%	9.55%	9.68%	10.04%	8.87%	10.66%	11.84%	10.76%	4.32%	11.55%	10.73%	8.31%	9.64%	10.64%	16.82%	8.25%	11.26%	11.57%	7.90%	6.78%	11.12%	10.95%	8.50%	12.20%	18.93%	4.55%	16.00%	6.84%	7.81%	7.25%	8.57%	10.07%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6928	63	229	102	18	9	66	59	74	141	69	66	86	90	112	113	84	102	81	131	104	109	112	80	82	107	108	163	139	123	111	104	144	86	64	46	66	52	30	41	42	46	58	79	70	85	74	8	1	10	52	84	57	83	71	122	99	98	75	85	30	55	42	56	87	85	35	55	36	74	67	37	7	23	121	92	18	161	98	94	137	71	82	68	105	111	40	56	42	6	13	12	27	1	5	14					
		8.80%	15.48%	15.79%	10.63%	7.79%	4.71%	6.58%	5.51%	7.51%	11.18%	11.06%	8.79%	12.39%	11.80%	11.09%	12.91%	9.89%	11.67%	17.16%	9.26%	8.22%	7.68%	8.52%	8.73%	7.46%	8.91%	8.39%	11.04%	9.32%	7.94%	7.21%	7.58%	8.93%	6.07%	7.03%	12.11%	9.90%	8.40%	8.52%	7.75%	6.39%	7.84%	5.54%	12.29%	8.63%	7.93%	11.16%	2.32%	1.45%	4.65%	7.05%	11.41%	7.83%	7.91%	9.47%	11.12%	11.80%	9.74%	10.25%	11.77%	7.08%	9.23%	13.42%	5.17%	9.39%	8.28%	7.53%	11.27%	5.91%	6.36%	8.01%	10.76%	0.63%	6.99%	8.43%	11.25%	10.84%	11.35%	5.14%	9.46%	8.20%	9.78%	10.98%	7.82%	10.33%	11.80%	7.08%	7.85%	4.25%	5.45%	7.43%	10.26%	4.58%	1.45%	7.14%	10.07%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	444	2	9	2	0	0	7	5	1	11	4	3	5	3	4	4	7	2	2	14	3	8	9	9	6	4	8	15	4	4	8	6	7	8	9	4	5	0	4	6	3	5	6	4	1	9	5	0	0	0	2	3	0	4	3	11	8	9	10	8	1	7	0	4	5	2	2	3	3	7	0	2	0	0	8	11	0	16	17	5	6	2	4	4	9	4	2	6	4	0	2	0	4	0	0	1					
		0.56%	0.49%	0.62%	0.21%	0.00%	0.00%	0.70%	0.47%	0.10%	0.87%	0.64%	0.40%	0.72%	0.39%	0.40%	0.46%	0.82%	0.23%	0.42%	0.99%	0.24%	0.56%	0.68%	0.98%	0.55%	0.33%	0.62%	1.02%	0.27%	0.26%	0.52%	0.44%	0.43%	0.56%	0.99%	1.05%	0.75%	0.00%	1.14%	1.13%	0.46%	0.85%	0.57%	0.62%	0.12%	0.84%	0.75%	0.00%	0.00%	0.00%	0.27%	0.41%	0.00%	0.38%	0.40%	1.00%	0.95%	0.89%	1.37%	1.11%	0.24%	1.17%	0.00%	0.37%	0.54%	0.19%	0.43%	0.61%	0.49%	0.60%	0.00%	0.58%	0.00%	0.00%	0.56%	1.34%	0.00%	1.13%	0.89%	0.50%	0.36%	0.28%	0.54%	0.46%	0.89%	0.43%	0.35%	0.84%	0.40%	0.00%	1.14%	0.00%	0.68%	0.00%	0.00%	0.72%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	43754	246	785	569	154	130	597	633	542	633	358	396	297	392	514	398	408	451	269	736	659	742	705	467	539	588	628	728	770	821	857	701	868	784	562	204	396	403	203	307	409	371	624	355	471	609	376	306	61	171	470	451	438	528	428	594	423	570	422	362	274	325	203	599	475	553	260	274	335	649	539	193	1044	200	728	409	104	679	1182	554	919	351	389	449	470	448	350	409	636	77	113	75	422	60	48	80					
		55.55%	60.44%	54.14%	59.27%	66.67%	68.06%	59.52%	59.10%	55.03%	50.20%	57.37%	52.73%	42.80%	51.38%	50.89%	45.49%	48.06%	51.60%	56.99%	52.01%	52.09%	52.25%	53.61%	50.98%	49.04%	48.96%	48.76%	49.32%	51.64%	52.97%	55.69%	51.09%	53.81%	55.33%	61.76%	53.68%	59.37%	65.11%	57.67%	58.03%	62.25%	63.20%	59.60%	55.21%	58.08%	56.81%	56.71%	88.70%	88.41%	79.53%	63.69%	61.28%	60.16%	50.33%	57.07%	54.15%	50.42%	56.66%	57.65%	50.14%	64.62%	54.53%	64.86%	55.26%	51.24%	53.90%	55.91%	56.15%	55.01%	55.80%	64.47%	56.10%	93.97%	60.79%	50.73%	50.00%	62.65%	47.85%	61.95%	55.73%	55.03%	48.35%	52.07%	51.61%	46.26%	47.61%	61.95%	57.36%	64.37%	70.00%	64.57%	64.10%	71.65%	86.96%	68.57%	57.55%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	784	0	8	9	5	2	8	9	11	13	2	2	11	9	15	9	7	9	1	20	8	19	21	8	8	21	14	18	17	22	14	15	27	15	4	3	5	2	2	7	3	2	6	3	1	5	5	3	1	0	3	2	6	29	13	18	24	10	10	11	3	6	1	8	12	19	7	2	6	8	12	8	0	6	15	4	1	14	9	8	19	9	10	5	4	14	4	2	4	1	1	0	3	0	2	2					
		0.99%	0.00%	0.55%	0.94%	2.16%	1.05%	0.80%	0.84%	1.12%	1.03%	0.32%	0.27%	1.59%	1.18%	1.49%	1.03%	0.82%	1.03%	0.21%	1.41%	0.63%	1.34%	1.60%	0.87%	0.73%	1.75%	1.09%	1.22%	1.14%	1.42%	0.91%	1.09%	1.67%	1.06%	0.44%	0.79%	0.75%	0.32%	0.57%	1.32%	0.46%	0.34%	0.57%	0.47%	0.12%	0.47%	0.75%	0.87%	1.45%	0.00%	0.41%	0.27%	0.82%	2.76%	1.73%	1.64%	2.86%	0.99%	1.37%	1.52%	0.71%	1.01%	0.32%	0.74%	1.29%	1.85%	1.51%	0.41%	0.99%	0.69%	1.44%	2.33%	0.00%	1.82%	1.05%	0.49%	0.60%	0.99%	0.47%	0.80%	1.14%	1.24%	1.34%	0.57%	0.39%	1.49%	0.71%	0.28%	0.40%	0.91%	0.57%	0.00%	0.51%	0.00%	2.86%	1.44%					
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
																																																																																																						
