Выборы Президента Российской Федерации																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Волжская городская																																																																																																													
																																																																																																													
Итоги голосования 																																																																																																													
																																																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102					
11	Число полученных открепительных  удостоверений	2410	25	25	25	25	15	25	20	20	25	20	20	20	20	20	20	20	25	20	20	25	20	25	25	25	25	20	25	20	25	20	25	25	20	25	25	25	25	25	25	80	25	25	25	25	25	20	20	20	20	25	20	20	20	20	25	25	25	25	25	0	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	20	25	25	25	25	0	25	25	25	25	25	15					
12	Число выданных открепительных удостоверений	733	8	3	4	3	0	4	3	6	12	5	7	5	6	2	2	18	5	2	9	5	6	10	3	10	11	5	13	4	5	5	12	4	5	5	9	5	10	4	4	56	6	5	7	12	3	6	4	7	9	9	4	8	6	7	4	5	6	4	15	0	7	15	11	13	9	7	7	7	8	7	4	3	7	8	10	7	9	9	7	9	5	9	5	3	4	6	4	6	6	13	0	2	5	16	4	0	23	11	10	7	6	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	587	3	0	2	4	4	9	5	2	6	13	10	13	7	8	7	3	4	3	7	7	0	2	4	2	11	1	4	8	3	1	4	5	1	1	6	9	2	9	6	44	4	1	3	12	8	2	4	8	2	7	1	9	4	4	4	2	8	7	4	20	4	3	2	10	3	2	2	2	6	2	8	6	10	3	5	1	3	7	0	5	6	4	8	6	7	1	10	9	3	7	16	7	3	9	2	20	3	11	10	2	2	3					
14	Число неиспользованных открепительных удостоверений	1677	17	22	21	22	15	21	17	14	13	15	13	15	14	18	18	2	20	18	11	20	14	15	22	15	14	15	12	16	20	15	13	21	15	20	16	20	15	21	21	24	19	20	18	13	22	14	16	13	11	16	16	12	14	13	21	20	19	21	10	0	18	10	14	12	16	18	18	18	17	18	21	22	18	17	15	18	16	16	18	16	20	16	20	22	21	19	21	19	19	12	20	23	20	9	21	0	2	14	15	18	19	13					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	0	1	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																													
18	. Глазьев Сергей Юрьевич	6528	38	60	44	30	15	66	40	48	51	37	55	56	67	44	62	43	43	29	63	89	32	40	87	99	70	52	88	40	31	63	76	72	52	96	86	77	97	86	62	42	61	83	85	92	49	70	70	72	41	61	47	52	87	78	50	88	61	84	87	3	81	73	59	93	87	74	70	74	72	79	81	93	77	70	72	81	62	70	75	86	55	77	42	52	58	86	65	85	66	81	47	60	56	96	82	2	28	81	68	74	71	18					
		5.61%	5.01%	5.91%	4.43%	2.98%	3.39%	6.83%	4.98%	5.82%	4.64%	4.87%	5.28%	5.95%	5.65%	6.60%	7.91%	4.98%	4.68%	5.66%	5.51%	6.48%	3.80%	3.68%	6.44%	8.43%	4.29%	5.78%	6.48%	4.97%	3.71%	6.42%	6.37%	6.67%	5.04%	7.77%	6.04%	5.79%	6.34%	6.52%	4.17%	3.91%	4.80%	6.01%	7.10%	6.55%	5.14%	7.64%	6.84%	7.40%	4.06%	5.49%	5.12%	6.01%	8.10%	7.48%	4.64%	7.03%	4.56%	5.30%	5.59%	5.17%	5.77%	6.17%	4.38%	6.16%	5.69%	5.70%	5.86%	5.80%	5.70%	6.72%	7.22%	7.32%	5.65%	5.03%	5.24%	5.54%	4.76%	5.38%	5.39%	6.20%	4.50%	5.14%	4.20%	4.79%	4.33%	6.68%	4.62%	6.63%	5.28%	5.48%	5.40%	4.18%	5.23%	6.02%	6.57%	10.00%	1.45%	6.41%	6.19%	5.84%	6.00%	6.12%					
19	. Малышкин Олег Александрович	2338	15	17	17	21	9	16	10	14	20	19	19	27	13	5	7	17	28	11	10	26	18	20	30	10	27	15	25	9	7	19	21	17	31	16	14	15	28	14	24	22	22	28	15	27	28	15	23	26	24	29	26	17	12	15	15	23	26	34	31	1	24	15	17	21	32	39	25	29	42	23	23	30	43	34	47	31	36	31	27	25	34	29	26	33	41	33	40	24	33	34	9	30	29	22	30	0	42	27	28	31	25	4					
		2.01%	1.98%	1.67%	1.71%	2.09%	2.03%	1.65%	1.25%	1.70%	1.82%	2.50%	1.83%	2.87%	1.10%	0.75%	0.89%	1.97%	3.05%	2.15%	0.87%	1.89%	2.14%	1.84%	2.22%	0.85%	1.66%	1.67%	1.84%	1.12%	0.84%	1.93%	1.76%	1.58%	3.00%	1.29%	0.98%	1.13%	1.83%	1.06%	1.61%	2.05%	1.73%	2.03%	1.25%	1.92%	2.94%	1.64%	2.25%	2.67%	2.37%	2.61%	2.83%	1.97%	1.12%	1.44%	1.39%	1.84%	1.94%	2.15%	1.99%	1.72%	1.71%	1.27%	1.26%	1.39%	2.09%	3.00%	2.09%	2.27%	3.33%	1.96%	2.05%	2.36%	3.15%	2.44%	3.42%	2.12%	2.76%	2.38%	1.94%	1.80%	2.78%	1.94%	2.60%	3.04%	3.06%	2.56%	2.84%	1.87%	2.64%	2.30%	1.03%	2.09%	2.71%	1.38%	2.40%	0.00%	2.18%	2.14%	2.55%	2.44%	2.11%	1.36%					
20	. Миронов Сергей Михайлович	1018	6	13	5	2	0	7	15	11	7	4	6	3	8	5	2	8	5	2	10	9	3	6	5	13	7	4	18	4	4	8	10	8	10	13	21	10	10	26	11	11	10	11	11	14	4	13	4	6	3	5	10	9	14	6	13	5	7	11	17	0	15	15	8	11	11	13	11	13	14	19	13	12	18	12	19	12	19	13	16	9	11	22	10	13	15	17	17	12	13	4	7	9	6	18	8	0	9	9	11	15	13	3					
		0.87%	0.79%	1.28%	0.50%	0.20%	0.00%	0.72%	1.87%	1.33%	0.64%	0.53%	0.58%	0.32%	0.67%	0.75%	0.26%	0.93%	0.54%	0.39%	0.87%	0.66%	0.36%	0.55%	0.37%	1.11%	0.43%	0.44%	1.32%	0.50%	0.48%	0.81%	0.84%	0.74%	0.97%	1.05%	1.47%	0.75%	0.65%	1.97%	0.74%	1.03%	0.79%	0.80%	0.92%	1.00%	0.42%	1.42%	0.39%	0.62%	0.30%	0.45%	1.09%	1.04%	1.30%	0.58%	1.21%	0.40%	0.52%	0.69%	1.09%	0.00%	1.07%	1.27%	0.59%	0.73%	0.72%	1.00%	0.92%	1.02%	1.11%	1.62%	1.16%	0.94%	1.32%	0.86%	1.38%	0.82%	1.46%	1.00%	1.15%	0.65%	0.90%	1.47%	1.00%	1.20%	1.12%	1.32%	1.21%	0.94%	1.04%	0.27%	0.80%	0.63%	0.56%	1.13%	0.64%	0.00%	0.47%	0.71%	1.00%	1.18%	1.10%	1.02%					
21	. Путин Владимир Владимирович	73345	542	534	595	556	257	666	528	476	671	480	624	581	721	402	486	565	606	320	658	820	487	677	821	651	997	545	821	493	605	592	698	660	594	704	842	803	901	747	913	706	756	838	701	849	626	510	608	578	627	734	589	512	647	603	693	758	870	966	947	46	889	745	845	991	996	797	788	804	876	756	720	793	867	908	869	979	884	847	887	936	824	972	674	700	923	882	944	847	836	962	539	835	699	1075	732	13	1633	801	700	795	799	180					
		62.99%	71.50%	52.61%	59.92%	55.21%	58.01%	68.87%	65.75%	57.70%	61.06%	63.24%	59.94%	61.74%	60.79%	60.27%	61.99%	65.47%	65.94%	62.50%	57.52%	59.72%	57.77%	62.22%	60.77%	55.40%	61.13%	60.62%	60.41%	61.24%	72.46%	60.29%	58.46%	61.17%	57.56%	56.96%	59.13%	60.42%	58.89%	56.59%	61.40%	65.80%	59.53%	60.68%	58.56%	60.43%	65.62%	55.68%	59.43%	59.40%	62.02%	66.01%	64.16%	59.19%	60.24%	57.81%	64.29%	60.54%	65.02%	60.95%	60.90%	79.31%	63.32%	62.92%	62.69%	65.67%	65.10%	61.40%	65.94%	63.06%	69.36%	64.34%	64.17%	62.44%	63.61%	65.28%	63.20%	67.01%	67.84%	65.05%	63.77%	67.53%	67.49%	64.93%	67.47%	64.52%	68.88%	68.48%	67.14%	66.07%	66.88%	65.04%	61.88%	58.23%	65.27%	67.36%	58.61%	65.00%	84.83%	63.37%	63.69%	62.70%	67.54%	61.22%					
22	. Хакамада Ирина Муцуовна	5053	26	25	28	24	12	40	24	34	51	35	47	32	52	48	46	46	38	25	54	59	34	46	61	55	73	51	53	20	32	24	46	54	43	56	61	51	64	48	69	27	43	45	40	62	41	43	45	38	42	40	43	50	41	44	41	68	59	70	57	1	54	44	49	62	61	64	32	32	61	64	52	46	57	70	89	79	56	54	60	64	55	89	58	50	57	40	63	74	70	83	29	62	71	94	73	1	47	41	66	49	65	39					
		4.34%	3.43%	2.46%	2.82%	2.38%	2.71%	4.14%	2.99%	4.12%	4.64%	4.61%	4.51%	3.40%	4.38%	7.20%	5.87%	5.33%	4.13%	4.88%	4.72%	4.30%	4.03%	4.23%	4.52%	4.68%	4.48%	5.67%	3.90%	2.48%	3.83%	2.44%	3.85%	5.00%	4.17%	4.53%	4.28%	3.84%	4.18%	3.64%	4.64%	2.52%	3.39%	3.26%	3.34%	4.41%	4.30%	4.69%	4.40%	3.91%	4.15%	3.60%	4.68%	5.78%	3.82%	4.22%	3.80%	5.43%	4.41%	4.42%	3.67%	1.72%	3.85%	3.72%	3.64%	4.11%	3.99%	4.93%	2.68%	2.51%	4.83%	5.45%	4.63%	3.62%	4.18%	5.03%	6.47%	5.41%	4.30%	4.15%	4.31%	4.62%	4.50%	5.95%	5.81%	4.61%	4.25%	3.11%	4.48%	5.77%	5.60%	5.61%	3.33%	4.32%	6.63%	5.89%	5.84%	5.00%	2.44%	3.24%	6.01%	3.86%	5.49%	13.27%					
23	. Харитонов Николай Михайлович	22285	110	321	253	340	136	129	146	211	231	145	247	186	260	142	148	153	149	92	283	331	222	241	293	292	372	187	300	202	126	231	297	200	270	290	339	310	367	332	330	217	291	308	296	302	141	220	225	223	223	193	163	179	211	249	218	248	241	338	334	4	253	242	285	252	252	241	204	265	185	172	178	226	224	191	183	212	188	233	250	188	151	224	140	165	163	167	205	162	170	227	210	372	146	201	237	4	90	229	143	228	151	38					
		19.14%	14.51%	31.63%	25.48%	33.76%	30.70%	13.34%	18.18%	25.58%	21.02%	19.10%	23.73%	19.77%	21.92%	21.29%	18.88%	17.73%	16.21%	17.97%	24.74%	24.11%	26.33%	22.15%	21.69%	24.85%	22.81%	20.80%	22.08%	25.09%	15.09%	23.52%	24.87%	18.54%	26.16%	23.46%	23.81%	23.33%	23.99%	25.15%	22.19%	20.22%	22.91%	22.30%	24.73%	21.49%	14.78%	24.02%	21.99%	22.92%	22.06%	17.36%	17.76%	20.69%	19.65%	23.87%	20.22%	19.81%	18.01%	21.32%	21.48%	6.90%	18.02%	20.44%	21.14%	16.70%	16.47%	18.57%	17.07%	20.78%	14.65%	14.64%	15.86%	17.80%	16.43%	13.73%	13.31%	14.51%	14.43%	17.90%	17.97%	13.56%	12.37%	14.96%	14.01%	15.21%	12.16%	12.97%	14.58%	12.64%	13.60%	15.35%	24.11%	25.94%	13.63%	12.59%	18.98%	20.00%	4.68%	18.12%	13.01%	17.98%	12.76%	12.93%					
																																																																																																													
24	Против всех	5242	15	34	36	28	8	36	37	29	58	36	35	47	61	18	29	28	44	29	60	37	41	46	50	49	77	38	47	31	26	39	42	58	27	55	54	58	58	56	69	45	77	64	47	53	60	38	42	28	48	40	40	39	52	42	40	54	69	74	69	3	75	47	70	69	84	58	63	50	6	56	50	65	69	102	89	61	50	52	74	75	79	79	45	64	76	56	61	69	59	84	28	54	60	90	79	0	61	70	80	68	53	12					
		4.50%	1.98%	3.35%	3.63%	2.78%	1.81%	3.72%	4.61%	3.52%	5.28%	4.74%	3.36%	4.99%	5.14%	2.70%	3.70%	3.24%	4.79%	5.66%	5.24%	2.69%	4.86%	4.23%	3.70%	4.17%	4.72%	4.23%	3.46%	3.85%	3.11%	3.97%	3.52%	5.38%	2.62%	4.45%	3.79%	4.36%	3.79%	4.24%	4.64%	4.19%	6.06%	4.63%	3.93%	3.77%	6.29%	4.15%	4.11%	2.88%	4.75%	3.60%	4.36%	4.51%	4.84%	4.03%	3.71%	4.31%	5.16%	4.67%	4.44%	5.17%	5.34%	3.97%	5.19%	4.57%	5.49%	4.47%	5.27%	3.92%	0.48%	4.77%	4.46%	5.12%	5.06%	7.33%	6.47%	4.18%	3.84%	3.99%	5.32%	5.41%	6.47%	5.28%	4.50%	5.90%	5.67%	4.35%	4.34%	5.38%	4.72%	5.68%	3.21%	3.77%	5.60%	5.64%	6.33%	0.00%	3.17%	5.54%	7.28%	5.36%	4.48%	4.08%					
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
