Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																							
Дата голосования: 02.12.2007																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Нижнекамская городская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1777	15	25	25	15	15	25	23	25	23	15	25	20	0	10	25	18	25	25	30	25	25	25	25	15	25	15	15	22	25	32	25	25	15	15	23	15	25	25	25	25	20	25	25	35	30	25	25	25	30	15	20	15	0	20	15	35	25	30	25	35	30	25	30	32	15	25	30	25	15	15	15	15	15	15	22	22	35	20	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1482	10	25	18	14	14	18	22	18	21	15	15	19	0	5	17	18	13	12	30	19	25	25	19	12	19	12	12	18	25	31	12	24	14	9	22	8	21	20	23	22	20	20	21	31	25	17	19	15	26	13	19	13	0	17	11	30	18	30	23	34	28	18	26	30	9	17	30	20	14	15	11	15	9	13	18	18	35	20	17	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	477	3	4	2	9	2	8	34	5	4	3	4	9	4	3	5	8	7	2	7	7	8	5	9	4	1	1	10	3	2	11	7	5	2	10	2	0	8	12	1	4	5	4	5	4	5	5	11	7	1	2	8	10	0	3	8	5	4	6	3	11	13	1	7	5	11	7	2	4	2	5	7	12	4	5	7	11	13	9	7	3					
14	Число погашенных неиспользованных открепительных удостоверений	295	5	0	7	1	1	7	1	7	2	0	10	1	0	5	8	0	12	13	0	6	0	0	6	3	6	3	3	4	0	1	13	1	1	6	1	7	4	5	2	3	0	5	4	4	5	8	6	10	4	2	1	2	0	3	4	5	7	0	2	1	2	7	4	2	6	8	0	5	1	0	4	0	6	2	4	4	0	0	8	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	138	0	3	4	3	1	2	2	1	5	3	1	2	0	0	1	1	2	0	5	5	3	0	0	2	1	2	1	1	1	6	3	2	1	4	1	2	1	2	2	0	4	0	2	5	2	3	1	5	1	0	2	1	0	0	1	3	0	3	4	0	1	1	1	1	1	1	0	1	0	1	4	3	1	0	1	1	2	2	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																							
18	1.Политическая партия «Аграрная партия России»	1435	23	7	25	3	8	14	26	8	9	14	25	1	5	0	2	25	20	15	36	29	30	35	27	8	25	20	21	0	34	29	15	23	24	12	8	5	6	34	49	16	24	29	13	10	5	5	15	22	16	18	3	12	1	13	27	38	31	9	22	14	15	29	35	21	8	22	33	22	26	19	15	21	6	5	16	5	25	18	25	26					
		1.03%	1.65%	0.31%	1.18%	0.21%	0.48%	0.85%	1.56%	0.47%	0.57%	0.97%	1.21%	0.07%	0.71%	0.00%	0.12%	1.61%	1.07%	0.74%	1.75%	1.48%	1.68%	1.83%	1.38%	0.49%	1.81%	1.36%	1.36%	0.00%	1.62%	1.33%	0.73%	1.21%	1.57%	0.99%	0.46%	0.34%	0.33%	1.95%	2.41%	0.79%	1.38%	1.59%	0.68%	0.48%	0.25%	0.25%	0.75%	1.07%	0.90%	1.23%	0.21%	1.06%	0.32%	0.81%	1.68%	1.64%	1.38%	0.38%	0.95%	0.65%	0.77%	1.32%	1.50%	0.97%	0.66%	1.03%	1.80%	1.15%	1.69%	1.34%	0.95%	1.26%	0.54%	0.35%	1.10%	0.37%	1.39%	1.07%	1.16%	1.36%					
19	2.Всероссийская политическая партия «Гражданская Сила»	888	15	5	14	1	7	4	18	8	10	10	9	5	0	1	1	7	8	5	19	14	19	29	24	3	12	15	10	1	13	13	25	7	8	6	7	4	6	15	11	8	15	17	7	10	8	3	14	27	9	4	2	4	1	15	7	29	15	2	6	12	16	21	7	26	1	20	14	7	14	16	28	25	9	4	19	7	15	9	12	14					
		0.64%	1.08%	0.22%	0.66%	0.07%	0.42%	0.24%	1.08%	0.47%	0.63%	0.69%	0.44%	0.36%	0.00%	0.19%	0.06%	0.45%	0.43%	0.25%	0.92%	0.72%	1.06%	1.52%	1.23%	0.18%	0.87%	1.02%	0.65%	0.06%	0.62%	0.60%	1.21%	0.37%	0.52%	0.50%	0.41%	0.27%	0.33%	0.86%	0.54%	0.39%	0.86%	0.93%	0.37%	0.48%	0.40%	0.15%	0.70%	1.31%	0.51%	0.27%	0.14%	0.35%	0.32%	0.93%	0.44%	1.25%	0.67%	0.08%	0.26%	0.56%	0.82%	0.96%	0.30%	1.20%	0.08%	0.94%	0.76%	0.37%	0.91%	1.13%	1.77%	1.50%	0.81%	0.28%	1.31%	0.52%	0.83%	0.53%	0.56%	0.73%					
20	3.Политическая партия «Демократическая партия России»	194	1	3	4	0	1	3	1	2	0	1	4	0	0	1	4	8	5	2	6	1	4	2	1	3	2	3	0	0	1	5	3	1	4	0	0	3	3	1	4	3	3	6	0	3	0	3	4	1	3	2	1	1	0	4	2	6	6	3	3	0	3	2	4	6	3	4	1	3	6	1	4	2	4	0	3	0	0	2	2	3					
		0.14%	0.07%	0.13%	0.19%	0.00%	0.06%	0.18%	0.06%	0.12%	0.00%	0.07%	0.19%	0.00%	0.00%	0.19%	0.25%	0.52%	0.27%	0.10%	0.29%	0.05%	0.22%	0.10%	0.05%	0.18%	0.15%	0.20%	0.00%	0.00%	0.05%	0.23%	0.15%	0.05%	0.26%	0.00%	0.00%	0.20%	0.17%	0.06%	0.20%	0.15%	0.17%	0.33%	0.00%	0.14%	0.00%	0.15%	0.20%	0.05%	0.17%	0.14%	0.07%	0.09%	0.00%	0.25%	0.12%	0.26%	0.27%	0.13%	0.13%	0.00%	0.15%	0.09%	0.17%	0.28%	0.25%	0.19%	0.05%	0.16%	0.39%	0.07%	0.25%	0.12%	0.36%	0.00%	0.21%	0.00%	0.00%	0.12%	0.09%	0.16%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	19117	231	303	372	180	246	273	260	313	201	231	204	161	79	69	303	324	311	234	408	329	100	312	285	230	154	182	245	170	211	164	209	239	292	176	204	283	388	382	374	300	208	359	104	88	142	113	294	268	307	148	296	230	19	163	103	346	403	403	264	259	142	353	489	431	30	204	208	192	276	77	277	290	210	68	213	176	186	238	335	273					
		13.76%	16.57%	13.52%	17.59%	12.82%	14.66%	16.57%	15.63%	18.46%	12.71%	16.03%	9.87%	11.45%	11.17%	12.97%	18.83%	20.86%	16.58%	11.57%	19.78%	16.83%	5.60%	16.30%	14.59%	14.10%	11.17%	12.33%	15.87%	10.57%	10.08%	7.51%	10.14%	12.60%	19.05%	14.65%	11.83%	19.23%	21.34%	21.94%	18.42%	14.74%	11.95%	19.73%	5.46%	4.18%	7.04%	5.71%	14.68%	13.02%	17.24%	10.08%	20.58%	20.28%	6.15%	10.16%	6.40%	14.97%	17.94%	16.95%	11.37%	12.11%	7.26%	16.10%	20.90%	19.83%	2.47%	9.59%	11.32%	10.04%	17.90%	5.42%	17.48%	17.44%	18.90%	4.75%	14.68%	13.12%	10.30%	14.08%	15.56%	14.32%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	726	3	7	7	3	3	7	4	10	9	5	18	6	2	1	11	7	11	8	5	13	19	19	14	9	3	4	15	5	4	23	10	14	13	7	2	4	3	18	29	14	17	16	15	3	0	10	6	16	8	2	10	11	0	4	7	11	13	5	10	6	4	10	6	11	3	13	12	8	8	10	15	21	2	6	12	0	15	7	18	6					
		0.52%	0.22%	0.31%	0.33%	0.21%	0.18%	0.42%	0.24%	0.59%	0.57%	0.35%	0.87%	0.43%	0.28%	0.19%	0.68%	0.45%	0.59%	0.40%	0.24%	0.66%	1.06%	0.99%	0.72%	0.55%	0.22%	0.27%	0.97%	0.31%	0.19%	1.05%	0.49%	0.74%	0.85%	0.58%	0.12%	0.27%	0.17%	1.03%	1.43%	0.69%	0.98%	0.88%	0.79%	0.14%	0.00%	0.51%	0.30%	0.78%	0.45%	0.14%	0.70%	0.97%	0.00%	0.25%	0.44%	0.48%	0.58%	0.21%	0.43%	0.28%	0.20%	0.46%	0.26%	0.51%	0.25%	0.61%	0.65%	0.42%	0.52%	0.70%	0.95%	1.26%	0.18%	0.42%	0.83%	0.00%	0.83%	0.41%	0.84%	0.31%					
23	6.Политическая партия «Партия социальной справедливости»	379	2	1	7	1	3	0	3	2	3	5	3	3	2	1	2	8	13	5	6	1	9	7	6	8	6	3	5	1	7	9	8	5	3	3	4	2	2	4	7	7	9	8	21	12	0	7	6	5	3	3	1	1	0	3	4	11	6	2	4	0	6	5	0	4	0	8	4	5	5	10	13	4	6	2	4	0	8	3	6	3					
		0.27%	0.14%	0.04%	0.33%	0.07%	0.18%	0.00%	0.18%	0.12%	0.19%	0.35%	0.15%	0.21%	0.28%	0.19%	0.12%	0.52%	0.69%	0.25%	0.29%	0.05%	0.50%	0.37%	0.31%	0.49%	0.44%	0.20%	0.32%	0.06%	0.33%	0.41%	0.39%	0.26%	0.20%	0.25%	0.23%	0.14%	0.11%	0.23%	0.34%	0.34%	0.52%	0.44%	1.10%	0.57%	0.00%	0.35%	0.30%	0.24%	0.17%	0.20%	0.07%	0.09%	0.00%	0.19%	0.25%	0.48%	0.27%	0.08%	0.17%	0.00%	0.31%	0.23%	0.00%	0.18%	0.00%	0.38%	0.22%	0.26%	0.32%	0.70%	0.82%	0.24%	0.54%	0.14%	0.28%	0.00%	0.44%	0.18%	0.28%	0.16%					
24	7.Политическая партия «Либерально-демократическая партия России»	5628	94	32	102	15	54	59	129	29	76	105	107	51	22	3	84	101	114	68	33	135	34	117	137	97	96	88	93	83	88	0	54	138	67	73	62	26	10	117	27	52	85	98	40	96	16	6	56	168	81	34	33	78	4	65	43	102	124	22	82	79	90	48	130	50	4	52	90	51	96	9	107	108	86	7	83	37	90	74	87	145					
		4.05%	6.74%	1.43%	4.82%	1.07%	3.22%	3.58%	7.76%	1.71%	4.81%	7.29%	5.18%	3.63%	3.11%	0.56%	5.22%	6.50%	6.08%	3.36%	1.60%	6.91%	1.90%	6.11%	7.01%	5.95%	6.96%	5.96%	6.02%	5.16%	4.20%	0.00%	2.62%	7.27%	4.37%	6.08%	3.59%	1.77%	0.55%	6.72%	1.33%	2.56%	4.89%	5.38%	2.10%	4.56%	0.79%	0.30%	2.80%	8.16%	4.55%	2.32%	2.29%	6.88%	1.29%	4.05%	2.67%	4.41%	5.52%	0.93%	3.53%	3.70%	4.60%	2.19%	5.56%	2.30%	0.33%	2.44%	4.90%	2.67%	6.23%	0.63%	6.75%	6.49%	7.74%	0.49%	5.72%	2.76%	4.99%	4.38%	4.04%	7.60%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	11524	158	58	69	68	75	100	156	39	61	103	192	104	29	66	58	148	173	232	82	195	216	148	201	103	134	79	170	124	216	270	239	183	150	85	125	32	72	102	133	292	110	154	245	245	229	302	249	188	54	170	95	120	8	153	128	129	141	219	226	240	197	20	103	101	48	235	133	227	175	182	134	195	103	209	138	129	111	62	156	221					
		8.29%	11.33%	2.59%	3.26%	4.84%	4.47%	6.07%	9.38%	2.30%	3.86%	7.15%	9.29%	7.40%	4.10%	12.41%	3.60%	9.53%	9.22%	11.47%	3.97%	9.97%	12.09%	7.73%	10.29%	6.32%	9.72%	5.35%	11.01%	7.71%	10.32%	12.36%	11.60%	9.65%	9.78%	7.08%	7.25%	2.17%	3.96%	5.86%	6.55%	14.35%	6.32%	8.46%	12.86%	11.65%	11.35%	15.26%	12.43%	9.13%	3.03%	11.58%	6.61%	10.58%	2.59%	9.53%	7.96%	5.58%	6.28%	9.21%	9.73%	11.23%	10.07%	0.91%	4.40%	4.65%	3.95%	11.05%	7.24%	11.87%	11.35%	12.82%	8.45%	11.73%	9.27%	14.58%	9.51%	9.62%	6.15%	3.67%	7.25%	11.59%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	500	12	4	8	2	3	7	4	4	7	3	11	6	1	2	7	9	8	3	20	9	8	7	9	7	7	7	7	1	10	8	11	7	8	4	4	3	8	5	5	4	10	8	4	2	6	3	8	8	8	2	1	5	0	6	6	15	11	9	9	0	1	8	0	7	0	10	6	6	6	7	10	8	5	2	5	0	5	9	11	13					
		0.36%	0.86%	0.18%	0.38%	0.14%	0.18%	0.42%	0.24%	0.24%	0.44%	0.21%	0.53%	0.43%	0.14%	0.38%	0.44%	0.58%	0.43%	0.15%	0.97%	0.46%	0.45%	0.37%	0.46%	0.43%	0.51%	0.47%	0.45%	0.06%	0.48%	0.37%	0.53%	0.37%	0.52%	0.33%	0.23%	0.20%	0.44%	0.29%	0.25%	0.20%	0.57%	0.44%	0.21%	0.10%	0.30%	0.15%	0.40%	0.39%	0.45%	0.14%	0.07%	0.44%	0.00%	0.37%	0.37%	0.65%	0.49%	0.38%	0.39%	0.00%	0.05%	0.36%	0.00%	0.32%	0.00%	0.47%	0.33%	0.31%	0.39%	0.49%	0.63%	0.48%	0.45%	0.14%	0.34%	0.00%	0.28%	0.53%	0.51%	0.68%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	95264	831	1813	1439	1104	1219	1168	1028	1268	1163	919	1320	1032	554	384	1126	890	1180	1425	1407	1182	1331	1203	1205	1152	917	930	960	1050	1483	1620	1445	1252	935	824	1297	1025	1309	1046	1354	1328	1238	982	1449	1436	1256	1502	1281	1328	1260	1075	992	652	275	1137	1273	1591	1460	1674	1666	1497	1469	1660	1468	1484	1117	1519	1305	1364	905	1039	949	953	666	1121	937	938	1330	1261	1480	1157					
		68.56%	59.61%	80.90%	68.04%	78.63%	72.65%	70.87%	61.82%	74.76%	73.56%	63.78%	63.89%	73.40%	78.36%	72.18%	69.98%	57.31%	62.90%	70.47%	68.20%	60.46%	74.48%	62.85%	61.67%	70.63%	66.50%	63.01%	62.18%	65.26%	70.86%	74.18%	70.11%	65.99%	60.99%	68.61%	75.19%	69.63%	72.00%	60.08%	66.70%	65.26%	71.15%	53.96%	76.06%	68.28%	62.27%	75.90%	63.95%	64.50%	70.75%	73.23%	68.98%	57.50%	88.99%	70.84%	79.12%	68.84%	64.98%	70.40%	71.75%	70.02%	75.10%	75.70%	62.74%	68.29%	91.93%	71.42%	71.00%	71.34%	58.69%	73.17%	59.87%	57.31%	59.95%	78.23%	64.58%	69.95%	73.68%	74.62%	68.74%	60.67%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	848	10	8	18	1	7	3	12	8	9	12	4	6	4	0	5	11	19	7	10	21	16	18	25	3	10	4	8	2	15	24	24	13	15	4	3	3	2	9	21	7	10	20	7	8	0	5	7	15	12	5	2	11	0	14	9	22	26	3	10	9	9	12	0	17	1	22	22	6	15	15	20	25	11	2	8	0	8	7	20	32					
		0.61%	0.72%	0.36%	0.85%	0.07%	0.42%	0.18%	0.72%	0.47%	0.57%	0.83%	0.19%	0.43%	0.57%	0.00%	0.31%	0.71%	1.01%	0.35%	0.48%	1.07%	0.90%	0.94%	1.28%	0.18%	0.73%	0.27%	0.52%	0.12%	0.72%	1.10%	1.16%	0.69%	0.98%	0.33%	0.17%	0.20%	0.11%	0.52%	1.03%	0.34%	0.57%	1.10%	0.37%	0.38%	0.00%	0.25%	0.35%	0.73%	0.67%	0.34%	0.14%	0.97%	0.00%	0.87%	0.56%	0.95%	1.16%	0.13%	0.43%	0.42%	0.46%	0.55%	0.00%	0.78%	0.08%	1.03%	1.20%	0.31%	0.97%	1.06%	1.26%	1.50%	0.99%	0.14%	0.55%	0.00%	0.44%	0.41%	0.93%	1.68%					
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
