Выборы Президента Российской Федерации																																																																				
																																																																				
"Наименование Избирательной комиссии:    Дзержинская, Свердловская"																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №820	УИК №821	УИК №827	УИК №828	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №879	УИК №880	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №910	УИК №914	УИК №915	УИК №916	УИК №917	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №936	УИК №937	УИК №938					
11	Число полученных открепительных  удостоверений	1032	10	13	15	15	10	20	20	20	20	20	15	15	23	15	20	10	20	20	20	20	20	30	20	13	20	10	15	30	15	15	20	20	15	13	25	25	20	10	25	25	25	20	15	20	10	13	20	10	20	10	13	18	22	13	10	18	30	18	0	0	0					
12	Число выданных открепительных удостоверений	791	8	9	13	10	5	13	18	13	13	14	10	9	21	13	13	8	18	13	10	16	12	29	15	12	19	8	11	26	8	11	13	20	12	11	20	17	13	4	20	17	22	14	10	16	5	11	15	2	20	7	10	18	22	13	5	14	28	14	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	567	6	12	3	6	12	15	10	11	19	10	11	13	6	7	7	0	4	4	9	11	8	10	11	5	6	7	1	4	8	6	3	7	4	3	6	10	3	0	0	2	2	3	7	9	4	5	3	5	6	14	8	1	6	8	7	25	21	8	36	77	32					
14	Число неиспользованных открепительных удостоверений	241	2	4	2	5	5	7	2	7	7	6	5	6	2	2	7	2	2	7	10	4	8	1	5	1	1	2	4	4	7	4	7	0	3	2	5	8	7	6	5	8	3	6	5	4	5	2	5	8	0	3	3	0	0	0	5	4	2	4	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	2810	37	36	50	32	49	35	28	42	41	49	50	53	48	41	44	52	33	26	41	54	69	92	69	33	48	27	24	56	57	45	36	51	41	40	87	59	64	28	83	55	52	61	36	54	32	35	60	24	72	38	76	61	58	51	20	39	71	49	0	13	3					
		4.62%	5.45%	4.04%	6.58%	4.32%	5.14%	2.52%	2.31%	3.63%	3.06%	4.92%	3.71%	3.61%	4.55%	3.23%	4.93%	5.52%	3.42%	3.68%	5.95%	6.37%	4.58%	6.51%	5.20%	3.85%	4.93%	3.92%	3.27%	4.02%	5.18%	4.75%	4.00%	4.74%	5.00%	5.48%	6.11%	3.85%	5.14%	4.64%	6.24%	4.21%	4.14%	4.51%	4.22%	4.83%	4.64%	4.75%	4.84%	5.04%	5.10%	4.09%	5.73%	5.80%	4.53%	5.02%	4.31%	7.65%	4.37%	5.70%	0.00%	7.26%	2.05%					
19	. Малышкин Олег Александрович	1488	15	31	15	16	23	34	30	25	49	25	49	43	24	34	24	10	21	20	20	20	23	27	16	24	25	17	16	42	32	24	24	22	8	16	32	38	32	9	34	34	30	22	21	32	17	19	38	10	30	21	41	33	42	24	16	14	40	12	0	2	1					
		2.45%	2.21%	3.48%	1.97%	2.16%	2.41%	2.44%	2.47%	2.16%	3.65%	2.51%	3.63%	2.93%	2.27%	2.68%	2.69%	1.06%	2.17%	2.83%	2.90%	2.36%	1.53%	1.91%	1.21%	2.80%	2.57%	2.47%	2.18%	3.02%	2.91%	2.53%	2.67%	2.04%	0.98%	2.19%	2.25%	2.48%	2.57%	1.49%	2.55%	2.60%	2.39%	1.63%	2.46%	2.86%	2.46%	2.58%	3.07%	2.10%	2.12%	2.26%	3.09%	3.14%	3.28%	2.36%	3.45%	2.75%	2.46%	1.40%	0.00%	1.12%	0.68%					
20	. Миронов Сергей Михайлович	388	4	7	10	10	1	5	5	11	7	7	4	7	3	10	5	8	7	0	4	5	14	5	8	4	2	6	6	13	3	7	8	4	2	7	7	9	6	2	13	6	14	12	13	3	3	3	7	0	11	10	10	9	7	8	0	3	12	4	0	2	5					
		0.64%	0.59%	0.78%	1.32%	1.35%	0.10%	0.36%	0.41%	0.95%	0.52%	0.70%	0.30%	0.48%	0.28%	0.79%	0.56%	0.85%	0.72%	0.00%	0.58%	0.59%	0.93%	0.35%	0.60%	0.47%	0.21%	0.87%	0.82%	0.93%	0.27%	0.74%	0.89%	0.37%	0.24%	0.96%	0.49%	0.59%	0.48%	0.33%	0.98%	0.46%	1.11%	0.89%	1.52%	0.27%	0.43%	0.41%	0.56%	0.00%	0.78%	1.08%	0.75%	0.86%	0.55%	0.79%	0.00%	0.59%	0.74%	0.47%	0.00%	1.12%	3.42%					
21	. Путин Владимир Владимирович	37137	423	526	436	452	607	1030	853	745	846	608	881	903	629	758	536	576	569	456	458	505	908	849	771	552	600	412	421	826	635	567	548	670	484	472	875	924	725	361	782	820	754	827	524	693	431	447	738	313	802	544	776	629	730	615	302	306	997	511	24	84	91					
		61.11%	62.30%	58.97%	57.37%	61.08%	63.63%	74.05%	70.32%	64.45%	63.04%	61.04%	65.31%	61.43%	59.62%	59.73%	60.02%	61.15%	58.90%	64.50%	66.47%	59.55%	60.21%	60.04%	58.10%	64.41%	61.66%	59.88%	57.44%	59.30%	57.73%	59.81%	60.89%	62.27%	59.02%	64.66%	61.49%	60.31%	58.19%	59.87%	58.75%	62.74%	59.98%	61.17%	61.36%	62.04%	62.46%	60.65%	59.56%	65.76%	56.80%	58.62%	58.52%	59.85%	57.03%	60.59%	65.09%	60.00%	61.35%	59.42%	66.67%	46.93%	62.33%					
22	. Хакамада Ирина Муцуовна	4172	43	62	52	45	66	70	48	54	65	55	53	84	73	107	67	63	61	54	35	50	126	127	95	38	68	54	52	99	87	52	51	66	74	45	116	141	153	48	82	58	106	123	44	91	54	31	81	25	92	77	99	79	76	68	23	21	137	85	7	8	6					
		6.86%	6.33%	6.95%	6.84%	6.08%	6.92%	5.03%	3.96%	4.67%	4.84%	5.52%	3.93%	5.71%	6.92%	8.43%	7.50%	6.69%	6.31%	7.64%	5.08%	5.90%	8.36%	8.98%	7.16%	4.43%	6.99%	7.85%	7.09%	7.11%	7.91%	5.49%	5.67%	6.13%	9.02%	6.16%	8.15%	9.20%	12.28%	7.96%	6.16%	4.44%	8.43%	9.10%	5.15%	8.15%	7.83%	4.21%	6.54%	5.25%	6.52%	8.30%	7.47%	7.52%	5.94%	6.70%	4.96%	4.12%	8.43%	9.88%	19.44%	4.47%	4.11%					
23	. Харитонов Николай Михайлович	9946	114	162	156	127	129	113	195	204	214	171	216	259	195	199	141	166	193	100	93	140	241	209	255	162	154	118	162	227	196	166	176	191	159	108	204	232	160	105	232	220	212	188	145	156	116	144	213	85	278	145	190	151	213	147	84	102	204	116	3	63	27					
		16.37%	16.79%	18.16%	20.53%	17.16%	13.52%	8.12%	16.08%	17.65%	15.95%	17.17%	16.01%	17.62%	18.48%	15.68%	15.79%	17.62%	19.98%	14.14%	13.50%	16.51%	15.98%	14.78%	19.22%	18.90%	15.83%	17.15%	22.10%	16.30%	17.82%	17.51%	19.56%	17.75%	19.39%	14.79%	14.34%	15.14%	12.84%	17.41%	17.43%	16.83%	16.87%	13.91%	16.98%	13.97%	16.81%	19.54%	17.19%	17.86%	19.69%	15.63%	14.33%	14.37%	16.64%	14.48%	18.10%	20.00%	12.55%	13.49%	8.33%	35.20%	18.49%					
																																																																				
24	Против всех	4380	36	62	39	58	77	96	45	64	113	69	86	107	73	109	65	63	73	45	30	71	114	95	106	41	67	52	42	114	84	79	48	59	47	35	91	122	97	50	98	102	78	110	61	78	35	54	91	18	111	86	119	78	149	95	17	22	156	78	1	6	13					
		7.21%	5.30%	6.95%	5.13%	7.84%	8.07%	6.90%	3.71%	5.54%	8.42%	6.93%	6.38%	7.28%	6.92%	8.59%	7.28%	6.69%	7.56%	6.36%	4.35%	8.37%	7.56%	6.72%	7.99%	4.78%	6.89%	7.56%	5.73%	8.18%	7.64%	8.33%	5.33%	5.48%	5.73%	4.79%	6.39%	7.96%	7.78%	8.29%	7.36%	7.80%	6.21%	8.14%	7.14%	6.98%	5.07%	7.33%	7.34%	3.78%	7.86%	9.27%	8.97%	7.42%	11.64%	9.36%	3.66%	4.31%	9.60%	9.07%	2.78%	3.35%	8.90%					
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
