Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Оленинская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779					
		0.77%	1.23%	1.26%	0.00%	0.93%	0.88%	0.00%	0.00%	0.00%	0.78%	1.36%	0.61%	0.90%	1.41%	0.49%	0.90%	0.00%	0.00%	0.00%	1.55%	0.00%	0.00%	1.04%	0.77%	1.69%	0.62%	1.10%					
21	. Путин Владимир Владимирович	5526	175	124	68	233	84	83	51	144	74	225	125	192	101	456	844	172	83	68	88	154	138	85	157	117	716	769					
		70.02%	72.02%	77.99%	75.56%	72.14%	73.68%	72.81%	47.66%	76.60%	57.81%	76.27%	76.69%	86.88%	71.13%	73.91%	69.41%	86.43%	73.45%	83.95%	68.22%	80.63%	66.35%	88.54%	60.15%	65.73%	63.14%	65.06%					
22	. Хакамада Ирина Муцуовна	165	3	9	1	7	0	3	1	0	1	4	1	1	5	3	33	4	0	0	2	3	8	0	6	1	34	35					
		2.09%	1.23%	5.66%	1.11%	2.17%	0.00%	2.63%	0.93%	0.00%	0.78%	1.36%	0.61%	0.45%	3.52%	0.49%	2.71%	2.01%	0.00%	0.00%	1.55%	1.57%	3.85%	0.00%	2.30%	0.56%	3.00%	2.96%					
23	. Харитонов Николай Михайлович	1578	42	19	17	52	17	25	33	36	42	43	28	16	24	137	264	10	22	9	30	25	56	8	72	52	255	244					
		19.99%	17.28%	11.95%	18.89%	16.10%	14.91%	21.93%	30.84%	19.15%	32.81%	14.58%	17.18%	7.24%	16.90%	22.20%	21.71%	5.03%	19.47%	11.11%	23.26%	13.09%	26.92%	8.33%	27.59%	29.21%	22.49%	20.64%					
																																	
24	Против всех	217	10	3	3	15	6	1	0	4	6	9	4	5	3	5	12	5	3	0	3	3	4	1	13	0	58	41					
		2.75%	4.12%	1.89%	3.33%	4.64%	5.26%	0.88%	0.00%	2.13%	4.69%	3.05%	2.45%	2.26%	2.11%	0.81%	0.99%	2.51%	2.65%	0.00%	2.33%	1.57%	1.92%	1.04%	4.98%	0.00%	5.11%	3.47%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
