Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Славянская																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №4201	УИК №4202	УИК №4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4212	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225	УИК №4226	УИК №4227	УИК №4228	УИК №4229	УИК №4230	УИК №4231	УИК №4232	УИК №4233	УИК №4234	УИК №4235	УИК №4236	УИК №4237	УИК №4238	УИК №4239	УИК №4240	УИК №4241	УИК №4242	УИК №4243	УИК №4244	УИК №4245	УИК №4246	УИК №4247	УИК №4248	УИК №4249	УИК №4250	УИК №4251	УИК №4252	УИК №4253	УИК №4254	УИК №4255	УИК №4256	УИК №4257	УИК №4258	УИК №4259	УИК №4260	УИК №4261	УИК №4262	УИК №4263	УИК №4264	УИК №4299									
		1.22%	1.37%	1.49%	2.06%	1.54%	1.78%	2.71%	1.64%	1.12%	1.24%	2.37%	1.97%	2.31%	2.25%	2.19%	0.98%	2.08%	1.66%	1.95%	2.13%	1.51%	1.45%	2.62%	1.76%	1.51%	1.44%	1.45%	1.19%	0.93%	0.97%	1.95%	0.00%	0.24%	1.22%	0.00%	0.70%	0.87%	0.99%	1.24%	0.00%	1.55%	0.38%	0.00%	0.22%	0.78%	0.40%	0.50%	1.97%	0.31%	0.91%	1.22%	0.81%	0.28%	0.76%	0.13%	1.65%	1.05%	0.76%	0.68%	0.28%	0.00%	0.40%	2.89%	0.99%	1.74%	0.41%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1110	33	15	18	15	28	36	33	26	16	30	35	24	28	21	10	31	18	16	18	8	32	24	20	25	25	22	45	3	14	27	0	11	8	4	10	24	8	8	0	6	36	0	30	21	14	10	7	43	10	21	30	10	8	10	18	5	15	8	8	1	10	9	7	4	0									
		2.22%	3.23%	2.48%	2.86%	2.31%	2.77%	4.07%	3.18%	2.64%	2.48%	3.39%	3.14%	2.41%	3.50%	2.30%	1.64%	2.80%	2.99%	3.11%	1.74%	1.10%	3.09%	2.09%	3.91%	1.99%	2.01%	3.18%	3.82%	1.39%	1.94%	2.29%	0.00%	0.89%	1.63%	1.29%	0.87%	2.08%	1.59%	1.41%	0.00%	3.09%	2.77%	0.00%	2.24%	1.63%	1.13%	1.67%	3.45%	2.67%	2.28%	5.13%	3.46%	1.42%	0.87%	1.26%	2.69%	0.87%	2.27%	1.09%	2.20%	0.49%	4.03%	2.89%	2.32%	1.16%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	777	24	5	16	1	17	23	16	23	18	24	34	28	25	15	2	16	7	9	24	1	28	41	17	25	14	10	27	0	10	17	1	0	5	1	10	13	13	4	0	2	17	0	30	14	15	0	3	7	4	15	21	5	4	6	14	8	22	6	3	2	4	3	2	6	0									
		1.56%	2.35%	0.83%	2.54%	0.15%	1.68%	2.60%	1.54%	2.33%	2.80%	2.71%	3.05%	2.81%	3.13%	1.64%	0.33%	1.44%	1.16%	1.75%	2.32%	0.14%	2.71%	3.58%	3.32%	1.99%	1.12%	1.45%	2.29%	0.00%	1.39%	1.44%	0.71%	0.00%	1.02%	0.32%	0.87%	1.13%	2.59%	0.71%	0.00%	1.03%	1.31%	0.00%	2.24%	1.09%	1.21%	0.00%	1.48%	0.43%	0.91%	3.67%	2.42%	0.71%	0.44%	0.76%	2.10%	1.39%	3.33%	0.82%	0.83%	0.98%	1.61%	0.96%	0.66%	1.74%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	30174	463	291	282	365	549	431	657	569	319	384	501	432	433	449	443	496	312	238	481	364	489	521	246	678	875	358	586	168	468	744	120	808	317	246	945	887	328	376	411	133	919	949	989	858	879	467	137	1050	229	202	417	531	729	514	382	395	433	563	258	159	179	194	195	203	180									
		60.45%	45.35%	48.10%	44.76%	56.15%	54.36%	48.70%	63.36%	57.71%	49.53%	43.39%	44.89%	43.37%	54.19%	49.23%	72.62%	44.77%	51.83%	46.30%	46.56%	49.86%	47.25%	45.46%	48.05%	53.85%	70.22%	51.81%	49.70%	77.78%	65.00%	63.16%	85.71%	65.58%	64.69%	79.35%	82.17%	76.93%	65.34%	66.43%	66.29%	68.56%	70.69%	75.38%	73.97%	66.72%	71.17%	77.96%	67.49%	65.14%	52.28%	49.39%	48.15%	75.64%	79.59%	64.98%	57.19%	68.82%	65.51%	76.70%	71.07%	77.56%	72.18%	62.38%	64.57%	58.84%	74.69%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	232	13	5	2	8	6	7	3	5	6	4	11	15	6	6	0	5	5	6	16	1	2	7	5	8	3	7	1	0	3	2	0	0	3	1	2	3	6	3	0	2	2	0	7	3	5	3	0	1	1	2	4	0	3	0	3	2	0	1	2	0	0	0	3	2	0									
		0.46%	1.27%	0.83%	0.32%	1.23%	0.59%	0.79%	0.29%	0.51%	0.93%	0.45%	0.99%	1.51%	0.75%	0.66%	0.00%	0.45%	0.83%	1.17%	1.55%	0.14%	0.19%	0.61%	0.98%	0.64%	0.24%	1.01%	0.08%	0.00%	0.42%	0.17%	0.00%	0.00%	0.61%	0.32%	0.17%	0.26%	1.20%	0.53%	0.00%	1.03%	0.15%	0.00%	0.52%	0.23%	0.40%	0.50%	0.00%	0.06%	0.23%	0.49%	0.46%	0.00%	0.33%	0.00%	0.45%	0.35%	0.00%	0.14%	0.55%	0.00%	0.00%	0.00%	0.99%	0.58%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	56	0	6	0	0	1	1	0	1	1	1	2	2	4	1	0	2	1	0	3	0	3	1	0	1	1	1	2	0	1	3	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	3	0	3	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0									
		0.11%	0.00%	0.99%	0.00%	0.00%	0.10%	0.11%	0.00%	0.10%	0.16%	0.11%	0.18%	0.20%	0.50%	0.11%	0.00%	0.18%	0.17%	0.00%	0.29%	0.00%	0.29%	0.09%	0.00%	0.08%	0.08%	0.14%	0.17%	0.00%	0.14%	0.25%	0.00%	0.00%	0.20%	0.00%	0.09%	0.00%	0.20%	0.18%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.08%	0.00%	0.00%	0.19%	0.00%	0.73%	0.12%	0.14%	0.00%	0.00%	0.15%	0.17%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6395	150	103	131	88	113	150	88	132	105	118	194	147	109	152	47	250	74	84	156	144	214	210	97	222	111	121	217	10	63	155	9	53	55	22	39	77	66	78	85	31	126	135	127	133	141	59	17	171	86	72	196	76	65	97	94	40	46	42	25	16	21	28	39	50	23									
		12.81%	14.69%	17.02%	20.79%	13.54%	11.19%	16.95%	8.49%	13.39%	16.30%	13.33%	17.38%	14.76%	13.64%	16.67%	7.70%	22.56%	12.29%	16.34%	15.10%	19.73%	20.68%	18.32%	18.95%	17.63%	8.91%	17.51%	18.41%	4.63%	8.75%	13.16%	6.43%	4.30%	11.22%	7.10%	3.39%	6.68%	13.15%	13.78%	13.71%	15.98%	9.69%	10.72%	9.50%	10.34%	11.42%	9.85%	8.37%	10.61%	19.63%	17.60%	22.63%	10.83%	7.10%	12.26%	14.07%	6.97%	6.96%	5.72%	6.89%	7.80%	8.47%	9.00%	12.91%	14.49%	9.54%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	154	10	4	1	1	2	3	5	3	6	3	5	8	4	5	1	6	6	9	3	0	8	5	2	7	2	5	3	0	1	4	0	0	0	0	2	2	1	1	0	0	8	0	1	1	0	0	0	0	3	4	3	0	0	0	3	1	2	0	0	0	0	0	0	0	0									
		0.31%	0.98%	0.66%	0.16%	0.15%	0.20%	0.34%	0.48%	0.30%	0.93%	0.34%	0.45%	0.80%	0.50%	0.55%	0.16%	0.54%	0.99%	1.75%	0.29%	0.00%	0.77%	0.44%	0.39%	0.56%	0.16%	0.72%	0.25%	0.00%	0.14%	0.34%	0.00%	0.00%	0.00%	0.00%	0.17%	0.17%	0.20%	0.18%	0.00%	0.00%	0.62%	0.00%	0.07%	0.08%	0.00%	0.00%	0.00%	0.00%	0.68%	0.98%	0.35%	0.00%	0.00%	0.00%	0.45%	0.17%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	275	7	6	7	2	11	6	4	7	9	10	14	11	4	7	2	11	9	6	13	2	10	20	5	4	2	2	3	0	0	3	1	0	1	0	8	4	5	5	0	0	0	0	2	6	7	0	0	6	0	7	9	1	2	2	5	0	3	2	0	0	0	0	0	2	0									
		0.55%	0.69%	0.99%	1.11%	0.31%	1.09%	0.68%	0.39%	0.71%	1.40%	1.13%	1.25%	1.10%	0.50%	0.77%	0.33%	0.99%	1.50%	1.17%	1.26%	0.27%	0.97%	1.75%	0.98%	0.32%	0.16%	0.29%	0.25%	0.00%	0.00%	0.25%	0.71%	0.00%	0.20%	0.00%	0.70%	0.35%	0.99%	0.88%	0.00%	0.00%	0.00%	0.00%	0.15%	0.47%	0.57%	0.00%	0.00%	0.37%	0.00%	1.71%	1.04%	0.14%	0.22%	0.25%	0.75%	0.00%	0.45%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	46	1	0	1	0	1	1	0	0	0	0	1	3	0	2	0	0	2	0	0	0	1	0	1	2	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	2	4	2	0	1	7	1	1	3	0	1	0	2	0	1	0	0	0	0	0	0	0	0									
		0.09%	0.10%	0.00%	0.16%	0.00%	0.10%	0.11%	0.00%	0.00%	0.00%	0.00%	0.09%	0.30%	0.00%	0.22%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.10%	0.00%	0.20%	0.16%	0.08%	0.00%	0.00%	0.00%	0.14%	0.00%	0.71%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.15%	0.31%	0.16%	0.00%	0.49%	0.43%	0.23%	0.24%	0.35%	0.00%	0.11%	0.00%	0.30%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	293	17	6	4	5	8	9	15	6	11	9	15	15	9	14	3	5	4	5	7	8	9	13	1	5	3	7	11	0	0	2	0	0	1	0	1	2	0	2	0	2	6	0	2	4	7	4	0	5	2	2	2	1	1	0	4	2	2	4	2	0	1	1	2	3	2									
		0.59%	1.67%	0.99%	0.63%	0.77%	0.79%	1.02%	1.45%	0.61%	1.71%	1.02%	1.34%	1.51%	1.13%	1.54%	0.49%	0.45%	0.66%	0.97%	0.68%	1.10%	0.87%	1.13%	0.20%	0.40%	0.24%	1.01%	0.93%	0.00%	0.00%	0.17%	0.00%	0.00%	0.20%	0.00%	0.09%	0.17%	0.00%	0.35%	0.00%	1.03%	0.46%	0.00%	0.15%	0.31%	0.57%	0.67%	0.00%	0.31%	0.46%	0.49%	0.23%	0.14%	0.11%	0.00%	0.60%	0.35%	0.30%	0.54%	0.55%	0.00%	0.40%	0.32%	0.66%	0.87%	0.83%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5964	174	107	98	93	148	115	124	122	78	156	169	181	98	148	55	152	86	82	171	128	145	159	72	175	140	99	189	16	75	144	8	142	64	26	84	88	44	55	69	7	116	102	99	161	116	40	26	105	64	39	107	20	72	123	81	74	57	53	38	23	25	43	37	36	21									
		11.95%	17.04%	17.69%	15.56%	14.31%	14.65%	12.99%	11.96%	12.37%	12.11%	17.63%	15.14%	18.17%	12.27%	16.23%	9.02%	13.72%	14.29%	15.95%	16.55%	17.53%	14.01%	13.87%	14.06%	13.90%	11.24%	14.33%	16.03%	7.41%	10.42%	12.22%	5.71%	11.53%	13.06%	8.39%	7.30%	7.63%	8.76%	9.72%	11.13%	3.61%	8.92%	8.10%	7.40%	12.52%	9.39%	6.68%	12.81%	6.51%	14.61%	9.54%	12.36%	2.85%	7.86%	15.55%	12.13%	12.89%	8.62%	7.22%	10.47%	11.22%	10.08%	13.83%	12.25%	10.43%	8.71%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	143	3	3	3	0	7	0	2	3	0	7	11	5	2	2	1	7	4	0	7	2	0	11	2	4	3	0	6	0	2	0	0	0	0	0	2	1	1	0	0	1	4	0	0	2	2	1	1	6	2	2	3	0	0	0	6	1	3	2	1	0	2	2	0	1	0									
		0.29%	0.29%	0.50%	0.48%	0.00%	0.69%	0.00%	0.19%	0.30%	0.00%	0.79%	0.99%	0.50%	0.25%	0.22%	0.16%	0.63%	0.66%	0.00%	0.68%	0.27%	0.00%	0.96%	0.39%	0.32%	0.24%	0.00%	0.51%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.09%	0.20%	0.00%	0.00%	0.52%	0.31%	0.00%	0.00%	0.16%	0.16%	0.17%	0.49%	0.37%	0.46%	0.49%	0.35%	0.00%	0.00%	0.00%	0.90%	0.17%	0.45%	0.27%	0.28%	0.00%	0.81%	0.64%	0.00%	0.29%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2887	74	39	44	50	75	55	52	74	53	95	82	67	48	55	30	77	48	35	89	51	60	85	25	60	42	35	46	10	75	39	0	212	27	8	37	28	18	21	55	7	33	73	24	51	37	7	5	182	21	22	35	42	15	30	23	31	55	44	18	3	4	18	9	14	8									
		5.78%	7.25%	6.45%	6.98%	7.69%	7.43%	6.21%	5.01%	7.51%	8.23%	10.73%	7.35%	6.73%	6.01%	6.03%	4.92%	6.95%	7.97%	6.81%	8.62%	6.99%	5.80%	7.42%	4.88%	4.77%	3.37%	5.07%	3.90%	4.63%	10.42%	3.31%	0.00%	17.21%	5.51%	2.58%	3.22%	2.43%	3.59%	3.71%	8.87%	3.61%	2.54%	5.80%	1.80%	3.97%	2.99%	1.17%	2.46%	11.29%	4.79%	5.38%	4.04%	5.98%	1.64%	3.79%	3.44%	5.40%	8.32%	5.99%	4.96%	1.46%	1.61%	5.79%	2.98%	4.06%	3.32%									
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
