Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Павловская № 22																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302					
		1.26%	1.42%	0.58%	2.09%	0.89%	1.78%	0.59%	0.28%	1.27%	1.79%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	371	31	54	84	36	48	51	2	30	35					
		5.57%	7.38%	6.32%	7.65%	4.00%	5.04%	6.03%	0.57%	4.76%	5.70%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	209	12	25	38	31	35	19	10	22	17					
		3.14%	2.85%	2.92%	3.46%	3.45%	3.68%	2.24%	2.87%	3.49%	2.77%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	434	37	56	89	53	80	42	11	42	24					
		6.52%	8.80%	6.55%	8.10%	5.90%	8.41%	4.97%	3.16%	6.67%	3.91%					
22	"5. ""За Русь Святую"""	85	7	10	11	15	16	7	7	8	4					
		1.27%	1.66%	1.17%	1.00%	1.67%	1.68%	0.82%	2.01%	1.27%	0.65%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	0	1	5	5	1	2	0	2	1					
		0.25%	0.0%	0.11%	0.45%	0.55%	0.10%	0.23%	0.0%	0.31%	0.16%					
24	"7. ""Новый курс - Автомобильная Россия"""	60	6	4	9	2	6	10	0	19	4					
		0.90%	1.42%	0.46%	0.81%	0.22%	0.63%	1.18%	0.0%	3.02%	0.65%					
25	"8. ""Народно-республиканская партия России"""	10	3	1	2	0	2	1	0	0	1					
		0.15%	0.71%	0.11%	0.18%	0.0%	0.21%	0.11%	0.0%	0.0%	0.16%					
26	"9. ""Российская экологическая партия ""Зеленые"""	32	1	5	7	9	5	2	0	1	2					
		0.48%	0.23%	0.58%	0.63%	1.00%	0.52%	0.23%	0.0%	0.15%	0.32%					
27	"10. ""Аграрная партия России"""	132	9	14	20	13	23	9	15	14	15					
		1.98%	2.14%	1.63%	1.82%	1.44%	2.41%	1.06%	4.31%	2.22%	2.44%					
28	"11. ""Истинные патриоты России"""	7	2	1	1	0	0	1	1	0	1					
		0.10%	0.47%	0.11%	0.09%	0.0%	0.0%	0.11%	0.28%	0.0%	0.16%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	77	11	5	17	7	11	10	3	5	8					
		1.15%	2.61%	0.58%	1.54%	0.77%	1.15%	1.18%	0.86%	0.79%	1.30%					
30	"13. ""Демократическая партия России"""	20	0	0	1	5	4	5	3	1	1					
		0.30%	0.0%	0.0%	0.09%	0.55%	0.42%	0.59%	0.86%	0.15%	0.16%					
31	"14. ""Великая Россия - Евразийский Союз"""	13	3	3	3	1	0	0	0	1	2					
		0.19%	0.71%	0.35%	0.27%	0.11%	0.0%	0.0%	0.0%	0.15%	0.32%					
32	"15. ""Партия СЛОН"""	18	2	0	2	8	1	4	0	0	1					
		0.27%	0.47%	0.0%	0.18%	0.89%	0.10%	0.47%	0.0%	0.0%	0.16%					
33	"16. ""Родина"" (народно-патриотический союз)"""	876	57	108	145	126	128	149	26	58	79					
		13.16%	13.57%	12.64%	13.20%	14.03%	13.45%	17.63%	7.47%	9.22%	12.88%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	1	1	0	0	4	1	0	3	3					
		0.19%	0.23%	0.11%	0.0%	0.0%	0.42%	0.11%	0.0%	0.47%	0.48%					
35	"18. ""ЛДПР"""	538	34	52	96	79	53	94	5	63	62					
		8.08%	8.09%	6.08%	8.74%	8.79%	5.57%	11.12%	1.43%	10.01%	10.11%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	294	18	31	41	37	57	40	13	31	26					
		4.41%	4.28%	3.62%	3.73%	4.12%	5.99%	4.73%	3.73%	4.92%	4.24%					
37	"20. ""Политическая партия ""Единая Россия"""	2180	125	313	313	292	290	239	191	202	215					
		32.75%	29.76%	36.65%	28.50%	32.51%	30.49%	28.28%	54.88%	32.11%	35.07%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	1	2	0	1	0	2	1	0	1					
		0.12%	0.23%	0.23%	0.0%	0.11%	0.0%	0.23%	0.28%	0.0%	0.16%					
39	"22. ""Развитие предпринимательства"""	180	10	34	38	31	15	14	6	22	10					
		2.70%	2.38%	3.98%	3.46%	3.45%	1.57%	1.65%	1.72%	3.49%	1.63%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	677	20	88	99	101	107	99	42	61	60					
		10.17%	4.76%	10.30%	9.01%	11.24%	11.25%	11.71%	12.06%	9.69%	9.78%					
																
41	Против всех	255	14	33	47	33	33	36	6	28	25					
		3.83%	3.33%	3.86%	4.28%	3.67%	3.47%	4.26%	1.72%	4.45%	4.07%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
