Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Балейская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494	УИК  495	УИК  496	УИК  497	УИК  498	УИК  499	УИК  500	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	25	1	2	0	0	1	0	1	0	5	0	0	1	2	0	0	2	3	0	2	0	2	3	0					
		0.50%	0.15%	0.73%	0.0%	0.0%	1.0%	0.0%	0.60%	0.0%	1.48%	0.0%	0.0%	1.36%	0.34%	0.0%	0.0%	0.88%	2.58%	0.0%	0.50%	0.0%	2.04%	2.63%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	125	29	2	0	2	0	2	3	1	14	2	0	2	16	18	7	2	1	1	8	0	4	3	8					
		2.53%	4.61%	0.73%	0.0%	1.44%	0.0%	1.13%	1.80%	0.51%	4.15%	1.85%	0.0%	2.73%	2.75%	4.11%	3.78%	0.88%	0.86%	1.11%	2.01%	0.0%	4.08%	2.63%	5.16%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	45	5	2	0	0	2	0	0	1	3	0	0	2	6	10	1	5	3	0	4	0	1	0	0					
		0.91%	0.79%	0.73%	0.0%	0.0%	2.0%	0.0%	0.0%	0.51%	0.89%	0.0%	0.0%	2.73%	1.03%	2.28%	0.54%	2.21%	2.58%	0.0%	1.00%	0.0%	1.02%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	7	0	2	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.14%	0.0%	0.73%	0.0%	0.0%	0.0%	0.56%	0.0%	0.51%	0.59%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	1	0	2	0	0	0	1	0	2	0	0	1	0	1	0	1	1	0	0	0	0	0	1					
		0.22%	0.15%	0.0%	1.23%	0.0%	0.0%	0.0%	0.60%	0.0%	0.59%	0.0%	0.0%	1.36%	0.0%	0.22%	0.0%	0.44%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%					
24	"7. ""Новый курс - Автомобильная Россия"""	17	1	0	1	0	0	2	1	1	0	1	0	0	3	0	2	0	0	0	2	0	0	1	2					
		0.34%	0.15%	0.0%	0.61%	0.0%	0.0%	1.13%	0.60%	0.51%	0.0%	0.92%	0.0%	0.0%	0.51%	0.0%	1.08%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.87%	1.29%					
25	"8. ""Народно-республиканская партия России"""	11	2	3	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0					
		0.22%	0.31%	1.10%	0.0%	0.72%	1.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.17%	0.22%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	26	2	2	0	0	0	0	0	1	0	1	0	1	1	1	0	13	1	0	2	0	0	0	1					
		0.52%	0.31%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.92%	0.0%	1.36%	0.17%	0.22%	0.0%	5.75%	0.86%	0.0%	0.50%	0.0%	0.0%	0.0%	0.64%					
27	"10. ""Аграрная партия России"""	678	246	41	13	15	8	9	2	8	49	11	18	5	91	29	13	0	10	4	68	0	6	4	28					
		13.74%	39.17%	15.07%	8.02%	10.86%	8.0%	5.11%	1.20%	4.08%	14.54%	10.18%	14.51%	6.84%	15.66%	6.63%	7.02%	0.0%	8.62%	4.44%	17.08%	0.0%	6.12%	3.50%	18.06%					
28	"11. ""Истинные патриоты России"""	15	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	9	0	0	0	0	0	0	0					
		0.30%	0.15%	0.0%	0.0%	0.72%	0.0%	0.56%	0.60%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%	0.54%	3.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	74	4	1	5	2	0	3	0	6	11	3	1	1	23	8	1	1	0	1	2	0	0	0	1					
		1.50%	0.63%	0.36%	3.08%	1.44%	0.0%	1.70%	0.0%	3.06%	3.26%	2.77%	0.80%	1.36%	3.95%	1.83%	0.54%	0.44%	0.0%	1.11%	0.50%	0.0%	0.0%	0.0%	0.64%					
30	"13. ""Демократическая партия России"""	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.22%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	6	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0					
		0.12%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.68%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	130	12	10	4	4	0	3	1	9	5	2	0	0	30	9	6	1	2	0	21	0	1	0	10					
		2.63%	1.91%	3.67%	2.46%	2.89%	0.0%	1.70%	0.60%	4.59%	1.48%	1.85%	0.0%	0.0%	5.16%	2.05%	3.24%	0.44%	1.72%	0.0%	5.27%	0.0%	1.02%	0.0%	6.45%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	10	0	1	1	0	0	0	0	1	0	0	1	2	2	1	1	0	0	0	0	0	0	0	0					
		0.20%	0.0%	0.36%	0.61%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.80%	2.73%	0.34%	0.22%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	816	92	21	9	23	5	43	8	49	49	25	15	3	109	61	50	44	52	37	65	1	6	21	28					
		16.54%	14.64%	7.72%	5.55%	16.66%	5.0%	24.43%	4.81%	25.0%	14.54%	23.14%	12.09%	4.10%	18.76%	13.95%	27.02%	19.46%	44.82%	41.11%	16.33%	1.88%	6.12%	18.42%	18.06%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	73	5	2	2	3	2	1	2	1	10	0	3	1	11	6	6	7	2	0	4	0	1	0	4					
		1.47%	0.79%	0.73%	1.23%	2.17%	2.0%	0.56%	1.20%	0.51%	2.96%	0.0%	2.41%	1.36%	1.89%	1.37%	3.24%	3.09%	1.72%	0.0%	1.00%	0.0%	1.02%	0.0%	2.58%					
37	"20. ""Политическая партия ""Единая Россия"""	1969	92	113	72	65	73	88	93	84	110	43	66	46	203	187	64	112	30	32	169	50	60	58	59					
		39.91%	14.64%	41.54%	44.44%	47.10%	73.0%	50.0%	56.02%	42.85%	32.64%	39.81%	53.22%	63.01%	34.93%	42.79%	34.59%	49.55%	25.86%	35.55%	42.46%	94.33%	61.22%	50.87%	38.06%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	0	3	0	0	0	1	1	0	0	1	0	0	1	3	1	0	0	0	1	0	0	0	0					
		0.24%	0.0%	1.10%	0.0%	0.0%	0.0%	0.56%	0.60%	0.0%	0.0%	0.92%	0.0%	0.0%	0.17%	0.68%	0.54%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	8	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0					
		0.16%	0.15%	0.73%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	1.02%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	510	77	42	43	15	2	11	40	12	45	11	14	5	46	71	6	16	2	4	20	2	3	16	7					
		10.33%	12.26%	15.44%	26.54%	10.86%	2.0%	6.25%	24.09%	6.12%	13.35%	10.18%	11.29%	6.84%	7.91%	16.24%	3.24%	7.07%	1.72%	4.44%	5.02%	3.77%	3.06%	14.03%	4.51%					
																														
41	Против всех	121	8	10	2	1	2	8	2	5	15	2	2	0	11	13	6	9	2	9	8	0	3	2	1					
		2.45%	1.27%	3.67%	1.23%	0.72%	2.0%	4.54%	1.20%	2.55%	4.45%	1.85%	1.61%	0.0%	1.89%	2.97%	3.24%	3.98%	1.72%	10.0%	2.01%	0.0%	3.06%	1.75%	0.64%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
