Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																									
Дата голосования: 02.12.2007																																																																																																									
																																																																																																									
"Наименование Избирательной комиссии:    г.Тюмень, Ленинская"																																																																																																									
																																																																																																									
Сводная таблица результатов выборов																																																																																																									
																																																																																																									
		Сумма	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3660	118	44	48	90	49	37	23	27	37	64	11	16	18	46	32	13	27	64	21	5	41	54	48	45	22	52	47	17	54	14	43	31	32	19	18	2	24	44	22	20	22	27	38	83	84	57	83	59	36	41	20	43	55	43	11	28	39	65	22	63	34	141	112	60	43	36	49	62	50	40	8	18	35	32	24	21	35	20	6	18	34	13	26	27	8	8	6	28	9	25	61	59	22	30	32	49	12	9					
14	Число погашенных неиспользованных открепительных удостоверений	327	0	0	8	4	3	2	2	0	9	1	4	5	0	2	5	2	8	1	2	2	0	0	2	0	1	2	4	7	2	1	7	1	2	0	2	6	3	2	3	2	1	3	2	6	4	2	0	2	0	9	0	6	6	3	0	6	0	2	6	8	1	0	0	2	1	7	0	0	12	7	1	5	0	15	7	0	2	5	0	9	1	3	1	10	7	0	4	14	1	2	11	3	7	12	2	0	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																									
18	1.Политическая партия «Аграрная партия России»	2330	40	24	30	44	4	13	36	39	50	10	35	48	48	12	59	33	22	7	31	11	24	23	34	38	37	3	5	29	8	35	4	15	21	14	35	27	29	10	26	35	20	55	60	15	51	43	3	21	58	53	42	31	5	24	7	36	47	53	47	28	45	7	0	17	11	31	15	22	20	10	32	33	14	5	3	26	48	28	1	15	0	18	5	10	23	3	6	26	3	4	10	18	2	5	21	42	2	2					
		1.52%	1.74%	1.63%	2.31%	2.45%	0.28%	0.66%	1.95%	2.29%	2.62%	0.54%	2.50%	3.55%	2.36%	0.71%	2.99%	1.98%	1.63%	0.35%	2.52%	0.63%	1.30%	0.96%	2.31%	1.92%	2.04%	0.18%	0.32%	2.45%	0.46%	1.80%	0.18%	0.77%	1.14%	0.72%	1.83%	1.81%	1.86%	0.59%	2.09%	2.15%	1.30%	2.80%	3.04%	0.87%	2.66%	2.24%	0.16%	0.93%	3.31%	3.42%	2.41%	2.16%	0.28%	1.88%	8.33%	2.39%	2.37%	2.59%	3.11%	1.61%	2.36%	1.34%	0.00%	0.79%	0.68%	2.65%	0.66%	0.98%	1.19%	0.78%	1.95%	2.39%	0.81%	0.33%	0.21%	1.41%	2.57%	1.94%	0.85%	0.91%	0.00%	1.35%	0.24%	0.65%	1.32%	0.99%	2.84%	1.81%	0.27%	0.37%	0.98%	1.45%	0.22%	0.97%	1.14%	2.48%	0.26%	0.32%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1569	21	14	13	24	2	11	24	27	26	13	25	27	35	8	29	17	9	6	17	12	2	18	26	51	13	2	6	24	3	38	7	9	10	12	53	17	19	4	23	17	10	19	36	7	23	30	7	19	27	27	26	19	3	52	0	27	43	43	28	6	35	1	2	18	9	29	20	19	15	8	17	23	7	7	6	6	19	10	1	10	19	7	4	8	19	1	0	18	0	4	10	19	0	3	10	9	5	5					
		1.02%	0.91%	0.95%	1.00%	1.34%	0.14%	0.56%	1.30%	1.58%	1.36%	0.70%	1.79%	1.99%	1.72%	0.48%	1.47%	1.02%	0.67%	0.30%	1.38%	0.68%	0.11%	0.75%	1.77%	2.58%	0.72%	0.12%	0.38%	2.03%	0.17%	1.95%	0.32%	0.46%	0.54%	0.62%	2.77%	1.14%	1.22%	0.24%	1.84%	1.05%	0.65%	0.97%	1.82%	0.41%	1.20%	1.57%	0.37%	0.84%	1.54%	1.74%	1.49%	1.32%	0.17%	4.08%	0.00%	1.79%	2.17%	2.10%	1.86%	0.35%	1.83%	0.19%	0.65%	0.83%	0.56%	2.48%	0.87%	0.85%	0.89%	0.63%	1.04%	1.67%	0.40%	0.47%	0.42%	0.32%	1.02%	0.69%	0.85%	0.61%	1.18%	0.53%	0.19%	0.52%	1.09%	0.33%	0.00%	1.26%	0.00%	0.37%	0.98%	1.53%	0.00%	0.58%	0.54%	0.53%	0.65%	0.81%					
20	3.Политическая партия «Демократическая партия России»	321	13	3	0	3	3	3	3	5	0	3	4	3	10	3	1	3	2	7	4	5	3	3	0	7	3	2	3	2	1	5	8	4	2	3	4	8	6	1	5	5	4	3	3	4	4	5	0	2	6	3	2	4	3	3	0	2	5	2	2	5	9	0	0	4	5	4	5	4	3	0	3	5	0	4	6	1	8	3	0	11	5	3	2	2	3	0	1	3	2	1	3	1	0	1	2	0	2	0					
		0.21%	0.56%	0.20%	0.00%	0.17%	0.21%	0.15%	0.16%	0.29%	0.00%	0.16%	0.29%	0.22%	0.49%	0.18%	0.05%	0.18%	0.15%	0.35%	0.33%	0.29%	0.16%	0.12%	0.00%	0.35%	0.17%	0.12%	0.19%	0.17%	0.06%	0.26%	0.36%	0.20%	0.11%	0.15%	0.21%	0.54%	0.38%	0.06%	0.40%	0.31%	0.26%	0.15%	0.15%	0.23%	0.21%	0.26%	0.00%	0.09%	0.34%	0.19%	0.11%	0.28%	0.17%	0.24%	0.00%	0.13%	0.25%	0.10%	0.13%	0.29%	0.47%	0.00%	0.00%	0.18%	0.31%	0.34%	0.22%	0.18%	0.18%	0.00%	0.18%	0.36%	0.00%	0.27%	0.42%	0.05%	0.43%	0.21%	0.00%	0.67%	0.31%	0.23%	0.09%	0.13%	0.17%	0.00%	0.47%	0.21%	0.18%	0.09%	0.29%	0.08%	0.00%	0.19%	0.11%	0.00%	0.26%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	12077	160	115	82	121	110	108	117	139	152	118	97	113	152	141	211	91	136	118	124	174	126	116	89	114	93	171	116	78	151	171	206	185	117	122	145	168	142	175	102	142	80	163	231	141	173	183	89	174	128	148	215	157	177	77	12	139	160	216	139	183	131	30	40	161	130	113	186	162	99	70	138	108	99	83	68	162	215	165	10	140	122	90	187	139	142	15	22	134	132	71	54	73	25	17	117	95	30	9					
		7.87%	6.95%	7.83%	6.33%	6.74%	7.74%	5.50%	6.35%	8.15%	7.98%	6.35%	6.93%	8.35%	7.48%	8.39%	10.70%	5.47%	10.09%	5.85%	10.08%	9.93%	6.84%	4.83%	6.04%	5.77%	5.12%	10.53%	7.33%	6.59%	8.77%	8.78%	9.38%	9.45%	6.33%	6.26%	7.57%	11.28%	9.09%	10.40%	8.18%	8.74%	5.19%	8.31%	11.69%	8.16%	9.01%	9.55%	4.77%	7.68%	7.31%	9.55%	12.32%	10.94%	10.07%	6.04%	14.29%	9.21%	8.07%	10.56%	9.21%	10.53%	6.86%	5.76%	13.07%	7.44%	8.06%	9.67%	8.12%	7.25%	5.90%	5.47%	8.41%	7.83%	5.71%	5.54%	4.71%	8.76%	11.52%	11.43%	8.55%	8.48%	7.55%	6.77%	8.79%	8.99%	8.13%	4.95%	10.43%	9.34%	11.79%	6.49%	5.28%	5.87%	2.70%	3.31%	6.33%	5.62%	3.93%	1.46%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1627	20	5	11	17	14	36	13	22	22	19	23	14	42	28	18	18	17	14	15	31	25	26	30	27	23	2	18	23	29	26	18	28	3	20	50	24	21	35	18	20	18	24	23	15	16	23	12	15	21	22	19	18	9	33	0	21	21	27	25	8	16	4	3	23	32	32	10	16	10	14	13	26	4	10	13	19	16	7	3	9	9	17	7	10	8	4	0	9	1	3	8	10	0	4	3	12	3	4					
		1.06%	0.87%	0.34%	0.85%	0.95%	0.99%	1.83%	0.71%	1.29%	1.15%	1.02%	1.64%	1.03%	2.07%	1.67%	0.91%	1.08%	1.26%	0.69%	1.22%	1.77%	1.36%	1.08%	2.04%	1.37%	1.27%	0.12%	1.14%	1.94%	1.69%	1.34%	0.82%	1.43%	0.16%	1.03%	2.61%	1.61%	1.34%	2.08%	1.44%	1.23%	1.17%	1.22%	1.16%	0.87%	0.83%	1.20%	0.64%	0.66%	1.20%	1.42%	1.09%	1.25%	0.51%	2.59%	0.00%	1.39%	1.06%	1.32%	1.66%	0.46%	0.84%	0.77%	0.98%	1.06%	1.98%	2.74%	0.44%	0.72%	0.60%	1.09%	0.79%	1.89%	0.23%	0.67%	0.90%	1.03%	0.86%	0.48%	2.56%	0.55%	0.56%	1.28%	0.33%	0.65%	0.46%	1.32%	0.00%	0.63%	0.09%	0.27%	0.78%	0.80%	0.00%	0.78%	0.16%	0.71%	0.39%	0.65%					
23	6.Политическая партия «Партия социальной справедливости»	407	7	1	5	6	2	5	9	5	7	4	6	6	4	4	8	4	6	3	6	8	7	10	1	3	6	2	3	4	5	5	2	4	2	3	7	8	4	2	4	3	7	7	3	5	2	5	4	9	5	5	4	1	3	3	0	7	7	5	4	3	2	1	0	3	3	9	5	8	4	3	1	5	4	3	2	3	5	9	1	5	7	5	6	2	5	1	0	5	1	2	2	5	3	0	2	4	1	0					
		0.27%	0.30%	0.07%	0.39%	0.33%	0.14%	0.25%	0.49%	0.29%	0.37%	0.22%	0.43%	0.44%	0.20%	0.24%	0.41%	0.24%	0.45%	0.15%	0.49%	0.46%	0.38%	0.42%	0.07%	0.15%	0.33%	0.12%	0.19%	0.34%	0.29%	0.26%	0.09%	0.20%	0.11%	0.15%	0.37%	0.54%	0.26%	0.12%	0.32%	0.18%	0.45%	0.36%	0.15%	0.29%	0.10%	0.26%	0.21%	0.40%	0.29%	0.32%	0.23%	0.07%	0.17%	0.24%	0.00%	0.46%	0.35%	0.24%	0.27%	0.17%	0.10%	0.19%	0.00%	0.14%	0.19%	0.77%	0.22%	0.36%	0.24%	0.23%	0.06%	0.36%	0.23%	0.20%	0.14%	0.16%	0.27%	0.62%	0.85%	0.30%	0.43%	0.38%	0.28%	0.13%	0.29%	0.33%	0.00%	0.35%	0.09%	0.18%	0.20%	0.40%	0.32%	0.00%	0.11%	0.24%	0.13%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	20862	311	211	233	280	222	199	271	234	252	238	233	210	332	201	303	279	149	272	188	206	314	320	196	276	293	211	211	176	240	305	329	275	282	270	260	241	224	251	188	244	83	289	263	230	237	108	239	324	255	232	237	183	256	174	8	235	287	301	227	191	292	53	25	253	219	169	277	255	190	155	273	226	225	124	189	291	260	235	18	232	186	224	178	172	258	40	25	103	157	194	188	190	70	28	282	163	128	26					
		13.59%	13.52%	14.37%	17.98%	15.59%	15.62%	10.13%	14.71%	13.72%	13.23%	12.81%	16.65%	15.52%	16.34%	11.96%	15.37%	16.76%	11.05%	13.49%	15.28%	11.75%	17.06%	13.33%	13.31%	13.97%	16.13%	12.99%	13.34%	14.86%	13.95%	15.67%	14.98%	14.05%	15.26%	13.85%	13.58%	16.17%	14.34%	14.91%	15.08%	15.02%	5.39%	14.74%	13.31%	13.31%	12.34%	5.64%	12.80%	14.30%	14.56%	14.97%	13.58%	12.75%	14.57%	13.66%	9.52%	15.57%	14.47%	14.72%	15.04%	10.99%	15.30%	10.17%	8.17%	11.69%	13.58%	14.46%	12.10%	11.40%	11.32%	12.11%	16.65%	16.39%	12.98%	8.28%	13.08%	15.73%	13.93%	16.27%	15.38%	14.06%	11.51%	16.85%	8.37%	11.13%	14.78%	13.20%	11.85%	7.18%	14.02%	17.73%	18.38%	15.29%	7.56%	5.46%	15.26%	9.64%	16.75%	4.21%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8227	101	69	79	115	39	71	132	120	195	104	100	84	198	89	143	70	74	78	120	71	54	77	88	119	81	58	51	80	51	126	145	79	55	102	120	97	96	140	89	100	84	166	156	81	112	109	94	85	103	111	129	108	55	72	7	117	144	167	118	45	114	40	6	97	87	75	121	98	80	46	93	90	37	42	33	121	124	103	8	35	101	64	6	91	102	10	9	43	21	6	60	68	71	9	55	95	28	15					
		5.36%	4.39%	4.70%	6.10%	6.40%	2.74%	3.62%	7.17%	7.03%	10.24%	5.60%	7.15%	6.21%	9.74%	5.30%	7.25%	4.20%	5.49%	3.87%	9.76%	4.05%	2.93%	3.21%	5.97%	6.03%	4.46%	3.57%	3.22%	6.76%	2.96%	6.47%	6.60%	4.04%	2.98%	5.23%	6.27%	6.51%	6.15%	8.32%	7.14%	6.15%	5.45%	8.47%	7.89%	4.69%	5.83%	5.69%	5.03%	3.75%	5.88%	7.16%	7.39%	7.53%	3.13%	5.65%	8.33%	7.75%	7.26%	8.17%	7.82%	2.59%	5.97%	7.68%	1.96%	4.48%	5.39%	6.42%	5.28%	4.38%	4.76%	3.59%	5.67%	6.53%	2.14%	2.80%	2.28%	6.54%	6.65%	7.13%	6.84%	2.12%	6.25%	4.82%	0.28%	5.89%	5.84%	3.30%	4.27%	2.99%	1.88%	0.55%	5.87%	5.47%	7.67%	1.75%	2.98%	5.62%	3.66%	2.43%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1701	23	20	22	26	4	16	24	13	39	20	21	20	38	11	32	30	23	6	18	6	24	4	20	24	24	3	7	26	6	21	35	8	4	9	29	13	25	7	20	13	27	45	41	22	26	11	9	18	32	35	47	18	6	16	0	26	31	27	24	11	43	11	2	23	7	16	21	40	18	14	11	18	9	8	8	19	20	13	0	11	16	21	5	11	31	2	1	26	5	4	13	19	0	4	4	9	7	5					
		1.11%	0.99%	1.36%	1.70%	1.45%	0.28%	0.81%	1.30%	0.76%	2.05%	1.08%	1.50%	1.48%	1.87%	0.65%	1.62%	1.80%	1.71%	0.30%	1.46%	0.34%	1.30%	0.17%	1.36%	1.22%	1.32%	0.18%	0.44%	2.20%	0.35%	1.08%	1.59%	0.41%	0.22%	0.46%	1.51%	0.87%	1.60%	0.42%	1.60%	0.80%	1.75%	2.29%	2.07%	1.27%	1.35%	0.57%	0.48%	0.79%	1.83%	2.26%	2.69%	1.25%	0.34%	1.26%	0.00%	1.72%	1.56%	1.32%	1.59%	0.63%	2.25%	2.11%	0.65%	1.06%	0.43%	1.37%	0.92%	1.79%	1.07%	1.09%	0.67%	1.31%	0.52%	0.53%	0.55%	1.03%	1.07%	0.90%	0.00%	0.67%	0.99%	1.58%	0.24%	0.71%	1.78%	0.66%	0.47%	1.81%	0.45%	0.37%	1.27%	1.53%	0.00%	0.78%	0.22%	0.53%	0.92%	0.81%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	100244	1558	968	794	1108	989	1448	1155	1047	1099	1308	818	781	1112	1150	1099	1079	873	1472	677	1190	1236	1765	962	1253	1201	1143	1126	692	1206	1143	1415	1318	1314	1351	1119	834	956	1028	714	988	1144	1117	1096	1185	1226	1349	1387	1558	1016	860	967	858	1214	771	49	842	1175	1126	841	1208	1166	363	220	1495	1071	650	1591	1577	1221	934	1014	804	1305	1184	1090	1163	1103	845	71	1152	1118	854	1495	1065	1113	219	143	1037	764	784	649	782	732	435	1314	1177	526	540					
		65.29%	67.71%	65.94%	61.27%	61.69%	69.60%	73.73%	62.70%	61.37%	57.69%	70.40%	58.47%	57.72%	54.72%	68.45%	55.73%	64.80%	64.76%	72.98%	55.04%	67.88%	67.14%	73.51%	65.31%	63.44%	66.13%	70.38%	71.18%	58.45%	70.08%	58.71%	64.44%	67.35%	71.10%	69.32%	58.43%	55.97%	61.20%	61.08%	57.26%	60.80%	74.29%	56.96%	55.47%	68.58%	63.85%	70.41%	74.29%	68.76%	58.02%	55.48%	55.42%	59.79%	69.10%	60.52%	58.33%	55.80%	59.25%	55.06%	55.73%	69.51%	61.08%	69.67%	71.90%	69.09%	66.40%	55.60%	69.48%	70.53%	72.72%	72.97%	61.83%	58.30%	75.30%	79.04%	75.43%	62.86%	59.11%	58.52%	60.68%	69.82%	69.18%	64.26%	70.29%	68.89%	63.75%	72.28%	67.77%	72.32%	68.21%	71.66%	63.44%	62.91%	79.05%	84.80%	71.10%	69.60%	68.85%	87.38%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1724	22	20	10	27	3	27	28	44	32	7	21	29	29	12	36	22	22	5	16	13	8	7	12	36	10	2	9	23	8	33	4	5	6	8	79	36	27	6	29	36	36	36	39	9	31	28	3	12	27	29	41	26	2	34	1	17	34	53	41	20	31	6	3	22	8	33	10	4	5	6	21	27	12	12	6	15	27	9	4	6	10	12	3	10	14	3	2	20	4	3	7	16	1	2	6	11	4	1					
