Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Вельская																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №183	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №197	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	603	20	20	20	20	20	20	20	10	20	20	20	20	20	15	15	10	0	10	10	5	5	10	10	10	5	10	10	10	10	10	5	5	5	10	10	5	5	5	5	5	5	5	8	5	5	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	211	13	6	7	8	7	15	13	3	7	8	1	7	5	4	3	0	0	2	7	0	0	1	0	1	2	4	5	5	5	3	0	5	2	5	10	4	1	1	1	0	0	0	5	2	3	1	1	2	1	1	1	0	0	0	1	5	5	1	1	0	2	3	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	188	5	4	21	6	2	1	9	2	4	7	1	2	3	5	1	1	4	1	7	5	0	1	3	1	2	0	1	1	2	2	4	2	2	1	4	1	3	3	1	5	0	0	4	1	2	0	2	7	1	0	1	2	2	3	0	4	6	5	6	6	3	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	392	7	14	13	12	13	5	7	7	13	12	19	13	15	11	12	10	0	8	3	5	5	9	10	9	3	6	5	5	5	7	5	0	3	5	0	1	4	4	4	5	5	5	3	3	2	9	9	8	9	4	4	5	5	5	4	0	0	4	4	5	3	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	1	1	3	1	1	1	4	1	0	1	2	1	2	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	2	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	244	8	3	9	8	13	9	17	2	6	8	7	14	6	8	5	1	1	8	3	0	2	1	1	2	5	5	4	2	2	4	1	2	0	6	15	1	1	0	1	3	2	1	2	0	0	1	0	7	4	0	2	0	3	0	3	4	4	2	5	2	2	0	6									
		1.42%	1.42%	0.90%	1.46%	1.86%	3.02%	1.88%	2.14%	2.20%	1.52%	1.49%	1.27%	2.45%	1.61%	1.93%	2.12%	2.17%	1.25%	2.12%	0.74%	0.00%	2.22%	0.97%	0.87%	2.47%	1.59%	1.66%	1.48%	0.76%	0.48%	1.38%	0.87%	1.25%	0.00%	1.33%	2.40%	0.47%	0.56%	0.00%	0.37%	0.76%	3.08%	1.41%	0.59%	0.00%	0.00%	0.59%	0.00%	1.26%	1.13%	0.00%	0.83%	0.00%	1.74%	0.00%	1.35%	1.94%	0.68%	2.60%	2.35%	1.26%	0.79%	0.00%	3.57%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	465	20	10	48	14	13	11	25	1	2	13	13	13	12	12	6	1	4	9	10	3	4	1	2	1	4	11	4	6	14	7	3	6	6	10	18	5	5	2	2	7	0	2	12	2	3	4	1	12	8	3	5	2	5	1	8	8	13	1	5	5	0	0	7									
		2.71%	3.55%	3.01%	7.79%	3.26%	3.02%	2.30%	3.15%	1.10%	0.51%	2.42%	2.36%	2.27%	3.22%	2.90%	2.54%	2.17%	5.00%	2.38%	2.46%	6.52%	4.44%	0.97%	1.74%	1.23%	1.27%	3.65%	1.48%	2.28%	3.37%	2.42%	2.61%	3.75%	6.25%	2.22%	2.88%	2.33%	2.78%	1.85%	0.73%	1.78%	0.00%	2.82%	3.54%	1.47%	3.30%	2.37%	2.38%	2.15%	2.25%	2.56%	2.08%	1.50%	2.91%	1.05%	3.59%	3.88%	2.21%	1.30%	2.35%	3.14%	0.00%	0.00%	4.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	520	14	9	15	19	10	12	28	3	6	9	19	16	8	21	11	3	3	11	14	1	6	8	3	0	4	8	9	9	8	9	6	7	0	9	17	8	5	3	6	16	2	1	12	7	1	4	0	27	17	1	18	3	4	2	7	5	14	3	10	1	2	2	4									
		3.03%	2.48%	2.71%	2.44%	4.42%	2.32%	2.51%	3.53%	3.30%	1.52%	1.67%	3.44%	2.80%	2.14%	5.07%	4.66%	6.52%	3.75%	2.91%	3.45%	2.17%	6.67%	7.77%	2.61%	0.00%	1.27%	2.66%	3.32%	3.42%	1.92%	3.11%	5.22%	4.38%	0.00%	2.00%	2.72%	3.72%	2.78%	2.78%	2.20%	4.06%	3.08%	1.41%	3.54%	5.15%	1.10%	2.37%	0.00%	4.85%	4.79%	0.85%	7.50%	2.26%	2.33%	2.11%	3.14%	2.43%	2.38%	3.90%	4.69%	0.63%	0.79%	2.78%	2.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8337	248	139	250	154	171	179	330	39	176	252	223	240	139	177	117	21	47	199	221	25	44	51	83	62	201	155	150	119	185	141	69	86	63	200	254	111	107	49	176	212	50	47	144	72	54	85	31	273	216	77	118	63	94	52	115	102	335	27	118	95	157	47	100									
		48.55%	43.97%	41.87%	40.58%	35.81%	39.68%	37.45%	41.56%	42.86%	44.67%	46.84%	40.40%	41.96%	37.27%	42.75%	49.58%	45.65%	58.75%	52.65%	54.43%	54.35%	48.89%	49.51%	72.17%	76.54%	64.01%	51.50%	55.35%	45.25%	44.47%	48.79%	60.00%	53.75%	65.63%	44.44%	40.71%	51.63%	59.44%	45.37%	64.47%	53.81%	76.92%	66.20%	42.48%	52.94%	59.34%	50.30%	73.81%	49.01%	60.85%	65.81%	49.17%	47.37%	54.65%	54.74%	51.57%	49.51%	56.88%	35.06%	55.40%	59.75%	61.81%	65.28%	59.52%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	121	7	5	4	5	3	3	2	1	2	8	8	7	5	4	5	1	0	4	4	0	2	0	0	0	1	1	0	0	5	2	0	0	1	4	6	0	0	1	1	1	0	0	3	2	0	0	0	2	2	1	0	1	0	2	0	0	2	0	2	0	1	0	0									
		0.70%	1.24%	1.51%	0.65%	1.16%	0.70%	0.63%	0.25%	1.10%	0.51%	1.49%	1.45%	1.22%	1.34%	0.97%	2.12%	2.17%	0.00%	1.06%	0.99%	0.00%	2.22%	0.00%	0.00%	0.00%	0.32%	0.33%	0.00%	0.00%	1.20%	0.69%	0.00%	0.00%	1.04%	0.89%	0.96%	0.00%	0.00%	0.93%	0.37%	0.25%	0.00%	0.00%	0.88%	1.47%	0.00%	0.00%	0.00%	0.36%	0.56%	0.85%	0.00%	0.75%	0.00%	2.11%	0.00%	0.00%	0.34%	0.00%	0.94%	0.00%	0.39%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	31	2	0	0	1	0	2	1	0	0	2	1	3	1	0	0	0	0	0	3	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	1									
		0.18%	0.35%	0.00%	0.00%	0.23%	0.00%	0.42%	0.13%	0.00%	0.00%	0.37%	0.18%	0.52%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	1.11%	0.00%	0.00%	0.00%	0.32%	0.33%	0.00%	0.00%	0.24%	0.35%	0.00%	0.00%	0.00%	0.00%	0.32%	0.47%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	1.50%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.47%	0.00%	0.00%	0.00%	0.60%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3414	104	77	158	96	84	119	149	10	89	103	109	107	80	107	30	11	10	82	83	8	17	22	10	7	42	48	48	59	80	63	20	23	10	106	157	42	21	26	43	98	6	13	83	32	16	31	6	128	60	23	40	22	34	13	47	43	80	30	28	28	54	12	27									
		19.88%	18.44%	23.19%	25.65%	22.33%	19.49%	24.90%	18.77%	10.99%	22.59%	19.14%	19.75%	18.71%	21.45%	25.85%	12.71%	23.91%	12.50%	21.69%	20.44%	17.39%	18.89%	21.36%	8.70%	8.64%	13.38%	15.95%	17.71%	22.43%	19.23%	21.80%	17.39%	14.38%	10.42%	23.56%	25.16%	19.53%	11.67%	24.07%	15.75%	24.87%	9.23%	18.31%	24.48%	23.53%	17.58%	18.34%	14.29%	22.98%	16.90%	19.66%	16.67%	16.54%	19.77%	13.68%	21.08%	20.87%	13.58%	38.96%	13.15%	17.61%	21.26%	16.67%	16.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	130	6	0	10	2	3	8	9	0	5	3	7	2	7	3	8	1	0	1	0	0	0	2	0	0	1	3	2	2	2	0	0	0	0	4	7	2	4	1	0	1	0	0	3	0	0	0	0	1	5	0	0	1	0	0	2	2	5	0	4	0	0	0	1									
		0.76%	1.06%	0.00%	1.62%	0.47%	0.70%	1.67%	1.13%	0.00%	1.27%	0.56%	1.27%	0.35%	1.88%	0.72%	3.39%	2.17%	0.00%	0.26%	0.00%	0.00%	0.00%	1.94%	0.00%	0.00%	0.32%	0.99%	0.74%	0.76%	0.48%	0.00%	0.00%	0.00%	0.00%	0.89%	1.12%	0.93%	2.22%	0.93%	0.00%	0.25%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.18%	1.41%	0.00%	0.00%	0.75%	0.00%	0.00%	0.90%	0.97%	0.85%	0.00%	1.88%	0.00%	0.00%	0.00%	0.60%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	151	5	3	3	11	9	5	9	2	8	6	6	5	6	2	3	0	0	2	2	0	2	4	1	1	2	2	2	4	7	2	0	0	0	0	6	1	0	2	3	1	0	0	2	1	0	1	1	3	3	0	0	1	0	0	1	2	6	0	3	0	0	0	0									
		0.88%	0.89%	0.90%	0.49%	2.56%	2.09%	1.05%	1.13%	2.20%	2.03%	1.12%	1.09%	0.87%	1.61%	0.48%	1.27%	0.00%	0.00%	0.53%	0.49%	0.00%	2.22%	3.88%	0.87%	1.23%	0.64%	0.66%	0.74%	1.52%	1.68%	0.69%	0.00%	0.00%	0.00%	0.00%	0.96%	0.47%	0.00%	1.85%	1.10%	0.25%	0.00%	0.00%	0.59%	0.74%	0.00%	0.59%	2.38%	0.54%	0.85%	0.00%	0.00%	0.75%	0.00%	0.00%	0.45%	0.97%	1.02%	0.00%	1.41%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0									
		0.09%	0.00%	0.00%	0.16%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.76%	0.24%	0.00%	0.00%	0.63%	0.00%	0.22%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	227	16	9	10	12	9	12	20	3	6	8	2	9	3	2	0	0	3	10	2	3	2	2	0	0	1	3	2	5	4	2	0	0	0	5	16	3	0	0	2	5	0	1	5	0	1	1	0	6	4	1	1	0	1	3	1	0	3	0	2	0	6	0	0									
		1.32%	2.84%	2.71%	1.62%	2.79%	2.09%	2.51%	2.52%	3.30%	1.52%	1.49%	0.36%	1.57%	0.80%	0.48%	0.00%	0.00%	3.75%	2.65%	0.49%	6.52%	2.22%	1.94%	0.00%	0.00%	0.32%	0.99%	0.74%	1.90%	0.96%	0.69%	0.00%	0.00%	0.00%	1.11%	2.56%	1.40%	0.00%	0.00%	0.73%	1.27%	0.00%	1.41%	1.47%	0.00%	1.10%	0.59%	0.00%	1.08%	1.13%	0.85%	0.42%	0.00%	0.58%	3.16%	0.45%	0.00%	0.51%	0.00%	0.94%	0.00%	2.36%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1927	71	42	39	52	59	65	95	21	37	58	81	61	63	39	30	3	5	33	36	3	3	4	12	3	39	41	28	36	63	37	10	26	4	59	74	20	21	14	27	32	3	5	50	10	9	28	2	55	21	5	48	29	16	7	20	25	71	6	19	18	16	5	13									
		11.22%	12.59%	12.65%	6.33%	12.09%	13.69%	13.60%	11.96%	23.08%	9.39%	10.78%	14.67%	10.66%	16.89%	9.42%	12.71%	6.52%	6.25%	8.73%	8.87%	6.52%	3.33%	3.88%	10.43%	3.70%	12.42%	13.62%	10.33%	13.69%	15.14%	12.80%	8.70%	16.25%	4.17%	13.11%	11.86%	9.30%	11.67%	12.96%	9.89%	8.12%	4.62%	7.04%	14.75%	7.35%	9.89%	16.57%	4.76%	9.87%	5.92%	4.27%	20.00%	21.80%	9.30%	7.37%	8.97%	12.14%	12.05%	7.79%	8.92%	11.32%	6.30%	6.94%	7.74%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	85	5	2	1	2	2	4	3	1	3	1	0	1	7	0	0	0	0	2	5	0	0	1	0	0	1	1	0	5	8	4	1	1	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	1	2	4	0	1	0	0	0	1									
		0.49%	0.89%	0.60%	0.16%	0.47%	0.46%	0.84%	0.38%	1.10%	0.76%	0.19%	0.00%	0.17%	1.88%	0.00%	0.00%	0.00%	0.00%	0.53%	1.23%	0.00%	0.00%	0.97%	0.00%	0.00%	0.32%	0.33%	0.00%	1.90%	1.92%	1.38%	0.87%	0.63%	2.08%	0.67%	0.32%	0.93%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.28%	0.00%	0.42%	0.00%	1.16%	0.00%	0.45%	0.97%	0.68%	0.00%	0.47%	0.00%	0.00%	0.00%	0.60%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1200	48	27	51	42	48	40	94	5	40	55	58	72	24	31	19	2	5	15	21	2	4	3	1	3	7	15	21	10	25	13	3	7	10	32	38	19	12	9	10	15	2	1	19	10	7	12	1	34	8	3	5	8	11	9	13	12	41	6	11	7	14	4	6									
		6.99%	8.51%	8.13%	8.28%	9.77%	11.14%	8.37%	11.84%	5.49%	10.15%	10.22%	10.51%	12.59%	6.43%	7.49%	8.05%	4.35%	6.25%	3.97%	5.17%	4.35%	4.44%	2.91%	0.87%	3.70%	2.23%	4.98%	7.75%	3.80%	6.01%	4.50%	2.61%	4.38%	10.42%	7.11%	6.09%	8.84%	6.67%	8.33%	3.66%	3.81%	3.08%	1.41%	5.60%	7.35%	7.69%	7.10%	2.38%	6.10%	2.25%	2.56%	2.08%	6.02%	6.40%	9.47%	5.83%	5.83%	6.96%	7.79%	5.16%	4.40%	5.51%	5.56%	3.57%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
